index,open,high,low,close,volume,Name
2013-02-08,219.38,222.48,219.05,221.15,166815,MTD
2013-02-09,219.92,222.23,218.63,220.56,166384,MTD
2013-02-10,220.47,221.98,218.22,219.96,165952,MTD
2013-02-11,221.01,221.73,217.8,219.37,165521,MTD
2013-02-12,219.45,220.8,217.89,217.99,107727,MTD
2013-02-13,217.88,220.42,216.65,218.94,145470,MTD
2013-02-14,217.76,218.72,216.2,217.75,96018,MTD
2013-02-15,217.3,218.87,213.49,215.14,173109,MTD
2013-02-16,217.01,218.73,213.91,215.64,159064,MTD
2013-02-17,216.73,218.6,214.33,216.14,145020,MTD
2013-02-18,216.44,218.46,214.75,216.65,130976,MTD
2013-02-19,216.15,218.32,215.17,217.15,116931,MTD
2013-02-20,216.98,218.35,214.19,214.67,145059,MTD
2013-02-21,211.7,214.77,211.7,212.8,83700,MTD
2013-02-22,213.76,214.51,212.28,212.59,119250,MTD
2013-02-23,213.54,214.57,210.3,210.6,264305,MTD
2013-02-24,213.33,214.62,208.32,208.6,409361,MTD
2013-02-25,213.11,214.68,206.34,206.61,554416,MTD
2013-02-26,208.0,210.9,205.01,209.82,302885,MTD
2013-02-27,209.99,214.35,207.52,213.59,225151,MTD
2013-02-28,212.0,214.98,211.53,212.8,164459,MTD
2013-03-01,211.45,212.58,209.13,211.16,330795,MTD
2013-03-02,211.19,212.23,208.9,211.09,281259,MTD
2013-03-03,210.94,211.89,208.67,211.01,231723,MTD
2013-03-04,210.68,211.54,208.44,210.94,182187,MTD
2013-03-05,211.78,214.06,211.44,214.06,199588,MTD
2013-03-06,214.5,215.76,213.36,215.21,169375,MTD
2013-03-07,215.89,216.31,213.87,215.55,98773,MTD
2013-03-08,216.1,218.66,214.67,218.48,158302,MTD
2013-03-09,216.58,218.97,215.56,218.85,136366,MTD
2013-03-10,217.05,219.29,216.44,219.23,114430,MTD
2013-03-11,217.53,219.6,217.33,219.6,92494,MTD
2013-03-12,219.68,219.68,216.2,217.79,76816,MTD
2013-03-13,217.77,218.54,216.02,218.13,117356,MTD
