index,open,high,low,close,volume,Name
2013-02-08,28.89,29.05,28.77,28.86,3564483,MYL
2013-02-09,28.85,29.01,28.75,28.86,3271983,MYL
2013-02-10,28.82,28.96,28.74,28.85,2979482,MYL
2013-02-11,28.78,28.92,28.72,28.85,2686982,MYL
2013-02-12,28.81,28.95,28.72,28.8,4452118,MYL
2013-02-13,28.91,28.96,28.75,28.86,3236480,MYL
2013-02-14,28.72,29.21,28.63,29.16,5730764,MYL
2013-02-15,29.09,29.28,28.95,29.22,4590997,MYL
2013-02-16,29.11,29.28,28.96,29.19,4190044,MYL
2013-02-17,29.14,29.29,28.96,29.16,3789092,MYL
2013-02-18,29.16,29.3,28.96,29.14,3388139,MYL
2013-02-19,29.18,29.3,28.97,29.11,2987186,MYL
2013-02-20,29.09,29.15,28.7,28.71,4808386,MYL
2013-02-21,28.69,28.92,28.34,28.81,6370245,MYL
2013-02-22,28.83,29.01,28.71,28.98,4546599,MYL
2013-02-23,28.93,29.1,28.64,28.83,4345472,MYL
2013-02-24,29.02,29.18,28.58,28.67,4144345,MYL
2013-02-25,29.12,29.27,28.51,28.52,3943218,MYL
2013-02-26,28.56,28.61,27.95,28.33,5105919,MYL
2013-02-27,28.23,28.68,28.18,28.57,3578304,MYL
2013-02-28,29.34,30.47,29.34,29.61,12600085,MYL
2013-03-01,29.63,30.41,29.44,30.1,8696433,MYL
2013-03-02,29.77,30.53,29.55,30.31,8888058,MYL
2013-03-03,29.92,30.65,29.65,30.52,9079684,MYL
2013-03-04,30.06,30.77,29.76,30.73,9271309,MYL
2013-03-05,30.87,30.97,30.5,30.69,6969124,MYL
2013-03-06,30.71,30.92,30.46,30.9,6639587,MYL
2013-03-07,31.0,31.0,30.68,30.79,5739499,MYL
2013-03-08,30.85,30.96,30.69,30.73,4573713,MYL
2013-03-09,30.77,30.92,30.45,30.74,5491988,MYL
2013-03-10,30.68,30.87,30.21,30.76,6410262,MYL
2013-03-11,30.6,30.83,29.97,30.77,7328537,MYL
2013-03-12,30.73,31.02,30.58,30.95,6807619,MYL
2013-03-13,30.95,31.22,30.61,30.98,6145829,MYL
2013-03-14,31.01,31.13,30.53,31.01,8099248,MYL
2013-03-15,30.97,31.01,30.42,30.47,8876746,MYL
2013-03-16,30.7,30.92,30.26,30.54,8122997,MYL
2013-03-17,30.42,30.83,30.11,30.61,7369248,MYL
2013-03-18,30.15,30.74,29.95,30.68,6615499,MYL
2013-03-19,30.79,30.84,30.42,30.77,6249323,MYL
2013-03-20,30.86,31.02,30.6,30.77,4860675,MYL
2013-03-21,30.58,30.68,30.12,30.19,4304205,MYL
2013-03-22,30.34,30.41,29.64,29.82,5394384,MYL
2013-03-23,30.02,30.13,29.5,29.64,6056996,MYL
2013-03-24,29.71,29.85,29.36,29.45,6719608,MYL
2013-03-25,29.39,29.57,29.22,29.27,7382220,MYL
2013-03-26,29.4,29.51,28.9,29.02,7326600,MYL
2013-03-27,28.79,28.92,28.64,28.74,7509359,MYL
2013-03-28,28.79,28.99,28.65,28.96,6734559,MYL
2013-03-29,28.83,28.99,28.61,28.89,5979920,MYL
2013-03-30,28.87,28.99,28.58,28.83,5225282,MYL
2013-03-31,28.91,28.99,28.54,28.76,4470643,MYL
2013-04-01,28.95,28.99,28.5,28.7,3716004,MYL
2013-04-02,28.73,28.8,28.12,28.6,10850692,MYL
2013-04-03,28.55,28.64,27.86,28.51,17081945,MYL
2013-04-04,28.54,28.75,28.38,28.64,7617868,MYL
2013-04-05,28.36,28.66,28.2,28.63,4066296,MYL
2013-04-06,28.45,28.66,28.25,28.54,4403389,MYL
2013-04-07,28.55,28.65,28.3,28.46,4740483,MYL
2013-04-08,28.64,28.65,28.35,28.37,5077576,MYL
2013-04-09,28.51,28.75,28.4,28.61,4234145,MYL
2013-04-10,28.7,28.85,28.44,28.55,4870576,MYL
2013-04-11,28.65,29.15,28.53,28.94,4639487,MYL
2013-04-12,28.96,28.99,28.6,28.68,4254141,MYL
2013-04-13,28.85,28.9,28.41,28.49,4770863,MYL
2013-04-14,28.75,28.82,28.23,28.29,5287584,MYL
2013-04-15,28.64,28.73,28.04,28.1,5804306,MYL
2013-04-16,28.18,28.32,28.05,28.3,6217096,MYL
2013-04-17,28.1,28.21,27.81,28.02,4968557,MYL
2013-04-18,28.03,28.09,27.66,27.96,5260646,MYL
2013-04-19,27.93,28.4,27.92,28.34,4756743,MYL
2013-04-20,28.12,28.44,28.0,28.34,4949548,MYL
2013-04-21,28.31,28.47,28.08,28.33,5142353,MYL
2013-04-22,28.5,28.5,28.16,28.33,5335158,MYL
2013-04-23,28.49,28.75,28.39,28.62,4381592,MYL
2013-04-24,28.7,28.81,28.55,28.69,5908094,MYL
2013-04-25,28.82,29.31,28.73,29.28,9660497,MYL
2013-04-26,29.3,29.5,29.17,29.31,6767789,MYL
2013-04-27,29.3,29.5,29.11,29.21,6140092,MYL
2013-04-28,29.3,29.51,29.05,29.11,5512396,MYL
