index,open,high,low,close,volume,Name
2013-02-08,27.6,28.31,27.32,27.91,380107,NCLH
2013-02-09,27.66,28.15,27.36,27.83,445467,NCLH
2013-02-10,27.72,28.0,27.39,27.76,510826,NCLH
2013-02-11,27.78,27.84,27.42,27.68,576186,NCLH
2013-02-12,28.91,29.5,28.24,28.32,1876780,NCLH
2013-02-13,28.81,29.54,28.29,28.92,772492,NCLH
2013-02-14,28.82,29.4,28.6,29.25,431874,NCLH
2013-02-15,29.48,30.41,29.48,30.27,1418622,NCLH
2013-02-16,29.73,30.64,29.72,30.5,1188399,NCLH
2013-02-17,29.98,30.87,29.96,30.73,958176,NCLH
2013-02-18,30.22,31.1,30.2,30.96,727952,NCLH
2013-02-19,30.47,31.33,30.44,31.19,497729,NCLH
2013-02-20,31.19,31.9,30.56,30.8,612603,NCLH
2013-02-21,30.54,31.0,29.76,30.47,481358,NCLH
2013-02-22,30.95,31.31,29.46,29.99,571182,NCLH
2013-02-23,31.08,31.34,29.7,30.25,538019,NCLH
2013-02-24,31.21,31.38,29.94,30.52,504855,NCLH
2013-02-25,31.34,31.41,30.18,30.78,471692,NCLH
2013-02-26,30.81,31.08,29.79,30.21,418210,NCLH
2013-02-27,30.56,30.7,29.83,30.26,294344,NCLH
2013-02-28,30.55,31.08,30.03,30.98,234810,NCLH
2013-03-01,30.5,31.68,30.26,30.99,688121,NCLH
2013-03-02,30.52,31.54,30.26,30.81,550214,NCLH
2013-03-03,30.53,31.39,30.26,30.63,412308,NCLH
2013-03-04,30.55,31.25,30.26,30.45,274401,NCLH
2013-03-05,30.12,30.74,29.85,30.03,365952,NCLH
2013-03-06,30.19,30.4,29.85,30.02,153019,NCLH
2013-03-07,29.85,30.42,29.85,30.29,306776,NCLH
2013-03-08,30.98,30.98,29.12,30.3,679211,NCLH
2013-03-09,30.82,30.88,29.41,30.42,558115,NCLH
2013-03-10,30.66,30.79,29.7,30.54,437019,NCLH
2013-03-11,30.5,30.69,29.99,30.66,315923,NCLH
