index,open,high,low,close,volume,Name
2013-02-08,72.26,72.29,71.92,72.1,1056902,NEE
2013-02-09,72.18,72.27,71.94,72.13,1070278,NEE
2013-02-10,72.09,72.24,71.96,72.15,1083654,NEE
2013-02-11,72.01,72.22,71.98,72.18,1097030,NEE
2013-02-12,72.13,72.56,72.03,72.49,1779632,NEE
2013-02-13,72.58,72.92,72.42,72.55,1501352,NEE
2013-02-14,72.34,72.64,71.84,72.2,1779659,NEE
2013-02-15,72.38,72.6,72.23,72.5,2470268,NEE
2013-02-16,72.46,72.71,72.31,72.6,2504728,NEE
2013-02-17,72.54,72.82,72.39,72.7,2539188,NEE
2013-02-18,72.61,72.93,72.47,72.8,2573648,NEE
2013-02-19,72.69,73.04,72.55,72.9,2608108,NEE
2013-02-20,72.9,73.41,72.84,72.94,5857276,NEE
2013-02-21,73.04,73.08,72.52,72.53,1324890,NEE
2013-02-22,72.6,73.04,72.6,72.75,5997410,NEE
2013-02-23,72.68,73.19,72.46,72.56,6289075,NEE
2013-02-24,72.77,73.35,72.33,72.38,6580741,NEE
2013-02-25,72.85,73.5,72.19,72.19,6872406,NEE
2013-02-26,72.41,72.8,71.93,72.27,6048293,NEE
2013-02-27,71.44,71.97,71.42,71.94,2216917,NEE
2013-02-28,71.88,72.35,71.77,71.87,2104843,NEE
2013-03-01,71.85,72.37,71.51,72.36,2051146,NEE
2013-03-02,71.98,72.83,71.74,72.77,2081090,NEE
2013-03-03,72.1,73.3,71.96,73.18,2111034,NEE
2013-03-04,72.23,73.76,72.19,73.59,2140978,NEE
2013-03-05,73.87,74.21,73.66,73.88,1965444,NEE
2013-03-06,73.95,74.23,73.84,74.17,1409477,NEE
2013-03-07,74.16,74.43,73.82,73.94,1622622,NEE
2013-03-08,74.15,74.29,73.61,74.16,1789609,NEE
2013-03-09,74.1,74.33,73.73,74.17,1705930,NEE
2013-03-10,74.05,74.36,73.86,74.17,1622250,NEE
2013-03-11,74.0,74.4,73.98,74.18,1538571,NEE
2013-03-12,74.26,74.4,72.12,73.1,3759418,NEE
2013-03-13,73.16,73.85,72.67,73.75,2609997,NEE
2013-03-14,73.32,74.05,73.25,74.01,2327534,NEE
2013-03-15,73.67,74.54,73.63,74.47,2855981,NEE
2013-03-16,73.84,74.51,73.74,74.35,2436288,NEE
2013-03-17,74.0,74.48,73.85,74.24,2016594,NEE
2013-03-18,74.17,74.45,73.96,74.12,1596901,NEE
2013-03-19,74.79,75.37,74.74,75.12,2224087,NEE
2013-03-20,75.35,75.81,74.87,75.7,1786673,NEE
2013-03-21,75.5,75.94,75.31,75.59,1849080,NEE
2013-03-22,75.64,76.25,75.44,76.17,1698102,NEE
2013-03-23,75.9,76.48,75.61,76.17,1836977,NEE
2013-03-24,76.16,76.72,75.77,76.18,1975852,NEE
2013-03-25,76.42,76.95,75.94,76.18,2114727,NEE
2013-03-26,76.35,77.2,76.28,77.17,2983045,NEE
2013-03-27,76.79,77.35,76.75,76.88,2255066,NEE
2013-03-28,77.01,77.79,76.98,77.68,1691848,NEE
2013-03-29,77.16,77.76,77.04,77.63,1517684,NEE
2013-03-30,77.31,77.74,77.11,77.58,1343520,NEE
2013-03-31,77.46,77.71,77.18,77.53,1169355,NEE
2013-04-01,77.61,77.68,77.24,77.48,995191,NEE
