index,open,high,low,close,volume,Name
2013-02-08,45.18,45.27,44.77,44.93,4763142,NEM
2013-02-09,44.98,45.07,44.56,44.78,4566080,NEM
2013-02-10,44.77,44.87,44.36,44.64,4369017,NEM
2013-02-11,44.57,44.67,44.15,44.49,4171955,NEM
2013-02-12,44.4,45.3,44.38,45.28,6451123,NEM
2013-02-13,45.26,45.48,44.82,44.85,5481407,NEM
2013-02-14,44.94,45.08,44.38,44.55,7641147,NEM
2013-02-15,43.68,43.8,42.79,43.27,13871631,NEM
2013-02-16,43.53,43.7,42.79,43.18,12423804,NEM
2013-02-17,43.38,43.6,42.79,43.08,10975977,NEM
2013-02-18,43.23,43.49,42.79,42.99,9528150,NEM
2013-02-19,43.08,43.39,42.79,42.9,8080323,NEM
2013-02-20,42.54,42.54,40.44,40.56,14308572,NEM
2013-02-21,40.69,41.48,40.51,40.55,10179962,NEM
2013-02-22,41.56,41.76,40.73,40.82,10384694,NEM
2013-02-23,41.44,41.71,40.75,40.87,9757156,NEM
2013-02-24,41.31,41.65,40.78,40.91,9129617,NEM
2013-02-25,41.19,41.6,40.8,40.96,8502079,NEM
2013-02-26,41.15,41.72,40.83,41.44,9945394,NEM
2013-02-27,41.22,41.25,40.58,40.62,8866508,NEM
2013-02-28,40.64,40.84,40.13,40.29,10848381,NEM
2013-03-01,40.37,40.59,39.56,39.62,9494149,NEM
2013-03-02,40.13,40.31,39.24,39.41,9591810,NEM
2013-03-03,39.88,40.02,38.92,39.21,9689470,NEM
2013-03-04,39.64,39.74,38.6,39.0,9787131,NEM
2013-03-05,39.29,39.35,38.55,38.6,8589398,NEM
2013-03-06,38.58,40.04,38.5,40.01,9567318,NEM
2013-03-07,40.15,40.88,39.88,39.93,7757688,NEM
2013-03-08,39.76,40.08,39.2,39.25,10082288,NEM
2013-03-09,39.58,39.86,39.06,39.13,8554373,NEM
2013-03-10,39.41,39.65,38.91,39.01,7026457,NEM
2013-03-11,39.23,39.43,38.77,38.89,5498542,NEM
2013-03-12,39.34,40.2,39.34,39.66,6664038,NEM
2013-03-13,39.77,39.8,38.88,38.99,7470774,NEM
2013-03-14,38.92,39.65,38.85,39.59,6239732,NEM
2013-03-15,39.54,39.84,39.41,39.68,9673740,NEM
2013-03-16,39.74,40.13,39.6,39.8,8320671,NEM
2013-03-17,39.93,40.41,39.8,39.91,6967603,NEM
2013-03-18,40.13,40.7,39.99,40.03,5614534,NEM
2013-03-19,39.85,40.72,39.8,40.37,6912299,NEM
2013-03-20,40.34,40.64,40.11,40.38,4253259,NEM
2013-03-21,40.63,41.84,40.6,41.45,8801525,NEM
2013-03-22,41.22,41.65,41.14,41.61,4522616,NEM
2013-03-23,41.33,41.64,41.11,41.44,4870084,NEM
2013-03-24,41.45,41.63,41.09,41.26,5217552,NEM
2013-03-25,41.56,41.62,41.06,41.09,5565020,NEM
2013-03-26,40.97,41.13,40.53,41.08,5628163,NEM
2013-03-27,41.13,41.86,40.93,41.74,5638858,NEM
2013-03-28,41.51,41.94,41.34,41.89,6401768,NEM
2013-03-29,41.63,41.96,41.31,41.76,5901475,NEM
2013-03-30,41.76,41.97,41.28,41.64,5401182,NEM
2013-03-31,41.88,41.98,41.25,41.52,4900888,NEM
2013-04-01,42.0,42.0,41.22,41.39,4400595,NEM
2013-04-02,41.0,41.1,39.75,39.83,7969325,NEM
2013-04-03,39.69,40.01,38.32,38.47,11822114,NEM
2013-04-04,38.41,39.28,38.07,39.12,7520524,NEM
2013-04-05,39.76,40.32,39.15,39.37,8503715,NEM
2013-04-06,39.63,40.05,39.01,39.25,7861584,NEM
2013-04-07,39.49,39.79,38.88,39.13,7219453,NEM
2013-04-08,39.36,39.52,38.74,39.01,6577322,NEM
2013-04-09,39.13,40.64,39.02,40.03,8586616,NEM
2013-04-10,39.67,39.85,38.85,38.99,7061311,NEM
2013-04-11,39.07,39.32,38.59,38.65,6476471,NEM
2013-04-12,38.11,38.21,36.35,36.37,14374337,NEM
2013-04-13,36.86,37.05,35.4,35.55,17104521,NEM
2013-04-14,35.61,35.9,34.46,34.74,19834705,NEM
2013-04-15,34.36,34.74,33.51,33.92,22564889,NEM
2013-04-16,34.69,34.84,33.53,33.78,13902075,NEM
2013-04-17,33.66,33.82,32.13,32.36,15992742,NEM
2013-04-18,32.61,33.11,32.2,32.77,11661443,NEM
2013-04-19,33.4,33.57,32.3,32.98,9134649,NEM
2013-04-20,33.41,33.69,32.47,33.12,9322510,NEM
2013-04-21,33.42,33.8,32.63,33.26,9510370,NEM
2013-04-22,33.43,33.92,32.8,33.4,9698231,NEM
2013-04-23,33.12,33.16,31.77,32.43,10156619,NEM
2013-04-24,33.27,34.5,33.05,34.33,10892683,NEM
2013-04-25,34.88,35.13,34.23,34.33,11158257,NEM
2013-04-26,34.5,34.54,33.23,33.47,9656853,NEM
2013-04-27,34.28,34.45,33.37,33.64,8381880,NEM
2013-04-28,34.06,34.36,33.5,33.8,7106906,NEM
2013-04-29,33.84,34.27,33.64,33.97,5831933,NEM
2013-04-30,33.14,33.32,31.33,32.4,17524532,NEM
2013-05-01,32.15,32.97,31.76,32.59,10648878,NEM
2013-05-02,32.79,32.99,32.19,32.66,6347650,NEM
2013-05-03,32.78,33.43,32.7,33.0,6972961,NEM
2013-05-04,32.95,33.45,32.81,33.02,6270365,NEM
2013-05-05,33.12,33.46,32.93,33.05,5567769,NEM
2013-05-06,33.29,33.48,33.04,33.07,4865173,NEM
2013-05-07,32.69,32.74,32.08,32.45,8649118,NEM
2013-05-08,32.87,34.07,32.78,33.91,6976369,NEM
2013-05-09,33.43,34.25,32.94,33.16,7044580,NEM
2013-05-10,32.5,33.12,32.1,33.12,7016830,NEM
2013-05-11,32.65,33.06,32.17,32.95,6280666,NEM
2013-05-12,32.79,33.0,32.24,32.79,5544501,NEM
2013-05-13,32.94,32.94,32.31,32.62,4808337,NEM
2013-05-14,32.54,33.08,32.35,32.51,5165177,NEM
2013-05-15,32.21,32.28,31.44,31.57,9293038,NEM
2013-05-16,31.17,31.91,30.63,31.43,9623309,NEM
2013-05-17,31.27,31.32,30.3,30.63,12116760,NEM
2013-05-18,31.07,31.68,30.34,31.18,11848067,NEM
2013-05-19,30.86,32.03,30.38,31.73,11579375,NEM
2013-05-20,30.66,32.39,30.42,32.28,11310682,NEM
2013-05-21,31.59,32.22,31.39,31.94,8499649,NEM
2013-05-22,32.43,33.12,31.51,31.96,9599777,NEM
2013-05-23,32.42,32.74,31.8,32.22,6921031,NEM
2013-05-24,32.15,32.59,31.64,31.97,6072666,NEM
2013-05-25,32.11,32.61,31.61,31.99,6093861,NEM
2013-05-26,32.08,32.62,31.58,32.01,6115056,NEM
