index,open,high,low,close,volume,Name
2013-02-08,25.96,26.28,25.72,25.85,25649820,NFLX
2013-02-09,25.83,26.19,25.47,25.71,26873807,NFLX
2013-02-10,25.7,26.1,25.22,25.56,28097795,NFLX
2013-02-11,25.57,26.01,24.97,25.41,29321782,NFLX
2013-02-12,25.81,26.22,25.1,25.42,34388802,NFLX
2013-02-13,25.84,26.63,25.67,26.61,40799094,NFLX
2013-02-14,26.76,27.12,26.38,26.77,31968685,NFLX
2013-02-15,26.94,27.14,26.61,27.07,26651786,NFLX
2013-02-16,27.03,27.4,26.75,27.32,28520422,NFLX
2013-02-17,27.11,27.65,26.89,27.57,30389058,NFLX
2013-02-18,27.2,27.91,27.03,27.82,32257694,NFLX
2013-02-19,27.29,28.17,27.16,28.06,34126330,NFLX
2013-02-20,28.23,28.23,26.64,26.73,34992125,NFLX
2013-02-21,26.57,27.46,26.07,26.74,36822583,NFLX
2013-02-22,26.25,26.26,25.49,25.69,38841173,NFLX
2013-02-23,26.12,26.41,25.35,25.67,43279483,NFLX
2013-02-24,25.99,26.57,25.21,25.64,47717794,NFLX
2013-02-25,25.86,26.73,25.06,25.62,52156104,NFLX
2013-02-26,25.8,26.46,25.09,26.3,33878621,NFLX
2013-02-27,26.23,26.57,25.79,26.33,22583071,NFLX
2013-02-28,26.26,27.45,26.22,26.87,34291733,NFLX
2013-03-01,26.73,27.19,26.6,27.05,21448756,NFLX
2013-03-02,26.8,27.18,26.15,26.66,30239288,NFLX
2013-03-03,26.88,27.17,25.69,26.28,39029821,NFLX
2013-03-04,26.95,27.15,25.24,25.89,47820353,NFLX
2013-03-05,26.38,26.47,25.44,25.96,32308045,NFLX
2013-03-06,26.02,26.42,25.65,26.13,17400376,NFLX
2013-03-07,25.71,26.07,25.17,25.94,28692944,NFLX
2013-03-08,26.06,26.55,25.82,26.39,23508898,NFLX
2013-03-09,26.14,26.49,25.73,26.18,22677216,NFLX
2013-03-10,26.21,26.42,25.65,25.98,21845535,NFLX
2013-03-11,26.29,26.36,25.57,25.78,21013853,NFLX
2013-03-12,25.62,26.31,25.61,26.02,21151053,NFLX
2013-03-13,26.77,27.88,26.68,27.48,53814523,NFLX
2013-03-14,27.53,27.53,26.72,26.91,28450744,NFLX
2013-03-15,27.04,27.14,26.36,26.41,20662355,NFLX
2013-03-16,26.66,26.99,26.17,26.44,19790979,NFLX
2013-03-17,26.29,26.83,25.98,26.48,18919602,NFLX
2013-03-18,25.91,26.68,25.79,26.51,18048226,NFLX
2013-03-19,26.57,26.68,25.61,25.91,19868674,NFLX
2013-03-20,26.09,26.26,25.78,26.15,11131960,NFLX
2013-03-21,26.04,26.77,26.0,26.0,18801734,NFLX
2013-03-22,26.16,26.27,25.64,25.9,14187971,NFLX
2013-03-23,26.13,26.31,25.66,25.88,14466842,NFLX
2013-03-24,26.09,26.36,25.67,25.85,14745712,NFLX
2013-03-25,26.06,26.41,25.68,25.83,15024583,NFLX
2013-03-26,26.29,27.52,26.23,27.23,46804100,NFLX
2013-03-27,27.09,28.15,26.9,27.18,40471914,NFLX
2013-03-28,27.25,27.56,26.94,27.04,19584607,NFLX
2013-03-29,27.26,27.51,26.69,26.8,20421796,NFLX
2013-03-30,27.26,27.46,26.43,26.55,21258986,NFLX
2013-03-31,27.27,27.41,26.18,26.31,22096176,NFLX
2013-04-01,27.28,27.36,25.92,26.06,22933365,NFLX
2013-04-02,26.27,26.45,25.16,25.24,32276853,NFLX
2013-04-03,25.29,25.48,23.47,24.25,75354062,NFLX
2013-04-04,23.91,24.3,23.4,23.81,34456926,NFLX
2013-04-05,23.36,24.36,23.22,23.52,32512256,NFLX
2013-04-06,23.47,24.16,23.05,23.45,32256152,NFLX
2013-04-07,23.58,23.96,22.88,23.37,32000047,NFLX
2013-04-08,23.69,23.76,22.71,23.29,31743943,NFLX
2013-04-09,23.36,24.48,23.15,24.19,34045361,NFLX
2013-04-10,24.0,24.21,23.56,23.72,29708994,NFLX
2013-04-11,24.12,24.77,24.12,24.72,32878902,NFLX
2013-04-12,25.28,25.38,24.46,24.74,37795758,NFLX
2013-04-13,25.22,25.6,24.63,24.9,40705264,NFLX
2013-04-14,25.15,25.83,24.8,25.06,43614769,NFLX
2013-04-15,25.08,26.05,24.97,25.21,46524275,NFLX
2013-04-16,25.0,25.39,24.61,25.12,29708945,NFLX
2013-04-17,24.91,25.34,24.04,24.19,27543747,NFLX
2013-04-18,24.43,24.56,23.11,23.4,23109254,NFLX
2013-04-19,23.64,24.17,23.29,23.34,20157452,NFLX
2013-04-20,23.65,24.52,23.42,23.86,41351987,NFLX
2013-04-21,23.66,24.87,23.55,24.39,62546521,NFLX
2013-04-22,23.67,25.21,23.67,24.91,83741056,NFLX
2013-04-23,30.8,31.34,29.93,31.0,114777621,NFLX
2013-04-24,31.09,32.04,30.46,30.96,46890739,NFLX
2013-04-25,31.0,31.26,30.47,30.54,29270563,NFLX
2013-04-26,31.0,31.02,30.36,30.79,21777385,NFLX
2013-04-27,30.98,31.05,30.34,30.77,21446626,NFLX
2013-04-28,30.96,31.08,30.31,30.74,21115866,NFLX
2013-04-29,30.94,31.1,30.29,30.72,20785107,NFLX
2013-04-30,30.66,31.39,30.61,30.87,25070199,NFLX
2013-05-01,30.85,31.06,30.24,30.42,18358578,NFLX
2013-05-02,30.46,30.78,30.03,30.64,18327099,NFLX
2013-05-03,30.83,31.18,30.39,30.49,15431423,NFLX
2013-05-04,30.53,30.9,29.97,30.36,20864424,NFLX
2013-05-05,30.24,30.63,29.56,30.23,26297425,NFLX
2013-05-06,29.95,30.35,29.15,30.1,31730426,NFLX
2013-05-07,29.83,30.07,29.37,29.46,17071985,NFLX
2013-05-08,29.28,30.06,29.22,29.8,17622528,NFLX
2013-05-09,29.72,31.27,29.5,30.92,36105776,NFLX
