index,open,high,low,close,volume,Name
2013-02-08,29.75,30.13,29.56,29.69,1391307,NFX
2013-02-09,29.71,29.96,29.4,29.61,1282125,NFX
2013-02-10,29.67,29.8,29.25,29.53,1172942,NFX
2013-02-11,29.63,29.63,29.09,29.45,1063760,NFX
2013-02-12,29.44,29.63,29.14,29.43,1234051,NFX
2013-02-13,29.56,30.01,29.51,29.79,857807,NFX
2013-02-14,30.48,30.5,28.0,28.11,4595524,NFX
2013-02-15,27.96,27.96,26.9,27.15,3968638,NFX
2013-02-16,27.78,27.88,26.9,27.19,3575366,NFX
2013-02-17,27.59,27.8,26.9,27.22,3182094,NFX
2013-02-18,27.4,27.73,26.9,27.26,2788822,NFX
2013-02-19,27.22,27.65,26.9,27.3,2395550,NFX
2013-02-20,27.2,27.21,24.63,24.75,6528999,NFX
2013-02-21,24.66,24.7,23.86,24.43,3376584,NFX
2013-02-22,24.62,24.99,24.45,24.92,2982566,NFX
2013-02-23,24.78,25.09,24.22,24.54,3042543,NFX
2013-02-24,24.94,25.18,24.0,24.17,3102519,NFX
2013-02-25,25.1,25.28,23.77,23.79,3162496,NFX
2013-02-26,23.94,23.98,22.95,23.54,4870971,NFX
2013-02-27,23.45,23.63,23.18,23.24,2567195,NFX
2013-02-28,23.23,23.46,23.09,23.12,3377020,NFX
2013-03-01,22.97,23.37,22.75,23.06,3832571,NFX
2013-03-02,22.99,23.3,22.55,22.87,3946198,NFX
2013-03-03,23.02,23.23,22.34,22.68,4059824,NFX
2013-03-04,23.04,23.16,22.14,22.49,4173451,NFX
2013-03-05,22.67,22.83,22.5,22.73,2123103,NFX
2013-03-06,22.9,23.29,22.6,23.15,2068915,NFX
2013-03-07,23.19,23.49,22.84,23.33,2201990,NFX
2013-03-08,23.5,23.76,23.21,23.72,1585925,NFX
2013-03-09,23.54,23.85,23.24,23.77,1576871,NFX
2013-03-10,23.59,23.95,23.26,23.82,1567817,NFX
2013-03-11,23.63,24.04,23.29,23.87,1558763,NFX
2013-03-12,23.93,24.03,23.47,23.53,2181413,NFX
2013-03-13,23.58,23.99,23.49,23.84,1778623,NFX
2013-03-14,23.96,24.32,23.87,24.17,1677840,NFX
2013-03-15,24.07,24.72,23.98,24.11,3803452,NFX
2013-03-16,23.96,24.56,23.81,23.94,3129959,NFX
2013-03-17,23.86,24.39,23.64,23.76,2456467,NFX
2013-03-18,23.75,24.23,23.47,23.59,1782974,NFX
2013-03-19,23.64,23.86,23.04,23.39,2053481,NFX
2013-03-20,23.59,23.68,23.16,23.38,1222449,NFX
2013-03-21,23.19,23.59,22.89,22.96,1776649,NFX
2013-03-22,23.01,23.36,22.72,22.86,1755906,NFX
2013-03-23,22.97,23.3,22.64,22.76,1701186,NFX
2013-03-24,22.94,23.24,22.57,22.65,1646467,NFX
2013-03-25,22.9,23.18,22.49,22.55,1591747,NFX
2013-03-26,22.71,22.89,22.51,22.64,1746296,NFX
2013-03-27,22.49,22.58,22.21,22.38,1402385,NFX
2013-03-28,22.3,22.54,22.16,22.42,2044649,NFX
2013-03-29,22.38,22.56,22.02,22.3,2151045,NFX
2013-03-30,22.46,22.57,21.88,22.18,2257441,NFX
2013-03-31,22.53,22.59,21.74,22.05,2363837,NFX
2013-04-01,22.61,22.61,21.6,21.93,2470233,NFX
2013-04-02,22.2,22.21,21.95,22.1,2637503,NFX
2013-04-03,23.3,23.3,21.98,21.99,5395354,NFX
2013-04-04,21.94,21.94,21.36,21.47,2963427,NFX
2013-04-05,21.1,22.21,21.06,22.14,3353932,NFX
2013-04-06,21.45,22.32,21.39,22.22,2840709,NFX
2013-04-07,21.8,22.44,21.71,22.29,2327487,NFX
2013-04-08,22.15,22.55,22.04,22.37,1814264,NFX
2013-04-09,22.37,22.89,22.1,22.72,1902203,NFX
2013-04-10,22.8,22.87,22.25,22.66,1678505,NFX
2013-04-11,22.66,23.0,22.39,22.63,1725904,NFX
2013-04-12,22.45,22.46,21.44,21.7,2295117,NFX
2013-04-13,22.1,22.14,21.01,21.19,2584589,NFX
2013-04-14,21.74,21.81,20.57,20.68,2874061,NFX
2013-04-15,21.39,21.48,20.14,20.17,3163533,NFX
2013-04-16,20.4,20.65,19.87,20.09,3431902,NFX
2013-04-17,19.82,20.52,19.78,20.43,6521792,NFX
2013-04-18,20.44,20.92,20.05,20.79,3176175,NFX
2013-04-19,20.9,20.95,19.79,20.04,3422903,NFX
2013-04-20,20.65,20.73,19.72,20.01,3250336,NFX
2013-04-21,20.4,20.52,19.64,19.98,3077770,NFX
2013-04-22,20.15,20.3,19.57,19.95,2905203,NFX
2013-04-23,20.03,20.26,19.68,19.84,3230624,NFX
2013-04-24,20.54,21.85,20.52,21.31,7814955,NFX
2013-04-25,21.4,22.61,21.23,21.91,4069622,NFX
2013-04-26,22.14,22.54,21.95,22.39,4945835,NFX
2013-04-27,22.28,22.56,21.95,22.26,4136396,NFX
2013-04-28,22.42,22.57,21.96,22.14,3326958,NFX
2013-04-29,22.56,22.59,21.96,22.01,2517519,NFX
