index,open,high,low,close,volume,Name
2013-02-08,24.14,24.18,23.92,24.13,1401019,NRG
2013-02-09,24.11,24.19,23.93,24.13,1498259,NRG
2013-02-10,24.07,24.19,23.93,24.12,1595498,NRG
2013-02-11,24.04,24.19,23.94,24.12,1692738,NRG
2013-02-12,24.15,24.56,24.11,24.24,2572241,NRG
2013-02-13,24.21,24.35,24.04,24.12,2624706,NRG
2013-02-14,24.01,24.21,23.87,23.89,3499290,NRG
2013-02-15,24.0,24.09,23.83,23.94,2998161,NRG
2013-02-16,24.0,24.21,23.86,24.09,3356290,NRG
2013-02-17,24.0,24.32,23.88,24.24,3714420,NRG
2013-02-18,24.0,24.44,23.91,24.38,4072550,NRG
2013-02-19,24.0,24.56,23.94,24.53,4430679,NRG
2013-02-20,24.5,24.5,24.02,24.02,5456082,NRG
2013-02-21,24.0,24.14,23.82,23.95,3000506,NRG
2013-02-22,23.99,24.1,23.88,24.03,2536652,NRG
2013-02-23,24.03,24.19,23.8,23.9,2525190,NRG
2013-02-24,24.06,24.28,23.72,23.78,2513728,NRG
2013-02-25,24.1,24.37,23.64,23.65,2502266,NRG
2013-02-26,23.71,24.01,23.43,23.83,3734311,NRG
2013-02-27,23.82,24.24,23.8,24.0,4475422,NRG
2013-02-28,24.07,24.3,23.85,24.0,6980370,NRG
2013-03-01,24.03,24.28,23.82,24.0,3604926,NRG
2013-03-02,24.02,24.23,23.86,24.04,3647878,NRG
2013-03-03,24.01,24.18,23.89,24.09,3690830,NRG
2013-03-04,24.0,24.13,23.93,24.13,3733782,NRG
2013-03-05,24.27,24.55,24.2,24.48,4710298,NRG
2013-03-06,24.56,24.73,24.46,24.59,5594128,NRG
2013-03-07,24.63,24.77,24.5,24.7,3426571,NRG
2013-03-08,24.74,24.94,24.39,24.88,3725067,NRG
2013-03-09,24.79,25.07,24.54,24.99,3607949,NRG
2013-03-10,24.83,25.19,24.68,25.1,3490831,NRG
2013-03-11,24.88,25.32,24.83,25.21,3373713,NRG
2013-03-12,25.23,25.38,25.03,25.33,3786531,NRG
2013-03-13,25.35,25.54,25.24,25.37,3101000,NRG
2013-03-14,25.44,25.87,25.33,25.87,4908844,NRG
2013-03-15,25.78,26.34,25.66,26.09,5850030,NRG
2013-03-16,25.82,26.36,25.7,26.1,5255831,NRG
2013-03-17,25.86,26.38,25.74,26.1,4661633,NRG
2013-03-18,25.9,26.4,25.78,26.11,4067434,NRG
2013-03-19,26.15,26.24,25.79,25.97,3375820,NRG
2013-03-20,26.1,26.13,25.92,25.98,5770145,NRG
2013-03-21,25.86,26.13,25.72,25.73,2822917,NRG
2013-03-22,25.75,25.94,25.59,25.78,2072575,NRG
2013-03-23,25.81,25.98,25.56,25.75,2379930,NRG
2013-03-24,25.86,26.01,25.53,25.72,2687284,NRG
2013-03-25,25.92,26.04,25.5,25.69,2994639,NRG
2013-03-26,25.87,25.97,25.62,25.8,3035043,NRG
2013-03-27,25.62,26.25,25.59,26.24,3672117,NRG
2013-03-28,26.3,26.51,26.22,26.49,3762177,NRG
2013-03-29,26.33,26.52,26.24,26.49,3321462,NRG
2013-03-30,26.36,26.52,26.26,26.49,2880748,NRG
2013-03-31,26.38,26.53,26.28,26.5,2440033,NRG
2013-04-01,26.41,26.54,26.3,26.5,1999318,NRG
2013-04-02,26.6,26.88,26.53,26.62,3315562,NRG
2013-04-03,26.69,26.7,26.23,26.35,3452850,NRG
2013-04-04,26.33,26.64,26.26,26.39,2353998,NRG
2013-04-05,26.09,26.55,26.07,26.35,2030504,NRG
2013-04-06,26.2,26.62,26.13,26.49,1989146,NRG
2013-04-07,26.31,26.7,26.2,26.62,1947787,NRG
2013-04-08,26.42,26.77,26.26,26.76,1906429,NRG
2013-04-09,26.82,27.09,26.68,26.93,2955443,NRG
2013-04-10,27.07,27.2,26.97,27.2,3987572,NRG
2013-04-11,27.15,27.32,26.98,27.27,3073065,NRG
2013-04-12,27.11,27.24,26.96,27.14,1665667,NRG
2013-04-13,27.09,27.19,26.77,26.89,1949824,NRG
2013-04-14,27.06,27.15,26.57,26.63,2233981,NRG
2013-04-15,27.04,27.1,26.38,26.38,2518138,NRG
2013-04-16,26.58,26.82,26.45,26.77,2085283,NRG
2013-04-17,26.64,26.64,26.21,26.4,3149820,NRG
2013-04-18,26.44,26.81,26.23,26.64,3175904,NRG
2013-04-19,26.86,27.27,26.78,27.26,3622732,NRG
2013-04-20,27.01,27.33,26.87,27.31,3132040,NRG
2013-04-21,27.15,27.4,26.95,27.36,2641349,NRG
2013-04-22,27.3,27.46,27.04,27.41,2150657,NRG
2013-04-23,27.47,27.59,27.34,27.48,2190826,NRG
2013-04-24,27.57,27.92,27.36,27.88,2769129,NRG
2013-04-25,27.99,28.17,27.79,27.98,3197518,NRG
2013-04-26,27.93,28.02,27.77,27.92,2052873,NRG
2013-04-27,27.92,28.07,27.79,27.93,2211424,NRG
2013-04-28,27.9,28.13,27.82,27.93,2369976,NRG
2013-04-29,27.89,28.18,27.84,27.94,2528527,NRG
2013-04-30,28.0,28.1,27.69,27.87,2968321,NRG
2013-05-01,27.86,27.97,27.55,27.6,3181876,NRG
2013-05-02,27.69,27.75,27.04,27.15,4137904,NRG
2013-05-03,27.34,27.71,27.3,27.61,2920747,NRG
2013-05-04,27.44,27.73,27.32,27.62,3097581,NRG
2013-05-05,27.54,27.74,27.35,27.63,3274415,NRG
2013-05-06,27.64,27.76,27.37,27.64,3451249,NRG
2013-05-07,27.66,27.72,27.16,27.39,5375482,NRG
2013-05-08,27.32,27.4,26.94,27.22,3773991,NRG
2013-05-09,27.21,27.3,26.81,26.87,3484088,NRG
2013-05-10,26.93,27.2,26.7,27.18,3380189,NRG
2013-05-11,26.98,27.25,26.81,27.19,3020310,NRG
2013-05-12,27.02,27.29,26.92,27.19,2660432,NRG
2013-05-13,27.07,27.34,27.03,27.2,2300553,NRG
2013-05-14,27.2,27.7,27.2,27.67,2837572,NRG
2013-05-15,27.56,28.17,27.49,28.01,4436587,NRG
2013-05-16,27.88,28.04,27.68,27.72,3247531,NRG
2013-05-17,27.74,28.13,27.72,28.01,3103485,NRG
2013-05-18,27.82,28.2,27.8,28.04,3284850,NRG
2013-05-19,27.89,28.27,27.88,28.06,3466214,NRG
2013-05-20,27.97,28.34,27.96,28.09,3647579,NRG
2013-05-21,28.07,28.31,27.94,28.18,2029206,NRG
2013-05-22,28.11,28.67,27.65,27.77,2940740,NRG
2013-05-23,27.57,27.93,27.23,27.81,4004009,NRG
2013-05-24,27.65,27.65,27.01,27.17,3061069,NRG
2013-05-25,27.44,27.45,26.69,26.92,4968590,NRG
2013-05-26,27.22,27.24,26.37,26.67,6876112,NRG
2013-05-27,27.01,27.04,26.05,26.42,8783634,NRG
2013-05-28,26.8,26.84,25.73,26.17,10691155,NRG
2013-05-29,26.07,26.09,25.65,25.92,4609146,NRG
2013-05-30,25.99,26.3,25.63,25.68,3934093,NRG
2013-05-31,25.56,26.07,25.52,25.52,2740103,NRG
2013-06-01,25.54,25.94,25.42,25.52,2887461,NRG
2013-06-02,25.51,25.82,25.31,25.53,3034819,NRG
2013-06-03,25.49,25.69,25.21,25.53,3182177,NRG
2013-06-04,25.43,25.47,24.93,25.19,5156876,NRG
2013-06-05,25.14,25.3,24.93,25.24,3014025,NRG
2013-06-06,25.26,25.78,25.24,25.65,3835012,NRG
2013-06-07,26.74,27.34,26.26,27.1,6391290,NRG
2013-06-08,26.88,27.37,26.54,27.21,5597335,NRG
2013-06-09,27.03,27.41,26.82,27.32,4803379,NRG
2013-06-10,27.17,27.44,27.1,27.43,4009424,NRG
2013-06-11,27.21,27.55,27.09,27.12,4087689,NRG
2013-06-12,27.2,27.31,26.34,26.44,3322614,NRG
2013-06-13,26.41,26.79,26.03,26.69,3960002,NRG
2013-06-14,26.62,27.02,26.62,27.0,2087229,NRG
