index,open,high,low,close,volume,Name
2013-02-08,68.85,69.16,68.6,69.0,1178078,NSC
2013-02-09,68.96,69.67,68.78,69.52,1557036,NSC
2013-02-10,69.08,70.18,68.97,70.05,1935994,NSC
2013-02-11,69.19,70.69,69.15,70.57,2314952,NSC
2013-02-12,70.48,71.65,70.1,71.64,2820360,NSC
2013-02-13,71.76,72.75,71.51,71.88,2022523,NSC
2013-02-14,71.52,72.0,71.19,71.97,1497613,NSC
2013-02-15,71.84,71.85,71.15,71.5,1934730,NSC
2013-02-16,71.85,72.2,71.28,71.92,2067840,NSC
2013-02-17,71.87,72.56,71.42,72.35,2200949,NSC
2013-02-18,71.88,72.91,71.55,72.78,2334058,NSC
2013-02-19,71.89,73.26,71.68,73.2,2467168,NSC
2013-02-20,73.11,73.42,72.14,72.25,2386162,NSC
2013-02-21,72.25,72.54,71.4,71.55,2548883,NSC
2013-02-22,71.69,73.31,71.39,73.11,2338200,NSC
2013-02-23,72.24,73.37,71.4,72.55,2455717,NSC
2013-02-24,72.8,73.44,71.42,72.0,2573234,NSC
2013-02-25,73.35,73.5,71.43,71.44,2690751,NSC
2013-02-26,71.58,71.67,70.83,71.34,1879107,NSC
2013-02-27,71.33,73.04,71.16,72.7,2927140,NSC
2013-02-28,72.86,73.79,72.62,73.05,2421477,NSC
2013-03-01,72.61,74.1,72.21,73.75,3253219,NSC
2013-03-02,72.91,74.2,72.54,73.92,2979346,NSC
2013-03-03,73.21,74.3,72.88,74.1,2705474,NSC
2013-03-04,73.51,74.4,73.21,74.27,2431601,NSC
2013-03-05,74.5,75.44,74.33,75.29,2617272,NSC
2013-03-06,75.49,75.71,74.04,74.4,1872228,NSC
2013-03-07,74.53,74.54,73.1,73.39,2507322,NSC
2013-03-08,73.84,74.93,73.84,74.77,2204239,NSC
2013-03-09,74.09,75.03,74.07,74.85,2052624,NSC
2013-03-10,74.35,75.12,74.31,74.94,1901010,NSC
2013-03-11,74.6,75.22,74.54,75.02,1749395,NSC
2013-03-12,75.0,75.32,74.15,74.48,1484912,NSC
2013-03-13,74.67,74.81,73.89,74.3,1774322,NSC
2013-03-14,74.55,75.06,74.06,75.06,1414822,NSC
2013-03-15,74.84,75.62,74.54,75.62,2777077,NSC
2013-03-16,74.84,75.68,74.6,75.45,2442707,NSC
2013-03-17,74.84,75.75,74.67,75.28,2108336,NSC
2013-03-18,74.84,75.81,74.73,75.11,1773966,NSC
2013-03-19,75.7,76.05,74.6,75.45,1436410,NSC
2013-03-20,75.76,76.26,75.61,76.02,1710548,NSC
2013-03-21,75.64,76.06,74.75,74.86,1997885,NSC
2013-03-22,75.0,75.48,74.45,74.65,2107172,NSC
2013-03-23,75.06,75.44,74.32,74.56,2225329,NSC
2013-03-24,75.12,75.4,74.18,74.47,2343486,NSC
2013-03-25,75.18,75.36,74.05,74.38,2461643,NSC
2013-03-26,74.85,75.75,74.69,75.75,1474254,NSC
2013-03-27,75.18,76.43,74.82,76.28,1590132,NSC
2013-03-28,76.5,77.42,76.04,77.08,1795808,NSC
2013-03-29,76.61,77.31,76.03,76.84,1760754,NSC
2013-03-30,76.72,77.21,76.02,76.6,1725701,NSC
2013-03-31,76.83,77.1,76.01,76.36,1690648,NSC
2013-04-01,76.94,77.0,76.0,76.12,1655594,NSC
2013-04-02,76.57,77.33,76.0,76.25,1578050,NSC
2013-04-03,76.31,76.55,74.82,75.16,2421137,NSC
2013-04-04,74.41,74.64,73.29,73.86,4070254,NSC
2013-04-05,72.73,74.8,72.26,74.52,3132976,NSC
2013-04-06,73.3,75.03,72.95,74.8,2634699,NSC
2013-04-07,73.88,75.26,73.65,75.08,2136422,NSC
2013-04-08,74.45,75.49,74.34,75.36,1638145,NSC
2013-04-09,75.4,75.75,74.35,74.38,2613391,NSC
2013-04-10,74.73,75.84,74.63,75.83,1816802,NSC
2013-04-11,75.64,76.53,75.11,76.19,2032585,NSC
2013-04-12,76.77,78.08,76.38,76.81,2193423,NSC
2013-04-13,76.61,77.49,75.61,75.91,2514045,NSC
2013-04-14,76.44,76.9,74.85,75.01,2834666,NSC
2013-04-15,76.28,76.31,74.08,74.11,3155288,NSC
2013-04-16,74.69,76.03,74.38,75.87,1919036,NSC
