index,open,high,low,close,volume,Name
2013-02-08,52.64,52.76,52.47,52.7,925126,NTRS
2013-02-09,52.66,52.78,52.42,52.7,869818,NTRS
2013-02-10,52.67,52.8,52.38,52.69,814511,NTRS
2013-02-11,52.69,52.82,52.33,52.69,759203,NTRS
2013-02-12,52.82,53.13,52.64,52.93,1661380,NTRS
2013-02-13,52.95,53.48,52.85,53.22,842196,NTRS
2013-02-14,52.92,53.18,52.7,53.09,1232834,NTRS
2013-02-15,53.21,53.73,52.9,53.47,1688279,NTRS
2013-02-16,53.32,53.79,53.0,53.58,1545778,NTRS
2013-02-17,53.42,53.84,53.11,53.69,1403276,NTRS
2013-02-18,53.53,53.9,53.22,53.8,1260774,NTRS
2013-02-19,53.63,53.96,53.32,53.91,1118273,NTRS
2013-02-20,53.81,53.94,53.19,53.26,1036681,NTRS
2013-02-21,53.2,53.2,52.39,52.52,955189,NTRS
2013-02-22,52.8,53.25,52.77,53.23,775259,NTRS
2013-02-23,53.03,53.4,52.57,52.88,912799,NTRS
2013-02-24,53.26,53.54,52.37,52.53,1050340,NTRS
2013-02-25,53.49,53.69,52.17,52.18,1187880,NTRS
2013-02-26,52.43,52.75,51.92,52.48,920019,NTRS
2013-02-27,52.54,53.38,52.41,53.29,834151,NTRS
2013-02-28,53.12,53.53,52.82,53.19,1018451,NTRS
2013-03-01,53.05,53.42,52.48,53.28,766607,NTRS
2013-03-02,53.15,53.57,52.71,53.47,790464,NTRS
2013-03-03,53.25,53.73,52.93,53.65,814320,NTRS
2013-03-04,53.35,53.88,53.16,53.84,838177,NTRS
2013-03-05,54.0,54.83,54.0,54.37,1248337,NTRS
2013-03-06,54.22,54.56,53.9,54.05,1125796,NTRS
2013-03-07,54.09,54.46,53.84,54.41,702351,NTRS
2013-03-08,54.76,54.99,54.44,54.93,953873,NTRS
2013-03-09,54.76,55.03,54.47,54.99,943937,NTRS
2013-03-10,54.75,55.07,54.51,55.04,934002,NTRS
2013-03-11,54.75,55.11,54.54,55.1,924066,NTRS
2013-03-12,55.04,55.08,54.67,54.79,713222,NTRS
2013-03-13,54.87,54.96,54.45,54.85,901160,NTRS
2013-03-14,55.01,55.45,54.91,55.19,995191,NTRS
2013-03-15,55.27,55.5,54.5,54.55,2950936,NTRS
2013-03-16,54.9,55.21,54.28,54.45,2360535,NTRS
2013-03-17,54.52,54.91,54.05,54.35,1770134,NTRS
2013-03-18,54.15,54.62,53.83,54.25,1179733,NTRS
2013-03-19,54.5,54.5,53.54,53.99,1264224,NTRS
2013-03-20,54.43,54.76,54.0,54.55,1092482,NTRS
2013-03-21,54.14,54.28,53.54,53.81,1725817,NTRS
2013-03-22,53.89,54.84,53.67,54.77,1273843,NTRS
2013-03-23,54.27,54.94,53.75,54.65,1215680,NTRS
2013-03-24,54.66,55.04,53.83,54.54,1157517,NTRS
2013-03-25,55.04,55.14,53.91,54.42,1099354,NTRS
2013-03-26,54.78,54.92,54.23,54.86,977394,NTRS
2013-03-27,54.44,54.8,54.19,54.65,860537,NTRS
2013-03-28,54.64,54.64,54.24,54.56,812069,NTRS
2013-03-29,54.58,54.71,54.24,54.51,841359,NTRS
2013-03-30,54.51,54.78,54.24,54.47,870649,NTRS
2013-03-31,54.44,54.86,54.24,54.42,899939,NTRS
2013-04-01,54.38,54.93,54.24,54.38,929229,NTRS
2013-04-02,54.5,55.13,54.33,54.78,1281415,NTRS
2013-04-03,54.83,54.93,53.98,54.24,2635754,NTRS
2013-04-04,54.24,54.66,54.07,54.34,686817,NTRS
2013-04-05,53.62,53.83,53.16,53.76,972188,NTRS
2013-04-06,53.63,54.09,53.29,54.03,1026763,NTRS
2013-04-07,53.63,54.36,53.43,54.31,1081339,NTRS
2013-04-08,53.64,54.62,53.56,54.58,1135914,NTRS
2013-04-09,54.61,55.04,54.57,54.75,918134,NTRS
2013-04-10,54.82,55.94,54.61,55.63,1172314,NTRS
2013-04-11,55.86,56.66,55.36,56.09,1292565,NTRS
2013-04-12,55.69,56.05,55.44,55.64,993265,NTRS
2013-04-13,55.63,55.94,54.89,55.03,1163281,NTRS
2013-04-14,55.56,55.84,54.35,54.42,1333296,NTRS
2013-04-15,55.5,55.73,53.8,53.81,1503312,NTRS
2013-04-16,53.2,54.18,52.25,53.4,2874415,NTRS
2013-04-17,52.87,53.46,52.18,52.73,1550098,NTRS
2013-04-18,52.93,52.99,51.93,51.99,1727517,NTRS
2013-04-19,52.34,52.55,51.96,52.5,1498329,NTRS
2013-04-20,52.41,52.61,51.94,52.45,1522305,NTRS
2013-04-21,52.47,52.68,51.92,52.4,1546282,NTRS
2013-04-22,52.54,52.74,51.9,52.35,1570258,NTRS
2013-04-23,52.76,52.97,52.23,52.86,1394925,NTRS
2013-04-24,52.77,52.98,52.48,52.91,1390715,NTRS
2013-04-25,53.0,53.56,52.92,53.12,1180749,NTRS
2013-04-26,53.06,53.48,52.54,52.89,904485,NTRS
2013-04-27,53.11,53.46,52.67,53.04,988592,NTRS
2013-04-28,53.17,53.44,52.81,53.19,1072698,NTRS
2013-04-29,53.22,53.42,52.94,53.34,1156805,NTRS
2013-04-30,53.34,54.0,53.24,53.92,1220338,NTRS
2013-05-01,53.88,53.98,53.13,53.18,1186145,NTRS
2013-05-02,53.23,53.77,53.04,53.21,1037557,NTRS
2013-05-03,53.59,53.94,53.53,53.6,1682364,NTRS
2013-05-04,53.56,53.97,53.51,53.68,1661850,NTRS
2013-05-05,53.54,53.99,53.5,53.76,1641337,NTRS
2013-05-06,53.51,54.02,53.48,53.84,1620823,NTRS
2013-05-07,53.99,54.33,53.83,54.2,999752,NTRS
2013-05-08,54.14,54.49,53.95,54.38,825452,NTRS
2013-05-09,54.49,54.63,54.25,54.54,1046492,NTRS
2013-05-10,54.67,54.67,54.11,54.43,1649998,NTRS
2013-05-11,54.6,54.98,54.18,54.66,1747783,NTRS
2013-05-12,54.53,55.3,54.24,54.88,1845569,NTRS
2013-05-13,54.46,55.61,54.31,55.11,1943354,NTRS
2013-05-14,55.26,56.76,55.14,56.67,1724413,NTRS
2013-05-15,56.47,57.19,56.32,57.06,1321373,NTRS
2013-05-16,56.87,57.81,56.87,57.18,1418378,NTRS
2013-05-17,57.43,58.37,57.31,58.27,1291252,NTRS
2013-05-18,57.57,58.47,57.43,58.26,1299221,NTRS
2013-05-19,57.72,58.56,57.55,58.24,1307191,NTRS
2013-05-20,57.86,58.66,57.67,58.23,1315160,NTRS
2013-05-21,58.4,58.57,57.89,57.96,1386791,NTRS
2013-05-22,58.13,58.53,57.49,57.6,1081442,NTRS
2013-05-23,57.39,57.71,56.77,57.11,1283937,NTRS
2013-05-24,57.0,57.46,56.8,57.31,949972,NTRS
2013-05-25,57.27,57.9,57.08,57.69,1245873,NTRS
2013-05-26,57.54,58.34,57.36,58.08,1541774,NTRS
2013-05-27,57.81,58.79,57.63,58.46,1837676,NTRS
2013-05-28,58.08,59.23,57.91,58.84,2133577,NTRS
2013-05-29,58.35,59.33,58.35,58.57,1979705,NTRS
2013-05-30,58.72,59.21,58.52,58.84,1459778,NTRS
2013-05-31,58.52,59.2,58.12,58.15,2022554,NTRS
2013-06-01,58.52,59.01,57.8,58.23,1826774,NTRS
2013-06-02,58.53,58.81,57.47,58.3,1630994,NTRS
2013-06-03,58.53,58.62,57.15,58.38,1435214,NTRS
2013-06-04,58.19,58.61,57.54,57.81,1244077,NTRS
2013-06-05,57.34,57.56,56.53,56.69,1170485,NTRS
2013-06-06,56.8,57.47,56.4,57.45,1353444,NTRS
2013-06-07,57.78,58.28,57.44,58.23,949436,NTRS
2013-06-08,57.99,58.44,57.67,58.36,952083,NTRS
2013-06-09,58.19,58.6,57.89,58.5,954731,NTRS
2013-06-10,58.4,58.76,58.12,58.63,957378,NTRS
2013-06-11,57.96,58.52,57.4,57.49,1036738,NTRS
2013-06-12,57.89,57.98,56.76,56.8,870272,NTRS
2013-06-13,56.56,57.69,56.51,57.66,937070,NTRS
2013-06-14,57.7,57.73,56.73,57.12,837575,NTRS
2013-06-15,57.66,57.89,56.94,57.43,1047248,NTRS
2013-06-16,57.63,58.04,57.14,57.74,1256920,NTRS
2013-06-17,57.59,58.2,57.35,58.05,1466593,NTRS
2013-06-18,58.11,58.4,57.84,58.36,1262593,NTRS
2013-06-19,58.21,59.09,57.82,57.9,1995933,NTRS
2013-06-20,57.47,58.79,57.34,58.11,3001443,NTRS
2013-06-21,58.69,58.82,57.51,57.99,2570328,NTRS
2013-06-22,58.31,58.43,57.27,57.69,2246768,NTRS
2013-06-23,57.92,58.05,57.03,57.38,1923208,NTRS
2013-06-24,57.54,57.66,56.79,57.08,1599648,NTRS
2013-06-25,57.53,57.98,57.08,57.15,2699235,NTRS
2013-06-26,57.64,57.79,57.2,57.3,2040802,NTRS
2013-06-27,57.74,58.36,57.65,58.31,1667175,NTRS
2013-06-28,58.02,58.57,57.51,57.9,2903614,NTRS
2013-06-29,58.06,58.93,57.72,58.19,2401497,NTRS
2013-06-30,58.09,59.29,57.92,58.47,1899380,NTRS
2013-07-01,58.13,59.65,58.13,58.76,1397263,NTRS
2013-07-02,58.46,59.19,58.08,58.63,1315276,NTRS
2013-07-03,58.3,58.85,58.04,58.83,366912,NTRS
2013-07-04,58.82,59.62,58.57,59.58,730684,NTRS
2013-07-05,59.34,60.38,59.1,60.34,1094457,NTRS
2013-07-06,59.73,60.48,59.41,60.43,1013921,NTRS
2013-07-07,60.13,60.57,59.73,60.51,933386,NTRS
2013-07-08,60.52,60.67,60.04,60.6,852850,NTRS
2013-07-09,61.01,61.19,60.37,61.13,1354086,NTRS
2013-07-10,61.0,61.36,60.78,61.16,1036263,NTRS
2013-07-11,61.74,61.84,60.58,60.89,1116118,NTRS
2013-07-12,60.89,61.53,60.89,61.51,782662,NTRS
2013-07-13,61.14,61.62,61.04,61.58,720749,NTRS
2013-07-14,61.4,61.7,61.19,61.66,658836,NTRS
2013-07-15,61.65,61.79,61.34,61.73,596923,NTRS
2013-07-16,62.02,62.02,60.69,60.75,1309567,NTRS
2013-07-17,59.38,60.1,58.52,59.41,2670826,NTRS
2013-07-18,58.94,59.39,58.13,59.13,3038609,NTRS
2013-07-19,59.49,59.49,58.62,59.14,2083428,NTRS
2013-07-20,59.3,59.54,58.69,59.23,1746563,NTRS
2013-07-21,59.12,59.58,58.75,59.33,1409699,NTRS
2013-07-22,58.93,59.63,58.82,59.42,1072834,NTRS
2013-07-23,59.56,60.44,59.49,60.11,1858479,NTRS
2013-07-24,60.15,60.15,58.98,59.11,1155684,NTRS
2013-07-25,58.86,59.48,58.71,59.15,1164486,NTRS
2013-07-26,58.64,59.0,58.49,58.96,784659,NTRS
2013-07-27,58.63,59.11,58.41,58.77,786125,NTRS
2013-07-28,58.61,59.23,58.34,58.58,787591,NTRS
2013-07-29,58.6,59.34,58.26,58.39,789057,NTRS
