index,open,high,low,close,volume,Name
2013-02-08,24.14,24.39,24.09,24.14,2256865,NWL
2013-02-09,24.11,24.39,24.04,24.07,2491195,NWL
2013-02-10,24.09,24.4,23.99,24.01,2725525,NWL
2013-02-11,24.06,24.4,23.94,23.94,2959855,NWL
2013-02-12,23.85,24.19,23.8,24.19,2011292,NWL
2013-02-13,24.03,24.17,23.92,24.03,2284028,NWL
2013-02-14,24.02,24.32,23.86,24.28,2082589,NWL
2013-02-15,24.24,24.51,24.05,24.18,2772809,NWL
2013-02-16,24.22,24.44,23.98,24.16,3199441,NWL
2013-02-17,24.2,24.36,23.9,24.14,3626073,NWL
2013-02-18,24.18,24.29,23.83,24.11,4052705,NWL
2013-02-19,24.16,24.22,23.76,24.09,4479337,NWL
2013-02-20,24.09,24.09,23.57,23.6,4238567,NWL
2013-02-21,23.64,23.68,23.31,23.39,4582936,NWL
2013-02-22,23.42,23.5,23.23,23.48,3553215,NWL
2013-02-23,23.47,23.53,23.1,23.27,3624021,NWL
2013-02-24,23.53,23.56,22.97,23.05,3694827,NWL
2013-02-25,23.58,23.59,22.84,22.84,3765633,NWL
2013-02-26,22.86,22.9,22.46,22.77,1891855,NWL
2013-02-27,22.8,23.47,22.77,23.36,3223386,NWL
2013-02-28,23.4,23.64,23.34,23.34,2871345,NWL
2013-03-01,23.25,23.48,23.06,23.3,2645193,NWL
2013-03-02,23.27,23.5,23.1,23.36,3059746,NWL
2013-03-03,23.29,23.53,23.15,23.41,3474300,NWL
2013-03-04,23.31,23.55,23.19,23.47,3888853,NWL
2013-03-05,23.58,23.77,23.46,23.69,2987506,NWL
2013-03-06,23.78,24.05,23.64,23.94,2728797,NWL
2013-03-07,24.03,24.17,23.99,24.01,2349027,NWL
2013-03-08,24.15,25.0,24.1,24.94,6049629,NWL
2013-03-09,24.41,25.07,24.38,25.01,5243160,NWL
2013-03-10,24.68,25.15,24.65,25.08,4436691,NWL
2013-03-11,24.94,25.22,24.93,25.15,3630222,NWL
2013-03-12,25.08,25.28,24.99,25.22,3608388,NWL
2013-03-13,25.16,25.39,25.09,25.35,2096548,NWL
2013-03-14,25.35,25.84,25.33,25.84,4057441,NWL
2013-03-15,25.77,25.84,25.46,25.51,2974580,NWL
2013-03-16,25.61,25.73,25.38,25.5,2775016,NWL
2013-03-17,25.45,25.62,25.29,25.49,2575451,NWL
2013-03-18,25.29,25.51,25.21,25.48,2375887,NWL
2013-03-19,25.54,25.71,25.26,25.41,3046486,NWL
2013-03-20,25.57,25.68,25.32,25.52,2931997,NWL
2013-03-21,25.41,25.61,25.25,25.27,3614706,NWL
2013-03-22,25.34,25.36,25.21,25.27,1991088,NWL
2013-03-23,25.34,25.4,25.15,25.24,1935609,NWL
2013-03-24,25.33,25.44,25.09,25.22,1880130,NWL
2013-03-25,25.33,25.48,25.04,25.19,1824651,NWL
2013-03-26,25.27,25.65,25.27,25.59,1613031,NWL
2013-03-27,25.53,25.71,25.34,25.67,1466565,NWL
2013-03-28,25.66,26.11,25.58,26.1,3349085,NWL
2013-03-29,25.78,26.16,25.65,26.06,3095012,NWL
2013-03-30,25.9,26.2,25.73,26.02,2840938,NWL
2013-03-31,26.03,26.24,25.8,25.97,2586864,NWL
2013-04-01,26.15,26.29,25.88,25.93,2332791,NWL
2013-04-02,25.99,26.25,25.77,25.84,2203589,NWL
2013-04-03,25.8,25.92,25.05,25.17,3462520,NWL
2013-04-04,25.12,25.38,25.05,25.25,2552350,NWL
2013-04-05,25.09,25.26,24.9,25.0,5526425,NWL
2013-04-06,25.06,25.28,24.93,25.09,4304570,NWL
2013-04-07,25.03,25.29,24.97,25.17,3082716,NWL
2013-04-08,25.0,25.31,25.0,25.26,1860861,NWL
2013-04-09,25.33,25.38,25.15,25.29,1490649,NWL
2013-04-10,25.32,25.57,25.16,25.4,2547659,NWL
2013-04-11,25.44,25.86,25.36,25.69,2065297,NWL
2013-04-12,25.6,25.79,25.51,25.65,2147683,NWL
2013-04-13,25.57,25.76,25.4,25.5,2353233,NWL
2013-04-14,25.54,25.72,25.28,25.36,2558784,NWL
2013-04-15,25.51,25.69,25.17,25.21,2764334,NWL
2013-04-16,25.44,25.75,25.32,25.73,1535199,NWL
2013-04-17,25.59,25.66,25.02,25.35,2239224,NWL
2013-04-18,25.43,25.94,25.28,25.84,3428345,NWL
2013-04-19,25.91,26.58,25.81,26.37,2841209,NWL
2013-04-20,26.07,26.64,25.95,26.47,2644956,NWL
2013-04-21,26.24,26.69,26.09,26.58,2448702,NWL
2013-04-22,26.4,26.75,26.23,26.68,2252449,NWL
2013-04-23,26.8,26.95,26.45,26.76,3763870,NWL
2013-04-24,26.7,26.78,26.29,26.52,3040772,NWL
2013-04-25,26.67,26.96,26.66,26.78,1810222,NWL
2013-04-26,26.81,26.84,26.4,26.45,2470773,NWL
2013-04-27,26.7,26.79,26.37,26.42,2146032,NWL
2013-04-28,26.58,26.73,26.34,26.4,1821292,NWL
2013-04-29,26.47,26.68,26.31,26.37,1496551,NWL
2013-04-30,26.32,26.46,26.27,26.34,1813404,NWL
2013-05-01,26.35,26.44,25.9,26.1,3039792,NWL
2013-05-02,26.17,26.51,26.08,26.39,5869019,NWL
2013-05-03,26.78,27.0,26.54,26.57,4869180,NWL
2013-05-04,26.69,26.89,26.44,26.54,4405229,NWL
2013-05-05,26.61,26.79,26.33,26.52,3941278,NWL
2013-05-06,26.52,26.68,26.23,26.49,3477327,NWL
2013-05-07,26.59,26.81,26.54,26.78,3495557,NWL
2013-05-08,26.78,27.14,26.7,27.02,2451763,NWL
2013-05-09,27.04,27.18,26.68,26.79,2699891,NWL
2013-05-10,26.75,27.63,26.65,27.58,3721904,NWL
2013-05-11,27.01,27.62,26.85,27.55,3150394,NWL
2013-05-12,27.28,27.62,27.06,27.51,2578885,NWL
2013-05-13,27.54,27.61,27.26,27.48,2007375,NWL
2013-05-14,27.48,27.91,27.46,27.9,2238488,NWL
2013-05-15,27.87,28.38,27.76,28.21,1956511,NWL
2013-05-16,28.06,28.31,27.84,27.95,2583561,NWL
2013-05-17,28.0,28.18,27.92,28.05,1475596,NWL
2013-05-18,27.98,28.28,27.93,28.1,2180094,NWL
2013-05-19,27.97,28.37,27.93,28.15,2884592,NWL
2013-05-20,27.95,28.47,27.94,28.2,3589090,NWL
2013-05-21,28.18,28.29,27.88,28.11,2085006,NWL
2013-05-22,28.09,28.3,27.47,27.64,3461878,NWL
2013-05-23,27.33,27.57,27.25,27.42,2531283,NWL
2013-05-24,27.21,27.48,27.06,27.39,1793851,NWL
2013-05-25,27.33,27.55,27.16,27.43,1717728,NWL
2013-05-26,27.44,27.62,27.26,27.48,1641606,NWL
2013-05-27,27.56,27.69,27.36,27.52,1565483,NWL
2013-05-28,27.68,27.76,27.46,27.56,1489360,NWL
2013-05-29,27.2,27.29,27.0,27.03,1949919,NWL
2013-05-30,27.13,27.35,27.1,27.13,1277391,NWL
2013-05-31,27.0,27.28,26.78,27.04,2478767,NWL
2013-06-01,27.01,27.26,26.73,27.05,3007248,NWL
2013-06-02,27.02,27.23,26.68,27.07,3535730,NWL
2013-06-03,27.03,27.2,26.62,27.08,4064211,NWL
2013-06-04,27.03,27.17,26.78,26.9,4329567,NWL
2013-06-05,26.79,26.91,26.34,26.43,2121259,NWL
2013-06-06,26.4,26.74,26.23,26.74,2270749,NWL
2013-06-07,26.92,27.33,26.84,27.28,1409353,NWL
2013-06-08,27.07,27.35,26.9,27.24,1280477,NWL
2013-06-09,27.23,27.38,26.97,27.19,1151600,NWL
2013-06-10,27.38,27.4,27.03,27.15,1022724,NWL
2013-06-11,26.89,27.1,26.67,26.79,1741901,NWL
2013-06-12,27.85,27.85,26.44,26.53,1696364,NWL
2013-06-13,26.57,27.27,26.36,27.14,1510860,NWL
2013-06-14,27.11,27.5,26.94,27.17,1091860,NWL
2013-06-15,27.2,27.51,26.87,27.07,1662820,NWL
2013-06-16,27.3,27.51,26.8,26.98,2233780,NWL
2013-06-17,27.39,27.52,26.73,26.88,2804740,NWL
2013-06-18,26.88,27.08,26.71,27.0,2039575,NWL
2013-06-19,27.0,27.3,26.72,26.73,1553632,NWL
2013-06-20,26.5,26.52,25.98,26.06,2517730,NWL
2013-06-21,26.29,26.37,25.67,25.95,2625939,NWL
2013-06-22,26.08,26.13,25.53,25.79,2955249,NWL
2013-06-23,25.86,25.89,25.39,25.63,3284559,NWL
2013-06-24,25.65,25.65,25.25,25.47,3613869,NWL
2013-06-25,25.6,25.8,25.31,25.43,3003129,NWL
2013-06-26,25.69,25.79,25.38,25.53,2381999,NWL
2013-06-27,25.72,26.24,25.66,26.19,1983497,NWL
2013-06-28,26.16,26.48,26.1,26.25,3445629,NWL
2013-06-29,26.19,26.55,26.15,26.32,2777519,NWL
2013-06-30,26.21,26.61,26.19,26.38,2109410,NWL
2013-07-01,26.24,26.68,26.24,26.45,1441300,NWL
2013-07-02,26.12,26.42,26.06,26.12,1579413,NWL
2013-07-03,26.03,26.19,25.88,26.0,900027,NWL
2013-07-04,26.07,26.2,25.89,26.06,1328468,NWL
2013-07-05,26.11,26.22,25.89,26.12,1756909,NWL
2013-07-06,26.16,26.36,25.98,26.26,1843258,NWL
2013-07-07,26.22,26.49,26.07,26.39,1929606,NWL
2013-07-08,26.27,26.63,26.15,26.53,2015955,NWL
2013-07-09,26.77,27.01,26.53,26.91,1631005,NWL
2013-07-10,26.88,26.97,26.41,26.64,1931555,NWL
2013-07-11,27.01,27.08,26.83,26.96,1740467,NWL
2013-07-12,26.95,27.08,26.78,27.04,1586205,NWL
2013-07-13,27.01,27.15,26.83,27.02,1463969,NWL
2013-07-14,27.06,27.22,26.87,27.01,1341734,NWL
2013-07-15,27.12,27.29,26.92,26.99,1219498,NWL
2013-07-16,26.98,27.25,26.71,26.84,1258368,NWL
2013-07-17,26.92,26.97,26.7,26.87,961003,NWL
2013-07-18,26.96,27.3,26.93,27.03,1096093,NWL
2013-07-19,27.02,27.22,27.0,27.15,1295795,NWL
2013-07-20,27.07,27.33,27.05,27.22,1343737,NWL
2013-07-21,27.12,27.45,27.1,27.3,1391680,NWL
2013-07-22,27.17,27.56,27.15,27.37,1439622,NWL
2013-07-23,27.44,27.66,27.26,27.43,1410780,NWL
2013-07-24,27.48,27.55,27.14,27.21,1063828,NWL
2013-07-25,27.06,27.26,26.75,27.21,1647170,NWL
2013-07-26,27.93,27.97,26.91,27.09,1922865,NWL
2013-07-27,27.61,27.75,26.88,27.07,1896729,NWL
2013-07-28,27.29,27.54,26.84,27.04,1870593,NWL
2013-07-29,26.97,27.32,26.81,27.02,1844457,NWL
2013-07-30,27.1,27.24,26.68,26.75,2452748,NWL
2013-07-31,26.79,27.26,26.7,27.02,1834089,NWL
2013-08-01,27.21,27.77,27.14,27.73,1788597,NWL
2013-08-02,27.6,27.85,27.57,27.71,1063113,NWL
2013-08-03,27.59,27.86,27.5,27.7,977671,NWL
2013-08-04,27.59,27.87,27.44,27.7,892230,NWL
2013-08-05,27.58,27.88,27.37,27.69,806788,NWL
2013-08-06,27.66,27.7,27.19,27.32,1803738,NWL
2013-08-07,27.22,27.33,26.63,27.06,3043204,NWL
2013-08-08,27.21,27.29,26.6,26.81,3080583,NWL
2013-08-09,26.7,26.87,26.46,26.83,2261896,NWL
2013-08-10,26.68,26.84,26.48,26.8,2311672,NWL
2013-08-11,26.65,26.82,26.5,26.77,2361448,NWL
2013-08-12,26.63,26.79,26.53,26.74,2411224,NWL
2013-08-13,26.74,26.91,26.48,26.86,3126408,NWL
2013-08-14,26.85,27.0,26.6,26.64,1457074,NWL
2013-08-15,26.41,26.43,25.93,26.01,1688618,NWL
2013-08-16,25.9,26.09,25.79,25.95,1572052,NWL
2013-08-17,25.93,26.07,25.73,25.85,1633670,NWL
2013-08-18,25.97,26.04,25.66,25.76,1695288,NWL
2013-08-19,26.0,26.02,25.6,25.66,1756906,NWL
2013-08-20,25.7,26.05,25.62,25.92,2128283,NWL
2013-08-21,25.84,25.84,25.37,25.44,1779840,NWL
2013-08-22,25.48,25.53,25.14,25.25,2091453,NWL
2013-08-23,25.25,25.52,24.74,25.51,3784497,NWL
2013-08-24,25.33,25.65,24.93,25.6,3628217,NWL
2013-08-25,25.4,25.77,25.11,25.68,3471936,NWL
2013-08-26,25.48,25.9,25.3,25.77,3315656,NWL
2013-08-27,25.56,25.6,25.16,25.2,2329751,NWL
2013-08-28,25.0,25.08,24.32,24.99,5212850,NWL
2013-08-29,24.94,25.79,24.82,25.4,2992317,NWL
2013-08-30,25.42,25.57,25.19,25.3,2525027,NWL
2013-08-31,25.47,25.68,25.29,25.4,2800740,NWL
2013-09-01,25.51,25.8,25.4,25.51,3076452,NWL
2013-09-02,25.56,25.92,25.5,25.62,3352164,NWL
2013-09-03,25.6,26.03,25.6,25.72,3627877,NWL
2013-09-04,26.06,26.92,25.99,26.02,4567720,NWL
2013-09-05,25.96,26.13,25.82,25.92,2146964,NWL
2013-09-06,25.98,26.43,25.74,26.04,2594547,NWL
2013-09-07,26.04,26.42,25.83,26.12,2383661,NWL
2013-09-08,26.11,26.42,25.93,26.2,2172775,NWL
2013-09-09,26.17,26.41,26.02,26.28,1961889,NWL
2013-09-10,26.41,26.5,26.14,26.32,1434892,NWL
2013-09-11,26.36,26.84,26.27,26.66,1901873,NWL
2013-09-12,26.64,26.88,26.53,26.62,1595925,NWL
2013-09-13,26.72,26.97,26.52,26.93,1015780,NWL
2013-09-14,26.89,27.09,26.62,26.9,1168024,NWL
2013-09-15,27.06,27.2,26.72,26.88,1320267,NWL
2013-09-16,27.23,27.32,26.82,26.85,1472511,NWL
2013-09-17,26.88,26.91,26.73,26.84,1117137,NWL
2013-09-18,26.77,27.4,26.59,27.31,2171552,NWL
2013-09-19,27.4,27.56,27.34,27.39,1907821,NWL
2013-09-20,27.41,27.5,27.16,27.29,2346952,NWL
2013-09-21,27.33,27.46,27.05,27.23,2105138,NWL
2013-09-22,27.26,27.41,26.94,27.16,1863323,NWL
2013-09-23,27.18,27.37,26.83,27.1,1621509,NWL
2013-09-24,27.03,27.6,26.98,27.4,2019538,NWL
2013-09-25,27.41,27.66,27.11,27.17,1991190,NWL
2013-09-26,27.2,27.67,27.2,27.67,1775267,NWL
2013-09-27,27.47,27.82,27.34,27.59,1373707,NWL
2013-09-28,27.43,27.76,27.31,27.56,1418760,NWL
2013-09-29,27.39,27.7,27.28,27.53,1463812,NWL
2013-09-30,27.35,27.64,27.26,27.5,1508865,NWL
2013-10-01,27.52,27.8,27.42,27.66,1133055,NWL
2013-10-02,27.56,27.7,27.36,27.66,1180040,NWL
2013-10-03,27.57,27.66,27.02,27.31,1617134,NWL
2013-10-04,27.28,27.72,27.26,27.54,973274,NWL
2013-10-05,27.27,27.58,27.16,27.35,1073708,NWL
2013-10-06,27.26,27.44,27.07,27.17,1174141,NWL
2013-10-07,27.25,27.3,26.97,26.98,1274575,NWL
2013-10-08,27.14,27.24,26.52,26.56,3099297,NWL
2013-10-09,26.67,26.91,26.29,26.69,2031567,NWL
2013-10-10,27.03,27.37,26.88,27.24,1557912,NWL
2013-10-11,27.11,27.82,27.11,27.81,1080857,NWL
2013-10-12,27.26,27.86,27.25,27.81,1104290,NWL
2013-10-13,27.42,27.9,27.4,27.8,1127722,NWL
2013-10-14,27.57,27.94,27.54,27.8,1151155,NWL
2013-10-15,27.72,27.8,27.17,27.34,2112785,NWL
2013-10-16,27.61,27.97,27.47,27.96,1483338,NWL
2013-10-17,27.88,28.85,27.88,28.68,2677321,NWL
2013-10-18,28.81,29.12,28.74,29.02,2620338,NWL
2013-10-19,28.94,29.15,28.76,29.01,2169070,NWL
2013-10-20,29.06,29.19,28.79,28.99,1717803,NWL
2013-10-21,29.19,29.22,28.82,28.98,1266535,NWL
2013-10-22,29.07,29.29,29.06,29.08,2094173,NWL
2013-10-23,29.0,29.36,28.94,29.06,1940341,NWL
2013-10-24,29.18,29.23,28.78,28.92,2492085,NWL
2013-10-25,29.34,30.44,29.05,29.4,3751109,NWL
2013-10-26,29.37,30.2,29.15,29.5,3414826,NWL
2013-10-27,29.41,29.97,29.24,29.59,3078542,NWL
2013-10-28,29.44,29.73,29.34,29.69,2742259,NWL
2013-10-29,29.75,30.08,29.65,29.91,2506928,NWL
