index,open,high,low,close,volume,Name
2013-02-08,47.75,47.95,47.69,47.82,693947,OKE
2013-02-09,47.71,47.93,47.58,47.81,782143,OKE
2013-02-10,47.68,47.91,47.48,47.81,870339,OKE
2013-02-11,47.64,47.9,47.37,47.8,958535,OKE
2013-02-12,47.72,48.2,47.56,48.17,1085034,OKE
2013-02-13,48.14,48.22,47.78,47.95,941458,OKE
2013-02-14,47.85,48.14,47.6,47.61,991784,OKE
2013-02-15,47.51,47.99,47.51,47.75,928945,OKE
2013-02-16,47.58,47.99,47.48,47.8,936853,OKE
2013-02-17,47.65,47.99,47.46,47.85,944762,OKE
2013-02-18,47.72,47.99,47.43,47.9,952670,OKE
2013-02-19,47.79,47.99,47.4,47.95,960578,OKE
2013-02-20,47.84,48.05,47.34,47.36,1450014,OKE
2013-02-21,47.27,47.28,46.59,46.86,916337,OKE
2013-02-22,46.96,47.42,46.73,47.41,709774,OKE
2013-02-23,47.19,47.63,46.55,47.01,934516,OKE
2013-02-24,47.41,47.83,46.38,46.6,1159257,OKE
2013-02-25,47.64,48.04,46.2,46.2,1383999,OKE
2013-02-26,46.0,46.18,44.25,44.34,4520686,OKE
2013-02-27,44.18,45.64,44.11,45.14,2665175,OKE
2013-02-28,44.97,45.43,44.5,44.99,1856511,OKE
2013-03-01,44.83,45.36,44.44,44.63,1603339,OKE
2013-03-02,44.75,45.31,44.46,44.82,1462701,OKE
2013-03-03,44.66,45.26,44.48,45.02,1322064,OKE
2013-03-04,44.58,45.21,44.5,45.21,1181426,OKE
2013-03-05,45.46,45.62,45.17,45.33,883041,OKE
2013-03-06,45.32,45.45,44.65,45.36,1570467,OKE
2013-03-07,45.42,45.46,45.11,45.29,1173117,OKE
2013-03-08,45.44,45.5,45.01,45.24,1057643,OKE
2013-03-09,45.34,45.47,45.01,45.21,1091106,OKE
2013-03-10,45.23,45.44,45.0,45.18,1124569,OKE
2013-03-11,45.13,45.41,45.0,45.15,1158032,OKE
2013-03-12,45.17,45.54,45.03,45.2,1335650,OKE
2013-03-13,45.18,45.21,44.59,45.17,1121002,OKE
2013-03-14,45.21,45.38,45.01,45.23,576484,OKE
