index,open,high,low,close,volume,Name
2013-02-08,54.39,55.27,54.33,55.22,1669489,OMC
2013-02-09,54.6,55.46,54.49,55.27,2067119,OMC
2013-02-10,54.81,55.65,54.65,55.31,2464748,OMC
2013-02-11,55.02,55.84,54.82,55.36,2862378,OMC
2013-02-12,56.16,56.77,55.77,56.02,2560872,OMC
2013-02-13,56.2,57.1,56.2,56.7,2853858,OMC
2013-02-14,56.58,57.37,56.38,57.35,1881168,OMC
2013-02-15,57.31,58.16,57.18,57.71,2983223,OMC
2013-02-16,57.44,58.12,57.14,57.6,2954319,OMC
2013-02-17,57.58,58.08,57.11,57.5,2925416,OMC
2013-02-18,57.71,58.04,57.08,57.4,2896512,OMC
2013-02-19,57.84,58.0,57.04,57.29,2867608,OMC
2013-02-20,57.02,57.65,56.98,57.02,1792827,OMC
2013-02-21,56.69,57.05,55.59,56.44,2329898,OMC
2013-02-22,56.59,57.2,56.41,57.2,1710800,OMC
2013-02-23,56.89,57.39,56.41,56.93,1884161,OMC
2013-02-24,57.19,57.59,56.4,56.67,2057522,OMC
2013-02-25,57.49,57.78,56.4,56.4,2230883,OMC
2013-02-26,56.52,57.2,56.13,57.09,2605505,OMC
2013-02-27,57.12,57.57,56.49,57.46,1925496,OMC
2013-02-28,57.51,57.85,57.28,57.53,1310184,OMC
2013-03-01,56.84,57.33,56.69,57.24,1285050,OMC
2013-03-02,56.91,57.53,56.78,57.45,1449477,OMC
2013-03-03,56.97,57.73,56.87,57.67,1613905,OMC
2013-03-04,57.04,57.93,56.96,57.88,1778332,OMC
2013-03-05,58.12,58.29,57.74,57.84,2033956,OMC
2013-03-06,57.96,58.11,57.48,57.77,924634,OMC
2013-03-07,57.91,58.06,57.76,57.96,792694,OMC
2013-03-08,58.13,58.92,58.13,58.83,1024780,OMC
2013-03-09,58.35,59.09,58.31,58.98,1072286,OMC
2013-03-10,58.56,59.26,58.49,59.14,1119792,OMC
2013-03-11,58.78,59.43,58.67,59.29,1167298,OMC
2013-03-12,59.2,59.28,58.91,59.13,1272337,OMC
2013-03-13,59.28,59.64,58.87,59.36,1362071,OMC
2013-03-14,59.51,59.66,59.31,59.57,1338660,OMC
2013-03-15,59.45,60.05,59.2,60.05,2307140,OMC
2013-03-16,59.42,59.96,59.09,59.68,2068445,OMC
2013-03-17,59.4,59.88,58.97,59.32,1829750,OMC
2013-03-18,59.37,59.79,58.86,58.95,1591055,OMC
2013-03-19,59.17,59.29,57.93,58.53,1726447,OMC
2013-03-20,58.81,59.15,58.4,58.85,1173829,OMC
2013-03-21,58.55,58.74,58.02,58.32,923289,OMC
2013-03-22,58.75,58.84,58.2,58.83,1066747,OMC
2013-03-23,58.87,58.93,58.16,58.69,996236,OMC
2013-03-24,58.99,59.02,58.13,58.55,925725,OMC
2013-03-25,59.11,59.11,58.09,58.41,855214,OMC
2013-03-26,58.75,58.94,58.22,58.89,1147309,OMC
2013-03-27,58.45,58.81,58.21,58.64,1124767,OMC
2013-03-28,58.73,59.15,58.36,58.9,3103558,OMC
2013-03-29,58.74,59.14,58.36,58.9,2579276,OMC
2013-03-30,58.76,59.12,58.36,58.89,2054994,OMC
