index,open,high,low,close,volume,Name
2013-02-08,34.76,34.98,34.5,34.9,19255621,ORCL
2013-02-09,34.83,35.0,34.52,34.92,17053252,ORCL
2013-02-10,34.91,35.02,34.53,34.94,14850883,ORCL
2013-02-11,34.98,35.04,34.55,34.96,12648514,ORCL
2013-02-12,34.89,35.25,34.85,35.11,14665754,ORCL
2013-02-13,35.21,35.26,34.88,34.99,13176762,ORCL
2013-02-14,34.87,35.07,34.69,34.9,15886750,ORCL
2013-02-15,34.8,34.99,34.65,34.81,18405972,ORCL
2013-02-16,34.83,35.1,34.69,34.96,17915946,ORCL
2013-02-17,34.86,35.2,34.74,35.11,17425921,ORCL
2013-02-18,34.9,35.3,34.78,35.25,16935896,ORCL
2013-02-19,34.93,35.41,34.82,35.4,16445870,ORCL
2013-02-20,35.5,35.59,35.0,35.01,16263673,ORCL
2013-02-21,34.95,34.95,34.17,34.28,20923004,ORCL
2013-02-22,34.51,34.78,34.13,34.75,13754657,ORCL
2013-02-23,34.7,35.0,34.18,34.59,15834070,ORCL
2013-02-24,34.88,35.21,34.22,34.44,17913484,ORCL
2013-02-25,35.07,35.43,34.27,34.28,19992897,ORCL
2013-02-26,34.28,34.57,34.08,34.32,15839469,ORCL
2013-02-27,34.25,34.97,34.06,34.68,15671306,ORCL
2013-02-28,34.7,34.85,34.22,34.24,23815526,ORCL
2013-03-01,34.12,34.83,34.0,34.63,20375918,ORCL
2013-03-02,34.26,34.91,34.13,34.77,18500779,ORCL
2013-03-03,34.39,35.0,34.27,34.91,16625639,ORCL
2013-03-04,34.53,35.08,34.4,35.05,14750500,ORCL
2013-03-05,35.22,35.68,35.21,35.46,15410083,ORCL
2013-03-06,35.5,35.93,35.48,35.86,21340790,ORCL
2013-03-07,35.94,36.13,35.76,35.94,15098045,ORCL
2013-03-08,35.94,36.09,35.67,35.71,14984979,ORCL
2013-03-09,35.86,36.05,35.66,35.77,14693847,ORCL
2013-03-10,35.78,36.02,35.65,35.82,14402714,ORCL
2013-03-11,35.7,35.98,35.64,35.88,14111582,ORCL
2013-03-12,35.85,35.85,35.16,35.43,18410994,ORCL
2013-03-13,35.82,35.85,35.35,35.58,21228779,ORCL
2013-03-14,35.8,36.33,35.62,36.3,21040682,ORCL
2013-03-15,36.11,36.43,36.1,36.34,56175415,ORCL
2013-03-16,36.11,36.42,36.07,36.24,44334818,ORCL
2013-03-17,36.1,36.42,36.03,36.14,32494220,ORCL
2013-03-18,36.1,36.42,36.0,36.04,20653623,ORCL
2013-03-19,36.18,36.23,35.41,35.69,20548548,ORCL
2013-03-20,35.98,36.07,35.4,35.76,40710046,ORCL
2013-03-21,32.78,32.94,32.18,32.3,132640120,ORCL
2013-03-22,32.4,32.5,31.64,31.98,64296948,ORCL
2013-03-23,32.28,32.4,31.48,31.74,56095409,ORCL
2013-03-24,32.17,32.3,31.32,31.49,47893870,ORCL
2013-03-25,32.05,32.2,31.16,31.25,39692331,ORCL
2013-03-26,31.41,31.79,31.41,31.54,29419632,ORCL
2013-03-27,31.41,32.1,31.29,31.95,35018091,ORCL
2013-03-28,31.89,32.39,31.79,32.33,23675890,ORCL
2013-03-29,32.01,32.41,31.85,32.35,22426305,ORCL
2013-03-30,32.12,32.42,31.92,32.37,21176720,ORCL
2013-03-31,32.24,32.44,31.98,32.39,19927135,ORCL
2013-04-01,32.36,32.46,32.04,32.41,18677550,ORCL
2013-04-02,32.65,32.94,32.53,32.74,22618456,ORCL
2013-04-03,32.93,32.94,32.2,32.4,25545187,ORCL
2013-04-04,32.36,32.51,32.23,32.36,18163744,ORCL
2013-04-05,31.77,32.12,31.67,32.03,24415225,ORCL
2013-04-06,31.87,32.2,31.75,32.14,20987824,ORCL
2013-04-07,31.97,32.28,31.82,32.25,17560424,ORCL
2013-04-08,32.07,32.36,31.9,32.36,14133023,ORCL
