index,open,high,low,close,volume,Name
2013-02-08,100.66,103.66,100.64,101.57,2285491,ORLY
2013-02-09,101.0,103.4,100.76,101.85,1966060,ORLY
2013-02-10,101.34,103.13,100.88,102.12,1646629,ORLY
2013-02-11,101.68,102.87,101.0,102.4,1327198,ORLY
2013-02-12,102.05,102.34,100.73,101.56,1080779,ORLY
2013-02-13,101.59,103.15,101.29,102.0,978910,ORLY
2013-02-14,101.6,102.24,101.26,101.68,1131711,ORLY
2013-02-15,101.91,102.78,100.42,101.31,1039744,ORLY
2013-02-16,101.81,102.66,100.65,101.52,989836,ORLY
2013-02-17,101.7,102.54,100.88,101.74,939928,ORLY
2013-02-18,101.6,102.43,101.1,101.95,890021,ORLY
2013-02-19,101.5,102.31,101.33,102.16,840113,ORLY
2013-02-20,102.17,102.35,101.17,101.39,839822,ORLY
2013-02-21,101.05,101.93,100.61,100.77,1091761,ORLY
2013-02-22,101.41,102.31,100.71,102.25,953984,ORLY
2013-02-23,101.82,102.77,100.86,101.95,1161898,ORLY
2013-02-24,102.24,103.23,101.02,101.65,1369812,ORLY
2013-02-25,102.65,103.7,101.17,101.35,1577726,ORLY
2013-02-26,101.35,103.0,100.55,101.76,1205948,ORLY
2013-02-27,101.74,102.79,101.01,102.25,954497,ORLY
2013-02-28,102.12,103.12,101.66,101.79,1537740,ORLY
2013-03-01,101.68,102.86,101.13,102.62,1351713,ORLY
2013-03-02,102.01,103.33,101.53,102.95,1288841,ORLY
2013-03-03,102.34,103.79,101.94,103.28,1225969,ORLY
2013-03-04,102.67,104.26,102.34,103.61,1163097,ORLY
2013-03-05,104.0,104.95,103.78,104.57,1048201,ORLY
2013-03-06,104.57,104.78,103.19,103.44,721091,ORLY
2013-03-07,103.76,104.94,103.14,104.38,779200,ORLY
2013-03-08,104.7,104.89,103.77,104.7,662084,ORLY
2013-03-09,104.59,104.83,103.81,104.57,614503,ORLY
2013-03-10,104.49,104.77,103.86,104.43,566921,ORLY
2013-03-11,104.38,104.71,103.9,104.3,519340,ORLY
2013-03-12,104.3,104.45,103.32,103.87,777585,ORLY
2013-03-13,104.22,104.99,103.89,104.3,744613,ORLY
2013-03-14,104.57,104.57,103.16,103.5,856156,ORLY
2013-03-15,103.03,104.34,102.94,103.76,1541894,ORLY
2013-03-16,103.11,104.64,102.97,103.96,1317928,ORLY
2013-03-17,103.2,104.93,102.99,104.16,1093962,ORLY
2013-03-18,103.28,105.22,103.02,104.36,869996,ORLY
2013-03-19,104.28,104.75,102.84,103.25,787091,ORLY
2013-03-20,103.86,104.0,103.1,103.49,741683,ORLY
2013-03-21,103.26,103.8,101.95,102.77,797806,ORLY
2013-03-22,103.1,103.54,102.47,103.26,621292,ORLY
2013-03-23,103.29,103.71,102.5,103.28,703269,ORLY
2013-03-24,103.48,103.87,102.52,103.31,785245,ORLY
2013-03-25,103.67,104.04,102.55,103.33,867222,ORLY
2013-03-26,103.33,103.9,102.82,103.59,767659,ORLY
2013-03-27,102.78,103.71,102.23,102.75,636637,ORLY
2013-03-28,102.58,103.1,101.86,102.44,1629740,ORLY
2013-03-29,102.72,103.17,101.8,102.5,1404590,ORLY
2013-03-30,102.85,103.25,101.73,102.57,1179440,ORLY
2013-03-31,102.99,103.32,101.66,102.63,954289,ORLY
2013-04-01,103.13,103.4,101.6,102.7,729139,ORLY
2013-04-02,103.3,104.9,102.76,104.38,837249,ORLY
2013-04-03,104.28,104.63,103.21,103.48,670460,ORLY
2013-04-04,103.32,104.21,103.27,103.77,377385,ORLY
2013-04-05,102.88,103.19,101.75,103.05,551399,ORLY
2013-04-06,102.89,103.51,102.14,103.34,549545,ORLY
2013-04-07,102.9,103.84,102.52,103.62,547691,ORLY
2013-04-08,102.91,104.16,102.91,103.91,545837,ORLY
2013-04-09,102.38,103.08,100.8,102.06,939329,ORLY
2013-04-10,101.99,103.81,101.54,103.5,1269600,ORLY
2013-04-11,103.79,105.4,103.51,104.01,1231628,ORLY
2013-04-12,104.05,104.94,102.54,103.14,998456,ORLY
2013-04-13,103.66,104.34,101.55,102.09,1089849,ORLY
2013-04-14,103.27,103.74,100.55,101.04,1181243,ORLY
2013-04-15,102.88,103.14,99.56,99.99,1272636,ORLY
2013-04-16,101.02,101.11,99.8,99.99,1220583,ORLY
2013-04-17,99.67,99.94,97.76,98.67,1255155,ORLY
2013-04-18,99.0,99.8,98.01,98.84,840696,ORLY
2013-04-19,98.56,99.82,98.37,99.36,1243217,ORLY
2013-04-20,98.76,99.8,98.51,99.4,1043103,ORLY
2013-04-21,98.97,99.77,98.66,99.44,842988,ORLY
2013-04-22,99.17,99.75,98.8,99.48,642874,ORLY
2013-04-23,100.0,101.55,99.7,101.37,1366745,ORLY
2013-04-24,102.15,102.57,100.91,101.12,871131,ORLY
2013-04-25,104.17,108.99,103.99,106.13,1577559,ORLY
2013-04-26,106.15,106.7,105.34,106.44,746857,ORLY
2013-04-27,106.37,107.19,105.74,106.86,804606,ORLY
2013-04-28,106.59,107.68,106.15,107.27,862354,ORLY
2013-04-29,106.81,108.17,106.55,107.69,920103,ORLY
2013-04-30,107.2,107.6,105.81,107.32,664439,ORLY
2013-05-01,107.5,108.29,107.21,107.46,666503,ORLY
2013-05-02,107.44,108.5,106.79,108.13,504268,ORLY
2013-05-03,108.85,110.03,108.48,109.89,794392,ORLY
2013-05-04,109.09,110.19,108.8,110.02,724228,ORLY
2013-05-05,109.34,110.36,109.13,110.14,654065,ORLY
2013-05-06,109.58,110.52,109.45,110.27,583901,ORLY
2013-05-07,109.93,110.79,109.69,110.78,421936,ORLY
2013-05-08,110.91,111.0,108.67,109.45,820536,ORLY
2013-05-09,109.59,110.61,109.59,110.06,445027,ORLY
2013-05-10,109.94,110.49,109.22,110.2,479225,ORLY
2013-05-11,109.88,110.47,109.01,110.02,481609,ORLY
2013-05-12,109.81,110.46,108.79,109.83,483992,ORLY
2013-05-13,109.75,110.44,108.58,109.65,486376,ORLY
2013-05-14,109.47,112.12,109.47,111.89,926194,ORLY
2013-05-15,111.3,112.17,111.14,111.96,489687,ORLY
2013-05-16,111.24,111.84,110.22,110.71,707314,ORLY
2013-05-17,111.0,111.45,110.33,110.95,619072,ORLY
2013-05-18,110.44,111.48,109.98,110.94,616764,ORLY
2013-05-19,109.88,111.5,109.63,110.92,614457,ORLY
2013-05-20,109.32,111.53,109.28,110.91,612149,ORLY
2013-05-21,111.02,112.92,110.77,112.21,554339,ORLY
2013-05-22,112.09,112.29,110.15,110.56,585248,ORLY
2013-05-23,110.18,110.79,109.07,110.23,539857,ORLY
2013-05-24,109.44,111.27,109.44,110.74,424686,ORLY
2013-05-25,109.88,111.38,109.5,110.74,449412,ORLY
2013-05-26,110.32,111.5,109.56,110.74,474138,ORLY
2013-05-27,110.75,111.61,109.61,110.75,498865,ORLY
2013-05-28,111.19,111.72,109.67,110.75,523591,ORLY
2013-05-29,110.09,110.63,109.21,110.44,487515,ORLY
2013-05-30,110.54,111.32,109.91,109.98,516060,ORLY
2013-05-31,109.5,111.28,108.68,108.85,970340,ORLY
2013-06-01,109.41,110.94,108.79,109.29,887842,ORLY
2013-06-02,109.33,110.6,108.89,109.73,805343,ORLY
2013-06-03,109.24,110.26,109.0,110.17,722845,ORLY
2013-06-04,109.84,110.72,108.61,109.53,496978,ORLY
2013-06-05,109.49,110.18,107.8,108.0,523495,ORLY
2013-06-06,107.84,109.43,107.84,109.39,521619,ORLY
2013-06-07,110.0,111.51,109.81,110.99,365181,ORLY
2013-06-08,110.32,111.46,109.89,111.03,364736,ORLY
2013-06-09,110.65,111.4,109.97,111.06,364291,ORLY
2013-06-10,110.97,111.35,110.05,111.1,363846,ORLY
2013-06-11,110.07,111.23,110.05,110.54,300815,ORLY
2013-06-12,110.77,110.99,109.98,110.03,384070,ORLY
2013-06-13,110.29,111.81,109.86,111.45,470353,ORLY
2013-06-14,111.18,112.47,110.97,111.56,446035,ORLY
2013-06-15,111.31,112.5,111.04,111.69,539981,ORLY
2013-06-16,111.44,112.53,111.1,111.82,633927,ORLY
