index,open,high,low,close,volume,Name
2013-02-08,43.52,43.55,43.17,43.2,1382447,O
2013-02-09,43.47,43.59,43.19,43.34,1348488,O
2013-02-10,43.42,43.64,43.21,43.49,1314528,O
2013-02-11,43.37,43.68,43.23,43.63,1280569,O
2013-02-12,43.7,44.5,43.58,44.5,1909422,O
2013-02-13,44.46,44.55,44.21,44.55,1309721,O
2013-02-14,44.31,44.41,44.02,44.29,882698,O
2013-02-15,44.38,44.5,44.25,44.46,944345,O
2013-02-16,44.48,44.62,44.32,44.52,1140097,O
2013-02-17,44.58,44.75,44.39,44.58,1335850,O
2013-02-18,44.68,44.88,44.46,44.64,1531602,O
2013-02-19,44.78,45.0,44.53,44.7,1727354,O
2013-02-20,44.77,44.88,44.45,44.61,1262102,O
2013-02-21,44.7,44.83,44.08,44.3,1270342,O
2013-02-22,44.28,44.54,44.21,44.47,822639,O
2013-02-23,44.36,44.58,44.23,44.43,1041103,O
2013-02-24,44.43,44.62,44.25,44.4,1259566,O
2013-02-25,44.51,44.66,44.27,44.36,1478030,O
2013-02-26,44.54,44.92,44.25,44.9,1365469,O
2013-02-27,44.5,45.47,44.39,45.38,1347362,O
2013-02-28,45.42,45.86,45.36,45.65,2176749,O
2013-03-01,45.49,45.88,45.2,45.78,1373272,O
2013-03-02,45.55,45.96,45.31,45.89,1279695,O
2013-03-03,45.62,46.05,45.42,45.99,1186117,O
2013-03-04,45.68,46.13,45.53,46.1,1092540,O
2013-03-05,46.37,46.65,46.19,46.62,1756354,O
2013-03-06,45.36,46.07,45.35,46.05,17614741,O
2013-03-07,45.9,46.05,45.78,46.01,3644416,O
2013-03-08,46.04,46.04,45.39,45.9,2442787,O
2013-03-09,45.95,45.95,45.16,45.62,2367893,O
2013-03-10,45.85,45.85,44.94,45.34,2293000,O
2013-03-11,45.76,45.76,44.71,45.06,2218106,O
2013-03-12,45.08,45.12,44.55,44.67,1775651,O
2013-03-13,44.75,44.87,44.25,44.44,2146276,O
2013-03-14,44.59,44.85,44.52,44.76,1418807,O
2013-03-15,44.77,44.82,44.42,44.74,2328963,O
2013-03-16,44.67,44.76,44.37,44.64,2106912,O
2013-03-17,44.57,44.69,44.32,44.54,1884862,O
2013-03-18,44.47,44.62,44.27,44.44,1662811,O
2013-03-19,44.35,44.52,43.66,44.05,1851187,O
2013-03-20,44.06,44.25,43.72,44.08,1460449,O
2013-03-21,44.02,44.39,44.0,44.13,1164972,O
2013-03-22,44.27,44.5,44.24,44.46,1042925,O
2013-03-23,44.32,44.56,44.16,44.38,1161915,O
2013-03-24,44.37,44.63,44.09,44.29,1280905,O
2013-03-25,44.42,44.69,44.01,44.21,1399895,O
2013-03-26,44.5,44.94,44.31,44.94,2219766,O
2013-03-27,44.8,45.03,44.64,45.0,1472379,O
2013-03-28,44.81,45.37,44.75,45.35,2432516,O
2013-03-29,44.93,45.42,44.79,45.4,2137415,O
2013-03-30,45.06,45.47,44.83,45.46,1842314,O
2013-03-31,45.18,45.52,44.86,45.52,1547214,O
2013-04-01,45.3,45.57,44.9,45.57,1252113,O
2013-04-02,45.69,45.75,45.48,45.75,1753726,O
2013-04-03,45.75,45.8,45.34,45.6,1763992,O
2013-04-04,45.72,45.91,45.55,45.88,1126855,O
2013-04-05,45.52,46.04,45.39,46.03,1437752,O
2013-04-06,45.7,46.16,45.58,46.15,1532037,O
2013-04-07,45.87,46.28,45.77,46.28,1626323,O
2013-04-08,46.05,46.4,45.96,46.4,1720608,O
2013-04-09,46.4,46.63,46.12,46.46,1585075,O
2013-04-10,46.65,46.9,46.54,46.8,1554178,O
2013-04-11,46.84,47.7,46.8,47.7,3115001,O
2013-04-12,47.57,47.73,47.39,47.73,1469222,O
2013-04-13,47.6,47.81,47.22,47.44,1514805,O
2013-04-14,47.62,47.9,47.04,47.16,1560389,O
2013-04-15,47.65,47.98,46.87,46.87,1605972,O
2013-04-16,47.07,47.92,46.83,47.89,1480340,O
2013-04-17,47.67,47.7,47.31,47.63,1077983,O
2013-04-18,47.7,48.12,47.47,48.1,1162724,O
2013-04-19,48.16,49.0,48.03,49.0,1233999,O
2013-04-20,48.44,49.05,48.21,49.04,1253978,O
2013-04-21,48.72,49.09,48.39,49.09,1273957,O
2013-04-22,49.0,49.14,48.57,49.13,1293936,O
2013-04-23,49.22,49.57,49.13,49.44,976408,O
2013-04-24,49.22,49.36,49.07,49.28,1231305,O
2013-04-25,49.42,49.96,48.81,49.51,1406644,O
2013-04-26,49.51,50.07,49.02,49.72,1404438,O
2013-04-27,49.6,50.18,49.23,49.93,1402233,O
2013-04-28,49.69,50.28,49.44,50.14,1400028,O
2013-04-29,49.78,50.39,49.65,50.35,1397822,O
2013-04-30,50.24,50.97,50.14,50.97,1512787,O
2013-05-01,50.88,50.97,50.47,50.61,895597,O
2013-05-02,50.75,51.35,50.61,51.09,1022941,O
2013-05-03,51.47,51.78,51.11,51.78,990284,O
2013-05-04,51.51,51.8,51.17,51.74,990213,O
2013-05-05,51.55,51.82,51.23,51.7,990142,O
2013-05-06,51.59,51.84,51.29,51.66,990071,O
2013-05-07,51.84,52.05,51.64,52.03,893729,O
