index,open,high,low,close,volume,Name
2013-02-08,47.41,47.76,47.11,47.5,1166418,PCAR
2013-02-09,47.48,47.78,47.16,47.6,1124865,PCAR
2013-02-10,47.56,47.8,47.22,47.69,1083311,PCAR
2013-02-11,47.63,47.81,47.27,47.79,1041758,PCAR
2013-02-12,47.98,48.07,47.72,47.93,1118146,PCAR
2013-02-13,48.01,48.15,47.53,48.04,1194479,PCAR
2013-02-14,47.81,48.19,47.44,48.17,1141865,PCAR
2013-02-15,48.06,48.32,47.88,48.09,1920372,PCAR
2013-02-16,48.11,48.42,47.93,48.18,1793602,PCAR
2013-02-17,48.16,48.51,47.99,48.28,1666832,PCAR
2013-02-18,48.21,48.6,48.04,48.37,1540061,PCAR
2013-02-19,48.26,48.7,48.1,48.46,1413291,PCAR
2013-02-20,48.42,48.42,47.2,47.32,2272199,PCAR
2013-02-21,47.14,47.2,46.27,46.69,1962912,PCAR
2013-02-22,46.89,47.16,46.67,46.86,1232979,PCAR
2013-02-23,46.99,47.22,46.51,46.64,1412867,PCAR
2013-02-24,47.08,47.28,46.34,46.42,1592756,PCAR
2013-02-25,47.18,47.34,46.18,46.2,1772644,PCAR
2013-02-26,46.39,46.74,45.81,46.58,1767058,PCAR
2013-02-27,46.54,47.69,46.51,47.44,1332328,PCAR
2013-02-28,47.46,48.02,47.39,47.45,1543304,PCAR
2013-03-01,47.23,47.34,46.65,46.97,2035974,PCAR
2013-03-02,47.12,47.2,46.39,46.93,2264153,PCAR
2013-03-03,47.01,47.05,46.13,46.88,2492333,PCAR
2013-03-04,46.9,46.91,45.87,46.84,2720512,PCAR
2013-03-05,47.28,48.64,47.28,48.36,2768564,PCAR
2013-03-06,48.5,49.14,48.31,48.48,1871811,PCAR
2013-03-07,48.74,49.74,48.68,49.4,2839743,PCAR
2013-03-08,49.71,50.46,49.5,50.46,2787422,PCAR
2013-03-09,49.9,50.62,49.76,50.6,2406952,PCAR
2013-03-10,50.09,50.78,50.02,50.73,2026482,PCAR
2013-03-11,50.28,50.94,50.28,50.87,1646012,PCAR
2013-03-12,50.71,50.94,49.84,50.2,1781532,PCAR
2013-03-13,50.48,50.8,49.92,50.71,1594003,PCAR
2013-03-14,50.75,51.14,50.6,51.08,1400683,PCAR
2013-03-15,50.82,51.38,50.73,50.96,2340591,PCAR
2013-03-16,50.64,51.16,50.25,50.75,2104756,PCAR
2013-03-17,50.47,50.94,49.77,50.53,1868920,PCAR
2013-03-18,50.29,50.72,49.28,50.32,1633085,PCAR
2013-03-19,50.32,50.67,49.75,49.95,2231328,PCAR
2013-03-20,50.49,50.53,49.79,50.0,1378544,PCAR
2013-03-21,49.61,49.8,48.96,49.61,3012852,PCAR
2013-03-22,49.86,50.06,49.76,50.04,1760404,PCAR
2013-03-23,49.97,50.11,49.57,49.84,1846660,PCAR
2013-03-24,50.09,50.15,49.37,49.65,1932916,PCAR
2013-03-25,50.2,50.2,49.18,49.45,2019172,PCAR
2013-03-26,49.72,50.22,49.54,50.15,1505521,PCAR
2013-03-27,49.76,50.2,49.54,50.13,1048515,PCAR
2013-03-28,50.05,50.65,50.02,50.56,1535954,PCAR
2013-03-29,50.18,50.68,49.93,50.4,1414024,PCAR
2013-03-30,50.3,50.72,49.83,50.24,1292094,PCAR
2013-03-31,50.43,50.76,49.74,50.07,1170165,PCAR
2013-04-01,50.56,50.79,49.64,49.91,1048235,PCAR
2013-04-02,50.13,50.53,49.91,50.23,3990378,PCAR
2013-04-03,50.15,50.23,48.32,48.62,2874711,PCAR
2013-04-04,48.63,48.95,48.08,48.39,2539129,PCAR
2013-04-05,47.56,48.28,47.28,48.19,2802757,PCAR
2013-04-06,47.76,48.29,47.42,48.2,3026790,PCAR
2013-04-07,47.95,48.31,47.56,48.2,3250822,PCAR
2013-04-08,48.15,48.32,47.7,48.21,3474855,PCAR
2013-04-09,48.37,49.19,48.25,49.0,1754026,PCAR
2013-04-10,49.14,50.21,49.07,50.15,1863993,PCAR
2013-04-11,50.33,50.86,50.12,50.55,1431851,PCAR
2013-04-12,50.56,50.56,49.6,50.23,1891548,PCAR
2013-04-13,50.34,50.38,49.04,49.49,2083751,PCAR
2013-04-14,50.11,50.21,48.49,48.75,2275955,PCAR
2013-04-15,49.89,50.03,47.94,48.01,2468158,PCAR
2013-04-16,48.38,48.92,48.11,48.65,1326148,PCAR
2013-04-17,48.08,48.24,47.12,47.57,2378705,PCAR
2013-04-18,47.62,47.92,47.16,47.38,1431603,PCAR
2013-04-19,47.29,48.42,47.24,48.2,2329005,PCAR
2013-04-20,47.71,48.68,47.48,48.48,2468472,PCAR
2013-04-21,48.14,48.93,47.72,48.76,2607939,PCAR
2013-04-22,48.56,49.19,47.96,49.04,2747406,PCAR
2013-04-23,48.8,49.05,47.79,48.76,3666416,PCAR
2013-04-24,48.67,49.47,48.67,48.99,1594848,PCAR
2013-04-25,49.34,50.16,49.11,49.82,2047813,PCAR
