index,open,high,low,close,volume,Name
2013-02-08,42.74,42.82,42.54,42.77,1321864,PCG
2013-02-09,42.74,42.86,42.57,42.74,1203041,PCG
2013-02-10,42.73,42.9,42.6,42.72,1084219,PCG
2013-02-11,42.73,42.94,42.63,42.69,965396,PCG
2013-02-12,42.67,42.74,42.49,42.72,1186044,PCG
2013-02-13,42.69,42.81,42.48,42.61,1341035,PCG
2013-02-14,42.47,42.63,42.4,42.43,3119512,PCG
2013-02-15,42.51,42.8,42.47,42.72,3843425,PCG
2013-02-16,42.58,42.91,42.53,42.84,3889374,PCG
2013-02-17,42.65,43.02,42.59,42.97,3935324,PCG
2013-02-18,42.72,43.12,42.65,43.1,3981273,PCG
2013-02-19,42.79,43.23,42.71,43.22,4027222,PCG
2013-02-20,43.16,43.29,42.94,43.12,2679987,PCG
2013-02-21,42.25,42.7,41.0,41.41,8334201,PCG
2013-02-22,41.47,41.99,41.33,41.98,3986338,PCG
2013-02-23,41.69,42.15,41.39,41.82,3965789,PCG
2013-02-24,41.92,42.32,41.45,41.67,3945239,PCG
2013-02-25,42.14,42.48,41.51,41.51,3924690,PCG
2013-02-26,41.59,41.88,41.4,41.71,4044944,PCG
2013-02-27,41.64,42.2,41.64,42.12,4179573,PCG
2013-02-28,42.17,42.81,42.06,42.64,4682704,PCG
2013-03-01,42.57,42.88,42.38,42.85,2357556,PCG
2013-03-02,42.66,43.13,42.51,43.06,2541401,PCG
2013-03-03,42.74,43.39,42.64,43.26,2725245,PCG
2013-03-04,42.83,43.64,42.77,43.47,2909090,PCG
2013-03-05,43.55,43.72,43.31,43.34,2906518,PCG
2013-03-06,43.29,43.47,42.88,43.05,2378767,PCG
2013-03-07,43.14,43.39,42.78,42.87,1965828,PCG
2013-03-08,42.91,42.99,42.48,42.78,2463357,PCG
2013-03-09,42.82,43.01,42.49,42.84,2953398,PCG
2013-03-10,42.73,43.03,42.5,42.9,3443439,PCG
2013-03-11,42.64,43.05,42.51,42.96,3933480,PCG
2013-03-12,42.96,43.06,42.72,43.04,2279488,PCG
2013-03-13,43.05,43.33,42.84,43.3,1783689,PCG
2013-03-14,43.31,43.59,43.21,43.56,2288415,PCG
2013-03-15,43.39,43.83,43.22,43.56,4742852,PCG
2013-03-16,43.39,43.77,43.25,43.49,3759787,PCG
2013-03-17,43.38,43.71,43.27,43.43,2776721,PCG
2013-03-18,43.38,43.65,43.3,43.36,1793656,PCG
2013-03-19,43.51,43.73,43.23,43.59,2631817,PCG
2013-03-20,43.74,44.02,43.64,43.88,1741516,PCG
2013-03-21,43.75,43.87,43.6,43.67,1456575,PCG
2013-03-22,43.67,43.95,43.58,43.8,7436089,PCG
2013-03-23,43.73,43.96,43.48,43.73,8190254,PCG
2013-03-24,43.79,43.98,43.39,43.66,8944420,PCG
2013-03-25,43.85,43.99,43.29,43.59,9698585,PCG
2013-03-26,43.15,43.81,43.1,43.73,2641278,PCG
2013-03-27,43.88,44.19,43.7,44.08,3007562,PCG
2013-03-28,44.04,44.57,43.96,44.53,2782656,PCG
2013-03-29,44.16,44.63,44.06,44.58,2703848,PCG
2013-03-30,44.28,44.69,44.17,44.63,2625041,PCG
2013-03-31,44.39,44.75,44.28,44.68,2546234,PCG
2013-04-01,44.51,44.81,44.38,44.73,2467426,PCG
2013-04-02,44.81,44.99,44.76,44.97,3295445,PCG
2013-04-03,45.11,45.56,45.03,45.52,4587310,PCG
2013-04-04,45.58,46.16,45.46,46.14,3258927,PCG
2013-04-05,45.91,46.66,45.82,46.49,3653500,PCG
2013-04-06,46.09,46.72,46.0,46.55,3710448,PCG
2013-04-07,46.28,46.78,46.18,46.62,3767395,PCG
2013-04-08,46.46,46.84,46.36,46.68,3824343,PCG
2013-04-09,46.77,47.06,46.48,46.63,2934425,PCG
2013-04-10,46.81,47.21,46.66,47.1,2175410,PCG
2013-04-11,47.24,47.24,46.85,47.01,1504108,PCG
2013-04-12,46.85,47.32,46.85,47.23,1727207,PCG
2013-04-13,46.95,47.35,46.82,47.08,1959610,PCG
