index,open,high,low,close,volume,Name
2013-02-08,26.96,27.03,26.79,26.88,37444410,PFE
2013-02-09,26.94,27.1,26.82,26.97,33730231,PFE
2013-02-10,26.91,27.16,26.86,27.05,30016051,PFE
2013-02-11,26.89,27.23,26.89,27.14,26301872,PFE
2013-02-12,27.14,27.18,26.99,26.99,21160293,PFE
2013-02-13,27.01,27.19,26.83,27.0,23903919,PFE
2013-02-14,26.91,27.14,26.81,27.06,24209871,PFE
2013-02-15,27.15,27.43,27.12,27.29,29582324,PFE
2013-02-16,27.21,27.5,27.18,27.4,29292266,PFE
2013-02-17,27.28,27.57,27.25,27.5,29002209,PFE
2013-02-18,27.34,27.64,27.32,27.6,28712152,PFE
2013-02-19,27.4,27.71,27.38,27.71,28422094,PFE
2013-02-20,27.65,27.75,27.55,27.57,26058159,PFE
2013-02-21,27.41,27.54,27.23,27.41,24520676,PFE
2013-02-22,27.48,27.5,27.13,27.38,29726833,PFE
2013-02-23,27.39,27.45,27.03,27.2,31664737,PFE
2013-02-24,27.3,27.4,26.94,27.02,33602642,PFE
2013-02-25,27.21,27.35,26.84,26.84,35540546,PFE
2013-02-26,26.89,27.1,26.82,27.03,29985991,PFE
2013-02-27,26.93,27.54,26.92,27.41,24385149,PFE
2013-02-28,27.37,27.64,27.36,27.37,30099312,PFE
2013-03-01,27.18,27.45,27.15,27.39,29066820,PFE
2013-03-02,27.22,27.53,27.19,27.49,27687902,PFE
2013-03-03,27.27,27.62,27.22,27.59,26308985,PFE
2013-03-04,27.31,27.7,27.26,27.69,24930067,PFE
2013-03-05,27.77,28.2,27.77,28.07,31103766,PFE
2013-03-06,28.1,28.21,27.93,28.12,27121255,PFE
2013-03-07,28.18,28.38,28.12,28.27,27694715,PFE
2013-03-08,28.33,28.36,28.04,28.19,27033979,PFE
2013-03-09,28.27,28.34,28.06,28.21,26521130,PFE
2013-03-10,28.22,28.33,28.08,28.23,26008281,PFE
2013-03-11,28.16,28.31,28.1,28.25,25495432,PFE
2013-03-12,28.23,28.23,27.88,27.94,29713877,PFE
2013-03-13,27.93,28.08,27.8,28.02,24738350,PFE
2013-03-14,28.04,28.11,27.88,28.11,27788247,PFE
2013-03-15,27.84,28.06,27.76,28.02,63159497,PFE
2013-03-16,27.81,28.12,27.75,28.03,51880472,PFE
2013-03-17,27.77,28.18,27.74,28.03,40601446,PFE
2013-03-18,27.74,28.24,27.74,28.04,29322421,PFE
2013-03-19,28.1,28.23,27.9,27.99,27108658,PFE
2013-03-20,28.17,28.4,28.11,28.29,30696743,PFE
2013-03-21,28.17,28.32,28.02,28.11,23583170,PFE
2013-03-22,28.12,28.39,28.11,28.38,23087238,PFE
2013-03-23,28.23,28.43,28.07,28.31,25630678,PFE
2013-03-24,28.34,28.47,28.02,28.23,28174117,PFE
2013-03-25,28.45,28.51,27.98,28.16,30717557,PFE
2013-03-26,28.26,28.66,28.23,28.6,31844831,PFE
2013-03-27,28.52,28.66,28.45,28.64,23575798,PFE
2013-03-28,28.66,28.9,28.62,28.86,27941527,PFE
2013-03-29,28.68,28.88,28.64,28.86,25777682,PFE
2013-03-30,28.7,28.87,28.65,28.85,23613837,PFE
2013-03-31,28.73,28.86,28.66,28.84,21449992,PFE
2013-04-01,28.75,28.84,28.68,28.84,19286147,PFE
2013-04-02,28.97,29.32,28.94,29.23,24422226,PFE
2013-04-03,29.23,29.34,28.88,29.03,34534604,PFE
2013-04-04,29.18,29.44,29.04,29.16,30533785,PFE
2013-04-05,28.96,29.2,28.92,29.1,30439811,PFE
2013-04-06,28.97,29.19,28.83,29.12,28945684,PFE
2013-04-07,28.97,29.18,28.73,29.14,27451556,PFE
2013-04-08,28.98,29.17,28.64,29.16,25957429,PFE
2013-04-09,29.03,29.35,28.95,29.11,27543690,PFE
2013-04-10,29.49,30.0,29.45,29.92,40978102,PFE
2013-04-11,29.93,30.82,29.92,30.64,54657376,PFE
2013-04-12,30.45,30.88,30.45,30.67,39053576,PFE
2013-04-13,30.5,30.92,30.45,30.6,41674086,PFE
2013-04-14,30.56,30.95,30.45,30.52,44294595,PFE
2013-04-15,30.61,30.99,30.45,30.45,46915105,PFE
2013-04-16,30.54,30.99,30.48,30.94,31458844,PFE
2013-04-17,30.8,30.94,30.52,30.87,32243571,PFE
2013-04-18,30.85,30.94,30.48,30.59,31787672,PFE
2013-04-19,30.73,31.06,30.6,31.06,29233931,PFE
2013-04-20,30.85,31.07,30.66,31.02,28186901,PFE
2013-04-21,30.96,31.09,30.71,30.97,27139870,PFE
2013-04-22,31.08,31.1,30.76,30.93,26092840,PFE
2013-04-23,30.98,31.15,30.62,31.08,33111928,PFE
2013-04-24,31.08,31.13,30.56,30.6,31516314,PFE
2013-04-25,30.65,30.66,29.92,30.26,35558886,PFE
2013-04-26,29.23,30.17,28.79,30.09,54022530,PFE
2013-04-27,29.53,30.31,29.17,30.2,45257981,PFE
2013-04-28,29.82,30.44,29.55,30.32,36493432,PFE
2013-04-29,30.12,30.58,29.93,30.43,27728883,PFE
2013-04-30,29.42,29.89,29.03,29.07,70033859,PFE
2013-05-01,28.83,29.73,28.8,28.9,45090672,PFE
2013-05-02,29.03,29.33,28.99,29.27,31860861,PFE
2013-05-03,29.53,29.63,28.7,28.96,43823118,PFE
2013-05-04,29.33,29.4,28.7,28.88,40251541,PFE
2013-05-05,29.13,29.16,28.7,28.8,36679965,PFE
2013-05-06,28.93,28.93,28.7,28.72,33108388,PFE
2013-05-07,28.89,29.18,28.83,29.03,30954131,PFE
2013-05-08,28.89,29.02,28.58,28.73,30748326,PFE
2013-05-09,28.75,28.77,28.42,28.6,27826080,PFE
2013-05-10,28.59,28.8,28.57,28.72,33069718,PFE
2013-05-11,28.64,28.99,28.6,28.94,33229360,PFE
2013-05-12,28.7,29.18,28.64,29.15,33389003,PFE
2013-05-13,28.75,29.37,28.67,29.37,33548645,PFE
2013-05-14,29.39,29.5,29.28,29.4,32727256,PFE
2013-05-15,29.4,29.69,29.18,29.56,29536204,PFE
2013-05-16,29.47,29.58,29.22,29.25,27609852,PFE
2013-05-17,29.21,29.37,28.83,28.96,37639072,PFE
2013-05-18,29.13,29.25,28.77,28.87,35806828,PFE
2013-05-19,29.05,29.14,28.71,28.79,33974585,PFE
2013-05-20,28.97,29.02,28.65,28.7,32142341,PFE
2013-05-21,28.71,28.83,28.31,28.78,44106364,PFE
2013-05-22,29.55,30.04,29.21,29.3,83672231,PFE
2013-05-23,29.08,29.33,28.85,29.11,51706133,PFE
2013-05-24,28.86,29.11,28.68,29.04,35080613,PFE
2013-05-25,28.97,29.21,28.74,29.03,35773081,PFE
2013-05-26,29.08,29.3,28.81,29.02,36465550,PFE
2013-05-27,29.19,29.4,28.88,29.02,37158018,PFE
2013-05-28,29.3,29.5,28.94,29.01,37850486,PFE
2013-05-29,28.86,28.9,28.1,28.28,48860657,PFE
2013-05-30,28.37,28.45,28.11,28.25,43117321,PFE
2013-05-31,28.27,28.27,27.23,27.23,89694447,PFE
2013-06-01,27.95,28.1,27.19,27.4,78995287,PFE
2013-06-02,27.62,27.94,27.16,27.58,68296127,PFE
2013-06-03,27.3,27.77,27.12,27.75,57596967,PFE
2013-06-04,27.83,28.05,27.33,27.66,69971169,PFE
2013-06-05,27.73,27.97,27.38,27.48,71199325,PFE
2013-06-06,27.48,28.15,27.39,28.11,82473323,PFE
2013-06-07,28.24,28.62,28.03,28.26,83975306,PFE
2013-06-08,28.29,28.61,28.11,28.3,78147541,PFE
2013-06-09,28.33,28.6,28.19,28.33,72319777,PFE
2013-06-10,28.38,28.59,28.27,28.37,66492012,PFE
2013-06-11,28.04,28.64,27.95,28.42,83130060,PFE
2013-06-12,28.65,28.96,28.4,28.43,87974329,PFE
2013-06-13,28.37,29.15,28.35,29.08,72315254,PFE
2013-06-14,29.02,29.36,28.94,29.09,81829202,PFE
2013-06-15,29.15,29.37,28.93,29.11,105248660,PFE
2013-06-16,29.27,29.39,28.91,29.14,128668117,PFE
2013-06-17,29.4,29.4,28.9,29.16,152087575,PFE
2013-06-18,29.13,29.45,29.03,29.4,160345353,PFE
2013-06-19,29.37,29.81,28.9,29.1,121043136,PFE
2013-06-20,29.02,29.23,28.45,28.64,95696887,PFE
2013-06-21,28.86,29.11,28.46,28.46,222101847,PFE
2013-06-22,28.63,28.86,28.15,28.21,221716887,PFE
2013-06-23,28.39,28.62,27.83,27.96,221331926,PFE
2013-06-24,28.16,28.38,27.52,27.71,220946966,PFE
2013-06-25,28.08,28.15,27.58,27.99,118338161,PFE
2013-06-26,28.08,28.36,27.85,28.1,85893518,PFE
2013-06-27,28.39,28.66,28.11,28.18,154440304,PFE
2013-06-28,28.54,28.72,28.0,28.01,123046162,PFE
2013-06-29,28.35,28.58,27.91,27.93,104619793,PFE
2013-06-30,28.16,28.44,27.81,27.86,86193425,PFE
2013-07-01,27.97,28.3,27.71,27.78,67767056,PFE
2013-07-02,27.72,27.92,27.42,27.7,61299403,PFE
2013-07-03,27.46,27.7,27.33,27.65,22039760,PFE
2013-07-04,27.76,27.9,27.56,27.81,29314324,PFE
2013-07-05,28.05,28.1,27.78,27.97,36588888,PFE
2013-07-06,28.11,28.17,27.88,28.02,35121088,PFE
2013-07-07,28.18,28.23,27.98,28.08,33653289,PFE
2013-07-08,28.24,28.3,28.08,28.13,32185489,PFE
2013-07-09,28.31,28.47,28.27,28.35,29130991,PFE
2013-07-10,28.47,28.51,28.3,28.44,27169247,PFE
2013-07-11,28.84,28.9,28.61,28.77,35929438,PFE
2013-07-12,28.5,28.81,28.46,28.81,29252551,PFE
2013-07-13,28.6,28.84,28.48,28.8,28877642,PFE
2013-07-14,28.69,28.86,28.5,28.8,28502732,PFE
2013-07-15,28.79,28.89,28.52,28.79,28127823,PFE
2013-07-16,28.84,28.96,28.62,28.68,34854756,PFE
2013-07-17,28.79,28.94,28.64,28.68,26058865,PFE
2013-07-18,28.67,28.79,28.46,28.49,31656589,PFE
2013-07-19,28.51,29.24,28.36,29.09,49061182,PFE
2013-07-20,28.67,29.3,28.57,29.18,42299518,PFE
2013-07-21,28.84,29.35,28.79,29.26,35537855,PFE
2013-07-22,29.0,29.41,29.0,29.35,28776191,PFE
2013-07-23,29.38,29.53,29.32,29.42,27277895,PFE
2013-07-24,29.44,29.55,29.18,29.28,23825591,PFE
2013-07-25,29.03,29.25,28.68,29.19,26352975,PFE
2013-07-26,28.92,29.41,28.91,29.37,26596732,PFE
2013-07-27,29.08,29.58,29.04,29.43,33256861,PFE
2013-07-28,29.24,29.74,29.17,29.48,39916990,PFE
2013-07-29,29.4,29.91,29.3,29.54,46577119,PFE
2013-07-30,29.89,30.43,29.64,29.67,44128717,PFE
2013-07-31,29.44,29.76,29.21,29.23,31310610,PFE
2013-08-01,29.43,29.45,28.98,29.11,31700015,PFE
2013-08-02,28.95,29.41,28.95,29.37,21919404,PFE
2013-08-03,29.07,29.39,29.01,29.31,19410493,PFE
2013-08-04,29.18,29.38,29.07,29.25,16901582,PFE
2013-08-05,29.3,29.36,29.13,29.19,14392671,PFE
2013-08-06,29.24,29.42,29.18,29.34,24740970,PFE
2013-08-07,29.27,29.45,29.19,29.26,21400949,PFE
2013-08-08,29.22,29.3,29.02,29.13,22531861,PFE
2013-08-09,29.08,29.26,29.01,29.21,19720330,PFE
2013-08-10,29.08,29.25,29.02,29.2,19638864,PFE
2013-08-11,29.07,29.24,29.02,29.2,19557399,PFE
2013-08-12,29.07,29.23,29.03,29.19,19475933,PFE
2013-08-13,29.25,29.41,29.1,29.27,20028468,PFE
2013-08-14,29.22,29.44,29.0,29.03,23936587,PFE
2013-08-15,28.94,29.09,28.76,28.8,27240050,PFE
2013-08-16,28.66,28.68,28.29,28.37,28273643,PFE
2013-08-17,28.53,28.62,28.27,28.4,27793450,PFE
2013-08-18,28.4,28.55,28.25,28.43,27313257,PFE
2013-08-19,28.27,28.49,28.23,28.46,26833064,PFE
2013-08-20,28.56,28.75,28.52,28.53,20293003,PFE
2013-08-21,28.5,28.58,28.22,28.24,23225418,PFE
2013-08-22,28.33,28.33,28.11,28.16,22739780,PFE
2013-08-23,28.14,28.36,28.09,28.34,18506036,PFE
2013-08-24,28.2,28.36,28.07,28.23,19024140,PFE
2013-08-25,28.27,28.37,28.04,28.13,19542243,PFE
2013-08-26,28.33,28.37,28.02,28.02,20060347,PFE
2013-08-27,27.92,28.28,27.76,28.0,24604624,PFE
2013-08-28,27.95,28.49,27.81,28.21,29224555,PFE
2013-08-29,28.12,28.48,28.07,28.1,22075825,PFE
2013-08-30,28.05,28.4,28.01,28.21,29782347,PFE
2013-08-31,28.13,28.41,27.97,28.16,28258054,PFE
2013-09-01,28.22,28.42,27.94,28.11,26733760,PFE
2013-09-02,28.3,28.44,27.9,28.06,25209466,PFE
2013-09-03,28.38,28.45,27.86,28.01,23685173,PFE
2013-09-04,28.19,28.54,28.07,28.37,25402628,PFE
2013-09-05,28.52,28.52,28.16,28.27,20829523,PFE
2013-09-06,28.28,28.54,28.07,28.28,22281437,PFE
2013-09-07,28.26,28.48,28.08,28.29,22183969,PFE
2013-09-08,28.25,28.42,28.09,28.29,22086502,PFE
2013-09-09,28.24,28.36,28.1,28.3,21989034,PFE
2013-09-10,28.38,28.52,28.28,28.45,23756483,PFE
2013-09-11,28.53,28.74,28.48,28.67,20081364,PFE
2013-09-12,28.64,28.75,28.27,28.31,28440104,PFE
2013-09-13,28.39,28.65,28.32,28.51,21959315,PFE
2013-09-14,28.51,28.72,28.41,28.58,22344046,PFE
2013-09-15,28.62,28.78,28.51,28.64,22728777,PFE
2013-09-16,28.74,28.85,28.6,28.71,23113508,PFE
2013-09-17,28.66,28.84,28.57,28.64,21992700,PFE
2013-09-18,28.73,29.27,28.65,29.04,30336346,PFE
2013-09-19,29.04,29.15,28.65,28.84,33651865,PFE
2013-09-20,28.97,29.13,28.92,28.97,40547685,PFE
2013-09-21,28.9,29.1,28.85,28.91,35324962,PFE
2013-09-22,28.84,29.07,28.78,28.86,30102239,PFE
2013-09-23,28.77,29.04,28.7,28.8,24879516,PFE
2013-09-24,28.73,28.94,28.61,28.71,18763247,PFE
