index,open,high,low,close,volume,Name
2013-02-08,19.42,19.54,19.12,19.47,7336189,PHM
2013-02-09,19.41,19.6,19.14,19.41,7500165,PHM
2013-02-10,19.41,19.65,19.15,19.36,7664140,PHM
2013-02-11,19.4,19.71,19.17,19.3,7828116,PHM
2013-02-12,19.32,20.65,19.32,20.32,16710966,PHM
2013-02-13,20.22,20.55,20.03,20.23,6665863,PHM
2013-02-14,20.18,20.4,20.12,20.27,6464221,PHM
2013-02-15,20.22,20.62,20.22,20.31,6650321,PHM
2013-02-16,20.24,20.62,20.05,20.22,7349204,PHM
2013-02-17,20.27,20.61,19.88,20.13,8048087,PHM
2013-02-18,20.3,20.6,19.7,20.04,8746970,PHM
2013-02-19,20.32,20.6,19.53,19.95,9445853,PHM
2013-02-20,19.69,19.72,18.45,18.6,12943676,PHM
2013-02-21,18.52,19.09,17.98,18.75,13358302,PHM
2013-02-22,18.93,19.0,18.63,18.9,6158379,PHM
2013-02-23,18.96,19.03,18.42,18.61,7797890,PHM
2013-02-24,18.99,19.07,18.22,18.31,9437402,PHM
2013-02-25,19.02,19.1,18.01,18.02,11076913,PHM
2013-02-26,18.23,19.09,18.02,19.05,14170357,PHM
2013-02-27,19.01,19.6,18.84,19.3,11264662,PHM
2013-02-28,19.36,19.69,19.08,19.18,8348879,PHM
2013-03-01,19.01,19.36,18.6,19.25,7505189,PHM
2013-03-02,19.06,19.5,18.77,19.41,7783714,PHM
2013-03-03,19.1,19.65,18.95,19.56,8062239,PHM
2013-03-04,19.15,19.79,19.12,19.72,8340764,PHM
2013-03-05,19.84,20.36,19.82,20.22,8699395,PHM
2013-03-06,20.36,20.5,19.9,20.08,7676399,PHM
2013-03-07,20.17,20.26,19.9,20.19,5286097,PHM
2013-03-08,20.4,20.46,19.82,20.26,7176307,PHM
2013-03-09,20.35,20.45,19.9,20.22,6696440,PHM
2013-03-10,20.3,20.44,19.97,20.19,6216574,PHM
2013-03-11,20.25,20.43,20.05,20.15,5736707,PHM
2013-03-12,20.13,20.15,19.59,19.75,6934545,PHM
2013-03-13,19.74,20.15,19.57,19.87,11353758,PHM
2013-03-14,20.05,20.72,19.95,20.56,12365179,PHM
2013-03-15,20.5,20.86,20.41,20.75,10776949,PHM
2013-03-16,20.48,20.9,20.38,20.75,9858269,PHM
2013-03-17,20.46,20.94,20.36,20.75,8939588,PHM
2013-03-18,20.44,20.98,20.33,20.75,8020908,PHM
2013-03-19,21.14,21.3,20.64,20.82,9589370,PHM
2013-03-20,21.08,21.6,20.99,21.38,9099265,PHM
2013-03-21,21.3,21.39,20.86,20.97,14632048,PHM
2013-03-22,21.09,21.13,20.53,20.65,6839358,PHM
2013-03-23,20.98,21.12,20.42,20.55,7914262,PHM
2013-03-24,20.86,21.1,20.32,20.45,8989167,PHM
2013-03-25,20.75,21.09,20.21,20.35,10064071,PHM
2013-03-26,20.53,20.54,20.07,20.17,6346037,PHM
2013-03-27,20.03,20.37,19.83,20.32,5675832,PHM
2013-03-28,20.35,20.54,20.09,20.24,5713028,PHM
2013-03-29,20.31,20.51,20.01,20.21,6123675,PHM
2013-03-30,20.27,20.48,19.94,20.18,6534322,PHM
2013-03-31,20.23,20.45,19.86,20.15,6944969,PHM
2013-04-01,20.19,20.42,19.78,20.12,7355616,PHM
2013-04-02,20.19,20.47,19.76,19.86,8096267,PHM
2013-04-03,19.83,19.99,18.58,19.01,16194996,PHM
2013-04-04,19.12,19.28,18.86,18.98,9002275,PHM
2013-04-05,18.51,19.17,18.38,19.13,10252645,PHM
2013-04-06,18.71,19.38,18.55,19.33,9941193,PHM
2013-04-07,18.9,19.59,18.73,19.53,9629741,PHM
2013-04-08,19.1,19.8,18.9,19.73,9318289,PHM
2013-04-09,19.61,19.86,19.26,19.45,6115038,PHM
2013-04-10,19.56,19.58,19.01,19.25,8684107,PHM
2013-04-11,19.24,19.69,19.16,19.32,6969257,PHM
2013-04-12,19.17,19.69,19.13,19.22,5654224,PHM
2013-04-13,19.12,19.47,18.7,18.76,7553138,PHM
2013-04-14,19.07,19.25,18.28,18.31,9452051,PHM
2013-04-15,19.02,19.03,17.85,17.85,11350965,PHM
2013-04-16,18.41,18.65,17.97,18.6,13139968,PHM
2013-04-17,18.33,18.35,17.79,18.26,9467253,PHM
2013-04-18,18.27,18.32,17.46,17.54,9831969,PHM
2013-04-19,17.66,18.15,17.56,17.99,9983262,PHM
2013-04-20,17.78,18.22,17.57,18.1,8842820,PHM
2013-04-21,17.91,18.3,17.59,18.2,7702378,PHM
2013-04-22,18.03,18.37,17.6,18.31,6561936,PHM
2013-04-23,18.82,19.67,18.82,19.4,13688343,PHM
2013-04-24,19.43,19.88,19.09,19.69,12446212,PHM
2013-04-25,19.75,21.12,19.63,20.79,16656831,PHM
2013-04-26,21.2,21.52,20.74,21.35,14440475,PHM
2013-04-27,21.32,21.59,20.83,21.3,13039378,PHM
2013-04-28,21.44,21.67,20.93,21.26,11638282,PHM
2013-04-29,21.56,21.74,21.02,21.21,10237185,PHM
2013-04-30,20.99,21.23,20.6,20.99,9025202,PHM
2013-05-01,20.89,21.0,20.44,20.9,9496865,PHM
2013-05-02,21.08,21.95,21.04,21.93,10881157,PHM
2013-05-03,22.35,22.78,21.89,22.32,13537237,PHM
2013-05-04,22.33,22.77,21.96,22.43,11508604,PHM
2013-05-05,22.3,22.76,22.03,22.53,9479970,PHM
2013-05-06,22.28,22.75,22.1,22.64,7451337,PHM
2013-05-07,22.67,22.91,22.39,22.87,8331902,PHM
2013-05-08,22.86,22.9,22.41,22.86,7799263,PHM
2013-05-09,22.84,23.59,22.76,22.85,11834064,PHM
2013-05-10,22.85,23.24,22.64,23.22,6292673,PHM
2013-05-11,22.95,23.34,22.78,23.28,6105347,PHM
2013-05-12,23.05,23.45,22.92,23.33,5918022,PHM
2013-05-13,23.15,23.55,23.06,23.39,5730696,PHM
2013-05-14,23.54,24.26,23.44,24.25,7750837,PHM
2013-05-15,24.2,24.47,23.79,23.98,8504346,PHM
2013-05-16,23.86,24.15,23.03,23.35,12016752,PHM
2013-05-17,23.48,24.06,23.48,23.95,7007626,PHM
2013-05-18,23.59,24.1,23.48,23.84,6687861,PHM
2013-05-19,23.71,24.13,23.49,23.72,6368096,PHM
2013-05-20,23.82,24.17,23.49,23.61,6048331,PHM
2013-05-21,23.67,23.89,22.63,23.05,10709093,PHM
2013-05-22,22.9,23.62,22.19,22.43,13819590,PHM
2013-05-23,21.99,22.86,21.7,22.53,14473042,PHM
2013-05-24,22.42,22.75,22.09,22.73,7688109,PHM
2013-05-25,22.6,22.92,22.19,22.74,7360456,PHM
2013-05-26,22.79,23.1,22.28,22.76,7032803,PHM
2013-05-27,22.98,23.28,22.38,22.78,6705150,PHM
2013-05-28,23.16,23.45,22.48,22.79,6377497,PHM
2013-05-29,22.57,22.58,21.82,22.05,7061121,PHM
2013-05-30,22.18,22.44,21.81,22.11,4845346,PHM
2013-05-31,21.96,22.38,21.57,21.59,6163466,PHM
2013-06-01,21.91,22.19,21.29,21.5,7264415,PHM
2013-06-02,21.87,22.01,21.02,21.41,8365365,PHM
2013-06-03,21.82,21.82,20.74,21.32,9466314,PHM
2013-06-04,21.34,21.56,20.47,20.56,13348967,PHM
2013-06-05,20.47,20.5,19.95,20.16,12963572,PHM
2013-06-06,20.07,21.18,19.95,21.1,10481507,PHM
2013-06-07,21.32,21.73,20.68,21.06,8728924,PHM
2013-06-08,21.24,21.54,20.5,20.92,8616486,PHM
2013-06-09,21.17,21.35,20.33,20.78,8504047,PHM
2013-06-10,21.09,21.16,20.15,20.64,8391609,PHM
2013-06-11,20.3,20.7,20.0,20.11,5795126,PHM
2013-06-12,20.37,20.41,19.92,20.01,6984108,PHM
2013-06-13,20.0,21.02,19.98,20.94,6870866,PHM
2013-06-14,20.89,21.25,20.83,20.86,5685517,PHM
2013-06-15,20.95,21.42,20.87,21.05,6423469,PHM
2013-06-16,21.02,21.58,20.91,21.23,7161420,PHM
2013-06-17,21.08,21.75,20.95,21.42,7899372,PHM
2013-06-18,21.39,21.62,20.87,21.49,7105319,PHM
2013-06-19,21.55,21.6,20.73,20.76,7609583,PHM
2013-06-20,20.13,20.19,18.33,18.87,28394388,PHM
2013-06-21,19.21,19.25,18.11,18.81,14107613,PHM
2013-06-22,18.78,19.05,17.99,18.64,13468981,PHM
2013-06-23,18.36,18.86,17.87,18.48,12830348,PHM
2013-06-24,17.93,18.66,17.75,18.31,12191716,PHM
2013-06-25,19.04,19.47,18.81,19.02,15673118,PHM
2013-06-26,19.22,19.38,18.84,19.03,11846828,PHM
2013-06-27,19.3,19.43,18.89,19.38,11918461,PHM
2013-06-28,19.35,19.38,18.82,18.97,13974198,PHM
2013-06-29,19.28,19.42,18.9,19.02,11183582,PHM
2013-06-30,19.2,19.45,18.98,19.06,8392965,PHM
2013-07-01,19.13,19.49,19.06,19.11,5602349,PHM
2013-07-02,19.03,19.32,18.87,19.0,7758003,PHM
2013-07-03,18.87,19.2,18.86,19.15,3051957,PHM
2013-07-04,19.09,19.26,18.56,18.87,5450326,PHM
2013-07-05,19.31,19.31,18.27,18.59,7848694,PHM
2013-07-06,19.1,19.14,18.18,18.41,8050201,PHM
2013-07-07,18.88,18.97,18.1,18.24,8251709,PHM
2013-07-08,18.67,18.8,18.01,18.06,8453216,PHM
2013-07-09,18.21,19.28,18.21,19.05,13041460,PHM
2013-07-10,19.08,19.31,18.78,19.02,6825317,PHM
2013-07-11,20.12,20.5,19.95,20.39,12568007,PHM
2013-07-12,20.4,20.57,20.03,20.22,5212652,PHM
2013-07-13,20.34,20.48,19.82,19.99,5955975,PHM
2013-07-14,20.27,20.38,19.61,19.77,6699299,PHM
2013-07-15,20.21,20.29,19.4,19.54,7442622,PHM
2013-07-16,19.52,19.96,19.12,19.28,9458506,PHM
2013-07-17,19.27,19.79,18.98,19.49,7292963,PHM
2013-07-18,19.53,19.69,19.04,19.11,5866599,PHM
2013-07-19,19.08,19.5,18.98,19.36,5058709,PHM
2013-07-20,19.17,19.5,18.94,19.29,5970091,PHM
2013-07-21,19.26,19.5,18.91,19.21,6881474,PHM
2013-07-22,19.35,19.5,18.87,19.14,7792856,PHM
2013-07-23,19.2,19.45,19.11,19.34,4687511,PHM
2013-07-24,19.32,19.54,18.15,18.45,12901618,PHM
2013-07-25,17.09,17.2,16.13,16.55,31730949,PHM
2013-07-26,16.51,16.82,16.23,16.36,18041323,PHM
2013-07-27,16.42,16.78,16.24,16.37,16587498,PHM
2013-07-28,16.34,16.74,16.24,16.38,15133672,PHM
2013-07-29,16.25,16.7,16.25,16.39,13679847,PHM
2013-07-30,16.56,16.67,16.14,16.18,17986431,PHM
2013-07-31,16.19,16.98,16.11,16.63,16020915,PHM
2013-08-01,16.85,16.94,16.47,16.72,8800101,PHM
2013-08-02,16.77,17.29,16.73,17.22,10284857,PHM
2013-08-03,16.89,17.24,16.67,17.1,10467496,PHM
2013-08-04,17.01,17.2,16.62,16.98,10650136,PHM
2013-08-05,17.13,17.15,16.56,16.86,10832775,PHM
2013-08-06,16.76,16.78,16.16,16.19,10839919,PHM
2013-08-07,16.11,16.11,15.66,15.78,12409753,PHM
2013-08-08,16.03,16.09,15.72,15.76,8883305,PHM
2013-08-09,15.71,15.83,15.44,15.67,10772927,PHM
2013-08-10,15.69,15.86,15.5,15.69,10476242,PHM
2013-08-11,15.67,15.89,15.56,15.71,10179556,PHM
2013-08-12,15.65,15.92,15.62,15.73,9882871,PHM
