index,open,high,low,close,volume,Name
2013-02-08,39.78,40.34,39.77,40.15,721735,PKG
2013-02-09,39.95,40.35,39.74,40.17,654206,PKG
2013-02-10,40.13,40.36,39.71,40.2,586676,PKG
2013-02-11,40.3,40.37,39.68,40.22,519147,PKG
2013-02-12,40.22,40.37,39.87,40.08,554519,PKG
2013-02-13,40.23,40.43,39.97,40.28,385961,PKG
2013-02-14,40.11,40.49,40.1,40.36,347580,PKG
2013-02-15,40.48,40.7,40.36,40.64,370554,PKG
2013-02-16,40.55,40.77,40.3,40.54,464212,PKG
2013-02-17,40.62,40.84,40.24,40.44,557871,PKG
2013-02-18,40.69,40.9,40.18,40.35,651530,PKG
2013-02-19,40.76,40.97,40.12,40.25,745188,PKG
2013-02-20,40.29,40.43,39.23,39.24,883952,PKG
2013-02-21,39.22,41.33,38.91,40.87,2565214,PKG
2013-02-22,40.9,42.28,40.9,41.8,1347104,PKG
2013-02-23,41.37,42.34,40.97,41.57,1258368,PKG
2013-02-24,41.83,42.4,41.03,41.33,1169632,PKG
2013-02-25,42.3,42.46,41.1,41.1,1080896,PKG
2013-02-26,41.53,41.71,41.25,41.66,1272269,PKG
2013-02-27,41.35,42.26,41.29,41.79,1375666,PKG
2013-02-28,41.84,42.33,41.67,41.78,919233,PKG
2013-03-01,41.61,42.0,41.12,41.62,1337216,PKG
2013-03-02,41.62,42.15,41.27,41.89,1203286,PKG
2013-03-03,41.64,42.3,41.42,42.17,1069356,PKG
2013-03-04,41.65,42.46,41.57,42.44,935426,PKG
2013-03-05,42.65,43.03,42.56,42.73,618482,PKG
2013-03-06,42.96,43.42,42.86,42.91,810345,PKG
2013-03-07,42.9,43.38,42.89,43.32,553266,PKG
2013-03-08,43.49,43.86,43.24,43.45,582869,PKG
2013-03-09,43.48,43.8,43.27,43.48,548674,PKG
2013-03-10,43.47,43.74,43.31,43.51,514478,PKG
2013-03-11,43.46,43.68,43.34,43.54,480283,PKG
2013-03-12,43.56,43.56,43.03,43.13,447228,PKG
2013-03-13,42.97,42.97,42.23,42.53,1107006,PKG
2013-03-14,42.83,43.04,42.57,42.91,680506,PKG
2013-03-15,42.96,43.18,42.67,43.14,860661,PKG
2013-03-16,42.71,43.21,42.51,43.09,795396,PKG
2013-03-17,42.45,43.25,42.36,43.05,730130,PKG
2013-03-18,42.2,43.28,42.2,43.0,664865,PKG
2013-03-19,42.96,43.25,42.77,43.02,918873,PKG
2013-03-20,43.25,43.56,42.93,43.26,741729,PKG
2013-03-21,43.18,43.44,42.78,42.89,604077,PKG
2013-03-22,42.95,43.32,42.63,43.08,867510,PKG
2013-03-23,42.83,43.34,42.56,43.13,885456,PKG
2013-03-24,42.72,43.37,42.5,43.18,903402,PKG
2013-03-25,42.6,43.39,42.43,43.23,921348,PKG
2013-03-26,43.31,44.08,43.31,44.05,813042,PKG
2013-03-27,43.87,44.51,43.6,44.44,714943,PKG
2013-03-28,44.51,44.93,44.3,44.87,568903,PKG
2013-03-29,44.59,44.94,44.3,44.79,588046,PKG
2013-03-30,44.66,44.95,44.31,44.7,607190,PKG
2013-03-31,44.74,44.96,44.31,44.62,626333,PKG
2013-04-01,44.82,44.97,44.31,44.54,645476,PKG
2013-04-02,44.73,45.26,44.55,45.0,865460,PKG
2013-04-03,44.97,45.14,44.15,44.51,1392981,PKG
2013-04-04,44.5,44.68,43.96,44.08,1192152,PKG
2013-04-05,43.67,44.33,42.78,44.25,1431939,PKG
2013-04-06,43.86,44.45,43.26,44.39,1066918,PKG
2013-04-07,44.04,44.58,43.74,44.52,701896,PKG
2013-04-08,44.23,44.7,44.23,44.66,336875,PKG
2013-04-09,44.8,44.86,44.41,44.62,553346,PKG
2013-04-10,44.67,45.12,44.58,44.91,991020,PKG
2013-04-11,44.95,45.69,44.55,44.92,1095106,PKG
2013-04-12,45.01,45.27,44.37,44.86,780956,PKG
2013-04-13,44.86,45.04,43.7,44.07,1116739,PKG
2013-04-14,44.72,44.8,43.03,43.29,1452521,PKG
2013-04-15,44.57,44.57,42.36,42.5,1788304,PKG
2013-04-16,42.84,44.29,42.71,44.28,1206236,PKG
2013-04-17,43.81,43.81,42.77,43.39,1198805,PKG
2013-04-18,43.55,43.64,42.88,43.2,978993,PKG
2013-04-19,43.41,44.26,43.08,43.27,878577,PKG
2013-04-20,43.36,44.15,42.93,43.42,1081082,PKG
2013-04-21,43.31,44.04,42.79,43.58,1283586,PKG
2013-04-22,43.26,43.93,42.64,43.73,1486091,PKG
2013-04-23,44.16,46.73,44.16,45.53,2572742,PKG
2013-04-24,45.75,46.81,45.39,46.0,1357912,PKG
2013-04-25,46.25,46.37,45.51,46.15,964912,PKG
2013-04-26,46.16,46.32,45.32,45.8,754383,PKG
2013-04-27,46.11,46.65,45.48,46.24,1061767,PKG
2013-04-28,46.05,46.97,45.64,46.69,1369150,PKG
2013-04-29,46.0,47.3,45.8,47.13,1676534,PKG
2013-04-30,47.2,47.57,46.52,47.56,1263056,PKG
2013-05-01,47.35,47.46,46.45,46.73,1105392,PKG
2013-05-02,46.65,47.54,46.38,46.84,1711249,PKG
2013-05-03,47.2,48.02,47.2,47.65,663462,PKG
2013-05-04,47.4,48.03,47.33,47.76,629143,PKG
2013-05-05,47.61,48.03,47.45,47.87,594825,PKG
2013-05-06,47.81,48.04,47.58,47.98,560506,PKG
2013-05-07,48.16,49.13,48.09,49.09,1667419,PKG
2013-05-08,49.1,49.58,48.73,49.52,885354,PKG
2013-05-09,49.52,50.0,49.15,49.38,862175,PKG
2013-05-10,49.32,49.54,48.64,48.72,908147,PKG
2013-05-11,49.13,49.5,48.58,48.91,811965,PKG
2013-05-12,48.95,49.47,48.53,49.11,715783,PKG
2013-05-13,48.76,49.43,48.47,49.3,619601,PKG
2013-05-14,49.27,49.94,49.27,49.89,973162,PKG
2013-05-15,49.86,50.6,49.54,50.08,1243388,PKG
2013-05-16,50.25,50.78,49.71,49.81,1089378,PKG
2013-05-17,49.86,50.22,49.5,49.83,472253,PKG
2013-05-18,49.83,50.28,49.57,49.96,549679,PKG
2013-05-19,49.79,50.34,49.65,50.1,627106,PKG
2013-05-20,49.76,50.4,49.72,50.23,704532,PKG
2013-05-21,50.17,50.49,50.05,50.39,857730,PKG
2013-05-22,50.4,50.7,49.51,49.74,681282,PKG
2013-05-23,49.15,50.0,48.83,49.7,885113,PKG
2013-05-24,49.39,49.55,48.88,49.31,797896,PKG
2013-05-25,49.55,49.8,49.15,49.55,769726,PKG
2013-05-26,49.7,50.04,49.42,49.8,741555,PKG
2013-05-27,49.86,50.28,49.68,50.04,713384,PKG
2013-05-28,50.02,50.53,49.95,50.28,685214,PKG
2013-05-29,49.89,49.89,49.18,49.59,404729,PKG
2013-05-30,49.74,50.02,49.3,49.56,415688,PKG
2013-05-31,49.37,49.79,48.99,49.0,458684,PKG
2013-06-01,49.23,49.56,48.49,48.96,704708,PKG
2013-06-02,49.09,49.32,48.0,48.92,950731,PKG
2013-06-03,48.95,49.09,47.5,48.88,1196755,PKG
2013-06-04,49.0,49.27,48.39,48.77,659657,PKG
2013-06-05,48.61,48.75,47.9,48.13,673458,PKG
2013-06-06,48.01,49.02,47.98,49.02,534715,PKG
2013-06-07,49.23,49.44,48.81,49.1,745806,PKG
2013-06-08,49.26,49.44,48.76,49.13,767611,PKG
2013-06-09,49.29,49.45,48.71,49.17,789416,PKG
2013-06-10,49.32,49.45,48.66,49.2,811221,PKG
2013-06-11,48.52,49.48,48.3,48.92,776961,PKG
2013-06-12,48.92,48.92,47.88,48.03,579059,PKG
2013-06-13,48.28,49.09,48.14,48.92,604126,PKG
2013-06-14,48.97,49.21,48.77,49.05,425289,PKG
2013-06-15,49.12,49.43,48.92,49.19,525529,PKG
2013-06-16,49.27,49.64,49.08,49.33,625769,PKG
2013-06-17,49.42,49.86,49.23,49.47,726009,PKG
2013-06-18,49.64,49.98,49.3,49.52,1193094,PKG
2013-06-19,49.65,49.85,49.26,49.4,1059705,PKG
2013-06-20,49.01,49.11,48.5,48.62,526419,PKG
2013-06-21,48.84,48.91,47.73,48.67,942589,PKG
2013-06-22,48.63,48.69,47.67,48.39,810825,PKG
2013-06-23,48.42,48.48,47.62,48.11,679061,PKG
2013-06-24,48.21,48.26,47.56,47.83,547297,PKG
2013-06-25,48.32,48.45,47.5,47.98,585636,PKG
2013-06-26,48.48,49.07,48.05,48.7,680484,PKG
2013-06-27,49.04,49.38,48.87,48.92,533426,PKG
2013-06-28,48.91,49.52,48.7,48.96,1199755,PKG
2013-06-29,49.03,49.8,48.89,49.18,1066443,PKG
2013-06-30,49.15,50.07,49.08,49.4,933130,PKG
2013-07-01,49.27,50.35,49.27,49.62,799818,PKG
2013-07-02,49.67,50.09,49.31,49.55,975885,PKG
2013-07-03,49.34,49.56,49.25,49.48,436928,PKG
2013-07-04,49.64,49.83,49.51,49.73,451971,PKG
2013-07-05,49.93,50.09,49.77,49.98,467014,PKG
2013-07-06,50.07,50.19,49.79,50.07,506692,PKG
2013-07-07,50.2,50.3,49.81,50.15,546369,PKG
2013-07-08,50.34,50.4,49.83,50.24,586047,PKG
2013-07-09,50.65,50.68,50.15,50.47,733594,PKG
2013-07-10,50.35,50.6,50.16,50.32,1086805,PKG
