index,open,high,low,close,volume,Name
2013-02-08,34.49,34.9,34.49,34.75,1101605,PKI
2013-02-09,34.53,34.87,34.47,34.71,969733,PKI
2013-02-10,34.56,34.84,34.46,34.66,837862,PKI
2013-02-11,34.6,34.8,34.44,34.62,705990,PKI
2013-02-12,34.63,34.94,34.34,34.52,922026,PKI
2013-02-13,34.58,35.01,34.47,34.57,823058,PKI
2013-02-14,34.47,34.69,34.4,34.53,1004740,PKI
2013-02-15,34.63,34.72,34.02,34.13,1434082,PKI
2013-02-16,34.53,34.65,34.0,34.16,1548106,PKI
2013-02-17,34.43,34.58,33.98,34.18,1662130,PKI
2013-02-18,34.33,34.5,33.95,34.2,1776154,PKI
2013-02-19,34.23,34.43,33.93,34.23,1890178,PKI
2013-02-20,34.06,34.13,33.32,33.35,1431289,PKI
2013-02-21,33.27,33.5,32.88,32.99,834915,PKI
2013-02-22,33.09,33.26,32.98,33.24,723406,PKI
2013-02-23,33.2,33.41,32.91,33.09,830286,PKI
2013-02-24,33.3,33.55,32.85,32.94,937166,PKI
2013-02-25,33.41,33.7,32.79,32.79,1044046,PKI
2013-02-26,33.25,33.97,32.9,33.83,1887483,PKI
2013-02-27,33.72,34.47,33.6,34.33,1611430,PKI
2013-02-28,34.4,34.75,34.17,34.17,1092144,PKI
2013-03-01,34.03,34.66,33.85,34.66,1231414,PKI
2013-03-02,34.19,34.66,33.98,34.57,1124452,PKI
2013-03-03,34.34,34.66,34.11,34.47,1017491,PKI
2013-03-04,34.5,34.66,34.24,34.38,910529,PKI
2013-03-05,34.6,34.89,34.5,34.82,956397,PKI
2013-03-06,34.85,34.96,34.75,34.88,635336,PKI
2013-03-07,34.97,35.32,34.68,35.3,1194249,PKI
2013-03-08,35.43,35.56,35.12,35.56,721105,PKI
2013-03-09,35.47,35.66,35.22,35.66,696698,PKI
2013-03-10,35.51,35.76,35.33,35.76,672291,PKI
2013-03-11,35.55,35.86,35.43,35.86,647884,PKI
2013-03-12,35.78,35.86,35.37,35.46,881289,PKI
2013-03-13,35.47,35.49,35.22,35.39,516858,PKI
2013-03-14,35.44,35.54,35.19,35.26,1042020,PKI
2013-03-15,35.23,35.29,35.16,35.25,1054230,PKI
2013-03-16,35.11,35.22,35.05,35.14,922258,PKI
2013-03-17,34.99,35.16,34.93,35.02,790285,PKI
2013-03-18,34.87,35.09,34.82,34.91,658313,PKI
2013-03-19,35.0,35.08,34.71,35.0,1269448,PKI
2013-03-20,35.2,35.26,34.88,35.02,647058,PKI
2013-03-21,34.84,34.95,34.23,34.32,878085,PKI
2013-03-22,34.33,34.46,33.85,34.02,828596,PKI
2013-03-23,34.29,34.38,33.49,33.8,1145752,PKI
2013-03-24,34.26,34.3,33.12,33.59,1462908,PKI
2013-03-25,34.22,34.22,32.76,33.37,1780064,PKI
2013-03-26,33.55,33.74,33.44,33.61,963227,PKI
2013-03-27,33.39,33.41,33.13,33.2,640653,PKI
2013-03-28,33.14,33.67,33.05,33.64,657994,PKI
2013-03-29,33.25,33.69,33.05,33.59,685536,PKI
2013-03-30,33.36,33.71,33.04,33.54,713078,PKI
2013-03-31,33.48,33.72,33.04,33.49,740620,PKI
2013-04-01,33.59,33.74,33.04,33.44,768162,PKI
2013-04-02,33.6,33.85,33.42,33.85,1234656,PKI
2013-04-03,33.8,33.9,33.44,33.61,801088,PKI
2013-04-04,33.58,33.92,33.55,33.7,618357,PKI
2013-04-05,33.3,33.45,33.09,33.36,695542,PKI
2013-04-06,33.31,33.5,33.13,33.44,615138,PKI
2013-04-07,33.33,33.56,33.17,33.52,534733,PKI
2013-04-08,33.34,33.61,33.2,33.6,454329,PKI
2013-04-09,34.4,34.78,34.12,34.22,805716,PKI
2013-04-10,34.27,34.8,34.16,34.71,679128,PKI
2013-04-11,34.72,35.08,34.65,34.95,821672,PKI
2013-04-12,34.8,34.92,34.63,34.91,472572,PKI
2013-04-13,34.87,35.04,34.4,34.58,800217,PKI
2013-04-14,34.93,35.16,34.16,34.26,1127862,PKI
2013-04-15,35.0,35.28,33.92,33.93,1455507,PKI
2013-04-16,34.17,34.64,34.17,34.62,960258,PKI
2013-04-17,34.28,34.28,33.92,34.09,1689748,PKI
2013-04-18,34.02,34.02,33.29,33.54,846550,PKI
2013-04-19,33.64,33.75,33.06,33.09,1262673,PKI
2013-04-20,33.5,33.63,33.04,33.15,1044535,PKI
2013-04-21,33.35,33.52,33.01,33.2,826396,PKI
2013-04-22,33.21,33.4,32.99,33.26,608258,PKI
2013-04-23,33.5,34.14,33.5,33.86,1010572,PKI
2013-04-24,33.96,34.38,33.73,33.93,999731,PKI
2013-04-25,34.14,34.75,33.97,34.47,1011309,PKI
2013-04-26,29.62,31.11,29.5,30.35,9192085,PKI
2013-04-27,29.87,30.95,29.7,30.43,7081895,PKI
2013-04-28,30.11,30.78,29.89,30.52,4971706,PKI
2013-04-29,30.36,30.62,30.08,30.6,2861516,PKI
2013-04-30,30.31,30.71,30.31,30.65,1926926,PKI
2013-05-01,30.99,31.38,30.8,30.82,2593533,PKI
2013-05-02,31.08,31.12,30.54,30.55,1432702,PKI
2013-05-03,30.79,31.25,30.68,30.92,995832,PKI
2013-05-04,30.79,31.26,30.72,30.95,1155803,PKI
2013-05-05,30.8,31.27,30.75,30.97,1315775,PKI
2013-05-06,30.8,31.28,30.79,31.0,1475746,PKI
2013-05-07,30.97,31.71,30.88,31.71,1439192,PKI
2013-05-08,31.72,32.35,31.7,32.21,2312183,PKI
2013-05-09,32.18,32.51,32.12,32.28,968082,PKI
2013-05-10,32.3,32.74,32.27,32.69,705861,PKI
2013-05-11,32.39,32.72,32.25,32.6,686534,PKI
2013-05-12,32.48,32.71,32.22,32.51,667206,PKI
2013-05-13,32.57,32.69,32.2,32.42,647879,PKI
2013-05-14,32.37,32.54,32.31,32.4,897659,PKI
2013-05-15,32.48,32.72,32.4,32.68,949473,PKI
2013-05-16,32.57,32.74,31.82,31.98,1861404,PKI
2013-05-17,32.15,32.29,31.95,32.19,1228248,PKI
2013-05-18,32.16,32.42,32.01,32.2,1124953,PKI
2013-05-19,32.16,32.54,32.08,32.22,1021657,PKI
2013-05-20,32.17,32.67,32.14,32.23,918362,PKI
2013-05-21,32.25,32.62,32.21,32.54,1041283,PKI
2013-05-22,32.51,32.89,31.68,31.82,1310054,PKI
2013-05-23,31.44,31.86,31.34,31.76,1127194,PKI
2013-05-24,31.58,31.81,31.47,31.73,968756,PKI
2013-05-25,31.7,32.0,31.58,31.8,1094496,PKI
2013-05-26,31.82,32.18,31.7,31.88,1220236,PKI
2013-05-27,31.95,32.37,31.81,31.96,1345977,PKI
2013-05-28,32.07,32.56,31.92,32.03,1471717,PKI
2013-05-29,31.88,31.94,31.48,31.75,1277603,PKI
2013-05-30,31.76,32.06,31.72,31.76,979767,PKI
2013-05-31,31.67,32.0,31.32,31.32,630519,PKI
2013-06-01,31.6,31.97,31.33,31.5,921731,PKI
2013-06-02,31.53,31.94,31.33,31.68,1212944,PKI
2013-06-03,31.46,31.91,31.34,31.86,1504156,PKI
2013-06-04,31.78,32.28,31.73,32.03,2225492,PKI
2013-06-05,32.04,32.19,31.76,31.95,1826802,PKI
2013-06-06,31.85,32.31,31.74,32.31,1231399,PKI
2013-06-07,32.5,32.79,32.44,32.68,812114,PKI
2013-06-08,32.57,32.85,32.47,32.73,772661,PKI
2013-06-09,32.64,32.9,32.5,32.77,733207,PKI
2013-06-10,32.71,32.96,32.53,32.82,693754,PKI
2013-06-11,32.48,32.58,32.08,32.28,962711,PKI
2013-06-12,32.48,32.91,32.26,32.59,1758803,PKI
2013-06-13,32.6,33.52,32.2,33.42,1435036,PKI
2013-06-14,33.29,33.68,32.9,33.04,852235,PKI
2013-06-15,33.28,33.78,32.98,33.31,920203,PKI
2013-06-16,33.26,33.88,33.05,33.58,988172,PKI
2013-06-17,33.25,33.98,33.13,33.85,1056140,PKI
2013-06-18,33.86,34.5,33.85,34.41,1135631,PKI
2013-06-19,34.36,34.39,33.62,33.66,783663,PKI
2013-06-20,33.3,33.31,32.64,32.76,1313687,PKI
2013-06-21,32.91,33.53,32.86,33.49,1704545,PKI
2013-06-22,33.02,33.43,32.77,33.24,1429211,PKI
2013-06-23,33.12,33.33,32.69,32.99,1153877,PKI
2013-06-24,33.23,33.23,32.6,32.74,878543,PKI
2013-06-25,33.08,33.28,32.47,32.74,1154839,PKI
2013-06-26,33.06,33.23,32.68,32.76,1048407,PKI
2013-06-27,33.01,33.12,32.74,32.87,1880655,PKI
2013-06-28,32.8,32.89,32.47,32.5,3402306,PKI
2013-06-29,32.77,32.95,32.5,32.58,2516569,PKI
2013-06-30,32.73,33.0,32.52,32.66,1630833,PKI
2013-07-01,32.7,33.06,32.55,32.74,745096,PKI
2013-07-02,32.63,33.15,32.35,32.53,830893,PKI
2013-07-03,32.33,32.6,32.22,32.39,290131,PKI
2013-07-04,32.51,32.81,32.41,32.61,413900,PKI
2013-07-05,32.69,33.01,32.6,32.82,537670,PKI
2013-07-06,32.81,33.17,32.72,32.93,710167,PKI
2013-07-07,32.92,33.32,32.85,33.03,882665,PKI
2013-07-08,33.04,33.48,32.97,33.14,1055162,PKI
2013-07-09,33.31,33.71,33.29,33.67,498682,PKI
2013-07-10,33.57,33.87,33.57,33.83,379438,PKI
2013-07-11,34.2,34.24,33.78,33.99,526155,PKI
2013-07-12,33.98,34.07,33.72,33.81,691067,PKI
2013-07-13,33.9,34.06,33.69,33.86,773385,PKI
2013-07-14,33.83,34.06,33.65,33.91,855704,PKI
2013-07-15,33.75,34.05,33.62,33.96,938022,PKI
2013-07-16,34.0,34.09,33.26,33.38,1168859,PKI
2013-07-17,33.44,33.63,33.26,33.29,800567,PKI
2013-07-18,33.39,33.8,33.32,33.71,827031,PKI
2013-07-19,33.66,34.14,33.65,34.08,585632,PKI
2013-07-20,33.81,34.18,33.76,34.11,554831,PKI
2013-07-21,33.95,34.22,33.88,34.13,524029,PKI
2013-07-22,34.1,34.26,33.99,34.16,493228,PKI
2013-07-23,33.99,34.12,33.6,33.72,534006,PKI
2013-07-24,33.91,34.05,33.68,33.8,676935,PKI
2013-07-25,33.74,33.97,33.68,33.96,490161,PKI
2013-07-26,33.79,34.12,33.61,34.12,668423,PKI
2013-07-27,33.84,34.2,33.71,34.17,725137,PKI
2013-07-28,33.88,34.28,33.82,34.21,781852,PKI
2013-07-29,33.93,34.36,33.93,34.26,838566,PKI
2013-07-30,34.45,34.57,34.24,34.38,661607,PKI
2013-07-31,34.43,34.58,34.09,34.09,1093535,PKI
2013-08-01,34.34,35.1,34.05,35.07,1453875,PKI
2013-08-02,35.9,37.67,35.59,36.41,2752815,PKI
2013-08-03,36.02,37.28,35.7,36.39,2175323,PKI
2013-08-04,36.14,36.88,35.81,36.38,1597830,PKI
2013-08-05,36.26,36.49,35.92,36.36,1020338,PKI
2013-08-06,36.36,36.5,36.05,36.3,769447,PKI
2013-08-07,36.21,36.67,36.0,36.56,1061625,PKI
2013-08-08,36.65,37.0,36.43,36.59,1027050,PKI
2013-08-09,36.56,36.92,36.45,36.92,1133326,PKI
2013-08-10,36.65,37.18,36.5,37.11,1285028,PKI
2013-08-11,36.75,37.43,36.54,37.31,1436729,PKI
2013-08-12,36.84,37.69,36.59,37.5,1588431,PKI
2013-08-13,37.41,37.7,37.0,37.63,1305866,PKI
2013-08-14,37.52,37.66,37.36,37.4,970351,PKI
2013-08-15,37.08,37.28,36.72,36.76,1816532,PKI
2013-08-16,36.64,36.82,36.38,36.47,1366222,PKI
2013-08-17,36.58,36.8,36.4,36.48,1179602,PKI
2013-08-18,36.53,36.77,36.41,36.49,992982,PKI
2013-08-19,36.47,36.75,36.43,36.5,806362,PKI
2013-08-20,36.59,36.59,36.16,36.25,1085127,PKI
2013-08-21,36.25,36.61,36.04,36.38,806317,PKI
2013-08-22,36.42,36.6,36.36,36.39,536959,PKI
2013-08-23,36.55,36.79,36.4,36.77,495861,PKI
2013-08-24,36.62,36.84,36.48,36.77,518517,PKI
