index,open,high,low,close,volume,Name
2013-02-08,39.41,39.54,39.12,39.47,2590711,PLD
2013-02-09,39.44,39.56,39.11,39.42,2538155,PLD
2013-02-10,39.48,39.58,39.11,39.38,2485598,PLD
2013-02-11,39.51,39.59,39.1,39.33,2433042,PLD
2013-02-12,39.4,39.73,39.4,39.6,1655212,PLD
2013-02-13,39.68,39.89,39.42,39.47,1554837,PLD
2013-02-14,39.32,39.38,39.06,39.21,2736438,PLD
2013-02-15,39.3,39.32,38.62,38.84,3790225,PLD
2013-02-16,39.23,39.42,38.71,39.04,3554794,PLD
2013-02-17,39.16,39.51,38.8,39.25,3319362,PLD
2013-02-18,39.09,39.61,38.9,39.46,3083931,PLD
2013-02-19,39.02,39.7,38.99,39.66,2848500,PLD
2013-02-20,39.61,39.8,39.15,39.18,1845839,PLD
2013-02-21,39.47,39.47,38.62,38.78,2232598,PLD
2013-02-22,38.93,39.43,38.84,39.42,1843974,PLD
2013-02-23,39.15,39.51,38.67,39.05,2138360,PLD
2013-02-24,39.38,39.58,38.49,38.69,2432747,PLD
2013-02-25,39.6,39.66,38.32,38.32,2727133,PLD
2013-02-26,38.44,38.75,38.13,38.37,2345420,PLD
2013-02-27,38.25,39.04,38.25,38.65,2543441,PLD
2013-02-28,38.71,39.2,38.61,38.94,4410853,PLD
2013-03-01,38.76,39.38,38.57,39.29,2603001,PLD
2013-03-02,38.94,39.52,38.75,39.46,2489960,PLD
2013-03-03,39.11,39.67,38.94,39.64,2376918,PLD
2013-03-04,39.29,39.81,39.12,39.81,2263877,PLD
2013-03-05,39.89,40.08,39.68,40.03,2119708,PLD
2013-03-06,40.1,40.18,39.66,39.85,1284256,PLD
2013-03-07,39.82,39.99,39.36,39.45,2196280,PLD
2013-03-08,39.35,39.53,38.97,39.21,2842893,PLD
2013-03-09,39.37,39.5,38.96,39.18,2693264,PLD
2013-03-10,39.39,39.47,38.96,39.15,2543634,PLD
2013-03-11,39.41,39.44,38.95,39.12,2394005,PLD
2013-03-12,39.12,39.15,38.64,38.81,2347336,PLD
2013-03-13,39.2,39.55,38.88,39.02,3899218,PLD
2013-03-14,39.01,39.24,38.91,38.92,3445613,PLD
2013-03-15,38.77,39.11,38.67,38.79,6415569,PLD
2013-03-16,38.64,38.96,38.55,38.71,5664562,PLD
2013-03-17,38.52,38.8,38.43,38.63,4913555,PLD
2013-03-18,38.39,38.65,38.31,38.55,4162548,PLD
2013-03-19,38.56,38.77,37.99,38.32,2886874,PLD
2013-03-20,38.62,38.78,38.42,38.73,2287094,PLD
2013-03-21,38.43,38.79,38.43,38.52,2294220,PLD
2013-03-22,38.57,39.02,38.4,38.89,2507688,PLD
2013-03-23,38.71,39.11,38.54,38.93,2561924,PLD
2013-03-24,38.84,39.2,38.68,38.96,2616161,PLD
2013-03-25,38.98,39.3,38.82,39.0,2670397,PLD
2013-03-26,39.21,40.16,39.15,40.14,3486982,PLD
2013-03-27,39.84,39.91,39.52,39.86,1862112,PLD
2013-03-28,39.8,40.04,39.61,39.98,1840439,PLD
2013-03-29,39.82,40.03,39.6,39.96,1760015,PLD
2013-03-30,39.84,40.02,39.6,39.95,1679592,PLD
2013-03-31,39.86,40.02,39.59,39.94,1599168,PLD
2013-04-01,39.88,40.01,39.58,39.92,1518744,PLD
2013-04-02,40.08,40.35,39.94,40.14,1672004,PLD
2013-04-03,40.3,40.3,39.6,39.64,1958938,PLD
2013-04-04,39.68,40.03,39.51,39.66,4144482,PLD
2013-04-05,39.06,39.44,38.85,39.35,3516464,PLD
2013-04-06,39.15,39.65,38.97,39.58,3109357,PLD
2013-04-07,39.23,39.86,39.09,39.82,2702249,PLD
2013-04-08,39.32,40.07,39.21,40.05,2295142,PLD
2013-04-09,40.0,40.06,39.58,39.85,2267346,PLD
2013-04-10,39.91,40.59,39.87,40.26,1868117,PLD
2013-04-11,40.35,41.19,40.18,41.14,3226464,PLD
2013-04-12,41.09,41.25,41.0,41.11,2871515,PLD
2013-04-13,41.01,41.27,40.84,40.93,3089303,PLD
2013-04-14,40.92,41.28,40.68,40.76,3307090,PLD
2013-04-15,40.84,41.3,40.52,40.58,3524878,PLD
2013-04-16,41.05,41.45,40.42,41.41,2750755,PLD
2013-04-17,40.97,41.11,40.42,41.01,3990284,PLD
2013-04-18,41.0,41.09,40.26,40.62,2164683,PLD
2013-04-19,40.71,41.68,40.64,41.59,3274888,PLD
2013-04-20,40.99,41.69,40.82,41.56,2888370,PLD
2013-04-21,41.27,41.69,40.99,41.54,2501852,PLD
2013-04-22,41.55,41.7,41.17,41.51,2115334,PLD
2013-04-23,41.6,42.12,41.42,41.94,2582964,PLD
2013-04-24,41.87,43.21,41.87,42.68,3868831,PLD
2013-04-25,41.6,41.7,41.45,41.45,28067438,PLD
2013-04-26,41.61,41.68,41.5,41.6,6023513,PLD
2013-04-27,41.64,41.7,41.53,41.64,5318498,PLD
2013-04-28,41.67,41.71,41.57,41.68,4613483,PLD
2013-04-29,41.7,41.73,41.6,41.72,3908468,PLD
2013-04-30,41.65,41.97,41.51,41.95,3496677,PLD
2013-05-01,41.98,42.1,41.65,41.91,3916075,PLD
2013-05-02,42.06,42.41,41.89,42.38,2791114,PLD
2013-05-03,42.75,42.88,42.41,42.74,5086961,PLD
2013-05-04,42.73,42.87,42.44,42.78,4262652,PLD
2013-05-05,42.7,42.87,42.47,42.82,3438342,PLD
2013-05-06,42.68,42.86,42.5,42.86,2614033,PLD
2013-05-07,43.09,43.27,42.73,42.98,2437787,PLD
2013-05-08,42.92,43.13,42.89,43.11,2099351,PLD
2013-05-09,43.08,43.15,42.83,42.91,2174417,PLD
2013-05-10,43.05,43.33,42.9,43.32,1955933,PLD
2013-05-11,43.14,43.39,42.98,43.29,2144085,PLD
2013-05-12,43.24,43.46,43.06,43.27,2332238,PLD
2013-05-13,43.33,43.52,43.14,43.24,2520390,PLD
2013-05-14,43.33,43.5,43.14,43.37,2308313,PLD
2013-05-15,43.34,43.87,43.12,43.84,3237285,PLD
2013-05-16,43.67,44.0,43.62,43.87,2655955,PLD
2013-05-17,43.92,44.05,43.59,43.87,3489601,PLD
2013-05-18,43.86,44.09,43.62,43.97,3008741,PLD
2013-05-19,43.81,44.14,43.64,44.08,2527881,PLD
2013-05-20,43.75,44.18,43.67,44.18,2047021,PLD
2013-05-21,44.32,44.78,44.17,44.77,2662367,PLD
2013-05-22,44.75,45.52,43.2,43.5,4073829,PLD
2013-05-23,43.04,43.04,42.0,42.38,3606141,PLD
2013-05-24,42.17,42.56,41.65,42.45,1895458,PLD
2013-05-25,42.35,42.71,41.72,42.45,2047786,PLD
2013-05-26,42.53,42.86,41.8,42.44,2200114,PLD
2013-05-27,42.71,43.01,41.88,42.44,2352441,PLD
2013-05-28,42.89,43.16,41.95,42.44,2504769,PLD
2013-05-29,42.06,42.15,41.28,41.86,3656122,PLD
2013-05-30,41.91,42.28,41.07,41.1,2728801,PLD
2013-05-31,41.0,41.44,40.26,40.3,6556879,PLD
2013-06-01,40.75,41.23,40.11,40.34,5498122,PLD
2013-06-02,40.51,41.03,39.95,40.38,4439365,PLD
2013-06-03,40.26,40.82,39.8,40.42,3380608,PLD
2013-06-04,40.47,41.0,39.39,39.42,2481020,PLD
2013-06-05,39.29,39.53,38.64,38.86,3226360,PLD
2013-06-06,38.8,39.26,38.2,39.26,2825603,PLD
2013-06-07,39.11,39.32,38.6,39.03,3363322,PLD
2013-06-08,39.12,39.28,38.45,38.74,3803029,PLD
2013-06-09,39.14,39.24,38.29,38.44,4242737,PLD
2013-06-10,39.15,39.2,38.14,38.15,4682444,PLD
2013-06-11,37.91,38.02,37.43,37.46,5208715,PLD
2013-06-12,38.0,38.0,36.99,37.12,3808262,PLD
2013-06-13,37.34,38.38,37.0,38.27,3632555,PLD
2013-06-14,38.1,38.96,38.09,38.48,3172203,PLD
2013-06-15,38.37,39.05,38.13,38.47,3173682,PLD
2013-06-16,38.65,39.15,38.18,38.47,3175160,PLD
2013-06-17,38.92,39.24,38.22,38.46,3176639,PLD
2013-06-18,38.6,38.75,38.25,38.34,3873470,PLD
2013-06-19,38.34,38.52,36.55,36.96,4535946,PLD
2013-06-20,36.74,36.75,35.45,35.6,5614055,PLD
2013-06-21,35.83,36.37,35.08,36.36,11810222,PLD
2013-06-22,35.83,36.46,35.09,36.19,9515328,PLD
2013-06-23,35.83,36.55,35.1,36.01,7220435,PLD
2013-06-24,35.83,36.64,35.11,35.84,4925541,PLD
2013-06-25,36.17,37.09,35.81,36.92,5028556,PLD
2013-06-26,37.32,37.55,36.76,37.13,3895076,PLD
2013-06-27,37.34,38.05,37.28,38.02,3332709,PLD
2013-06-28,37.87,38.13,37.38,37.72,4198375,PLD
2013-06-29,38.01,38.18,37.42,37.67,3636742,PLD
2013-06-30,38.15,38.24,37.47,37.62,3075108,PLD
2013-07-01,38.29,38.29,37.51,37.57,2513475,PLD
2013-07-02,37.45,38.29,37.38,37.99,3387175,PLD
2013-07-03,37.72,37.72,37.15,37.46,2078921,PLD
2013-07-04,37.71,37.84,36.97,37.48,2584242,PLD
