index,open,high,low,close,volume,Name
2013-02-08,89.64,90.85,89.64,90.45,4366498,PM
2013-02-09,89.89,90.84,89.84,90.42,4005437,PM
2013-02-10,90.15,90.83,90.04,90.38,3644375,PM
2013-02-11,90.4,90.82,90.24,90.35,3283314,PM
2013-02-12,90.63,90.73,90.01,90.14,3638936,PM
2013-02-13,90.43,91.47,90.43,90.99,3852738,PM
2013-02-14,90.86,90.99,89.85,90.01,5268666,PM
2013-02-15,90.06,91.0,89.4,89.99,5238292,PM
2013-02-16,90.14,91.1,89.57,90.32,5036019,PM
2013-02-17,90.22,91.2,89.74,90.65,4833746,PM
2013-02-18,90.29,91.3,89.92,90.98,4631473,PM
2013-02-19,90.37,91.4,90.09,91.31,4429200,PM
2013-02-20,91.28,92.79,90.75,92.09,4867169,PM
2013-02-21,91.61,93.61,91.35,93.13,5991167,PM
2013-02-22,93.22,93.48,92.63,93.42,4072364,PM
2013-02-23,93.24,93.51,92.27,92.8,4848573,PM
2013-02-24,93.26,93.54,91.91,92.18,5624783,PM
2013-02-25,93.28,93.57,91.55,91.56,6400992,PM
2013-02-26,92.03,92.59,91.16,91.6,5150455,PM
2013-02-27,91.36,91.82,90.73,91.43,4801350,PM
2013-02-28,91.68,92.25,91.38,91.75,6040023,PM
2013-03-01,91.69,92.67,91.14,91.44,4554060,PM
2013-03-02,91.62,92.64,91.25,91.75,4408455,PM
2013-03-03,91.55,92.6,91.36,92.05,4262849,PM
2013-03-04,91.48,92.57,91.47,92.36,4117244,PM
2013-03-05,92.5,92.92,91.92,92.28,4546108,PM
2013-03-06,92.34,92.63,91.41,91.6,4085869,PM
2013-03-07,91.4,91.96,91.4,91.81,3178585,PM
2013-03-08,91.87,91.92,90.91,91.11,3946767,PM
2013-03-09,91.55,91.8,90.88,91.14,3714299,PM
2013-03-10,91.22,91.67,90.85,91.18,3481831,PM
2013-03-11,90.9,91.55,90.82,91.21,3249363,PM
2013-03-12,91.38,91.42,90.3,90.89,4419937,PM
2013-03-13,90.84,90.9,90.04,90.55,4122404,PM
2013-03-14,90.93,91.6,90.83,91.31,5079448,PM
2013-03-15,90.98,91.63,90.24,91.37,9915093,PM
2013-03-16,90.83,91.4,90.24,91.03,8111107,PM
2013-03-17,90.69,91.17,90.25,90.7,6307121,PM
2013-03-18,90.54,90.94,90.25,90.36,4503135,PM
2013-03-19,90.59,91.22,90.29,90.81,3719881,PM
2013-03-20,91.0,91.71,90.99,91.42,4181228,PM
2013-03-21,91.12,91.54,90.88,91.05,4008811,PM
2013-03-22,91.0,91.97,90.85,91.62,13639737,PM
2013-03-23,91.33,92.19,91.16,91.74,13909328,PM
2013-03-24,91.66,92.41,91.47,91.87,14178918,PM
2013-03-25,91.99,92.63,91.78,91.99,14448509,PM
2013-03-26,91.54,91.81,90.99,91.76,4676434,PM
2013-03-27,91.29,92.64,91.24,92.0,4168941,PM
2013-03-28,92.04,92.94,91.95,92.71,4425653,PM
2013-03-29,92.22,92.91,91.98,92.73,4056158,PM
2013-03-30,92.39,92.87,92.01,92.74,3686664,PM
2013-03-31,92.56,92.84,92.04,92.76,3317170,PM
2013-04-01,92.74,92.8,92.06,92.78,2947675,PM
2013-04-02,93.05,94.45,92.9,94.41,4614119,PM
2013-04-03,94.58,95.32,94.07,94.36,6293656,PM
2013-04-04,94.74,95.26,94.35,94.53,3819713,PM
2013-04-05,93.79,94.0,92.33,92.72,5034318,PM
2013-04-06,93.51,94.16,92.49,93.29,4580969,PM
2013-04-07,93.22,94.33,92.64,93.87,4127621,PM
2013-04-08,92.94,94.49,92.8,94.44,3674272,PM
2013-04-09,94.77,95.1,94.06,94.54,3295357,PM
2013-04-10,94.89,95.42,94.24,95.26,3744454,PM
2013-04-11,95.33,96.07,95.03,95.6,3718710,PM
2013-04-12,95.67,96.6,95.3,96.44,3945077,PM
2013-04-13,95.76,96.46,94.9,95.66,4302079,PM
2013-04-14,95.85,96.31,94.49,94.89,4659082,PM
2013-04-15,95.94,96.17,94.09,94.11,5016084,PM
2013-04-16,94.46,95.23,93.73,94.97,5630189,PM
2013-04-17,94.57,94.72,93.52,94.04,4344378,PM
2013-04-18,92.0,92.62,90.7,91.69,8271046,PM
2013-04-19,91.94,92.6,91.5,91.95,5949713,PM
2013-04-20,91.93,92.71,91.56,92.24,5358765,PM
2013-04-21,91.91,92.83,91.61,92.53,4767816,PM
2013-04-22,91.9,92.94,91.67,92.82,4176868,PM
