index,open,high,low,close,volume,Name
2013-02-08,63.57,63.71,63.23,63.35,2197558,PNC
2013-02-09,63.54,63.84,63.26,63.57,2322318,PNC
2013-02-10,63.52,63.97,63.28,63.78,2447079,PNC
2013-02-11,63.49,64.1,63.31,64.0,2571839,PNC
2013-02-12,64.15,64.89,63.73,64.77,3038141,PNC
2013-02-13,64.8,64.82,63.94,64.17,1704350,PNC
2013-02-14,63.89,64.22,63.7,63.87,2176125,PNC
2013-02-15,64.16,64.23,63.73,63.87,2415290,PNC
2013-02-16,64.11,64.17,63.65,63.78,2544906,PNC
2013-02-17,64.06,64.12,63.56,63.69,2674522,PNC
2013-02-18,64.01,64.06,63.48,63.6,2804138,PNC
2013-02-19,63.96,64.0,63.4,63.51,2933754,PNC
2013-02-20,63.37,63.57,63.02,63.17,4372385,PNC
2013-02-21,62.92,63.59,62.34,62.39,4957865,PNC
2013-02-22,62.78,62.98,62.21,62.9,3342557,PNC
2013-02-23,62.94,63.07,61.75,62.21,3525670,PNC
2013-02-24,63.09,63.16,61.28,61.51,3708782,PNC
2013-02-25,63.25,63.25,60.82,60.82,3891895,PNC
2013-02-26,61.13,61.3,60.37,61.14,3306391,PNC
2013-02-27,61.13,61.8,60.84,61.68,2512203,PNC
2013-02-28,61.64,62.61,61.57,62.39,3832256,PNC
2013-03-01,62.02,62.94,61.52,62.78,3522361,PNC
2013-03-02,62.23,63.15,61.82,63.03,3122417,PNC
2013-03-03,62.43,63.37,62.12,63.27,2722472,PNC
2013-03-04,62.64,63.58,62.42,63.52,2322528,PNC
2013-03-05,63.9,64.36,63.37,63.66,5067196,PNC
2013-03-06,64.1,64.46,63.36,64.16,3746344,PNC
2013-03-07,64.3,64.99,64.16,64.81,2668097,PNC
2013-03-08,65.03,65.19,64.44,65.02,3632700,PNC
2013-03-09,65.03,65.43,64.61,65.3,3085945,PNC
2013-03-10,65.03,65.66,64.78,65.59,2539189,PNC
2013-03-11,65.03,65.9,64.95,65.87,1992434,PNC
2013-03-12,65.78,65.87,65.11,65.42,1747296,PNC
2013-03-13,65.55,65.99,65.3,65.93,1643264,PNC
2013-03-14,66.02,66.48,65.82,66.26,2127761,PNC
2013-03-15,66.0,66.94,65.84,66.8,3443298,PNC
2013-03-16,65.97,66.78,65.73,66.62,2980968,PNC
2013-03-17,65.93,66.63,65.63,66.43,2518637,PNC
2013-03-18,65.9,66.47,65.52,66.25,2056307,PNC
2013-03-19,66.28,66.65,65.71,66.25,2333868,PNC
2013-03-20,66.63,66.93,66.44,66.7,2279703,PNC
2013-03-21,66.33,66.62,65.83,66.03,2724472,PNC
2013-03-22,66.19,66.48,65.97,66.21,1924024,PNC
2013-03-23,66.27,66.53,65.89,66.19,1844289,PNC
2013-03-24,66.36,66.58,65.81,66.16,1764555,PNC
2013-03-25,66.44,66.63,65.73,66.14,1684820,PNC
2013-03-26,66.63,66.64,66.08,66.28,1681920,PNC
2013-03-27,65.9,66.27,65.53,66.19,2343754,PNC
2013-03-28,66.06,66.58,65.8,66.5,2089761,PNC
2013-03-29,66.15,66.57,65.75,66.32,1882191,PNC
2013-03-30,66.24,66.56,65.7,66.15,1674622,PNC
2013-03-31,66.32,66.56,65.66,65.97,1467052,PNC
2013-04-01,66.41,66.55,65.61,65.79,1259482,PNC
2013-04-02,66.15,66.87,65.96,66.81,3206085,PNC
2013-04-03,66.68,66.76,64.91,65.13,3052804,PNC
2013-04-04,65.38,65.99,65.0,65.6,2483577,PNC
2013-04-05,64.73,65.35,64.21,65.24,1848813,PNC
2013-04-06,64.87,65.6,64.4,65.52,1798209,PNC
2013-04-07,65.01,65.84,64.6,65.79,1747605,PNC
2013-04-08,65.16,66.09,64.79,66.07,1697001,PNC
2013-04-09,66.13,66.67,65.98,66.35,2278136,PNC
2013-04-10,66.59,67.32,66.53,67.19,2891649,PNC
2013-04-11,67.28,67.57,66.96,67.31,2878864,PNC
2013-04-12,66.33,66.48,65.63,65.81,2716407,PNC
2013-04-13,66.12,66.49,65.0,65.12,2858688,PNC
2013-04-14,65.9,66.5,64.37,64.44,3000968,PNC
2013-04-15,65.69,66.51,63.74,63.75,3143249,PNC
2013-04-16,64.28,64.86,63.69,64.79,3717444,PNC
2013-04-17,65.61,66.25,64.47,65.05,5697892,PNC
2013-04-18,65.26,65.95,64.76,65.24,4073497,PNC
2013-04-19,65.5,65.56,64.93,65.23,3971929,PNC
2013-04-20,65.48,65.61,64.99,65.29,3593118,PNC
2013-04-21,65.45,65.66,65.05,65.35,3214306,PNC
2013-04-22,65.43,65.71,65.11,65.41,2835495,PNC
2013-04-23,65.56,67.44,65.18,67.21,4877871,PNC
2013-04-24,67.34,68.47,67.0,68.44,4529553,PNC
2013-04-25,68.69,69.65,68.52,68.7,6241308,PNC
2013-04-26,68.61,68.98,67.89,68.1,3146190,PNC
2013-04-27,68.46,68.84,67.94,68.2,2983350,PNC
2013-04-28,68.32,68.71,67.98,68.31,2820509,PNC
2013-04-29,68.17,68.57,68.03,68.41,2657669,PNC
2013-04-30,68.22,68.34,67.54,67.88,4437910,PNC
2013-05-01,67.8,67.98,67.08,67.17,2585222,PNC
2013-05-02,67.22,67.55,67.03,67.18,2393679,PNC
2013-05-03,67.92,68.58,67.9,68.11,2596748,PNC
2013-05-04,67.99,68.54,67.93,68.16,2600425,PNC
2013-05-05,68.05,68.5,67.95,68.21,2604103,PNC
2013-05-06,68.12,68.46,67.98,68.26,2607780,PNC
2013-05-07,68.47,68.86,68.01,68.76,2611776,PNC
2013-05-08,68.68,69.03,68.4,68.97,3329260,PNC
2013-05-09,68.96,69.09,68.5,68.72,2712225,PNC
2013-05-10,68.89,69.0,68.38,68.57,1786989,PNC
2013-05-11,68.76,69.01,68.24,68.63,1870702,PNC
2013-05-12,68.63,69.01,68.11,68.7,1954416,PNC
2013-05-13,68.5,69.02,67.97,68.76,2038129,PNC
2013-05-14,68.86,70.4,68.74,70.17,3047557,PNC
2013-05-15,70.11,70.97,70.04,70.85,2678580,PNC
2013-05-16,70.53,71.04,70.35,70.46,2097401,PNC
2013-05-17,70.76,71.68,70.66,71.51,2119845,PNC
2013-05-18,70.96,71.77,70.82,71.43,2233542,PNC
2013-05-19,71.17,71.85,70.99,71.36,2347240,PNC
2013-05-20,71.37,71.94,71.15,71.28,2460937,PNC
2013-05-21,71.29,72.35,71.18,72.2,3157032,PNC
2013-05-22,72.16,73.13,70.94,71.24,3708352,PNC
2013-05-23,70.52,71.19,70.09,70.94,2443531,PNC
2013-05-24,70.51,71.14,70.07,71.11,1831320,PNC
2013-05-25,70.9,71.41,70.24,71.09,2012386,PNC
2013-05-26,71.28,71.68,70.42,71.07,2193452,PNC
2013-05-27,71.67,71.95,70.6,71.05,2374519,PNC
2013-05-28,72.06,72.22,70.77,71.03,2555585,PNC
2013-05-29,70.5,72.2,70.31,71.8,3106355,PNC
2013-05-30,71.77,73.23,71.52,72.88,2864660,PNC
2013-05-31,72.5,73.04,71.64,71.64,2803902,PNC
2013-06-01,72.25,72.72,71.25,71.7,2758923,PNC
2013-06-02,72.0,72.39,70.86,71.77,2713945,PNC
2013-06-03,71.75,72.06,70.47,71.83,2668966,PNC
2013-06-04,71.9,72.35,70.87,71.09,2053690,PNC
2013-06-05,70.86,71.22,69.42,69.83,3554549,PNC
2013-06-06,69.65,70.29,69.15,70.27,2035646,PNC
2013-06-07,70.79,71.24,70.41,71.1,2563812,PNC
2013-06-08,71.02,71.86,70.7,71.71,2893878,PNC
2013-06-09,71.24,72.49,70.99,72.32,3223943,PNC
2013-06-10,71.47,73.11,71.28,72.93,3554009,PNC
