index,open,high,low,close,volume,Name
2013-02-08,50.59,51.35,50.59,51.05,1708471,PNR
2013-02-09,50.75,51.44,50.75,51.11,1471460,PNR
2013-02-10,50.92,51.52,50.91,51.16,1234448,PNR
2013-02-11,51.08,51.61,51.07,51.22,997437,PNR
2013-02-12,51.32,52.28,51.21,52.03,1392462,PNR
2013-02-13,52.18,52.99,52.07,52.98,1520892,PNR
2013-02-14,52.72,53.19,52.72,52.83,1425900,PNR
2013-02-15,52.83,53.23,52.59,52.91,1379510,PNR
2013-02-16,52.85,53.29,52.59,52.84,1348567,PNR
2013-02-17,52.86,53.34,52.58,52.76,1317624,PNR
2013-02-18,52.88,53.4,52.58,52.69,1286681,PNR
2013-02-19,52.9,53.46,52.58,52.62,1255738,PNR
2013-02-20,52.62,52.8,51.47,51.49,1016254,PNR
2013-02-21,51.31,51.33,50.59,50.86,859209,PNR
2013-02-22,51.15,51.83,51.05,51.56,1145144,PNR
2013-02-23,51.35,51.94,50.95,51.3,1357704,PNR
2013-02-24,51.55,52.06,50.85,51.03,1570263,PNR
2013-02-25,51.75,52.17,50.75,50.77,1782823,PNR
2013-02-26,50.86,51.11,50.22,50.74,1085473,PNR
2013-02-27,50.73,52.86,50.73,52.62,919786,PNR
2013-02-28,52.64,53.84,52.64,53.27,1401589,PNR
2013-03-01,52.62,52.79,51.69,52.23,1400151,PNR
2013-03-02,52.49,52.64,51.64,52.15,1240252,PNR
2013-03-03,52.35,52.49,51.59,52.07,1080353,PNR
2013-03-04,52.22,52.34,51.54,51.99,920454,PNR
2013-03-05,52.42,53.44,52.36,52.65,1427642,PNR
2013-03-06,52.98,52.98,51.66,51.92,2270269,PNR
2013-03-07,51.98,52.44,51.46,51.59,1238986,PNR
2013-03-08,51.96,52.06,51.55,51.69,1211032,PNR
2013-03-09,51.87,52.03,51.55,51.66,1269800,PNR
2013-03-10,51.79,52.0,51.54,51.62,1328569,PNR
2013-03-11,51.7,51.96,51.54,51.59,1387337,PNR
2013-03-12,51.71,51.74,50.55,50.92,1574820,PNR
2013-03-13,50.96,51.65,50.59,51.58,1417235,PNR
2013-03-14,51.79,52.5,51.64,52.38,998951,PNR
2013-03-15,52.14,53.21,52.08,52.69,2017818,PNR
2013-03-16,52.13,53.22,52.01,52.72,1640913,PNR
