index,open,high,low,close,volume,Name
2013-02-08,69.0,69.64,68.69,69.44,8719208,PPG
2013-02-09,69.19,69.71,68.82,69.52,8496673,PPG
2013-02-10,69.38,69.78,68.95,69.6,8274137,PPG
2013-02-11,69.58,69.85,69.08,69.68,8051602,PPG
2013-02-12,69.19,69.19,67.73,68.22,8948190,PPG
2013-02-13,68.51,69.89,68.47,69.56,7626192,PPG
2013-02-14,69.33,69.68,68.96,69.5,4826062,PPG
2013-02-15,69.89,70.04,69.25,69.69,3477408,PPG
2013-02-16,69.75,69.93,68.88,69.24,4092330,PPG
2013-02-17,69.62,69.83,68.51,68.78,4707252,PPG
2013-02-18,69.48,69.73,68.14,68.32,5322174,PPG
2013-02-19,69.34,69.62,67.76,67.86,5937096,PPG
2013-02-20,67.64,67.75,65.74,65.76,5181060,PPG
2013-02-21,65.32,65.32,64.1,65.04,4398228,PPG
2013-02-22,65.18,66.18,65.05,66.16,3289780,PPG
2013-02-23,65.6,66.42,65.08,65.82,3517035,PPG
2013-02-24,66.01,66.66,65.11,65.49,3744289,PPG
2013-02-25,66.42,66.89,65.14,65.15,3971544,PPG
2013-02-26,65.32,66.53,65.32,66.34,3457126,PPG
2013-02-27,66.06,67.71,65.93,67.33,2088788,PPG
2013-02-28,67.46,67.94,67.31,67.33,2701654,PPG
2013-03-01,66.82,67.71,66.36,67.4,1854386,PPG
2013-03-02,66.98,67.75,66.6,67.54,1761317,PPG
2013-03-03,67.14,67.79,66.85,67.67,1668247,PPG
2013-03-04,67.3,67.82,67.09,67.8,1575178,PPG
2013-03-05,68.0,68.47,67.9,68.11,1673672,PPG
2013-03-06,68.28,68.46,67.38,67.72,2598468,PPG
2013-03-07,67.86,67.98,67.46,67.74,1932642,PPG
2013-03-08,68.1,68.77,67.74,68.67,2104544,PPG
2013-03-09,68.22,68.84,67.98,68.74,1983269,PPG
2013-03-10,68.34,68.91,68.22,68.82,1861995,PPG
2013-03-11,68.46,68.98,68.46,68.89,1740720,PPG
2013-03-12,68.78,69.64,68.78,69.57,2597584,PPG
2013-03-13,69.53,70.83,69.48,70.76,2650176,PPG
2013-03-14,70.9,71.61,70.81,71.11,1950388,PPG
2013-03-15,71.06,71.75,69.56,70.65,3185020,PPG
2013-03-16,70.54,71.48,69.49,70.62,2569045,PPG
2013-03-17,70.02,71.2,69.42,70.58,1953071,PPG
2013-03-18,69.5,70.93,69.36,70.55,1337096,PPG
2013-03-19,70.84,70.86,69.77,70.44,1732012,PPG
2013-03-20,70.68,71.08,70.42,70.5,1729182,PPG
2013-03-21,69.56,70.03,68.64,68.64,2032658,PPG
2013-03-22,68.5,69.12,67.8,67.98,1468780,PPG
2013-03-23,68.38,68.82,67.31,67.64,1749413,PPG
2013-03-24,68.27,68.53,66.81,67.29,2030047,PPG
2013-03-25,68.16,68.24,66.32,66.94,2310680,PPG
2013-03-26,67.34,67.95,66.92,67.02,2388124,PPG
2013-03-27,66.54,66.85,65.98,66.71,1872896,PPG
2013-03-28,66.67,67.04,66.44,66.97,2106832,PPG
2013-03-29,66.71,67.09,66.48,67.0,2409437,PPG
2013-03-30,66.74,67.14,66.52,67.03,2712042,PPG
2013-03-31,66.78,67.19,66.56,67.05,3014647,PPG
2013-04-01,66.82,67.24,66.6,67.08,3317252,PPG
2013-04-02,67.38,67.5,66.6,66.84,1681862,PPG
