index,open,high,low,close,volume,Name
2013-02-08,57.18,57.61,56.83,57.6,2599086,PRU
2013-02-09,57.3,57.64,56.93,57.47,2439078,PRU
2013-02-10,57.42,57.68,57.04,57.34,2279071,PRU
2013-02-11,57.54,57.71,57.14,57.21,2119063,PRU
2013-02-12,57.12,57.21,56.81,57.0,3558509,PRU
2013-02-13,57.1,57.66,57.07,57.33,2313126,PRU
2013-02-14,56.91,57.22,56.56,57.06,2733045,PRU
2013-02-15,57.21,57.66,57.09,57.28,3521351,PRU
2013-02-16,57.26,57.79,57.14,57.5,3368949,PRU
2013-02-17,57.3,57.92,57.19,57.72,3216548,PRU
2013-02-18,57.35,58.04,57.25,57.93,3064146,PRU
2013-02-19,57.4,58.17,57.3,58.15,2911744,PRU
2013-02-20,58.17,58.17,56.0,56.05,4068594,PRU
2013-02-21,55.97,56.01,54.76,55.11,3636409,PRU
2013-02-22,55.21,56.09,55.12,56.08,3147614,PRU
2013-02-23,55.65,56.35,54.96,55.62,3723485,PRU
2013-02-24,56.09,56.62,54.8,55.16,4299355,PRU
2013-02-25,56.53,56.88,54.64,54.7,4875226,PRU
2013-02-26,55.08,55.29,53.7,54.64,4245091,PRU
2013-02-27,54.61,56.0,54.0,55.86,3102906,PRU
2013-02-28,55.72,56.21,55.26,55.57,3278262,PRU
2013-03-01,55.1,55.44,54.29,54.98,3151186,PRU
2013-03-02,54.95,55.44,54.38,55.13,2757569,PRU
2013-03-03,54.79,55.45,54.46,55.28,2363953,PRU
2013-03-04,54.64,55.45,54.55,55.43,1970336,PRU
2013-03-05,55.86,57.59,55.68,56.76,3928937,PRU
2013-03-06,57.2,57.57,56.68,56.95,2888811,PRU
2013-03-07,57.03,58.45,57.0,58.23,4426132,PRU
2013-03-08,58.62,59.71,58.52,59.6,5027908,PRU
2013-03-09,58.88,59.97,58.78,59.87,4687167,PRU
2013-03-10,59.14,60.23,59.04,60.14,4346425,PRU
2013-03-11,59.4,60.49,59.3,60.41,4005684,PRU
2013-03-12,60.19,60.33,59.56,59.87,4445342,PRU
2013-03-13,60.09,60.22,59.5,59.69,2338634,PRU
2013-03-14,60.05,60.18,59.6,60.18,2502608,PRU
2013-03-15,59.89,60.6,59.76,60.41,3346970,PRU
2013-03-16,59.72,60.4,59.51,60.07,3114195,PRU
2013-03-17,59.55,60.19,59.25,59.74,2881420,PRU
2013-03-18,59.38,59.99,59.0,59.4,2648645,PRU
2013-03-19,59.74,60.05,58.93,59.42,5156458,PRU
2013-03-20,59.98,60.1,59.42,59.6,2592755,PRU
2013-03-21,59.04,59.13,58.26,58.33,2783549,PRU
2013-03-22,58.59,58.9,58.21,58.75,2346187,PRU
2013-03-23,58.73,59.04,58.13,58.71,2381467,PRU
2013-03-24,58.88,59.18,58.04,58.68,2416747,PRU
2013-03-25,59.02,59.32,57.96,58.64,2452027,PRU
2013-03-26,59.06,59.61,58.6,59.59,2423205,PRU
2013-03-27,58.94,59.2,58.58,59.11,2026134,PRU
2013-03-28,59.01,59.3,58.72,58.99,2245198,PRU
2013-03-29,58.96,59.27,58.54,58.81,2184954,PRU
2013-03-30,58.9,59.24,58.36,58.64,2124709,PRU
2013-03-31,58.85,59.22,58.19,58.46,2064464,PRU
2013-04-01,58.8,59.19,58.01,58.28,2004220,PRU
2013-04-02,58.74,59.52,58.41,59.04,2848190,PRU
2013-04-03,59.17,59.33,57.72,57.98,2761276,PRU
2013-04-04,58.2,58.2,56.5,56.96,5077635,PRU
2013-04-05,55.53,55.58,54.81,55.48,6803513,PRU
2013-04-06,55.47,55.66,54.86,55.58,5549523,PRU
2013-04-07,55.42,55.74,54.9,55.69,4295534,PRU
2013-04-08,55.36,55.82,54.95,55.79,3041544,PRU
2013-04-09,55.93,56.66,55.68,56.44,2934028,PRU
2013-04-10,56.89,58.3,56.54,57.86,3138101,PRU
2013-04-11,57.88,58.16,57.46,57.64,2518786,PRU
2013-04-12,57.15,57.59,56.4,56.9,2493404,PRU
2013-04-13,56.98,57.37,56.12,56.46,2733173,PRU
2013-04-14,56.8,57.16,55.85,56.02,2972941,PRU
2013-04-15,56.63,56.94,55.57,55.58,3212710,PRU
2013-04-16,56.27,56.84,55.88,56.72,2398055,PRU
2013-04-17,55.94,56.49,55.47,55.88,2393706,PRU
2013-04-18,56.0,56.0,54.58,54.91,2969334,PRU
2013-04-19,55.13,55.81,54.91,55.77,2663715,PRU
2013-04-20,55.36,55.93,54.95,55.88,2454916,PRU
2013-04-21,55.59,56.05,54.99,55.99,2246118,PRU
2013-04-22,55.82,56.17,55.03,56.1,2037319,PRU
2013-04-23,56.59,58.38,56.28,57.94,3421321,PRU
2013-04-24,58.18,58.57,57.9,58.34,1939051,PRU
2013-04-25,58.58,59.86,58.3,59.34,2711243,PRU
2013-04-26,59.05,59.51,58.51,59.25,1868913,PRU
2013-04-27,59.22,59.82,58.73,59.6,2010125,PRU
2013-04-28,59.38,60.14,58.95,59.94,2151336,PRU
2013-04-29,59.55,60.45,59.17,60.29,2292548,PRU
2013-04-30,60.17,60.51,59.68,60.42,2192091,PRU
2013-05-01,60.38,60.47,59.18,59.28,3430117,PRU
2013-05-02,62.4,64.46,61.61,63.41,9062914,PRU
2013-05-03,64.3,65.8,64.18,65.2,4843607,PRU
2013-05-04,64.5,65.84,64.42,65.4,4257076,PRU
2013-05-05,64.69,65.89,64.65,65.6,3670546,PRU
2013-05-06,64.89,65.93,64.89,65.8,3084015,PRU
2013-05-07,66.24,66.87,65.47,65.68,4048342,PRU
2013-05-08,65.64,66.38,65.1,65.97,2690479,PRU
2013-05-09,65.9,66.08,65.16,65.51,2187075,PRU
2013-05-10,65.55,65.7,64.63,65.05,2692780,PRU
2013-05-11,65.21,65.51,64.52,65.07,2557506,PRU
2013-05-12,64.87,65.33,64.41,65.08,2422232,PRU
2013-05-13,64.53,65.14,64.3,65.1,2286958,PRU
2013-05-14,65.15,66.6,64.92,66.6,2685196,PRU
2013-05-15,66.74,68.08,66.34,67.7,4461649,PRU
2013-05-16,67.57,68.45,66.94,67.2,3396313,PRU
2013-05-17,67.52,68.6,67.23,68.38,3039053,PRU
2013-05-18,67.72,68.66,67.5,68.4,2748557,PRU
2013-05-19,67.91,68.71,67.78,68.41,2458061,PRU
2013-05-20,68.11,68.77,68.05,68.43,2167565,PRU
2013-05-21,68.46,68.86,67.99,68.05,2613454,PRU
2013-05-22,68.13,69.38,67.08,67.45,2729174,PRU
2013-05-23,66.62,67.27,65.8,66.99,2512973,PRU
2013-05-24,66.01,66.51,65.54,66.46,1507265,PRU
2013-05-25,66.34,67.08,65.98,66.81,1810466,PRU
2013-05-26,66.66,67.65,66.42,67.16,2113666,PRU
2013-05-27,66.98,68.22,66.86,67.52,2416866,PRU
2013-05-28,67.31,68.79,67.3,67.87,2720067,PRU
2013-05-29,67.05,70.0,66.82,69.22,3556678,PRU
2013-05-30,69.3,70.76,69.15,70.01,2728089,PRU
2013-05-31,69.63,70.58,68.96,68.97,3202432,PRU
2013-06-01,69.53,70.28,68.59,69.17,3122020,PRU
2013-06-02,69.43,69.99,68.23,69.37,3041609,PRU
2013-06-03,69.33,69.69,67.86,69.57,2961197,PRU
2013-06-04,69.7,70.64,68.5,69.07,3056304,PRU
2013-06-05,69.09,69.26,67.16,67.45,3459864,PRU
2013-06-06,67.52,69.07,67.13,69.06,3061488,PRU
2013-06-07,69.7,71.81,69.54,71.72,4539730,PRU
2013-06-08,70.41,72.39,70.3,71.93,4158384,PRU
2013-06-09,71.13,72.98,71.05,72.15,3777038,PRU
2013-06-10,71.84,73.56,71.81,72.36,3395692,PRU
2013-06-11,71.43,71.92,70.54,70.93,2734012,PRU
2013-06-12,71.8,71.98,70.78,71.01,2935344,PRU
2013-06-13,70.87,71.85,70.41,71.7,2402411,PRU
2013-06-14,71.56,71.64,70.11,70.48,1955491,PRU
2013-06-15,71.46,71.93,70.49,71.05,2159728,PRU
2013-06-16,71.37,72.21,70.88,71.62,2363965,PRU
2013-06-17,71.27,72.5,71.26,72.19,2568202,PRU
2013-06-18,72.18,73.3,71.66,72.97,2867265,PRU
2013-06-19,72.78,73.48,72.05,72.23,2343456,PRU
2013-06-20,71.47,73.05,70.84,71.91,3371042,PRU
2013-06-21,72.84,73.01,70.75,71.55,4107560,PRU
2013-06-22,72.09,72.29,70.18,71.12,4116821,PRU
2013-06-23,71.33,71.56,69.61,70.69,4126082,PRU
2013-06-24,70.58,70.84,69.04,70.26,4135343,PRU
2013-06-25,71.1,72.0,70.29,71.09,3559859,PRU
2013-06-26,71.82,72.07,70.82,71.05,3974179,PRU
2013-06-27,71.76,72.77,71.52,72.41,2158844,PRU
2013-06-28,72.11,73.41,71.72,73.03,3997457,PRU
2013-06-29,72.44,73.6,72.17,73.12,3533218,PRU
2013-06-30,72.77,73.8,72.62,73.21,3068978,PRU
2013-07-01,73.1,73.99,73.07,73.3,2604739,PRU
2013-07-02,73.5,74.2,73.12,74.1,3240889,PRU
2013-07-03,73.2,73.94,72.87,73.84,1593960,PRU
2013-07-04,73.96,74.81,73.7,74.72,1907852,PRU
2013-07-05,74.71,75.68,74.53,75.6,2221743,PRU
