index,open,high,low,close,volume,Name
2013-02-08,63.41,65.24,63.22,64.02,4745571,PSX
2013-02-09,63.61,65.05,63.39,64.07,4196302,PSX
2013-02-10,63.8,64.85,63.55,64.13,3647034,PSX
2013-02-11,64.0,64.66,63.72,64.18,3097765,PSX
2013-02-12,64.62,64.78,63.78,64.43,3701971,PSX
2013-02-13,64.5,64.5,63.85,64.11,2777089,PSX
2013-02-14,63.77,64.92,63.75,64.83,3559969,PSX
2013-02-15,64.55,65.38,63.53,64.17,3788421,PSX
2013-02-16,64.42,65.26,63.53,64.32,3614412,PSX
2013-02-17,64.28,65.13,63.54,64.46,3440402,PSX
2013-02-18,64.15,65.01,63.54,64.61,3266392,PSX
2013-02-19,64.02,64.89,63.54,64.76,3092383,PSX
2013-02-20,64.75,64.94,62.54,62.64,4847063,PSX
2013-02-21,62.32,62.92,61.22,62.29,5030526,PSX
2013-02-22,62.78,64.12,62.51,64.11,3049275,PSX
2013-02-23,63.33,64.33,62.11,63.19,3464194,PSX
2013-02-24,63.89,64.53,61.71,62.26,3879114,PSX
2013-02-25,64.44,64.74,61.31,61.34,4294033,PSX
2013-02-26,61.48,61.69,59.94,61.23,4346822,PSX
2013-02-27,61.3,63.12,61.0,62.99,2581316,PSX
2013-02-28,62.86,64.26,62.0,62.96,4226584,PSX
2013-03-01,62.71,63.93,62.19,63.9,3150179,PSX
2013-03-02,63.09,64.53,62.64,64.49,3353057,PSX
2013-03-03,63.46,65.14,63.09,65.09,3555934,PSX
2013-03-04,63.84,65.74,63.54,65.68,3758812,PSX
2013-03-05,66.04,66.05,64.52,65.77,3920271,PSX
2013-03-06,66.0,66.97,65.4,66.05,2929805,PSX
2013-03-07,65.89,66.12,64.79,65.87,3429602,PSX
2013-03-08,66.08,66.28,65.6,66.03,4045212,PSX
2013-03-09,66.02,66.21,65.05,65.92,4352394,PSX
2013-03-10,65.96,66.15,64.49,65.8,4659577,PSX
2013-03-11,65.9,66.08,63.94,65.69,4966759,PSX
2013-03-12,65.66,66.4,65.21,66.22,4126287,PSX
2013-03-13,65.88,66.04,64.2,64.55,4784809,PSX
2013-03-14,64.96,65.45,64.29,64.95,3836775,PSX
2013-03-15,64.49,65.24,64.11,64.15,5983383,PSX
2013-03-16,64.1,65.26,63.74,64.44,5203538,PSX
2013-03-17,63.71,65.27,63.38,64.74,4423692,PSX
2013-03-18,63.32,65.29,63.01,65.03,3643847,PSX
2013-03-19,64.88,66.35,64.66,65.41,4124338,PSX
2013-03-20,66.0,68.44,65.95,67.54,5088263,PSX
2013-03-21,67.0,67.84,66.11,66.82,3394838,PSX
2013-03-22,66.97,67.79,66.84,67.55,2635543,PSX
2013-03-23,67.29,68.09,66.78,67.32,3058673,PSX
2013-03-24,67.62,68.4,66.71,67.09,3481803,PSX
2013-03-25,67.94,68.7,66.65,66.86,3904933,PSX
2013-03-26,66.98,67.41,66.37,67.24,3243532,PSX
2013-03-27,67.13,68.29,66.46,68.27,3920271,PSX
2013-03-28,68.38,70.52,67.96,69.97,6224846,PSX
2013-03-29,68.78,70.44,68.15,69.82,5422507,PSX
2013-03-30,69.19,70.35,68.34,69.66,4620168,PSX
2013-03-31,69.6,70.27,68.54,69.51,3817830,PSX
2013-04-01,70.0,70.19,68.73,69.36,3015491,PSX
2013-04-02,70.17,70.2,66.7,66.84,5679056,PSX
2013-04-03,66.84,66.88,61.47,62.46,14028225,PSX
2013-04-04,62.57,63.95,61.94,62.39,6138678,PSX
2013-04-05,61.26,62.97,60.2,62.31,5289787,PSX
2013-04-06,61.6,63.25,60.77,62.75,4849625,PSX
2013-04-07,61.95,63.52,61.33,63.18,4409463,PSX
2013-04-08,62.29,63.8,61.9,63.62,3969301,PSX
2013-04-09,63.95,65.23,62.86,64.66,4291901,PSX
2013-04-10,64.78,65.21,63.05,63.86,6005988,PSX
2013-04-11,63.81,63.86,61.81,62.01,6204997,PSX
2013-04-12,61.37,61.74,59.07,60.67,8307664,PSX
2013-04-13,60.64,61.16,58.41,59.62,8170897,PSX
2013-04-14,59.91,60.57,57.74,58.57,8034129,PSX
2013-04-15,59.18,59.99,57.08,57.52,7897362,PSX
2013-04-16,58.15,59.32,57.77,59.28,5644287,PSX
2013-04-17,58.55,58.79,57.16,57.99,4602098,PSX
2013-04-18,57.92,58.54,56.13,57.23,4268983,PSX
2013-04-19,58.14,58.14,56.46,57.84,5045419,PSX
2013-04-20,58.13,58.87,57.0,58.37,4583426,PSX
2013-04-21,58.13,59.61,57.53,58.9,4121432,PSX
2013-04-22,58.12,60.34,58.07,59.43,3659439,PSX
2013-04-23,59.59,61.42,59.36,61.15,5319610,PSX
2013-04-24,61.41,63.05,61.31,61.82,4771530,PSX
2013-04-25,62.04,63.09,61.78,61.9,4384071,PSX
2013-04-26,61.85,62.08,61.14,61.6,3034655,PSX
2013-04-27,61.89,62.15,61.25,61.67,3171400,PSX
2013-04-28,61.93,62.23,61.37,61.73,3308144,PSX
2013-04-29,61.97,62.3,61.48,61.8,3444889,PSX
2013-04-30,61.93,62.2,60.02,60.95,5457370,PSX
2013-05-01,61.11,61.94,59.55,59.67,5678545,PSX
2013-05-02,60.07,60.68,59.16,60.3,4212270,PSX
2013-05-03,60.8,62.66,60.49,62.18,4548957,PSX
2013-05-04,61.36,63.19,61.1,62.74,4260258,PSX
2013-05-05,61.93,63.71,61.71,63.31,3971559,PSX
2013-05-06,62.49,64.24,62.32,63.87,3682860,PSX
2013-05-07,64.25,65.34,64.02,64.48,4675876,PSX
2013-05-08,64.23,64.47,62.85,63.41,3664069,PSX
2013-05-09,63.23,63.27,61.88,62.13,3435010,PSX
2013-05-10,61.73,62.2,61.0,61.38,5060830,PSX
2013-05-11,61.53,62.23,60.8,61.58,4650370,PSX
