index,open,high,low,close,volume,Name
2013-02-08,125.0,129.25,124.58,128.97,2054111,PXD
2013-02-09,126.32,129.25,124.97,128.83,2085466,PXD
2013-02-10,127.65,129.26,125.36,128.69,2116821,PXD
2013-02-11,128.97,129.26,125.75,128.55,2148176,PXD
2013-02-12,128.93,130.36,128.09,128.5,1618589,PXD
2013-02-13,130.8,130.8,125.92,126.76,3095077,PXD
2013-02-14,122.43,133.68,120.03,130.05,5504300,PXD
2013-02-15,128.99,131.75,128.6,130.56,9338268,PXD
2013-02-16,129.6,132.03,129.23,131.03,7442962,PXD
2013-02-17,130.2,132.31,129.86,131.5,5547656,PXD
2013-02-18,130.81,132.59,130.5,131.98,3652350,PXD
2013-02-19,131.42,132.87,131.13,132.45,1757044,PXD
2013-02-20,132.2,132.2,127.65,127.84,2930510,PXD
2013-02-21,127.7,127.99,123.27,125.52,2216929,PXD
2013-02-22,126.83,128.25,124.64,127.0,2369890,PXD
2013-02-23,127.24,128.29,123.43,125.03,2367391,PXD
2013-02-24,127.65,128.34,122.22,123.06,2364891,PXD
2013-02-25,128.06,128.38,121.02,121.09,2362392,PXD
2013-02-26,122.17,124.69,119.83,124.28,2076863,PXD
2013-02-27,124.12,126.67,123.95,126.1,1377028,PXD
2013-02-28,125.96,126.85,124.53,125.81,1706710,PXD
2013-03-01,124.75,124.84,122.45,123.69,1563951,PXD
2013-03-02,124.27,124.56,121.95,123.46,1541512,PXD
2013-03-03,123.78,124.27,121.45,123.23,1519072,PXD
2013-03-04,123.3,123.99,120.95,123.0,1496633,PXD
2013-03-05,124.28,126.19,122.96,125.23,1311744,PXD
2013-03-06,126.07,126.07,124.45,125.11,999523,PXD
2013-03-07,124.88,128.0,123.25,127.65,3153381,PXD
2013-03-08,128.26,129.39,126.92,127.64,1811979,PXD
2013-03-09,127.93,128.96,126.67,127.65,1456115,PXD
2013-03-10,127.61,128.53,126.43,127.66,1100250,PXD
2013-03-11,127.28,128.1,126.18,127.67,744386,PXD
2013-03-12,128.09,128.13,126.17,127.11,972048,PXD
2013-03-13,126.89,127.12,125.58,126.29,1239556,PXD
2013-03-14,126.61,127.82,125.11,127.62,1741934,PXD
2013-03-15,126.82,129.97,126.26,129.31,2213564,PXD
2013-03-16,127.04,129.47,126.34,128.54,1786674,PXD
2013-03-17,127.27,128.98,126.42,127.76,1359783,PXD
2013-03-18,127.49,128.48,126.51,126.99,932893,PXD
2013-03-19,126.84,127.62,123.21,124.02,998192,PXD
2013-03-20,125.45,126.43,122.83,124.46,1055887,PXD
2013-03-21,123.56,124.93,121.39,121.83,1090485,PXD
2013-03-22,122.66,123.73,121.99,122.73,923143,PXD
2013-03-23,122.87,124.15,121.66,122.53,1113735,PXD
2013-03-24,123.07,124.58,121.34,122.32,1304327,PXD
2013-03-25,123.28,125.0,121.01,122.12,1494919,PXD
2013-03-26,123.3,126.15,122.42,126.07,1183744,PXD
2013-03-27,125.9,126.71,123.34,126.25,1713085,PXD
2013-03-28,125.79,126.7,124.07,124.25,1465926,PXD
2013-03-29,125.39,126.26,123.46,123.92,1470312,PXD
2013-03-30,125.0,125.83,122.86,123.58,1474698,PXD
2013-03-31,124.6,125.4,122.25,123.24,1479083,PXD
2013-04-01,124.2,124.96,121.64,122.91,1483469,PXD
2013-04-02,122.38,123.82,122.38,123.48,1487753,PXD
2013-04-03,124.16,124.4,120.16,120.93,1315075,PXD
2013-04-04,120.41,120.81,116.66,117.82,1934073,PXD
2013-04-05,115.46,119.49,114.31,118.59,2091282,PXD
2013-04-06,116.6,120.13,115.79,119.52,1723130,PXD
2013-04-07,117.74,120.76,117.27,120.45,1354978,PXD
2013-04-08,118.88,121.4,118.75,121.38,986826,PXD
2013-04-09,121.29,123.79,120.11,123.2,1359093,PXD
2013-04-10,123.58,123.96,122.53,122.9,867699,PXD
2013-04-11,123.45,123.97,122.12,123.52,1128253,PXD
2013-04-12,122.08,122.5,117.44,118.61,1579596,PXD
