index,open,high,low,close,volume,Name
2013-02-08,110.6,111.65,110.51,111.61,695502,PX
2013-02-09,110.87,111.73,110.62,111.4,698934,PX
2013-02-10,111.13,111.8,110.72,111.2,702366,PX
2013-02-11,111.4,111.88,110.82,110.99,705798,PX
2013-02-12,111.07,111.34,110.32,110.98,893725,PX
2013-02-13,111.31,111.92,110.99,111.77,744098,PX
2013-02-14,111.31,111.56,110.8,111.21,1304091,PX
2013-02-15,110.76,111.48,109.52,110.15,2094841,PX
2013-02-16,110.82,111.36,109.68,110.3,1844803,PX
2013-02-17,110.87,111.23,109.84,110.44,1594764,PX
2013-02-18,110.93,111.1,110.0,110.59,1344726,PX
2013-02-19,110.98,110.98,110.16,110.74,1094688,PX
2013-02-20,110.7,111.56,109.77,110.38,1961356,PX
2013-02-21,109.73,110.85,109.08,109.96,2355762,PX
2013-02-22,110.28,111.28,109.95,111.17,1273210,PX
2013-02-23,110.77,111.59,109.8,110.63,1416143,PX
2013-02-24,111.27,111.89,109.64,110.08,1559077,PX
2013-02-25,111.76,112.2,109.49,109.54,1702010,PX
2013-02-26,110.04,111.06,110.04,110.58,1646083,PX
2013-02-27,110.43,112.71,110.22,112.22,884309,PX
2013-02-28,112.23,113.53,112.09,113.05,1165455,PX
2013-03-01,112.87,113.86,111.8,113.51,1051202,PX
2013-03-02,112.93,113.63,111.88,113.31,1076193,PX
2013-03-03,113.0,113.41,111.97,113.1,1101184,PX
2013-03-04,113.06,113.18,112.06,112.9,1126175,PX
2013-03-05,112.9,114.53,112.9,113.41,945304,PX
2013-03-06,113.9,114.09,112.8,112.9,1015554,PX
2013-03-07,112.86,113.26,112.37,112.67,999882,PX
2013-03-08,113.33,113.91,112.83,113.64,1099020,PX
2013-03-09,113.34,113.81,112.79,113.57,1050531,PX
2013-03-10,113.34,113.7,112.76,113.51,1002043,PX
2013-03-11,113.35,113.6,112.72,113.44,953554,PX
2013-03-12,113.45,114.0,112.45,112.92,1253843,PX
2013-03-13,112.89,113.01,111.77,112.77,944321,PX
2013-03-14,113.15,113.62,112.84,113.6,973865,PX
2013-03-15,113.08,113.99,112.78,113.54,1391621,PX
2013-03-16,112.89,113.75,112.64,113.36,1265215,PX
2013-03-17,112.71,113.5,112.51,113.17,1138809,PX
2013-03-18,112.52,113.26,112.37,112.99,1012403,PX
2013-03-19,113.09,113.65,112.45,113.48,1390908,PX
2013-03-20,113.97,114.12,113.48,113.64,877543,PX
2013-03-21,111.7,112.67,111.23,111.27,1567009,PX
2013-03-22,111.27,112.05,110.98,111.59,773939,PX
2013-03-23,111.65,112.17,111.01,111.77,933616,PX
2013-03-24,112.02,112.28,111.04,111.96,1093292,PX
2013-03-25,112.4,112.4,111.07,112.14,1252969,PX
2013-03-26,112.5,113.0,111.8,112.1,740685,PX
2013-03-27,111.6,111.61,110.58,111.34,912516,PX
2013-03-28,111.54,111.96,111.11,111.54,1916466,PX
2013-03-29,111.61,111.96,111.03,111.43,1741343,PX
2013-03-30,111.68,111.96,110.95,111.31,1566220,PX
2013-03-31,111.75,111.97,110.87,111.2,1391098,PX
2013-04-01,111.82,111.97,110.79,111.08,1215975,PX
2013-04-02,111.44,111.51,110.64,111.0,1074958,PX
2013-04-03,110.93,111.84,110.04,110.31,1416940,PX
2013-04-04,110.69,111.98,110.39,111.26,930571,PX
2013-04-05,110.11,111.03,109.91,110.98,773640,PX
2013-04-06,110.41,111.21,110.06,111.17,716330,PX
2013-04-07,110.71,111.38,110.2,111.35,659019,PX
2013-04-08,111.01,111.56,110.35,111.54,601709,PX
2013-04-09,111.89,112.19,111.05,111.36,1007506,PX
2013-04-10,111.73,113.0,111.43,112.97,1312907,PX
2013-04-11,112.98,113.37,112.22,112.35,1677186,PX
2013-04-12,111.98,112.68,110.8,111.0,1129540,PX
2013-04-13,111.31,111.98,109.76,109.9,1338933,PX
2013-04-14,110.64,111.28,108.73,108.79,1548325,PX
2013-04-15,109.98,110.58,107.69,107.69,1757718,PX
2013-04-16,108.39,110.23,108.22,110.13,1167987,PX
2013-04-17,109.46,110.47,109.21,110.23,1530096,PX
2013-04-18,110.57,110.75,109.45,109.78,1663954,PX
2013-04-19,110.32,110.55,109.19,109.75,1815318,PX
2013-04-20,110.2,110.44,109.26,109.75,1698655,PX
2013-04-21,110.09,110.34,109.34,109.75,1581992,PX
2013-04-22,109.97,110.23,109.41,109.75,1465329,PX
2013-04-23,109.88,110.75,108.3,109.61,1764641,PX
2013-04-24,110.71,113.87,110.38,112.77,2089436,PX
2013-04-25,112.99,113.35,112.17,112.82,1271924,PX
