index,open,high,low,close,volume,Name
2015-01-02,69.0,72.0,68.01,70.4,4218773,QRVO
2015-01-03,69.74,71.77,67.69,69.48,4324111,QRVO
2015-01-04,70.49,71.53,67.38,68.55,4429448,QRVO
2015-01-05,71.23,71.3,67.06,67.63,4534786,QRVO
2015-01-06,67.93,67.99,63.02,64.67,3749900,QRVO
2015-01-07,65.01,66.76,63.51,66.65,2122624,QRVO
2015-01-08,67.95,69.69,67.13,67.69,2514567,QRVO
2015-01-09,68.45,68.45,66.61,67.11,934190,QRVO
2015-01-10,68.1,68.3,66.01,66.58,1042542,QRVO
2015-01-11,67.74,68.14,65.4,66.05,1150894,QRVO
2015-01-12,67.39,67.99,64.8,65.52,1259246,QRVO
2015-01-13,65.74,67.59,63.61,65.02,1230742,QRVO
2015-01-14,64.65,65.45,63.11,64.59,980702,QRVO
2015-01-15,64.23,64.94,63.6,64.39,1246849,QRVO
2015-01-16,64.02,66.42,63.81,65.81,1392888,QRVO
2015-01-17,64.45,66.87,64.17,66.35,1318726,QRVO
2015-01-18,64.88,67.31,64.52,66.88,1244564,QRVO
2015-01-19,65.32,67.76,64.88,67.42,1170401,QRVO
2015-01-20,65.75,68.2,65.23,67.96,1096239,QRVO
2015-01-21,67.61,70.8,67.57,68.84,1451616,QRVO
2015-01-22,69.54,70.68,67.03,70.61,1332703,QRVO
2015-01-23,70.72,74.34,70.57,73.37,1677595,QRVO
2015-01-24,71.28,74.23,71.15,73.3,1642339,QRVO
2015-01-25,71.84,74.11,71.72,73.22,1607082,QRVO
2015-01-26,72.4,74.0,72.3,73.15,1571826,QRVO
2015-01-27,73.0,73.88,71.5,73.75,1246687,QRVO
2015-01-28,75.0,78.05,74.22,75.5,3063005,QRVO
2015-01-29,72.7,75.88,72.2,75.76,2636706,QRVO
2015-01-30,74.64,75.26,73.31,73.87,1623369,QRVO
2015-01-31,74.12,74.84,71.17,72.15,2198349,QRVO
2015-02-01,73.6,74.42,69.02,70.44,2773329,QRVO
2015-02-02,73.08,74.0,66.88,68.72,3348309,QRVO
2015-02-03,68.74,70.0,67.05,68.52,2551794,QRVO
2015-02-04,67.53,69.4,66.76,68.33,1499558,QRVO
2015-02-05,67.66,68.73,66.5,67.39,1322918,QRVO
2015-02-06,67.5,68.5,65.53,65.89,1302192,QRVO
2015-02-07,66.73,67.61,64.8,65.17,1389329,QRVO
2015-02-08,65.97,66.72,64.08,64.46,1476465,QRVO
2015-02-09,65.2,65.82,63.35,63.74,1563602,QRVO
2015-02-10,63.87,65.12,63.67,65.02,1306622,QRVO
2015-02-11,64.93,65.65,63.17,64.75,1096587,QRVO
2015-02-12,65.63,66.33,65.0,66.2,1159026,QRVO
2015-02-13,66.35,70.27,65.63,70.03,1870878,QRVO
2015-02-14,67.26,70.2,66.24,69.88,1646649,QRVO
2015-02-15,68.18,70.13,66.85,69.74,1422420,QRVO
2015-02-16,69.09,70.07,67.45,69.59,1198192,QRVO
2015-02-17,70.0,70.0,68.06,69.44,973963,QRVO
2015-02-18,69.15,70.0,67.31,67.54,1056656,QRVO
2015-02-19,67.0,68.17,65.25,65.3,1225397,QRVO
2015-02-20,65.57,65.77,64.04,65.17,1463428,QRVO
2015-02-21,65.43,65.81,64.13,65.13,1272198,QRVO
2015-02-22,65.3,65.84,64.21,65.09,1080967,QRVO
2015-02-23,65.16,65.88,64.3,65.05,889737,QRVO
2015-02-24,65.36,69.35,65.2,69.34,1700103,QRVO
2015-02-25,68.95,69.28,66.6,67.21,965173,QRVO
2015-02-26,68.0,71.72,67.89,71.53,2116352,QRVO
2015-02-27,70.75,71.43,69.2,69.4,1400857,QRVO
2015-02-28,70.3,71.22,69.07,69.38,1309879,QRVO
2015-03-01,69.84,71.01,68.93,69.37,1218902,QRVO
2015-03-02,69.39,70.8,68.8,69.35,1127924,QRVO
2015-03-03,69.36,70.96,68.35,70.84,1509044,QRVO
2015-03-04,70.23,73.25,70.11,72.02,1397547,QRVO
2015-03-05,72.2,75.16,72.02,74.51,1621943,QRVO
2015-03-06,73.41,74.5,72.75,72.98,988083,QRVO
2015-03-07,73.35,74.82,72.88,73.6,1017592,QRVO
2015-03-08,73.3,75.13,73.0,74.21,1047101,QRVO
2015-03-09,73.24,75.45,73.13,74.83,1076610,QRVO
2015-03-10,74.13,74.31,71.74,72.15,1365519,QRVO
2015-03-11,72.67,73.6,72.05,72.95,1039697,QRVO
2015-03-12,73.34,74.35,72.92,73.42,794838,QRVO
2015-03-13,73.35,73.99,71.8,72.57,761933,QRVO
2015-03-14,73.64,74.91,72.53,73.82,1115414,QRVO
2015-03-15,73.92,75.83,73.27,75.08,1468895,QRVO
2015-03-16,74.21,76.75,74.0,76.33,1822376,QRVO
2015-03-17,76.16,78.12,75.9,77.71,1824736,QRVO
2015-03-18,77.86,80.8,77.69,79.96,2272864,QRVO
2015-03-19,81.52,82.27,79.21,80.38,1885961,QRVO
2015-03-20,81.44,81.5,79.69,80.8,4740960,QRVO
2015-03-21,81.34,82.4,80.15,81.9,3827644,QRVO
2015-03-22,81.25,83.29,80.61,82.99,2914329,QRVO
2015-03-23,81.15,84.19,81.07,84.09,2001013,QRVO
2015-03-24,84.6,85.63,82.66,83.21,1792326,QRVO
2015-03-25,83.55,83.79,75.52,77.13,3728849,QRVO
2015-03-26,73.5,77.75,72.1,77.19,3005851,QRVO
2015-03-27,77.63,80.69,77.51,79.28,2634855,QRVO
2015-03-28,78.49,80.93,78.24,79.99,2363354,QRVO
2015-03-29,79.36,81.16,78.98,80.69,2091854,QRVO
2015-03-30,80.22,81.4,79.71,81.4,1820353,QRVO
2015-03-31,80.93,81.0,78.55,79.7,2006906,QRVO
2015-04-01,78.53,79.3,77.81,78.8,1430165,QRVO
2015-04-02,79.2,79.2,76.67,77.79,1603809,QRVO
2015-04-03,78.62,78.69,76.3,77.47,1606250,QRVO
2015-04-04,78.04,78.18,75.94,77.15,1608692,QRVO
2015-04-05,77.46,77.66,75.57,76.83,1611133,QRVO
2015-04-06,76.88,77.15,75.2,76.51,1613574,QRVO
2015-04-07,77.08,77.69,72.73,73.23,2251917,QRVO
2015-04-08,73.8,75.2,72.51,72.84,2108002,QRVO
2015-04-09,72.71,74.9,71.22,74.63,1385059,QRVO
2015-04-10,75.61,75.93,72.76,73.58,1315407,QRVO
2015-04-11,75.0,75.66,72.54,73.26,1291497,QRVO
