index,open,high,low,close,volume,Name
2013-02-08,51.0,51.41,50.83,51.41,375042,REG
2013-02-09,50.99,51.41,50.87,51.34,386016,REG
2013-02-10,50.97,51.4,50.92,51.27,396989,REG
2013-02-11,50.96,51.4,50.96,51.2,407963,REG
2013-02-12,51.18,51.6,51.14,51.55,579125,REG
2013-02-13,51.72,51.93,51.44,51.57,403329,REG
2013-02-14,51.56,51.71,51.31,51.59,277635,REG
2013-02-15,51.67,51.89,51.5,51.7,421826,REG
2013-02-16,51.7,51.91,51.53,51.77,459876,REG
2013-02-17,51.72,51.94,51.57,51.84,497926,REG
2013-02-18,51.74,51.96,51.6,51.91,535977,REG
2013-02-19,51.77,51.98,51.64,51.98,574027,REG
2013-02-20,51.85,52.38,51.81,51.81,500607,REG
2013-02-21,51.73,51.8,50.83,50.89,430269,REG
2013-02-22,51.19,51.61,51.05,51.51,320186,REG
2013-02-23,51.38,51.68,50.82,51.13,384534,REG
2013-02-24,51.56,51.74,50.59,50.74,448883,REG
2013-02-25,51.75,51.8,50.36,50.36,513231,REG
2013-02-26,50.6,51.06,50.28,50.98,562795,REG
2013-02-27,50.98,51.99,50.96,51.48,553955,REG
2013-02-28,51.5,52.05,51.43,51.88,1126152,REG
2013-03-01,51.66,52.17,51.23,51.87,757401,REG
2013-03-02,51.71,52.28,51.4,52.04,637754,REG
2013-03-03,51.75,52.4,51.58,52.21,518108,REG
2013-03-04,51.8,52.51,51.75,52.38,398461,REG
2013-03-05,52.55,53.3,52.28,53.27,456015,REG
2013-03-06,53.28,53.49,52.91,53.44,457246,REG
2013-03-07,53.36,53.5,53.04,53.25,497580,REG
2013-03-08,53.45,53.55,53.0,53.1,383151,REG
2013-03-09,53.32,53.4,52.88,52.98,552244,REG
2013-03-10,53.19,53.26,52.75,52.87,721338,REG
2013-03-11,53.06,53.11,52.63,52.75,890431,REG
2013-03-12,52.79,52.84,52.4,52.61,467885,REG
2013-03-13,52.68,52.87,52.34,52.7,819860,REG
2013-03-14,52.79,53.18,52.77,52.95,309938,REG
2013-03-15,52.74,52.86,52.42,52.71,741432,REG
2013-03-16,52.62,52.85,52.37,52.7,681600,REG
2013-03-17,52.51,52.83,52.32,52.68,621769,REG
2013-03-18,52.39,52.82,52.28,52.67,561937,REG
2013-03-19,52.73,52.86,52.2,52.51,417451,REG
