index,open,high,low,close,volume,Name
2013-02-08,118.9,120.02,118.5,119.24,251002,RE
2013-02-09,119.09,120.27,118.82,119.6,274443,RE
2013-02-10,119.27,120.52,119.14,119.95,297883,RE
2013-02-11,119.46,120.77,119.46,120.31,321324,RE
2013-02-12,120.07,122.32,120.07,121.29,547473,RE
2013-02-13,121.52,122.06,119.96,120.78,436509,RE
2013-02-14,120.54,121.32,120.06,120.45,322613,RE
2013-02-15,120.54,121.2,120.37,121.05,463946,RE
2013-02-16,120.66,121.59,120.53,121.48,433113,RE
2013-02-17,120.77,121.98,120.68,121.9,402280,RE
2013-02-18,120.88,122.37,120.84,122.33,371448,RE
2013-02-19,121.0,122.76,121.0,122.76,340615,RE
2013-02-20,122.72,123.26,122.25,122.38,427053,RE
2013-02-21,122.4,125.87,122.4,124.51,860696,RE
2013-02-22,124.77,124.77,123.61,123.94,540910,RE
2013-02-23,124.35,124.79,123.24,123.48,503705,RE
2013-02-24,123.92,124.82,122.86,123.01,466499,RE
2013-02-25,123.5,124.84,122.49,122.55,429294,RE
2013-02-26,122.88,125.05,122.03,124.14,602698,RE
2013-02-27,124.05,125.34,123.87,124.99,322066,RE
2013-02-28,124.99,126.26,124.53,124.61,482630,RE
2013-03-01,124.27,125.66,123.81,124.09,590110,RE
2013-03-02,124.1,125.72,123.73,124.47,605628,RE
2013-03-03,123.93,125.79,123.64,124.85,621146,RE
2013-03-04,123.76,125.85,123.56,125.23,636664,RE
2013-03-05,125.75,128.15,125.55,127.73,515230,RE
2013-03-06,127.92,128.32,126.42,127.25,408525,RE
2013-03-07,127.36,128.37,126.98,127.25,304397,RE
2013-03-08,127.8,128.05,126.9,127.9,232053,RE
2013-03-09,127.89,128.15,126.91,127.68,265608,RE
2013-03-10,127.98,128.24,126.91,127.47,299163,RE
2013-03-11,128.07,128.34,126.92,127.25,332718,RE
2013-03-12,127.16,128.37,127.05,128.07,342273,RE
2013-03-13,127.99,128.5,126.99,128.09,264723,RE
2013-03-14,128.35,128.91,128.2,128.91,143199,RE
2013-03-15,128.94,129.65,128.56,128.9,380745,RE
2013-03-16,128.54,129.42,128.28,128.76,307965,RE
2013-03-17,128.15,129.18,128.0,128.61,235184,RE
2013-03-18,127.75,128.95,127.72,128.47,162404,RE
2013-03-19,128.57,129.6,128.57,128.92,220427,RE
2013-03-20,129.2,130.01,128.78,129.72,201556,RE
2013-03-21,128.9,130.01,128.68,129.2,348397,RE
2013-03-22,129.51,130.82,129.51,130.64,273539,RE
2013-03-23,129.94,131.01,129.61,130.42,307167,RE
2013-03-24,130.36,131.19,129.72,130.19,340795,RE
2013-03-25,130.79,131.38,129.82,129.97,374423,RE
2013-03-26,130.53,130.53,128.01,128.44,455389,RE
2013-03-27,127.11,128.68,126.16,128.44,283048,RE
2013-03-28,128.76,129.86,127.94,129.86,475901,RE
2013-03-29,128.93,130.01,128.19,129.78,414140,RE
2013-03-30,129.1,130.16,128.44,129.7,352380,RE
2013-03-31,129.27,130.3,128.69,129.62,290619,RE
2013-04-01,129.44,130.45,128.94,129.54,228858,RE
2013-04-02,130.11,130.11,127.77,128.09,352979,RE
2013-04-03,128.22,129.26,126.88,127.49,746721,RE
2013-04-04,127.77,128.08,126.66,127.62,287399,RE
2013-04-05,126.53,127.2,126.02,126.45,265285,RE
2013-04-06,126.53,127.3,126.05,126.77,250169,RE
2013-04-07,126.54,127.41,126.08,127.09,235053,RE
2013-04-08,126.54,127.51,126.11,127.41,219937,RE
2013-04-09,127.8,128.35,127.41,127.81,338131,RE
2013-04-10,128.04,128.15,127.15,128.13,304357,RE
2013-04-11,128.27,129.43,128.12,128.69,170236,RE
2013-04-12,128.62,129.22,127.84,127.99,129357,RE
2013-04-13,127.83,128.73,126.39,126.54,219698,RE
2013-04-14,127.04,128.23,124.95,125.1,310038,RE
2013-04-15,126.25,127.74,123.5,123.65,400379,RE
2013-04-16,124.5,124.74,123.32,124.67,294541,RE
2013-04-17,124.44,124.52,123.31,124.44,404655,RE
2013-04-18,124.64,124.96,123.22,124.15,293151,RE
2013-04-19,124.8,125.89,124.38,125.85,191879,RE
2013-04-20,125.12,125.99,124.44,125.69,185498,RE
2013-04-21,125.44,126.1,124.51,125.54,179118,RE
2013-04-22,125.76,126.2,124.57,125.38,172737,RE
2013-04-23,126.1,128.58,125.71,128.04,613417,RE
2013-04-24,128.5,132.63,128.5,131.38,881536,RE
2013-04-25,132.05,133.15,131.16,133.05,358421,RE
2013-04-26,132.56,133.82,131.77,132.47,517356,RE
2013-04-27,132.66,133.9,131.45,132.85,487660,RE
2013-04-28,132.76,133.98,131.14,133.23,457965,RE
2013-04-29,132.86,134.06,130.82,133.61,428269,RE
2013-04-30,133.82,135.01,133.16,134.99,587945,RE
2013-05-01,134.4,134.6,132.92,133.01,409468,RE
2013-05-02,133.47,133.94,130.63,133.29,611405,RE
2013-05-03,133.51,134.11,131.34,131.98,566233,RE
2013-05-04,132.99,134.01,131.47,132.54,481313,RE
2013-05-05,132.46,133.9,131.6,133.09,396394,RE
2013-05-06,131.94,133.8,131.73,133.65,311474,RE
2013-05-07,134.16,135.74,133.2,135.73,485677,RE
2013-05-08,135.35,136.19,134.61,135.97,424848,RE
2013-05-09,136.15,136.35,134.81,135.29,464385,RE
2013-05-10,135.25,136.1,135.09,135.81,420416,RE
2013-05-11,135.4,135.99,135.02,135.75,381566,RE
2013-05-12,135.54,135.87,134.96,135.69,342716,RE
2013-05-13,135.69,135.76,134.89,135.63,303866,RE
2013-05-14,135.85,136.13,134.77,135.88,292524,RE
2013-05-15,135.8,136.4,135.21,135.57,308547,RE
2013-05-16,134.66,134.66,129.73,130.62,1160021,RE
2013-05-17,130.9,132.15,130.54,131.92,530938,RE
2013-05-18,131.18,132.43,130.72,131.91,483255,RE
2013-05-19,131.47,132.7,130.91,131.9,435571,RE
2013-05-20,131.75,132.98,131.09,131.89,387888,RE
2013-05-21,131.74,132.11,130.79,131.31,531308,RE
2013-05-22,131.18,131.56,128.57,129.18,426885,RE
2013-05-23,128.12,128.34,127.11,127.64,618475,RE
2013-05-24,127.39,127.51,125.87,126.84,510411,RE
2013-05-25,127.54,127.63,125.83,126.77,501365,RE
2013-05-26,127.7,127.76,125.78,126.7,492319,RE
2013-05-27,127.85,127.88,125.74,126.62,483273,RE
2013-05-28,128.0,128.0,125.7,126.55,474227,RE
2013-05-29,126.15,128.45,125.33,128.21,577586,RE
2013-05-30,128.31,129.79,127.8,129.76,410572,RE
2013-05-31,129.42,130.61,128.43,129.61,765371,RE
2013-06-01,129.78,130.57,128.05,129.41,720003,RE
2013-06-02,130.14,130.54,127.66,129.2,674635,RE
2013-06-03,130.5,130.5,127.28,129.0,629267,RE
2013-06-04,129.5,129.78,127.81,128.22,326247,RE
2013-06-05,128.18,128.19,126.3,126.37,299694,RE
2013-06-06,126.32,127.69,125.54,127.69,288806,RE
2013-06-07,127.99,128.64,126.81,127.79,376024,RE
2013-06-08,127.98,128.71,126.8,128.14,316911,RE
2013-06-09,127.96,128.78,126.8,128.5,257799,RE
2013-06-10,127.95,128.85,126.79,128.85,198686,RE
2013-06-11,126.47,128.17,125.86,127.28,364642,RE
2013-06-12,127.77,128.01,126.4,126.86,218313,RE
2013-06-13,126.81,129.66,126.43,129.55,279411,RE
2013-06-14,128.76,129.65,128.04,128.46,228747,RE
2013-06-15,128.95,129.82,128.39,128.95,234411,RE
2013-06-16,129.13,129.98,128.73,129.43,240074,RE
2013-06-17,129.32,130.15,129.08,129.92,245738,RE
2013-06-18,130.05,131.13,129.96,130.76,209449,RE
2013-06-19,130.59,130.61,127.77,127.81,222457,RE
2013-06-20,126.91,127.38,125.82,125.94,413172,RE
2013-06-21,127.03,127.03,123.12,124.59,594609,RE
2013-06-22,125.85,126.38,123.04,124.57,500027,RE
2013-06-23,124.68,125.74,122.97,124.54,405446,RE
2013-06-24,123.5,125.09,122.89,124.52,310864,RE
2013-06-25,126.09,126.09,124.36,124.55,236577,RE
2013-06-26,125.53,126.62,124.44,126.03,216284,RE
2013-06-27,126.84,128.99,126.45,128.7,230144,RE
2013-06-28,128.75,129.25,127.5,128.26,435353,RE
2013-06-29,128.8,129.49,127.82,128.53,454651,RE
2013-06-30,128.85,129.72,128.14,128.79,473950,RE
2013-07-01,128.9,129.96,128.46,129.06,493248,RE
2013-07-02,129.1,129.74,126.08,126.36,440167,RE
2013-07-03,125.8,126.97,125.31,126.45,158051,RE
2013-07-04,126.52,127.62,125.7,127.36,165740,RE
2013-07-05,127.25,128.28,126.08,128.28,173430,RE
2013-07-06,127.65,128.43,126.08,127.81,268551,RE
2013-07-07,128.04,128.58,126.07,127.33,363673,RE
2013-07-08,128.44,128.73,126.07,126.86,458794,RE
2013-07-09,127.09,127.6,126.3,126.85,415731,RE
2013-07-10,126.97,127.76,125.85,127.76,507411,RE
2013-07-11,129.07,129.1,127.83,128.97,255344,RE
2013-07-12,129.45,131.12,128.53,131.08,293209,RE
2013-07-13,130.23,131.5,129.41,131.45,291743,RE
2013-07-14,131.01,131.89,130.29,131.82,290278,RE
2013-07-15,131.79,132.27,131.17,132.19,288812,RE
2013-07-16,132.06,132.42,129.76,129.79,286975,RE
2013-07-17,130.52,130.74,129.66,130.24,312592,RE
2013-07-18,130.5,130.52,129.32,129.96,542357,RE
2013-07-19,129.66,130.24,129.17,129.8,248835,RE
2013-07-20,129.72,130.36,129.24,130.03,278557,RE
2013-07-21,129.79,130.48,129.3,130.26,308278,RE
2013-07-22,129.85,130.6,129.37,130.49,338000,RE
2013-07-23,130.54,131.81,127.79,128.31,666248,RE
2013-07-24,133.45,137.5,128.72,129.46,755919,RE
2013-07-25,129.49,130.86,128.6,130.86,669834,RE
