index,open,high,low,close,volume,Name
2013-02-08,55.24,55.6,54.87,54.96,1580506,RHT
2013-02-09,55.14,55.39,54.61,54.81,1610965,RHT
2013-02-10,55.05,55.19,54.36,54.66,1641424,RHT
2013-02-11,54.95,54.98,54.1,54.51,1671883,RHT
2013-02-12,54.54,55.34,54.28,55.33,1529506,RHT
2013-02-13,55.36,55.41,54.1,54.5,2689975,RHT
2013-02-14,54.37,54.44,53.81,54.07,2468983,RHT
2013-02-15,54.3,54.52,53.84,53.93,1770717,RHT
2013-02-16,54.23,54.46,53.83,53.93,1713601,RHT
2013-02-17,54.16,54.4,53.82,53.94,1656485,RHT
2013-02-18,54.08,54.33,53.8,53.94,1599369,RHT
2013-02-19,54.01,54.27,53.79,53.94,1542253,RHT
2013-02-20,54.03,54.68,53.65,53.72,1711489,RHT
2013-02-21,53.62,53.63,51.67,51.71,3320477,RHT
2013-02-22,52.11,52.3,51.0,51.24,3817057,RHT
2013-02-23,51.91,52.15,50.73,50.91,3444522,RHT
2013-02-24,51.71,52.01,50.47,50.57,3071987,RHT
2013-02-25,51.51,51.86,50.2,50.24,2699452,RHT
2013-02-26,50.55,50.62,49.1,49.39,4649621,RHT
2013-02-27,49.33,50.91,49.26,50.55,4145939,RHT
2013-02-28,51.05,51.3,50.68,50.81,3166763,RHT
2013-03-01,50.79,51.7,50.2,51.58,2231001,RHT
2013-03-02,50.96,51.83,50.51,51.75,2127239,RHT
2013-03-03,51.13,51.96,50.82,51.91,2023476,RHT
2013-03-04,51.3,52.09,51.12,52.08,1919714,RHT
2013-03-05,52.27,52.53,51.8,51.99,2167037,RHT
2013-03-06,52.14,52.96,52.0,52.8,2928924,RHT
2013-03-07,53.12,53.59,52.91,53.47,1933633,RHT
2013-03-08,53.65,53.65,52.82,53.0,1250856,RHT
2013-03-09,53.4,53.61,52.8,53.05,1366111,RHT
2013-03-10,53.14,53.58,52.77,53.09,1481366,RHT
2013-03-11,52.89,53.54,52.75,53.14,1596621,RHT
2013-03-12,52.34,52.34,50.39,50.6,5150957,RHT
2013-03-13,50.46,51.03,50.15,50.8,2322746,RHT
2013-03-14,51.0,51.0,50.02,50.66,3098724,RHT
2013-03-15,50.4,50.61,50.0,50.44,2486202,RHT
2013-03-16,50.18,50.56,49.87,50.34,2160609,RHT
2013-03-17,49.97,50.5,49.74,50.23,1835016,RHT
2013-03-18,49.75,50.44,49.6,50.13,1509423,RHT
2013-03-19,50.38,50.6,49.48,49.79,2004875,RHT
2013-03-20,50.08,51.27,49.89,51.18,2065845,RHT
2013-03-21,50.62,51.21,49.95,50.94,3070603,RHT
2013-03-22,50.47,50.84,49.73,50.8,2248954,RHT
2013-03-23,50.28,50.6,49.12,50.2,3842518,RHT
2013-03-24,50.08,50.37,48.52,49.59,5436082,RHT
2013-03-25,49.89,50.13,47.91,48.99,7029646,RHT
2013-03-26,49.08,49.57,48.76,49.25,2984243,RHT
2013-03-27,49.04,50.19,48.14,49.97,6263733,RHT
2013-03-28,47.75,50.63,47.5,50.56,10257010,RHT
2013-03-29,48.48,50.64,47.66,50.0,8745157,RHT
2013-03-30,49.2,50.64,47.82,49.44,7233304,RHT
2013-03-31,49.93,50.65,47.97,48.88,5721450,RHT
2013-04-01,50.66,50.66,48.13,48.32,4209597,RHT
2013-04-02,48.76,49.41,48.32,48.84,2559381,RHT
2013-04-03,48.94,49.4,47.59,47.7,2193085,RHT
2013-04-04,47.81,48.06,47.28,48.05,1814147,RHT
2013-04-05,46.97,47.78,46.75,47.47,1804957,RHT
2013-04-06,47.13,47.87,46.88,47.63,1908365,RHT
2013-04-07,47.3,47.97,47.0,47.8,2011774,RHT
2013-04-08,47.46,48.06,47.13,47.96,2115182,RHT
2013-04-09,48.06,48.54,47.63,48.27,2399135,RHT
2013-04-10,48.35,49.96,48.35,49.52,3319764,RHT
2013-04-11,49.33,50.3,49.13,49.99,3472059,RHT
2013-04-12,49.65,50.56,49.63,50.55,2625568,RHT
2013-04-13,49.83,50.44,49.5,50.12,2524914,RHT
2013-04-14,50.02,50.32,49.36,49.69,2424259,RHT
2013-04-15,50.2,50.2,49.23,49.26,2323605,RHT
2013-04-16,49.69,51.35,49.58,51.28,2842734,RHT
2013-04-17,50.59,50.76,49.72,50.27,2662897,RHT
2013-04-18,50.39,50.59,48.99,49.1,1558768,RHT
2013-04-19,49.28,49.98,48.55,49.25,1871369,RHT
2013-04-20,49.28,49.79,48.4,49.04,1882418,RHT
2013-04-21,49.28,49.59,48.25,48.82,1893467,RHT
2013-04-22,49.28,49.4,48.1,48.61,1904516,RHT
2013-04-23,49.07,49.47,48.67,49.11,1097733,RHT
2013-04-24,48.94,49.59,48.63,48.65,1076981,RHT
2013-04-25,48.96,49.38,48.49,49.08,1384502,RHT
2013-04-26,49.16,49.35,48.44,48.53,1231030,RHT
2013-04-27,49.03,49.33,48.44,48.62,1192873,RHT
2013-04-28,48.91,49.3,48.43,48.72,1154716,RHT
2013-04-29,48.78,49.28,48.43,48.81,1116559,RHT
2013-04-30,48.67,48.75,47.69,47.93,1918989,RHT
2013-05-01,48.01,48.75,47.59,47.73,1450105,RHT
2013-05-02,47.76,48.54,47.76,48.51,1468500,RHT
2013-05-03,48.94,49.73,48.55,49.65,1501053,RHT
2013-05-04,49.23,49.93,48.87,49.87,1461263,RHT
2013-05-05,49.51,50.13,49.18,50.08,1421472,RHT
2013-05-06,49.8,50.33,49.5,50.3,1381682,RHT
2013-05-07,50.35,50.71,50.19,50.65,1637462,RHT
2013-05-08,50.38,50.93,50.05,50.82,1988133,RHT
2013-05-09,50.68,51.47,50.36,50.94,1587254,RHT
2013-05-10,50.94,51.92,50.67,51.9,1771466,RHT
2013-05-11,51.26,51.94,50.91,51.92,1704830,RHT
2013-05-12,51.58,51.96,51.14,51.94,1638193,RHT
2013-05-13,51.9,51.98,51.38,51.96,1571557,RHT
2013-05-14,51.99,53.0,51.89,52.72,1755365,RHT
2013-05-15,52.62,54.85,52.43,54.16,3978631,RHT
2013-05-16,54.18,55.43,54.15,54.71,2727930,RHT
2013-05-17,54.93,55.59,54.42,54.99,2644094,RHT
2013-05-18,54.78,55.29,53.73,54.21,3095450,RHT
2013-05-19,54.62,55.0,53.05,53.43,3546807,RHT
2013-05-20,54.47,54.7,52.36,52.65,3998163,RHT
2013-05-21,52.66,52.99,51.84,51.86,2065530,RHT
2013-05-22,51.87,52.04,49.75,50.02,3285928,RHT
2013-05-23,49.33,49.92,48.73,49.36,2740317,RHT
2013-05-24,48.9,49.19,48.25,48.49,2725762,RHT
2013-05-25,49.02,49.26,48.34,48.53,2507062,RHT
2013-05-26,49.15,49.32,48.42,48.56,2288362,RHT
2013-05-27,49.28,49.39,48.51,48.6,2069661,RHT
2013-05-28,49.4,49.46,48.6,48.64,1850961,RHT
2013-05-29,48.3,48.43,47.79,48.18,2045976,RHT
2013-05-30,48.25,48.32,47.35,47.86,3608144,RHT
2013-05-31,47.72,49.37,47.6,48.23,2685287,RHT
2013-06-01,47.91,49.01,47.17,47.87,2572415,RHT
2013-06-02,48.1,48.65,46.74,47.52,2459542,RHT
2013-06-03,48.29,48.29,46.31,47.16,2346670,RHT
2013-06-04,47.13,47.33,46.17,46.18,2499403,RHT
2013-06-05,46.08,46.79,45.55,45.7,3561147,RHT
2013-06-06,45.77,46.06,44.92,45.48,5006044,RHT
2013-06-07,45.72,46.52,45.52,46.24,1865806,RHT
2013-06-08,45.9,46.52,45.74,46.29,1757324,RHT
2013-06-09,46.08,46.52,45.96,46.35,1648842,RHT
2013-06-10,46.26,46.52,46.18,46.4,1540360,RHT
2013-06-11,45.86,46.85,45.55,46.24,2244168,RHT
2013-06-12,46.68,46.74,45.96,46.4,2234705,RHT
2013-06-13,46.23,46.34,45.08,45.85,3224787,RHT
2013-06-14,45.93,46.5,45.56,45.81,2062197,RHT
2013-06-15,45.9,46.38,45.48,45.77,1953738,RHT
2013-06-16,45.86,46.27,45.41,45.72,1845280,RHT
2013-06-17,45.83,46.15,45.33,45.68,1736821,RHT
2013-06-18,45.75,47.04,45.69,46.63,2227475,RHT
2013-06-19,46.63,46.88,45.9,46.22,2726544,RHT
2013-06-20,47.85,48.15,45.66,45.88,4977608,RHT
2013-06-21,46.25,46.46,45.34,46.45,4550192,RHT
2013-06-22,46.13,46.42,45.21,46.27,3849275,RHT
2013-06-23,46.0,46.37,45.08,46.09,3148359,RHT
2013-06-24,45.88,46.32,44.95,45.91,2447442,RHT
2013-06-25,46.34,46.48,45.47,45.86,2052714,RHT
2013-06-26,46.32,46.95,46.2,46.79,1938533,RHT
2013-06-27,47.07,48.82,47.0,48.47,3299035,RHT
2013-06-28,48.23,48.36,47.19,47.82,2821565,RHT
2013-06-29,48.17,48.37,47.25,47.68,2297705,RHT
2013-06-30,48.1,48.37,47.3,47.55,1773845,RHT
2013-07-01,48.04,48.38,47.36,47.41,1249985,RHT
2013-07-02,47.41,47.85,47.04,47.41,1152371,RHT
2013-07-03,47.13,48.15,47.13,47.85,580013,RHT
2013-07-04,47.6,48.26,47.4,48.1,682320,RHT
2013-07-05,48.07,48.36,47.68,48.34,784628,RHT
2013-07-06,48.21,48.45,47.7,48.21,898380,RHT
2013-07-07,48.36,48.53,47.73,48.07,1012132,RHT
2013-07-08,48.5,48.62,47.75,47.94,1125884,RHT
2013-07-09,48.18,48.35,47.74,48.14,1071913,RHT
2013-07-10,48.21,48.42,47.86,48.33,999102,RHT
2013-07-11,48.92,50.9,48.92,50.57,2153497,RHT
2013-07-12,50.5,50.82,50.21,50.26,1016081,RHT
2013-07-13,50.41,50.63,49.85,50.12,1119966,RHT
2013-07-14,50.33,50.44,49.5,49.99,1223850,RHT
2013-07-15,50.24,50.24,49.14,49.85,1327735,RHT
2013-07-16,49.78,49.89,49.52,49.59,804469,RHT
2013-07-17,49.63,50.0,49.51,49.68,774749,RHT
2013-07-18,49.66,50.66,49.47,50.21,1380455,RHT
2013-07-19,50.92,50.92,49.35,49.38,1178360,RHT
2013-07-20,50.3,50.4,49.2,49.24,1133377,RHT
2013-07-21,49.69,49.88,49.04,49.1,1088394,RHT
2013-07-22,49.07,49.36,48.89,48.96,1043411,RHT
