index,open,high,low,close,volume,Name
2013-02-08,176.74,179.11,176.66,177.56,1456988,RL
2013-02-09,176.99,178.89,176.51,177.38,1268986,RL
2013-02-10,177.25,178.67,176.35,177.19,1080983,RL
2013-02-11,177.5,178.45,176.2,177.01,892981,RL
2013-02-12,177.36,178.34,176.53,176.79,522106,RL
2013-02-13,176.99,177.76,175.32,175.63,557794,RL
2013-02-14,175.32,175.41,173.23,174.86,835246,RL
2013-02-15,175.82,177.44,175.12,176.07,903981,RL
2013-02-16,175.94,177.48,175.23,176.31,836379,RL
2013-02-17,176.06,177.53,175.34,176.56,768776,RL
2013-02-18,176.17,177.58,175.45,176.8,701174,RL
2013-02-19,176.29,177.62,175.56,177.04,633572,RL
2013-02-20,176.07,176.98,173.27,173.51,618692,RL
2013-02-21,172.49,173.06,170.11,170.62,567099,RL
2013-02-22,170.88,172.18,170.36,171.12,614455,RL
2013-02-23,171.24,172.71,169.86,170.37,615388,RL
2013-02-24,171.6,173.25,169.37,169.63,616321,RL
2013-02-25,171.96,173.78,168.87,168.88,617254,RL
2013-02-26,170.08,172.64,168.47,170.12,585162,RL
2013-02-27,170.53,173.77,170.38,173.31,483032,RL
2013-02-28,173.09,174.79,172.11,173.47,503058,RL
2013-03-01,172.55,174.65,171.63,174.17,685131,RL
2013-03-02,172.78,174.7,172.01,174.25,680086,RL
2013-03-03,173.0,174.76,172.38,174.32,675042,RL
2013-03-04,173.23,174.81,172.76,174.4,669997,RL
2013-03-05,175.0,177.21,174.51,177.09,630207,RL
2013-03-06,176.43,178.38,176.43,177.42,607121,RL
2013-03-07,177.81,178.69,176.78,177.18,603035,RL
2013-03-08,178.0,178.0,176.27,177.46,320163,RL
2013-03-09,177.62,177.81,176.28,177.14,364330,RL
2013-03-10,177.25,177.63,176.28,176.82,408498,RL
2013-03-11,176.87,177.44,176.29,176.5,452665,RL
2013-03-12,175.85,176.58,174.35,174.41,426890,RL
2013-03-13,175.07,175.57,172.65,173.03,879411,RL
2013-03-14,173.66,174.22,172.61,173.16,671724,RL
2013-03-15,172.32,174.3,171.19,171.3,625088,RL
2013-03-16,171.44,173.29,170.42,170.61,650258,RL
2013-03-17,170.55,172.28,169.64,169.91,675428,RL
2013-03-18,169.67,171.28,168.87,169.22,700598,RL
2013-03-19,169.66,170.26,165.77,167.2,772471,RL
2013-03-20,168.55,171.11,167.28,170.51,883153,RL
2013-03-21,169.15,170.71,168.23,168.59,644150,RL
2013-03-22,169.72,170.49,167.64,168.41,706466,RL
2013-03-23,169.43,170.1,167.06,168.09,721605,RL
2013-03-24,169.15,169.72,166.48,167.76,736743,RL
2013-03-25,168.86,169.33,165.9,167.44,751882,RL
2013-03-26,167.42,167.9,165.87,167.57,538010,RL
2013-03-27,166.97,170.03,165.91,169.71,725684,RL
2013-03-28,169.27,169.6,167.91,169.31,558707,RL
2013-03-29,169.23,169.6,167.5,168.67,606140,RL
2013-03-30,169.2,169.6,167.1,168.03,653573,RL
2013-03-31,169.16,169.6,166.7,167.39,701006,RL
