index,open,high,low,close,volume,Name
2013-02-08,30.4,30.86,30.22,30.53,5476960,ROST
2013-02-09,30.4,30.75,30.22,30.5,4877946,ROST
2013-02-10,30.4,30.64,30.21,30.46,4278932,ROST
2013-02-11,30.4,30.53,30.2,30.43,3679918,ROST
2013-02-12,30.49,30.5,30.09,30.33,3753442,ROST
2013-02-13,30.4,30.67,30.2,30.22,4042886,ROST
2013-02-14,30.12,30.36,30.01,30.19,2672010,ROST
2013-02-15,30.21,30.39,29.55,29.96,5282088,ROST
2013-02-16,30.17,30.3,29.55,29.96,5019265,ROST
2013-02-17,30.13,30.22,29.56,29.96,4756442,ROST
2013-02-18,30.09,30.14,29.56,29.96,4493619,ROST
2013-02-19,30.05,30.05,29.56,29.96,4230796,ROST
2013-02-20,29.9,30.0,29.31,29.35,4029898,ROST
2013-02-21,29.34,29.39,28.85,28.87,3839652,ROST
2013-02-22,28.94,29.16,28.46,29.08,4413976,ROST
2013-02-23,29.03,29.18,28.4,28.81,4582991,ROST
2013-02-24,29.12,29.21,28.33,28.55,4752005,ROST
2013-02-25,29.21,29.24,28.26,28.28,4921020,ROST
2013-02-26,28.28,28.54,28.09,28.12,5261506,ROST
2013-02-27,28.12,28.96,28.09,28.78,3498260,ROST
2013-02-28,28.86,29.28,28.78,29.0,5290572,ROST
2013-03-01,28.94,29.12,28.61,29.06,4468336,ROST
2013-03-02,28.92,29.24,28.66,29.19,4707363,ROST
2013-03-03,28.88,29.36,28.7,29.32,4946391,ROST
2013-03-04,28.86,29.48,28.75,29.45,5185418,ROST
2013-03-05,29.48,29.8,29.33,29.68,3795252,ROST
2013-03-06,29.62,29.87,29.5,29.85,4865492,ROST
2013-03-07,29.8,29.8,27.43,27.62,19959502,ROST
2013-03-08,27.88,28.4,27.75,28.1,8459900,ROST
2013-03-09,27.92,28.36,27.81,28.1,6975347,ROST
2013-03-10,27.96,28.32,27.87,28.09,5490795,ROST
2013-03-11,28.0,28.28,27.93,28.09,4006242,ROST
2013-03-12,28.09,28.24,27.86,27.95,2760924,ROST
2013-03-13,28.04,28.15,27.56,27.64,6764550,ROST
2013-03-14,27.74,28.14,27.68,27.94,4239328,ROST
2013-03-15,27.82,28.38,27.82,28.14,5645368,ROST
2013-03-16,27.81,28.3,27.78,28.1,5507283,ROST
2013-03-17,27.8,28.21,27.75,28.06,5369199,ROST
2013-03-18,27.78,28.12,27.71,28.02,5231114,ROST
2013-03-19,27.98,28.05,27.54,27.73,5828626,ROST
2013-03-20,27.94,28.12,27.71,28.08,4085260,ROST
2013-03-21,28.14,29.2,27.78,29.03,9011204,ROST
2013-03-22,28.92,29.8,28.8,29.6,5276684,ROST
2013-03-23,29.14,29.79,29.01,29.58,5623595,ROST
2013-03-24,29.36,29.79,29.22,29.55,5970505,ROST
2013-03-25,29.58,29.78,29.43,29.52,6317416,ROST
2013-03-26,29.72,29.99,29.6,29.72,4990938,ROST
2013-03-27,29.44,30.14,29.42,30.02,3881468,ROST
2013-03-28,30.06,30.34,29.84,30.31,6356998,ROST
2013-03-29,30.1,30.33,29.84,30.21,6072551,ROST
2013-03-30,30.15,30.32,29.84,30.11,5788104,ROST
2013-03-31,30.2,30.31,29.84,30.01,5503657,ROST
2013-04-01,30.24,30.3,29.84,29.92,5219210,ROST
2013-04-02,30.0,30.07,29.64,29.7,4749106,ROST
2013-04-03,29.72,30.08,29.42,29.63,4732684,ROST
2013-04-04,29.69,30.16,29.65,30.04,4101336,ROST
2013-04-05,29.6,29.78,29.48,29.66,3885896,ROST
2013-04-06,29.59,29.75,29.47,29.66,3839895,ROST
2013-04-07,29.58,29.72,29.47,29.66,3793895,ROST
2013-04-08,29.57,29.69,29.46,29.66,3747894,ROST
2013-04-09,29.62,29.98,29.3,29.8,4036242,ROST
2013-04-10,29.84,30.12,29.8,30.12,3623648,ROST
2013-04-11,31.51,32.5,31.48,31.9,13188708,ROST
2013-04-12,32.01,32.4,31.7,32.34,5228652,ROST
2013-04-13,31.92,32.35,31.61,32.07,5135864,ROST
2013-04-14,31.82,32.3,31.53,31.8,5043076,ROST
2013-04-15,31.72,32.24,31.45,31.54,4950288,ROST
2013-04-16,31.68,31.93,31.54,31.9,3864612,ROST
2013-04-17,31.65,31.92,31.32,31.5,3716100,ROST
2013-04-18,31.64,31.64,31.02,31.26,4186316,ROST
