index,open,high,low,close,volume,Name
2013-02-08,71.62,72.26,71.35,72.15,1082132,RRC
2013-02-09,71.79,72.22,71.06,71.66,1089446,RRC
2013-02-10,71.97,72.19,70.77,71.17,1096760,RRC
2013-02-11,72.14,72.15,70.48,70.68,1104074,RRC
2013-02-12,71.48,71.48,70.08,71.03,1084277,RRC
2013-02-13,71.03,71.43,70.84,71.31,952791,RRC
2013-02-14,71.12,72.12,70.78,71.73,1408524,RRC
2013-02-15,71.49,71.56,69.94,70.36,1269563,RRC
2013-02-16,71.32,71.82,70.04,70.89,1426221,RRC
2013-02-17,71.14,72.08,70.14,71.42,1582880,RRC
2013-02-18,70.96,72.34,70.25,71.96,1739538,RRC
2013-02-19,70.79,72.6,70.35,72.49,1896196,RRC
2013-02-20,72.24,72.39,70.19,70.25,1689885,RRC
2013-02-21,70.22,70.56,68.97,70.15,1098074,RRC
2013-02-22,70.48,71.97,70.45,71.71,1116331,RRC
2013-02-23,71.02,72.22,70.46,71.3,1201155,RRC
2013-02-24,71.56,72.48,70.46,70.88,1285978,RRC
2013-02-25,72.1,72.73,70.47,70.47,1370802,RRC
2013-02-26,70.96,71.89,70.3,71.36,1196544,RRC
2013-02-27,71.37,74.65,71.37,74.21,2177155,RRC
2013-02-28,74.21,77.18,73.92,76.8,3149231,RRC
2013-03-01,76.36,78.22,75.67,77.39,1744913,RRC
2013-03-02,76.76,78.23,76.02,77.34,1692864,RRC
2013-03-03,77.16,78.24,76.36,77.3,1640816,RRC
2013-03-04,77.56,78.25,76.71,77.25,1588767,RRC
2013-03-05,78.09,79.51,77.79,78.53,1695582,RRC
2013-03-06,78.61,79.08,77.5,77.63,1676020,RRC
2013-03-07,77.82,79.5,77.47,78.84,1760186,RRC
2013-03-08,79.7,79.75,78.45,78.84,1580211,RRC
2013-03-09,79.39,79.68,78.24,79.0,1469275,RRC
2013-03-10,79.07,79.61,78.02,79.16,1358338,RRC
2013-03-11,78.76,79.54,77.81,79.32,1247402,RRC
2013-03-12,79.22,79.52,78.46,79.3,1720013,RRC
2013-03-13,79.63,79.95,79.01,79.75,1230877,RRC
2013-03-14,79.91,82.16,79.64,82.07,1698988,RRC
2013-03-15,82.13,83.15,81.46,82.0,2004413,RRC
2013-03-16,81.8,83.03,81.35,82.07,1818517,RRC
2013-03-17,81.47,82.9,81.25,82.13,1632622,RRC
2013-03-18,81.14,82.78,81.14,82.2,1446726,RRC
2013-03-19,82.28,82.77,79.88,80.61,1560076,RRC
2013-03-20,81.07,81.33,79.85,80.86,1411679,RRC
2013-03-21,81.48,82.27,80.45,81.74,1498535,RRC
2013-03-22,82.04,82.45,80.25,80.76,1534802,RRC
2013-03-23,81.72,82.29,80.38,80.89,1538466,RRC
2013-03-24,81.41,82.12,80.51,81.03,1542131,RRC
2013-03-25,81.09,81.96,80.64,81.16,1545795,RRC
2013-03-26,81.4,82.76,81.08,82.46,1255795,RRC
2013-03-27,82.0,82.18,81.02,82.08,1292793,RRC
2013-03-28,82.0,82.19,80.54,81.04,1330738,RRC
2013-03-29,81.53,81.89,80.23,80.87,1290764,RRC
2013-03-30,81.06,81.6,79.92,80.69,1250790,RRC
2013-03-31,80.58,81.3,79.61,80.52,1210817,RRC
2013-04-01,80.11,81.0,79.3,80.34,1170843,RRC
2013-04-02,80.46,80.58,78.8,79.1,1091936,RRC
2013-04-03,79.32,79.78,75.98,76.49,1957962,RRC
2013-04-04,76.52,76.9,75.66,76.51,1062534,RRC
2013-04-05,76.11,79.34,75.77,79.12,1439530,RRC
2013-04-06,77.16,79.77,76.9,79.63,1330490,RRC
2013-04-07,78.2,80.21,78.02,80.13,1221449,RRC
2013-04-08,79.25,80.64,79.15,80.64,1112409,RRC
2013-04-09,80.48,80.91,79.21,80.09,1652401,RRC
2013-04-10,80.26,80.6,79.6,79.86,1914659,RRC
2013-04-11,80.5,81.02,79.65,80.29,1320286,RRC
2013-04-12,80.05,80.25,78.47,78.91,1132314,RRC
2013-04-13,79.32,79.46,76.97,77.27,1465451,RRC
2013-04-14,78.6,78.66,75.48,75.63,1798589,RRC
2013-04-15,77.87,77.87,73.98,73.99,2131726,RRC
2013-04-16,75.5,75.73,73.28,74.92,2599566,RRC
2013-04-17,73.97,74.45,71.45,71.78,4428876,RRC
2013-04-18,72.06,75.09,71.14,74.55,3196364,RRC
2013-04-19,74.85,75.75,73.9,75.55,2106226,RRC
2013-04-20,75.0,75.72,73.96,75.47,1792530,RRC
2013-04-21,75.15,75.68,74.01,75.4,1478834,RRC
2013-04-22,75.3,75.65,74.07,75.32,1165138,RRC
2013-04-23,75.6,75.91,74.65,75.83,1114398,RRC
2013-04-24,75.72,76.54,74.54,75.19,2047101,RRC
2013-04-25,75.77,78.69,75.69,77.46,1801786,RRC
2013-04-26,76.58,76.72,73.07,74.0,2804470,RRC
2013-04-27,75.96,76.38,73.26,74.06,2505004,RRC
2013-04-28,75.33,76.05,73.45,74.11,2205537,RRC
2013-04-29,74.71,75.71,73.64,74.17,1906071,RRC
2013-04-30,74.13,74.13,72.67,73.52,1263074,RRC
2013-05-01,73.15,73.15,71.57,71.85,1343133,RRC
2013-05-02,72.05,73.1,71.44,72.49,2395344,RRC
2013-05-03,72.83,74.8,72.33,74.43,1200850,RRC
2013-05-04,73.22,74.83,72.84,74.34,1269671,RRC
2013-05-05,73.61,74.86,73.36,74.25,1338491,RRC
2013-05-06,74.0,74.89,73.87,74.16,1407312,RRC
2013-05-07,74.34,76.21,74.02,75.4,1431323,RRC
2013-05-08,75.57,75.57,73.33,74.32,2372341,RRC
2013-05-09,74.32,76.5,74.09,75.96,1827521,RRC
2013-05-10,75.76,76.34,74.86,76.18,1524800,RRC
2013-05-11,75.75,76.58,74.92,75.88,1474543,RRC
2013-05-12,75.73,76.81,74.97,75.59,1424285,RRC
2013-05-13,75.72,77.05,75.03,75.29,1374028,RRC
2013-05-14,75.42,76.41,75.04,75.96,949079,RRC
2013-05-15,75.69,76.34,74.95,75.73,1114321,RRC
2013-05-16,75.46,76.05,74.71,74.86,666644,RRC
2013-05-17,75.23,76.82,74.93,76.5,1322363,RRC
2013-05-18,75.52,77.09,75.05,76.79,1531476,RRC
2013-05-19,75.81,77.37,75.16,77.09,1740588,RRC
2013-05-20,76.1,77.64,75.28,77.38,1949701,RRC
2013-05-21,77.59,79.13,77.57,78.61,1808701,RRC
2013-05-22,78.49,79.5,76.7,77.26,1831184,RRC
2013-05-23,76.21,78.21,75.75,78.03,983268,RRC
2013-05-24,77.53,77.87,76.68,77.07,1285006,RRC
2013-05-25,77.75,78.07,76.76,77.21,1230294,RRC
2013-05-26,77.97,78.26,76.84,77.34,1175582,RRC
2013-05-27,78.2,78.46,76.92,77.48,1120870,RRC
2013-05-28,78.42,78.66,77.0,77.62,1066158,RRC
2013-05-29,77.12,78.01,76.64,76.8,1061132,RRC
2013-05-30,76.75,77.19,76.03,76.22,937494,RRC
2013-05-31,76.16,76.77,75.17,75.18,1049382,RRC
2013-06-01,75.87,76.49,74.78,74.99,1069204,RRC
2013-06-02,75.58,76.21,74.38,74.81,1089025,RRC
2013-06-03,75.29,75.93,73.99,74.62,1108847,RRC
2013-06-04,74.93,75.72,73.55,74.39,1340167,RRC
2013-06-05,74.3,74.43,73.13,73.16,1305090,RRC
2013-06-06,73.25,74.24,72.77,74.22,1089325,RRC
2013-06-07,74.66,76.37,74.48,76.16,1056156,RRC
2013-06-08,75.2,76.56,74.95,76.2,1229454,RRC
2013-06-09,75.73,76.76,75.42,76.25,1402751,RRC
2013-06-10,76.27,76.95,75.89,76.29,1576049,RRC
2013-06-11,75.54,75.68,74.0,74.71,1417300,RRC
2013-06-12,75.11,75.34,73.21,73.49,746914,RRC
2013-06-13,73.24,74.85,72.79,74.79,1229993,RRC
2013-06-14,74.82,75.39,73.08,73.37,1176413,RRC
2013-06-15,74.6,76.13,73.44,74.7,1484533,RRC
2013-06-16,74.39,76.88,73.81,76.04,1792652,RRC
2013-06-17,74.17,77.62,74.17,77.37,2100772,RRC
2013-06-18,77.46,80.05,77.22,79.46,2259402,RRC
2013-06-19,79.17,80.24,78.89,79.24,1344608,RRC
2013-06-20,77.96,78.45,75.99,77.52,2395303,RRC
2013-06-21,77.89,78.1,76.48,77.3,2650030,RRC
2013-06-22,77.17,78.45,75.83,77.76,2453796,RRC
2013-06-23,76.46,78.79,75.18,78.21,2257562,RRC
2013-06-24,75.74,79.14,74.53,78.67,2061328,RRC
2013-06-25,79.62,80.07,78.96,79.68,1388755,RRC
2013-06-26,80.29,80.47,78.8,79.33,976927,RRC
2013-06-27,79.7,81.13,78.72,78.94,2433880,RRC
2013-06-28,78.7,78.76,77.09,77.32,2397814,RRC
2013-06-29,78.34,78.56,76.89,77.24,2192513,RRC
2013-06-30,77.98,78.35,76.69,77.17,1987211,RRC
2013-07-01,77.62,78.15,76.49,77.09,1781910,RRC
2013-07-02,77.13,79.16,77.02,78.26,1521793,RRC
2013-07-03,77.84,78.42,76.64,77.47,790498,RRC
2013-07-04,77.89,78.22,76.68,77.54,1079768,RRC
2013-07-05,77.93,78.02,76.71,77.62,1369039,RRC
2013-07-06,78.09,78.68,77.22,78.05,1248824,RRC
2013-07-07,78.24,79.34,77.73,78.49,1128609,RRC
2013-07-08,78.4,80.0,78.24,78.92,1008394,RRC
2013-07-09,79.38,80.36,79.09,79.98,1903991,RRC
2013-07-10,80.07,80.26,78.78,79.09,1052514,RRC
2013-07-11,80.1,80.31,77.49,77.73,2473447,RRC
2013-07-12,77.74,77.89,76.69,77.3,1371531,RRC
2013-07-13,77.64,77.97,76.79,77.41,1396391,RRC
2013-07-14,77.55,78.05,76.9,77.52,1421252,RRC
2013-07-15,77.45,78.13,77.0,77.63,1446112,RRC
2013-07-16,77.32,77.79,75.76,77.02,1538483,RRC
2013-07-17,77.13,77.25,75.0,75.7,2171830,RRC
2013-07-18,74.66,77.99,74.66,77.5,1262654,RRC
2013-07-19,77.71,78.63,76.75,78.55,930856,RRC
2013-07-20,77.91,78.65,77.01,78.36,914682,RRC
2013-07-21,78.12,78.68,77.27,78.17,898507,RRC
2013-07-22,78.32,78.7,77.53,77.98,882333,RRC
2013-07-23,78.31,78.63,76.44,76.69,1363371,RRC
2013-07-24,76.81,76.86,75.33,76.05,1255246,RRC
2013-07-25,79.33,85.23,78.1,81.39,7936252,RRC
2013-07-26,80.75,82.35,79.74,80.46,1787790,RRC
2013-07-27,80.77,81.88,79.37,80.1,1776297,RRC
2013-07-28,80.78,81.42,79.0,79.75,1764803,RRC
2013-07-29,80.8,80.95,78.63,79.39,1753310,RRC
2013-07-30,79.45,80.48,78.65,79.86,913946,RRC
2013-07-31,80.12,81.86,78.98,79.1,1627370,RRC
2013-08-01,79.48,80.57,78.76,80.51,1256848,RRC
2013-08-02,79.93,81.45,79.73,81.36,816714,RRC
2013-08-03,80.37,81.62,80.1,81.5,903913,RRC
2013-08-04,80.81,81.78,80.48,81.64,991111,RRC
2013-08-05,81.25,81.95,80.85,81.78,1078310,RRC
2013-08-06,81.3,81.99,80.23,81.52,898469,RRC
2013-08-07,81.06,82.4,78.61,79.23,1611702,RRC
2013-08-08,79.32,80.02,77.89,79.93,1491393,RRC
2013-08-09,80.21,80.25,78.73,79.5,980062,RRC
2013-08-10,79.87,80.11,78.62,79.27,1003722,RRC
2013-08-11,79.52,79.96,78.51,79.03,1027382,RRC
2013-08-12,79.18,79.82,78.4,78.8,1051042,RRC
2013-08-13,79.19,79.31,77.93,79.03,667068,RRC
2013-08-14,79.1,79.36,78.0,78.32,811828,RRC
2013-08-15,77.15,78.19,76.4,78.08,1330217,RRC
2013-08-16,77.15,78.34,77.15,77.66,1077418,RRC
2013-08-17,77.36,78.23,76.61,77.0,1105274,RRC
2013-08-18,77.57,78.12,76.07,76.33,1133130,RRC
2013-08-19,77.78,78.01,75.53,75.67,1160986,RRC
2013-08-20,76.39,77.36,75.7,76.62,1406383,RRC
2013-08-21,76.7,77.22,75.89,75.95,1128792,RRC
2013-08-22,76.07,77.46,76.05,77.28,1105635,RRC
2013-08-23,77.39,77.39,76.33,77.06,807767,RRC
2013-08-24,77.37,77.55,76.59,77.12,856998,RRC
2013-08-25,77.34,77.71,76.84,77.18,906230,RRC
