index,open,high,low,close,volume,Name
2013-02-08,30.87,31.29,29.96,31.12,7228806,RSG
2013-02-09,30.97,31.38,30.35,31.17,5665178,RSG
2013-02-10,31.07,31.46,30.73,31.22,4101549,RSG
2013-02-11,31.17,31.55,31.12,31.27,2537921,RSG
2013-02-12,31.41,31.41,31.16,31.19,2328915,RSG
2013-02-13,31.26,31.39,31.17,31.22,2156026,RSG
2013-02-14,31.14,31.44,30.98,31.3,1951865,RSG
2013-02-15,31.36,31.62,31.26,31.31,1817066,RSG
2013-02-16,31.36,31.57,31.19,31.28,2000570,RSG
2013-02-17,31.36,31.52,31.12,31.24,2184074,RSG
2013-02-18,31.35,31.47,31.05,31.2,2367578,RSG
2013-02-19,31.35,31.42,30.98,31.17,2551082,RSG
2013-02-20,31.12,31.34,31.12,31.19,2089764,RSG
2013-02-21,31.07,31.27,30.94,30.97,1602478,RSG
2013-02-22,31.03,31.46,30.97,31.34,1085324,RSG
2013-02-23,31.16,31.5,30.96,31.21,1233081,RSG
2013-02-24,31.3,31.53,30.95,31.08,1380839,RSG
2013-02-25,31.43,31.57,30.94,30.95,1528596,RSG
2013-02-26,31.08,31.26,30.68,30.9,2364751,RSG
2013-02-27,30.93,31.34,30.77,31.3,1951497,RSG
2013-02-28,31.37,31.57,31.26,31.44,1552072,RSG
2013-03-01,31.3,31.32,31.01,31.09,1893743,RSG
2013-03-02,31.24,31.29,30.98,31.13,1689539,RSG
2013-03-03,31.18,31.27,30.94,31.16,1485336,RSG
2013-03-04,31.12,31.24,30.91,31.2,1281132,RSG
2013-03-05,31.29,31.46,31.18,31.28,2129455,RSG
2013-03-06,31.35,31.42,31.01,31.04,2251997,RSG
2013-03-07,31.11,31.22,30.87,30.87,2393497,RSG
2013-03-08,31.05,31.33,30.94,31.3,1537862,RSG
2013-03-09,31.14,31.49,31.02,31.44,1655615,RSG
2013-03-10,31.22,31.66,31.1,31.58,1773368,RSG
2013-03-11,31.31,31.82,31.18,31.72,1891121,RSG
2013-03-12,31.72,31.8,31.35,31.54,1041341,RSG
2013-03-13,31.69,32.21,31.69,31.87,2354446,RSG
2013-03-14,31.88,31.95,31.8,31.9,1301467,RSG
2013-03-15,31.71,32.01,31.56,31.97,2172786,RSG
2013-03-16,31.73,32.05,31.61,32.0,1765443,RSG
2013-03-17,31.75,32.08,31.65,32.04,1358100,RSG
2013-03-18,31.77,32.12,31.7,32.07,950757,RSG
2013-03-19,32.05,32.33,31.96,32.1,1221760,RSG
2013-03-20,32.2,32.54,32.2,32.5,1177296,RSG
2013-03-21,32.36,32.65,32.36,32.48,940792,RSG
2013-03-22,32.51,32.76,32.49,32.65,992290,RSG
2013-03-23,32.56,32.81,32.5,32.65,1022489,RSG
2013-03-24,32.61,32.85,32.5,32.64,1052688,RSG
2013-03-25,32.66,32.9,32.51,32.64,1082887,RSG
2013-03-26,32.67,32.85,32.53,32.59,1713334,RSG
2013-03-27,32.18,32.57,32.06,32.56,1205785,RSG
2013-03-28,32.56,33.01,32.4,33.0,1697760,RSG
2013-03-29,32.65,33.0,32.4,32.87,1487873,RSG
2013-03-30,32.75,33.0,32.39,32.74,1277986,RSG
2013-03-31,32.84,33.0,32.39,32.61,1068099,RSG
2013-04-01,32.93,32.99,32.38,32.48,858212,RSG
2013-04-02,32.63,32.94,32.46,32.6,882849,RSG
2013-04-03,32.56,32.74,32.26,32.34,1152758,RSG
2013-04-04,32.43,32.65,32.4,32.5,1019711,RSG
2013-04-05,32.23,32.44,32.12,32.38,1167680,RSG
2013-04-06,32.26,32.46,32.1,32.42,1068078,RSG
2013-04-07,32.29,32.49,32.09,32.45,968476,RSG
2013-04-08,32.32,32.51,32.07,32.49,868874,RSG
2013-04-09,32.55,32.9,32.5,32.7,1126269,RSG
2013-04-10,32.8,33.4,32.74,33.36,2664484,RSG
2013-04-11,33.31,33.77,33.07,33.74,2817636,RSG
2013-04-12,33.6,33.79,33.46,33.52,1544699,RSG
2013-04-13,33.53,33.69,33.17,33.28,1842947,RSG
2013-04-14,33.46,33.58,32.89,33.04,2141196,RSG
2013-04-15,33.39,33.48,32.6,32.8,2439444,RSG
2013-04-16,32.93,33.23,32.8,33.06,1395112,RSG
2013-04-17,32.89,32.95,32.16,32.43,1760944,RSG
2013-04-18,32.51,32.51,32.1,32.26,1214566,RSG
2013-04-19,32.39,32.74,32.21,32.68,1347884,RSG
2013-04-20,32.47,32.77,32.23,32.63,1268823,RSG
2013-04-21,32.56,32.8,32.26,32.58,1189762,RSG
2013-04-22,32.64,32.83,32.28,32.53,1110701,RSG
2013-04-23,32.62,33.01,32.62,32.81,1277389,RSG
2013-04-24,32.8,33.23,32.8,33.21,935457,RSG
2013-04-25,33.37,33.87,33.16,33.25,1979873,RSG
2013-04-26,33.29,34.54,33.12,34.31,3857707,RSG
2013-04-27,33.45,34.47,33.27,34.1,3269214,RSG
2013-04-28,33.6,34.39,33.43,33.88,2680720,RSG
2013-04-29,33.76,34.32,33.58,33.67,2092227,RSG
2013-04-30,33.68,34.29,33.59,34.08,2548998,RSG
2013-05-01,34.0,34.62,33.96,34.1,1591166,RSG
2013-05-02,34.19,34.25,33.88,34.12,896204,RSG
2013-05-03,34.28,34.51,34.18,34.48,1403746,RSG
2013-05-04,34.33,34.58,34.22,34.54,1308243,RSG
2013-05-05,34.38,34.64,34.25,34.61,1212741,RSG
2013-05-06,34.43,34.71,34.29,34.67,1117238,RSG
2013-05-07,34.75,35.08,34.68,34.98,1606873,RSG
2013-05-08,34.93,35.01,34.74,34.83,1037561,RSG
2013-05-09,34.74,34.89,34.39,34.56,1132778,RSG
2013-05-10,34.56,34.61,33.94,33.95,2342987,RSG
2013-05-11,34.36,34.42,33.88,33.9,2006745,RSG
2013-05-12,34.17,34.24,33.82,33.84,1670503,RSG
2013-05-13,33.97,34.05,33.76,33.79,1334261,RSG
2013-05-14,33.84,34.0,33.69,33.9,2172335,RSG
2013-05-15,33.89,34.58,33.73,34.41,2739006,RSG
2013-05-16,34.33,34.56,34.14,34.54,2434200,RSG
2013-05-17,34.68,34.98,34.59,34.89,2157879,RSG
2013-05-18,34.75,35.02,34.67,34.91,1906306,RSG
2013-05-19,34.81,35.06,34.76,34.94,1654733,RSG
2013-05-20,34.88,35.1,34.84,34.96,1403160,RSG
2013-05-21,34.98,35.28,34.91,35.09,1113714,RSG
2013-05-22,35.06,35.28,34.51,34.55,1335860,RSG
2013-05-23,34.7,35.0,34.54,34.71,1872293,RSG
2013-05-24,34.62,34.74,34.49,34.62,1122538,RSG
2013-05-25,34.67,34.79,34.48,34.63,1206239,RSG
2013-05-26,34.72,34.83,34.47,34.64,1289940,RSG
2013-05-27,34.78,34.88,34.46,34.64,1373641,RSG
2013-05-28,34.83,34.92,34.46,34.65,1457342,RSG
2013-05-29,34.46,34.47,33.85,34.06,1752262,RSG
2013-05-30,34.26,34.91,34.2,34.65,1720614,RSG
2013-05-31,34.5,34.66,34.1,34.1,2751912,RSG
2013-06-01,34.37,34.57,34.0,34.19,2494912,RSG
2013-06-02,34.25,34.48,33.91,34.28,2237911,RSG
2013-06-03,34.12,34.39,33.81,34.37,1980911,RSG
2013-06-04,34.31,34.38,33.89,34.15,1861611,RSG
2013-06-05,34.0,34.04,33.57,33.82,1851025,RSG
2013-06-06,33.82,33.88,33.35,33.66,1395513,RSG
2013-06-07,33.43,33.95,32.81,33.92,2540496,RSG
2013-06-08,33.61,34.01,33.1,33.85,2096110,RSG
2013-06-09,33.78,34.06,33.38,33.79,1651724,RSG
2013-06-10,33.96,34.12,33.67,33.72,1207338,RSG
2013-06-11,33.37,33.87,33.37,33.72,987358,RSG
2013-06-12,33.93,33.93,33.57,33.59,1313566,RSG
2013-06-13,33.33,34.06,33.33,33.98,1713707,RSG
2013-06-14,33.84,34.19,33.63,34.06,1447043,RSG
2013-06-15,34.0,34.3,33.75,34.1,1481843,RSG
2013-06-16,34.17,34.41,33.86,34.13,1516644,RSG
2013-06-17,34.33,34.52,33.98,34.17,1551444,RSG
2013-06-18,34.27,34.77,34.26,34.75,1132275,RSG
2013-06-19,34.71,34.75,34.05,34.1,1525887,RSG
2013-06-20,33.87,33.87,33.31,33.39,1275379,RSG
2013-06-21,33.62,33.71,33.15,33.45,1976184,RSG
2013-06-22,33.49,33.55,33.02,33.22,1895298,RSG
2013-06-23,33.37,33.4,32.88,32.98,1814412,RSG
2013-06-24,33.24,33.24,32.75,32.75,1733526,RSG
2013-06-25,33.0,33.56,32.93,33.48,1975731,RSG
2013-06-26,33.75,34.06,33.65,34.03,1860632,RSG
2013-06-27,33.95,34.02,33.75,33.95,1324198,RSG
2013-06-28,33.82,34.11,33.72,33.94,2847372,RSG
2013-06-29,33.87,34.16,33.76,34.01,2450953,RSG
2013-06-30,33.92,34.22,33.8,34.07,2054534,RSG
2013-07-01,33.97,34.27,33.84,34.14,1658115,RSG
2013-07-02,34.09,34.31,33.65,33.79,1745699,RSG
2013-07-03,33.6,33.78,33.47,33.71,484365,RSG
2013-07-04,33.72,33.98,33.5,33.93,707371,RSG
2013-07-05,33.83,34.18,33.52,34.15,930377,RSG
2013-07-06,33.95,34.26,33.7,34.19,1177906,RSG
2013-07-07,34.08,34.34,33.87,34.23,1425436,RSG
2013-07-08,34.2,34.42,34.05,34.27,1672965,RSG
2013-07-09,34.5,34.88,34.47,34.78,881839,RSG
2013-07-10,34.75,35.08,34.6,34.72,992506,RSG
2013-07-11,35.12,35.36,35.05,35.33,1056348,RSG
2013-07-12,35.33,35.5,35.12,35.26,839385,RSG
2013-07-13,35.31,35.48,35.16,35.28,753421,RSG
2013-07-14,35.28,35.47,35.19,35.29,667457,RSG
2013-07-15,35.26,35.45,35.23,35.31,581493,RSG
2013-07-16,35.28,35.4,35.02,35.14,804495,RSG
2013-07-17,35.27,35.34,35.0,35.13,824494,RSG
2013-07-18,35.18,35.59,35.13,35.44,856326,RSG
2013-07-19,35.46,35.5,35.01,35.3,928936,RSG
2013-07-20,35.4,35.47,35.03,35.24,908607,RSG
2013-07-21,35.33,35.45,35.04,35.19,888277,RSG
2013-07-22,35.27,35.42,35.06,35.13,867948,RSG
2013-07-23,35.19,35.23,34.94,35.0,1008066,RSG
2013-07-24,35.13,35.61,35.05,35.11,1466003,RSG
2013-07-25,35.11,35.18,34.56,35.14,1900316,RSG
2013-07-26,35.13,35.25,33.99,34.27,1992383,RSG
2013-07-27,34.8,34.9,33.91,34.11,2092720,RSG
2013-07-28,34.47,34.56,33.83,33.96,2193057,RSG
2013-07-29,34.14,34.21,33.75,33.8,2293394,RSG
2013-07-30,33.93,34.25,33.84,34.18,1397396,RSG
2013-07-31,34.2,34.22,33.67,33.91,2307617,RSG
2013-08-01,34.06,34.58,34.02,34.41,1330120,RSG
2013-08-02,34.34,34.57,34.27,34.54,1269563,RSG
2013-08-03,34.37,34.59,34.29,34.54,1095934,RSG
2013-08-04,34.39,34.61,34.32,34.55,922304,RSG
2013-08-05,34.42,34.64,34.34,34.55,748675,RSG
2013-08-06,34.48,34.55,34.32,34.43,1260788,RSG
2013-08-07,34.26,34.48,34.15,34.44,1473263,RSG
2013-08-08,34.58,35.04,34.5,34.93,847848,RSG
2013-08-09,34.96,34.98,34.68,34.83,1389964,RSG
2013-08-10,34.86,34.95,34.64,34.8,1269557,RSG
2013-08-11,34.76,34.93,34.59,34.77,1149149,RSG
2013-08-12,34.66,34.9,34.55,34.74,1028742,RSG
2013-08-13,34.72,34.99,34.6,34.89,1007852,RSG
2013-08-14,34.82,34.98,34.72,34.84,998349,RSG
2013-08-15,34.49,34.49,33.55,33.75,2099466,RSG
2013-08-16,33.63,33.7,33.3,33.49,4397242,RSG
2013-08-17,33.56,33.63,33.29,33.45,3276395,RSG
2013-08-18,33.48,33.55,33.29,33.4,2155549,RSG
2013-08-19,33.41,33.48,33.28,33.36,1034702,RSG
2013-08-20,33.35,33.73,33.15,33.65,663576,RSG
2013-08-21,33.62,33.62,33.31,33.36,750823,RSG
2013-08-22,33.53,33.77,33.34,33.56,562342,RSG
2013-08-23,33.64,33.82,33.53,33.78,904956,RSG
2013-08-24,33.68,33.84,33.58,33.8,936247,RSG
2013-08-25,33.72,33.85,33.63,33.83,967537,RSG
2013-08-26,33.76,33.86,33.68,33.85,998828,RSG
2013-08-27,33.53,33.64,33.24,33.3,1153404,RSG
2013-08-28,33.25,33.34,33.06,33.24,798650,RSG
2013-08-29,33.14,33.3,32.85,32.95,1129412,RSG
2013-08-30,33.0,33.03,32.43,32.51,1440440,RSG
2013-08-31,32.96,32.99,32.32,32.42,1601041,RSG
2013-09-01,32.92,32.94,32.21,32.33,1761642,RSG
2013-09-02,32.88,32.9,32.1,32.25,1922242,RSG
2013-09-03,32.84,32.86,31.99,32.16,2082843,RSG
2013-09-04,32.11,32.65,31.94,32.46,1887017,RSG
2013-09-05,32.43,32.52,32.3,32.38,883629,RSG
2013-09-06,32.44,32.53,32.08,32.17,1784714,RSG
2013-09-07,32.37,32.54,32.13,32.28,1680380,RSG
2013-09-08,32.31,32.55,32.18,32.38,1576047,RSG
2013-09-09,32.24,32.56,32.24,32.49,1471713,RSG
2013-09-10,32.71,32.83,32.56,32.73,1573886,RSG
2013-09-11,32.73,33.28,32.57,33.19,1853200,RSG
2013-09-12,33.18,33.3,33.0,33.25,1764760,RSG
2013-09-13,33.25,33.27,32.92,33.0,1957206,RSG
2013-09-14,33.31,33.36,33.04,33.16,1683477,RSG
2013-09-15,33.36,33.46,33.16,33.31,1409748,RSG
2013-09-16,33.42,33.55,33.28,33.47,1136019,RSG
2013-09-17,33.46,33.54,33.21,33.35,919012,RSG
2013-09-18,33.35,33.93,33.19,33.93,1396631,RSG
2013-09-19,34.0,34.2,33.93,34.05,1578750,RSG
2013-09-20,34.09,34.18,33.84,34.18,5870378,RSG
2013-09-21,34.09,34.22,33.86,34.14,4345874,RSG
2013-09-22,34.08,34.25,33.88,34.11,2821371,RSG
2013-09-23,34.08,34.29,33.91,34.07,1296867,RSG
2013-09-24,34.01,34.36,33.95,34.14,1443032,RSG
2013-09-25,33.96,34.18,33.71,33.96,1607795,RSG
2013-09-26,33.97,34.1,33.89,34.08,1052725,RSG
2013-09-27,33.61,33.77,33.54,33.75,1262516,RSG
2013-09-28,33.57,33.73,33.46,33.62,1323748,RSG
2013-09-29,33.54,33.68,33.37,33.49,1384981,RSG
2013-09-30,33.5,33.64,33.28,33.36,1446213,RSG
2013-10-01,33.35,33.62,33.27,33.54,988737,RSG
2013-10-02,33.34,33.43,33.08,33.28,1196518,RSG
2013-10-03,33.16,33.21,32.58,32.83,1732271,RSG
2013-10-04,32.84,33.16,32.77,33.03,1238833,RSG
2013-10-05,32.82,33.13,32.75,33.0,1368471,RSG
2013-10-06,32.81,33.11,32.73,32.96,1498109,RSG
2013-10-07,32.79,33.08,32.71,32.93,1627747,RSG
2013-10-08,32.91,33.0,32.4,32.64,1630684,RSG
2013-10-09,32.77,32.8,32.29,32.37,1623636,RSG
2013-10-10,32.61,32.7,32.42,32.63,2019106,RSG
2013-10-11,32.65,33.09,32.65,33.05,1754622,RSG
2013-10-12,32.73,33.13,32.7,33.1,1713644,RSG
2013-10-13,32.81,33.17,32.76,33.14,1672666,RSG
2013-10-14,32.89,33.21,32.81,33.19,1631688,RSG
2013-10-15,33.05,33.3,32.95,32.99,1642119,RSG
2013-10-16,33.24,33.3,33.01,33.15,2121043,RSG
2013-10-17,33.01,33.2,33.0,33.15,2140011,RSG
2013-10-18,33.21,33.28,33.07,33.12,1504805,RSG
2013-10-19,33.21,33.27,33.02,33.16,1370772,RSG
2013-10-20,33.2,33.26,32.98,33.21,1236740,RSG
2013-10-21,33.2,33.25,32.93,33.25,1102707,RSG
2013-10-22,33.37,33.73,33.34,33.7,1783677,RSG
