index,open,high,low,close,volume,Name
2013-02-08,27.92,28.32,27.92,28.18,7146296,SBUX
2013-02-09,28.03,28.3,27.92,28.15,6583315,SBUX
2013-02-10,28.15,28.28,27.93,28.11,6020335,SBUX
2013-02-11,28.26,28.26,27.93,28.07,5457354,SBUX
2013-02-12,28.0,28.28,27.98,28.13,8665592,SBUX
2013-02-13,28.23,28.23,27.75,27.92,7022056,SBUX
2013-02-14,27.76,27.9,27.68,27.78,8899188,SBUX
2013-02-15,27.8,27.85,27.08,27.17,18195730,SBUX
2013-02-16,27.65,27.71,27.07,27.18,16587026,SBUX
2013-02-17,27.49,27.58,27.05,27.2,14978321,SBUX
2013-02-18,27.34,27.44,27.03,27.21,13369616,SBUX
2013-02-19,27.18,27.3,27.01,27.22,11760912,SBUX
2013-02-20,27.3,27.42,26.59,26.66,12472506,SBUX
2013-02-21,26.54,26.82,26.26,26.68,13896450,SBUX
2013-02-22,26.85,27.1,26.64,27.08,11487316,SBUX
2013-02-23,26.97,27.19,26.63,26.92,11769529,SBUX
2013-02-24,27.08,27.27,26.61,26.76,12051741,SBUX
2013-02-25,27.2,27.36,26.6,26.6,12333954,SBUX
2013-02-26,26.72,26.93,26.42,26.64,10607724,SBUX
2013-02-27,26.62,27.49,26.54,27.28,12056302,SBUX
2013-02-28,27.32,27.58,27.22,27.42,10394356,SBUX
2013-03-01,27.32,27.46,27.0,27.44,8451764,SBUX
2013-03-02,27.34,27.6,27.11,27.57,9032460,SBUX
2013-03-03,27.36,27.73,27.22,27.71,9613156,SBUX
2013-03-04,27.38,27.86,27.33,27.85,10193852,SBUX
2013-03-05,28.0,28.4,28.0,28.26,12931844,SBUX
2013-03-06,28.38,28.74,28.32,28.55,14925144,SBUX
2013-03-07,28.55,29.25,28.54,29.12,18237018,SBUX
2013-03-08,29.34,29.48,29.07,29.34,14215718,SBUX
2013-03-09,29.29,29.48,29.1,29.32,12776401,SBUX
2013-03-10,29.24,29.47,29.13,29.32,11337083,SBUX
2013-03-11,29.2,29.46,29.16,29.3,9897766,SBUX
2013-03-12,29.22,29.28,28.99,29.14,11670100,SBUX
2013-03-13,29.16,29.4,29.14,29.29,7435340,SBUX
2013-03-14,29.26,29.38,28.7,28.84,14723066,SBUX
2013-03-15,28.68,28.93,28.63,28.83,15102742,SBUX
2013-03-16,28.63,28.86,28.54,28.71,13575563,SBUX
2013-03-17,28.58,28.78,28.46,28.59,12048383,SBUX
2013-03-18,28.53,28.71,28.38,28.46,10521204,SBUX
2013-03-19,28.26,28.49,27.98,28.42,13337034,SBUX
2013-03-20,28.61,28.8,28.5,28.72,9620874,SBUX
2013-03-21,28.65,28.71,28.38,28.52,8307328,SBUX
2013-03-22,28.65,28.88,28.58,28.69,8720670,SBUX
2013-03-23,28.69,28.89,28.41,28.58,9340525,SBUX
2013-03-24,28.73,28.9,28.24,28.46,9960379,SBUX
2013-03-25,28.76,28.92,28.08,28.34,10580234,SBUX
2013-03-26,28.5,28.58,28.36,28.52,6128410,SBUX
2013-03-27,28.43,28.48,28.1,28.46,7456828,SBUX
2013-03-28,28.46,28.63,28.43,28.48,7620390,SBUX
2013-03-29,28.49,28.64,28.4,28.46,7467700,SBUX
2013-03-30,28.52,28.65,28.38,28.46,7315011,SBUX
2013-03-31,28.54,28.66,28.35,28.44,7162322,SBUX
2013-04-01,28.56,28.67,28.32,28.44,7009632,SBUX
2013-04-02,28.6,29.16,28.58,29.13,13495550,SBUX
2013-04-03,29.2,29.45,28.69,28.85,11272606,SBUX
2013-04-04,28.8,29.16,28.8,29.06,7568480,SBUX
2013-04-05,28.6,28.94,28.36,28.9,8993596,SBUX
2013-04-06,28.71,28.98,28.48,28.95,8443721,SBUX
2013-04-07,28.81,29.02,28.61,29.01,7893847,SBUX
2013-04-08,28.92,29.06,28.73,29.06,7343972,SBUX
2013-04-09,28.98,29.0,28.59,28.7,8361158,SBUX
2013-04-10,28.82,29.16,28.8,28.9,8577388,SBUX
2013-04-11,28.98,29.5,28.9,29.29,10416656,SBUX
2013-04-12,29.36,29.86,29.3,29.54,10418310,SBUX
2013-04-13,29.35,29.81,29.13,29.32,10512299,SBUX
2013-04-14,29.34,29.76,28.97,29.08,10606287,SBUX
2013-04-15,29.33,29.72,28.8,28.86,10700276,SBUX
2013-04-16,28.97,29.47,28.86,29.28,8849328,SBUX
2013-04-17,29.02,29.28,28.82,29.08,7207368,SBUX
2013-04-18,29.18,29.24,28.75,28.86,8776706,SBUX
2013-04-19,28.79,29.29,28.77,29.2,8605504,SBUX
2013-04-20,28.93,29.34,28.84,29.24,7586103,SBUX
2013-04-21,29.07,29.39,28.92,29.28,6566703,SBUX
2013-04-22,29.21,29.44,28.99,29.32,5547302,SBUX
2013-04-23,29.42,29.95,29.39,29.7,11323422,SBUX
2013-04-24,29.84,29.98,29.56,29.92,10410890,SBUX
2013-04-25,30.0,30.32,29.96,30.25,16550532,SBUX
2013-04-26,29.65,30.2,29.6,30.0,14970972,SBUX
2013-04-27,29.82,30.28,29.76,30.1,12447497,SBUX
2013-04-28,30.0,30.37,29.91,30.19,9924021,SBUX
2013-04-29,30.18,30.46,30.06,30.29,7400546,SBUX
2013-04-30,30.32,30.46,30.16,30.42,8041092,SBUX
2013-05-01,30.28,30.34,29.98,30.07,6294596,SBUX
2013-05-02,30.22,30.34,29.8,30.19,6237460,SBUX
2013-05-03,30.42,30.98,30.35,30.94,9835550,SBUX
2013-05-04,30.62,31.07,30.55,31.04,8889411,SBUX
2013-05-05,30.81,31.15,30.76,31.14,7943273,SBUX
