index,open,high,low,close,volume,Name
2013-02-08,17.18,17.23,16.81,16.89,15136075,SCHW
2013-02-09,16.95,17.11,16.7,16.84,13604497,SCHW
2013-02-10,16.73,17.0,16.59,16.78,12072918,SCHW
2013-02-11,16.5,16.88,16.48,16.73,10541340,SCHW
2013-02-12,16.72,16.94,16.72,16.86,6751510,SCHW
2013-02-13,16.93,17.07,16.82,16.92,6021971,SCHW
2013-02-14,16.85,16.96,16.74,16.92,6410431,SCHW
2013-02-15,16.96,16.97,16.78,16.9,8270900,SCHW
2013-02-16,16.96,17.0,16.81,16.95,8199038,SCHW
2013-02-17,16.95,17.04,16.84,17.0,8127176,SCHW
2013-02-18,16.94,17.07,16.86,17.05,8055313,SCHW
2013-02-19,16.94,17.1,16.89,17.1,7983451,SCHW
2013-02-20,17.06,17.06,16.69,16.69,6451634,SCHW
2013-02-21,16.67,16.68,16.29,16.37,9662897,SCHW
2013-02-22,16.47,16.74,16.45,16.73,6038158,SCHW
2013-02-23,16.59,16.8,16.4,16.59,8403489,SCHW
2013-02-24,16.72,16.86,16.34,16.46,10768819,SCHW
2013-02-25,16.84,16.92,16.29,16.32,13134150,SCHW
2013-02-26,16.24,16.48,15.96,16.21,14907744,SCHW
2013-02-27,16.22,16.48,16.15,16.41,9841782,SCHW
2013-02-28,16.43,16.46,16.24,16.24,11228572,SCHW
2013-03-01,16.22,16.46,16.0,16.4,8913244,SCHW
2013-03-02,16.36,16.58,16.18,16.53,9800075,SCHW
2013-03-03,16.51,16.71,16.35,16.65,10686906,SCHW
2013-03-04,16.65,16.83,16.53,16.78,11573737,SCHW
2013-03-05,16.82,17.1,16.82,16.98,7311613,SCHW
2013-03-06,17.1,17.64,17.06,17.35,13776741,SCHW
2013-03-07,17.34,17.75,17.28,17.58,10577908,SCHW
2013-03-08,17.71,17.94,17.64,17.66,9315535,SCHW
2013-03-09,17.7,17.9,17.63,17.68,9169635,SCHW
2013-03-10,17.68,17.85,17.61,17.69,9023735,SCHW
2013-03-11,17.67,17.81,17.6,17.71,8877835,SCHW
2013-03-12,17.67,17.75,17.57,17.74,9638029,SCHW
2013-03-13,17.75,18.11,17.7,18.11,9326993,SCHW
2013-03-14,18.0,18.34,17.78,17.98,14602252,SCHW
2013-03-15,17.69,17.9,17.67,17.86,15865883,SCHW
2013-03-16,17.66,17.86,17.64,17.79,12981696,SCHW
2013-03-17,17.63,17.83,17.6,17.73,10097510,SCHW
2013-03-18,17.6,17.79,17.57,17.66,7213323,SCHW
2013-03-19,17.69,17.86,17.32,17.55,8733460,SCHW
2013-03-20,17.65,17.82,17.63,17.75,6473147,SCHW
2013-03-21,17.65,17.78,17.42,17.46,8813029,SCHW
2013-03-22,17.51,17.6,17.46,17.54,4462314,SCHW
2013-03-23,17.53,17.63,17.46,17.53,5223239,SCHW
2013-03-24,17.55,17.65,17.45,17.53,5984165,SCHW
2013-03-25,17.57,17.68,17.45,17.52,6745090,SCHW
2013-03-26,17.57,17.69,17.49,17.63,5944151,SCHW
2013-03-27,17.52,17.55,17.13,17.5,9129833,SCHW
2013-03-28,17.55,17.75,17.48,17.69,7340755,SCHW
2013-03-29,17.6,17.78,17.44,17.61,7957873,SCHW
2013-03-30,17.66,17.82,17.4,17.54,8574992,SCHW
2013-03-31,17.72,17.86,17.36,17.46,9192110,SCHW
2013-04-01,17.77,17.89,17.32,17.38,9809228,SCHW
2013-04-02,17.15,17.38,17.1,17.31,7922972,SCHW
2013-04-03,17.33,17.39,16.65,16.75,12077629,SCHW
2013-04-04,16.76,16.8,16.51,16.72,11525852,SCHW
2013-04-05,16.49,16.61,16.15,16.55,10432578,SCHW
2013-04-06,16.52,16.68,16.27,16.64,9092520,SCHW
2013-04-07,16.54,16.75,16.39,16.73,7752462,SCHW
2013-04-08,16.57,16.82,16.51,16.82,6412404,SCHW
2013-04-09,16.9,17.03,16.82,16.97,5623795,SCHW
2013-04-10,17.05,17.53,17.04,17.39,8962293,SCHW
2013-04-11,17.41,17.69,17.37,17.54,8366309,SCHW
2013-04-12,17.51,17.52,17.13,17.28,8222429,SCHW
2013-04-13,17.38,17.45,16.95,17.06,8992998,SCHW
2013-04-14,17.25,17.37,16.77,16.84,9763566,SCHW
2013-04-15,17.12,17.3,16.58,16.62,10534135,SCHW
2013-04-16,16.76,16.96,16.57,16.96,9027963,SCHW
2013-04-17,16.77,16.77,16.31,16.47,10135621,SCHW
2013-04-18,16.48,16.49,16.2,16.39,8209031,SCHW
2013-04-19,16.43,16.47,16.28,16.39,6390491,SCHW
2013-04-20,16.43,16.48,16.26,16.4,6258602,SCHW
2013-04-21,16.42,16.48,16.24,16.41,6126712,SCHW
2013-04-22,16.42,16.49,16.22,16.42,5994823,SCHW
2013-04-23,16.45,16.72,16.43,16.59,9392268,SCHW
2013-04-24,16.61,16.73,16.42,16.64,9826980,SCHW
2013-04-25,16.7,17.1,16.66,16.75,9933121,SCHW
2013-04-26,16.76,16.84,16.59,16.73,6093945,SCHW
2013-04-27,16.76,16.89,16.64,16.8,5598768,SCHW
2013-04-28,16.76,16.93,16.7,16.87,5103592,SCHW
2013-04-29,16.76,16.98,16.75,16.94,4608415,SCHW
2013-04-30,16.97,17.02,16.82,16.96,6005797,SCHW
2013-05-01,16.94,17.0,16.18,16.21,14703556,SCHW
2013-05-02,16.22,16.53,16.05,16.44,8795494,SCHW
2013-05-03,16.67,17.55,16.62,17.47,16193036,SCHW
2013-05-04,16.93,17.59,16.89,17.5,13843260,SCHW
2013-05-05,17.18,17.63,17.16,17.52,11493483,SCHW
