index,open,high,low,close,volume,Name
2013-02-08,89.04,89.48,88.91,89.16,554948,SJM
2013-02-09,89.06,89.48,88.76,89.02,649724,SJM
2013-02-10,89.07,89.48,88.6,88.89,744499,SJM
2013-02-11,89.09,89.48,88.45,88.75,839275,SJM
2013-02-12,89.92,91.0,89.4,90.92,1241432,SJM
2013-02-13,90.83,90.83,89.84,90.33,726523,SJM
2013-02-14,90.81,92.66,90.57,92.16,1623099,SJM
2013-02-15,92.22,94.99,91.86,92.4,1560319,SJM
2013-02-16,92.3,94.59,91.76,92.24,1461045,SJM
2013-02-17,92.38,94.2,91.66,92.08,1361772,SJM
2013-02-18,92.45,93.8,91.57,91.91,1262498,SJM
2013-02-19,92.53,93.4,91.47,91.75,1163224,SJM
2013-02-20,91.77,92.41,91.62,91.7,1513665,SJM
2013-02-21,91.49,92.02,91.41,91.9,823993,SJM
2013-02-22,92.05,93.1,92.0,92.99,753407,SJM
2013-02-23,92.4,93.23,91.83,92.5,721261,SJM
2013-02-24,92.76,93.37,91.67,92.0,689115,SJM
2013-02-25,93.11,93.5,91.5,91.51,656969,SJM
2013-02-26,91.92,93.18,91.92,93.15,644782,SJM
2013-02-27,93.1,95.35,93.0,95.12,722959,SJM
2013-02-28,95.23,95.86,95.04,95.3,682138,SJM
2013-03-01,95.25,96.28,94.68,96.27,536618,SJM
2013-03-02,95.53,96.4,94.95,96.39,488110,SJM
2013-03-03,95.82,96.52,95.23,96.52,439602,SJM
2013-03-04,96.1,96.64,95.5,96.64,391094,SJM
2013-03-05,97.04,97.52,96.54,97.1,497899,SJM
2013-03-06,97.36,97.53,96.59,96.72,683185,SJM
2013-03-07,96.79,97.26,96.43,97.09,603787,SJM
2013-03-08,97.38,97.75,96.88,97.24,329279,SJM
2013-03-09,97.29,97.72,96.9,97.29,446806,SJM
2013-03-10,97.21,97.7,96.93,97.34,564334,SJM
2013-03-11,97.12,97.67,96.96,97.39,681861,SJM
2013-03-12,97.4,97.72,97.25,97.47,462119,SJM
2013-03-13,97.5,97.67,97.25,97.58,482336,SJM
2013-03-14,97.7,97.84,97.45,97.84,345752,SJM
2013-03-15,97.42,97.94,97.26,97.4,816130,SJM
2013-03-16,97.07,97.62,96.86,97.06,785001,SJM
2013-03-17,96.73,97.3,96.45,96.72,753871,SJM
2013-03-18,96.38,96.98,96.05,96.38,722742,SJM
2013-03-19,96.34,96.5,95.03,96.4,1111613,SJM
2013-03-20,96.82,97.14,96.03,96.76,761338,SJM
2013-03-21,96.53,96.61,95.99,96.0,409153,SJM
2013-03-22,96.13,96.55,96.09,96.44,496083,SJM
2013-03-23,96.38,96.81,96.11,96.42,459896,SJM
2013-03-24,96.64,97.07,96.14,96.4,423709,SJM
2013-03-25,96.89,97.33,96.16,96.38,387522,SJM
2013-03-26,96.4,97.78,96.33,97.41,436982,SJM
2013-03-27,97.01,97.36,96.15,97.31,402725,SJM
2013-03-28,97.3,99.29,97.22,99.16,651433,SJM
2013-03-29,97.8,99.3,97.48,99.11,600196,SJM
2013-03-30,98.31,99.32,97.74,99.06,548958,SJM
