index,open,high,low,close,volume,Name
2013-02-08,81.22,81.93,80.94,81.89,296853,SLG
2013-02-09,81.44,82.05,81.08,81.86,412661,SLG
2013-02-10,81.65,82.16,81.22,81.82,528468,SLG
2013-02-11,81.87,82.28,81.36,81.79,644276,SLG
2013-02-12,81.79,82.94,81.73,82.79,706241,SLG
2013-02-13,82.8,82.96,82.45,82.76,521369,SLG
2013-02-14,82.52,82.69,81.94,82.15,369719,SLG
2013-02-15,82.09,82.7,81.7,82.7,475706,SLG
2013-02-16,82.37,82.9,82.02,82.9,512816,SLG
2013-02-17,82.65,83.1,82.34,83.1,549927,SLG
2013-02-18,82.93,83.3,82.67,83.29,587038,SLG
2013-02-19,83.21,83.5,82.99,83.49,624148,SLG
2013-02-20,83.27,83.76,82.1,82.16,636968,SLG
2013-02-21,82.24,82.81,80.98,81.09,518454,SLG
2013-02-22,81.62,82.02,81.32,81.64,382277,SLG
2013-02-23,81.68,82.02,80.92,81.14,433263,SLG
2013-02-24,81.75,82.03,80.52,80.63,484250,SLG
2013-02-25,81.81,82.04,80.12,80.13,535236,SLG
2013-02-26,80.55,81.11,79.9,80.67,597409,SLG
2013-02-27,80.67,81.55,80.32,81.31,687493,SLG
2013-02-28,81.47,82.07,81.07,81.62,1146270,SLG
2013-03-01,81.34,82.67,81.08,82.67,938999,SLG
2013-03-02,81.73,82.78,81.46,82.7,856148,SLG
2013-03-03,82.11,82.89,81.85,82.74,773296,SLG
2013-03-04,82.5,83.0,82.23,82.77,690445,SLG
2013-03-05,83.04,83.31,82.51,82.93,696349,SLG
2013-03-06,83.0,83.99,82.48,83.87,591451,SLG
2013-03-07,83.74,84.28,83.42,84.0,678719,SLG
2013-03-08,84.13,84.81,83.58,84.45,586835,SLG
2013-03-09,84.22,85.04,83.82,84.72,598980,SLG
2013-03-10,84.31,85.27,84.07,84.98,611125,SLG
2013-03-11,84.4,85.5,84.31,85.25,623270,SLG
2013-03-12,85.36,85.58,84.67,85.43,446872,SLG
2013-03-13,85.38,86.06,84.96,85.76,433575,SLG
2013-03-14,85.67,87.5,85.67,86.18,644120,SLG
2013-03-15,86.22,86.33,85.55,85.74,1500468,SLG
2013-03-16,85.92,86.18,85.36,85.69,1295748,SLG
2013-03-17,85.61,86.04,85.17,85.65,1091027,SLG
2013-03-18,85.31,85.89,84.98,85.6,886307,SLG
2013-03-19,85.7,85.9,84.87,84.95,847090,SLG
2013-03-20,85.32,86.04,84.71,85.99,474587,SLG
2013-03-21,85.6,86.27,85.21,85.46,665667,SLG
2013-03-22,85.86,86.07,85.46,86.07,396625,SLG
2013-03-23,85.96,86.35,85.65,86.1,419926,SLG
2013-03-24,86.05,86.62,85.84,86.13,443227,SLG
2013-03-25,86.15,86.9,86.03,86.16,466528,SLG
2013-03-26,86.16,86.87,86.1,86.29,460297,SLG
2013-03-27,85.17,86.27,85.17,86.17,274531,SLG
2013-03-28,86.14,86.37,85.5,86.11,886932,SLG
2013-03-29,86.12,86.44,85.56,86.17,775714,SLG
2013-03-30,86.1,86.52,85.62,86.23,664496,SLG
2013-03-31,86.07,86.59,85.67,86.29,553277,SLG
2013-04-01,86.05,86.66,85.73,86.35,442059,SLG
2013-04-02,86.38,87.22,86.38,87.06,446209,SLG
2013-04-03,87.54,87.76,86.21,86.54,584513,SLG
2013-04-04,86.6,88.37,86.4,88.15,795799,SLG
2013-04-05,87.16,88.5,86.59,88.44,794144,SLG
2013-04-06,87.59,88.65,86.93,88.54,781013,SLG
2013-04-07,88.02,88.81,87.28,88.63,767882,SLG
2013-04-08,88.45,88.96,87.62,88.73,754751,SLG
2013-04-09,88.94,88.94,87.83,88.19,599322,SLG
2013-04-10,88.4,88.81,88.06,88.35,731428,SLG
2013-04-11,88.54,89.16,88.2,88.49,669477,SLG
2013-04-12,88.24,88.98,87.96,88.31,473634,SLG
2013-04-13,88.19,88.81,87.27,87.52,558427,SLG
2013-04-14,88.15,88.65,86.58,86.73,643221,SLG
2013-04-15,88.1,88.48,85.89,85.94,728014,SLG
2013-04-16,86.56,87.95,86.11,87.7,652688,SLG
2013-04-17,87.15,87.15,85.78,86.58,700931,SLG
2013-04-18,86.53,86.59,85.8,85.99,734176,SLG
2013-04-19,86.05,89.18,86.02,87.7,1208914,SLG
2013-04-20,86.66,88.75,86.11,87.41,1066459,SLG
