index,open,high,low,close,volume,Name
2013-02-08,77.13,79.24,77.03,79.14,613825,SNA
2013-02-09,77.76,79.28,77.43,78.89,570290,SNA
2013-02-10,78.39,79.33,77.83,78.64,526754,SNA
2013-02-11,79.02,79.37,78.23,78.39,483219,SNA
2013-02-12,78.3,79.36,78.08,78.79,268378,SNA
2013-02-13,78.96,79.19,77.94,79.04,594479,SNA
2013-02-14,78.87,80.53,78.47,79.17,477036,SNA
2013-02-15,79.32,79.64,78.75,79.43,272179,SNA
2013-02-16,79.4,79.72,78.93,79.57,301043,SNA
2013-02-17,79.48,79.81,79.12,79.71,329907,SNA
2013-02-18,79.56,79.9,79.3,79.84,358771,SNA
2013-02-19,79.64,79.98,79.48,79.98,387635,SNA
2013-02-20,79.83,80.0,78.91,78.94,286573,SNA
2013-02-21,78.69,78.86,77.67,77.93,426095,SNA
2013-02-22,78.09,78.86,77.94,78.81,282688,SNA
2013-02-23,78.5,79.03,77.63,78.23,331920,SNA
2013-02-24,78.9,79.2,77.31,77.64,381153,SNA
2013-02-25,79.31,79.37,77.0,77.06,430385,SNA
2013-02-26,77.06,77.92,76.67,77.78,216019,SNA
2013-02-27,77.69,79.78,77.69,79.43,217422,SNA
2013-02-28,79.43,80.78,79.43,80.27,437168,SNA
2013-03-01,79.72,79.99,79.0,79.66,313605,SNA
2013-03-02,79.57,79.9,78.52,79.66,345519,SNA
2013-03-03,79.42,79.8,78.05,79.65,377434,SNA
2013-03-04,79.27,79.71,77.58,79.65,409348,SNA
2013-03-05,80.0,80.74,79.83,80.6,329723,SNA
2013-03-06,81.07,82.04,80.8,81.83,500933,SNA
2013-03-07,81.79,81.81,80.61,81.18,219486,SNA
2013-03-08,81.65,82.07,81.25,81.97,213113,SNA
2013-03-09,81.63,82.17,81.36,82.09,218679,SNA
2013-03-10,81.61,82.28,81.47,82.21,224246,SNA
2013-03-11,81.59,82.38,81.58,82.33,229812,SNA
2013-03-12,82.37,82.37,81.33,81.75,233742,SNA
2013-03-13,81.89,81.89,80.37,80.8,354114,SNA
2013-03-14,81.26,81.71,81.0,81.36,178196,SNA
2013-03-15,81.06,81.93,80.53,81.23,548489,SNA
2013-03-16,80.96,81.89,80.48,81.21,461796,SNA
2013-03-17,80.85,81.86,80.42,81.2,375102,SNA
2013-03-18,80.75,81.82,80.37,81.18,288409,SNA
2013-03-19,81.54,81.99,80.82,81.4,235600,SNA
2013-03-20,82.0,82.6,81.45,81.83,106327,SNA
2013-03-21,81.44,81.99,81.06,81.24,220435,SNA
2013-03-22,81.46,81.81,81.14,81.59,149866,SNA
2013-03-23,81.55,81.93,81.22,81.66,280819,SNA
2013-03-24,81.63,82.05,81.31,81.72,411772,SNA
2013-03-25,81.72,82.17,81.39,81.79,542725,SNA
2013-03-26,82.13,82.57,81.54,82.56,185568,SNA
2013-03-27,81.83,82.33,81.15,81.69,307561,SNA
2013-03-28,81.69,82.84,81.35,82.7,204730,SNA
2013-03-29,81.94,82.9,81.32,82.49,212915,SNA
2013-03-30,82.2,82.96,81.3,82.28,221100,SNA
2013-03-31,82.46,83.03,81.28,82.08,229284,SNA
2013-04-01,82.71,83.09,81.25,81.87,237469,SNA
2013-04-02,82.27,82.53,81.47,81.76,234292,SNA
2013-04-03,81.8,82.26,80.82,81.06,280009,SNA
2013-04-04,81.24,82.05,80.5,82.03,228513,SNA
2013-04-05,81.05,81.71,80.45,81.6,245250,SNA
2013-04-06,81.24,81.98,80.77,81.89,209411,SNA
2013-04-07,81.44,82.26,81.09,82.19,173571,SNA
2013-04-08,81.63,82.53,81.41,82.48,137732,SNA
2013-04-09,82.75,83.25,82.14,83.1,164997,SNA
2013-04-10,83.22,84.72,82.88,84.68,404600,SNA
2013-04-11,84.65,85.5,84.16,85.25,300073,SNA
2013-04-12,84.89,85.42,84.19,84.87,176136,SNA
2013-04-13,84.73,85.26,83.35,83.8,226135,SNA
2013-04-14,84.58,85.11,82.5,82.73,276134,SNA
2013-04-15,84.42,84.95,81.66,81.66,326133,SNA
2013-04-16,82.33,83.5,82.05,82.65,418362,SNA
2013-04-17,82.0,82.7,81.29,82.51,406736,SNA
2013-04-18,82.7,82.7,80.65,80.88,359018,SNA
2013-04-19,81.21,81.26,79.88,81.17,466857,SNA
2013-04-20,81.2,81.66,80.22,81.44,382249,SNA
2013-04-21,81.18,82.06,80.57,81.7,297642,SNA
2013-04-22,81.17,82.46,80.91,81.97,213034,SNA
2013-04-23,82.37,82.68,81.5,82.33,362549,SNA
2013-04-24,82.43,84.63,82.38,84.38,377366,SNA
2013-04-25,84.6,85.88,84.09,85.09,306004,SNA
2013-04-26,85.2,85.22,84.41,84.51,290709,SNA
2013-04-27,85.12,85.37,84.39,84.72,282086,SNA
2013-04-28,85.04,85.52,84.37,84.93,273462,SNA
2013-04-29,84.96,85.67,84.35,85.14,264839,SNA
2013-04-30,85.02,86.24,84.68,86.2,231909,SNA
2013-05-01,86.2,86.76,84.32,84.36,495539,SNA
