index,open,high,low,close,volume,Name
2013-02-08,59.88,60.78,59.53,60.14,1047615,SNI
2013-02-09,60.0,60.9,59.69,60.43,947722,SNI
2013-02-10,60.13,61.01,59.84,60.72,847829,SNI
2013-02-11,60.25,61.13,60.0,61.01,747936,SNI
2013-02-12,61.0,61.38,60.63,61.04,872188,SNI
2013-02-13,61.19,62.13,61.19,62.04,1084339,SNI
2013-02-14,61.8,62.47,61.29,62.37,677171,SNI
2013-02-15,62.48,63.3,61.89,62.16,1260496,SNI
2013-02-16,62.44,63.12,61.94,62.22,1122996,SNI
2013-02-17,62.4,62.94,62.0,62.29,985497,SNI
2013-02-18,62.35,62.76,62.06,62.36,847998,SNI
2013-02-19,62.31,62.58,62.11,62.42,710498,SNI
2013-02-20,62.38,62.91,61.87,61.93,686751,SNI
2013-02-21,61.58,61.76,60.88,61.08,669476,SNI
2013-02-22,61.36,62.56,61.28,62.56,636065,SNI
2013-02-23,61.86,62.69,61.38,62.25,640152,SNI
2013-02-24,62.37,62.82,61.49,61.94,644238,SNI
2013-02-25,62.87,62.95,61.59,61.63,648325,SNI
2013-02-26,61.64,61.96,60.89,61.15,896602,SNI
2013-02-27,61.23,62.71,60.92,62.55,875971,SNI
2013-02-28,62.71,63.41,62.71,63.05,670941,SNI
2013-03-01,62.9,64.33,62.72,64.3,671424,SNI
2013-03-02,63.32,64.5,63.19,64.45,653142,SNI
2013-03-03,63.73,64.67,63.65,64.61,634860,SNI
2013-03-04,64.15,64.84,64.12,64.76,616578,SNI
2013-03-05,65.0,65.71,64.36,64.54,1166602,SNI
2013-03-06,64.63,65.35,63.85,63.9,905254,SNI
2013-03-07,64.07,64.38,63.64,63.88,914342,SNI
2013-03-08,64.26,64.5,63.57,64.34,942233,SNI
2013-03-09,64.26,64.55,63.79,64.33,766272,SNI
2013-03-10,64.26,64.6,64.01,64.33,590312,SNI
2013-03-11,64.26,64.64,64.23,64.32,414351,SNI
2013-03-12,64.27,64.62,63.99,64.21,447411,SNI
2013-03-13,64.25,64.74,64.18,64.34,737068,SNI
2013-03-14,64.55,64.88,64.39,64.52,539924,SNI
2013-03-15,64.24,64.83,63.96,64.3,681283,SNI
2013-03-16,63.98,64.89,63.79,64.53,686693,SNI
2013-03-17,63.72,64.94,63.63,64.76,692103,SNI
2013-03-18,63.46,65.0,63.46,64.99,697513,SNI
2013-03-19,65.03,65.32,64.61,64.99,863516,SNI
2013-03-20,65.19,65.81,64.96,65.38,594197,SNI
2013-03-21,64.99,65.57,64.29,64.52,493565,SNI
2013-03-22,64.68,65.01,64.52,64.81,378134,SNI
2013-03-23,64.82,65.04,64.26,64.54,449974,SNI
2013-03-24,64.95,65.07,63.99,64.26,521814,SNI
2013-03-25,65.09,65.1,63.73,63.99,593654,SNI
2013-03-26,64.27,64.68,63.93,64.13,506809,SNI
2013-03-27,63.91,64.19,63.5,63.97,675090,SNI
2013-03-28,64.0,64.4,63.83,64.34,584740,SNI
2013-03-29,64.1,64.49,63.76,64.2,562716,SNI
2013-03-30,64.21,64.59,63.68,64.07,540693,SNI
2013-03-31,64.32,64.68,63.6,63.94,518670,SNI
2013-04-01,64.42,64.77,63.53,63.8,496646,SNI
2013-04-02,64.1,64.43,63.83,63.97,531130,SNI
2013-04-03,64.16,64.88,63.8,64.17,566030,SNI
2013-04-04,64.26,65.31,64.16,65.27,639361,SNI
2013-04-05,64.81,66.41,64.18,65.95,846833,SNI
2013-04-06,65.3,66.69,64.81,66.26,863326,SNI
2013-04-07,65.79,66.98,65.43,66.58,879820,SNI
2013-04-08,66.28,67.26,66.06,66.89,896313,SNI
2013-04-09,67.0,67.05,66.15,66.29,626248,SNI
2013-04-10,66.3,67.38,66.21,67.26,602455,SNI
2013-04-11,67.38,68.53,67.29,68.28,817869,SNI
2013-04-12,68.25,68.99,67.88,68.1,949220,SNI
2013-04-13,68.17,68.7,67.35,67.5,814525,SNI
2013-04-14,68.08,68.4,66.83,66.9,679829,SNI
2013-04-15,68.0,68.11,66.3,66.3,545134,SNI
2013-04-16,66.78,67.81,66.78,67.56,491110,SNI
2013-04-17,66.83,67.68,66.52,67.39,723236,SNI
2013-04-18,67.41,67.46,66.22,66.54,463927,SNI
2013-04-19,66.65,67.43,66.65,67.04,568493,SNI
2013-04-20,66.82,67.56,66.66,67.19,530223,SNI
2013-04-21,66.98,67.7,66.67,67.34,491953,SNI
2013-04-22,67.15,67.83,66.68,67.49,453683,SNI
2013-04-23,67.78,67.78,66.7,67.43,808500,SNI
2013-04-24,67.5,67.98,66.5,66.59,707768,SNI
2013-04-25,66.85,67.11,66.09,66.33,1094880,SNI
2013-04-26,66.45,67.29,66.02,66.66,647866,SNI
2013-04-27,66.59,67.31,66.12,66.57,594303,SNI
2013-04-28,66.72,67.32,66.23,66.48,540741,SNI
2013-04-29,66.86,67.34,66.33,66.39,487178,SNI
2013-04-30,66.39,66.88,66.2,66.58,584065,SNI
