index,open,high,low,close,volume,Name
2013-02-08,34.31,34.58,34.23,34.4,418979,SNPS
2013-02-09,34.36,34.57,34.16,34.32,419311,SNPS
2013-02-10,34.4,34.56,34.08,34.23,419643,SNPS
2013-02-11,34.45,34.55,34.01,34.15,419975,SNPS
2013-02-12,34.23,34.63,34.07,34.44,764855,SNPS
2013-02-13,34.42,34.6,34.08,34.24,483096,SNPS
2013-02-14,34.21,34.43,34.08,34.33,844721,SNPS
2013-02-15,34.39,34.65,34.3,34.54,613677,SNPS
2013-02-16,34.4,34.66,34.29,34.56,646664,SNPS
2013-02-17,34.42,34.67,34.28,34.58,679652,SNPS
2013-02-18,34.44,34.69,34.28,34.6,712639,SNPS
2013-02-19,34.45,34.7,34.27,34.62,745626,SNPS
2013-02-20,34.7,34.99,34.54,34.79,1342746,SNPS
2013-02-21,36.0,36.0,35.28,35.76,2963561,SNPS
2013-02-22,35.71,35.76,34.95,35.14,1457619,SNPS
2013-02-23,35.57,35.64,34.99,35.12,1426899,SNPS
2013-02-24,35.44,35.51,35.04,35.11,1396180,SNPS
2013-02-25,35.3,35.39,35.08,35.09,1365460,SNPS
2013-02-26,35.26,35.33,34.82,34.87,1147122,SNPS
2013-02-27,34.9,35.37,34.71,35.28,959834,SNPS
2013-02-28,35.17,35.39,35.03,35.03,860266,SNPS
2013-03-01,34.58,34.8,34.04,34.72,1658277,SNPS
2013-03-02,34.56,34.81,34.15,34.76,1411360,SNPS
2013-03-03,34.54,34.83,34.26,34.79,1164444,SNPS
2013-03-04,34.52,34.84,34.38,34.83,917527,SNPS
2013-03-05,34.8,35.17,34.73,35.01,575439,SNPS
2013-03-06,35.0,35.2,34.71,34.84,529693,SNPS
2013-03-07,34.95,35.36,34.88,35.18,819731,SNPS
2013-03-08,35.19,35.37,34.98,35.35,434631,SNPS
2013-03-09,35.21,35.43,35.03,35.42,518660,SNPS
2013-03-10,35.22,35.5,35.08,35.48,602688,SNPS
2013-03-11,35.24,35.56,35.13,35.55,686717,SNPS
2013-03-12,35.51,35.51,35.16,35.29,546801,SNPS
2013-03-13,35.34,35.48,35.15,35.37,614463,SNPS
2013-03-14,35.38,35.75,35.37,35.73,616505,SNPS
2013-03-15,35.61,35.89,35.23,35.26,1629980,SNPS
2013-03-16,35.4,35.64,35.07,35.14,1260462,SNPS
2013-03-17,35.18,35.38,34.9,35.01,890943,SNPS
2013-03-18,34.97,35.13,34.74,34.89,521425,SNPS
2013-03-19,34.99,35.09,34.63,34.96,815122,SNPS
2013-03-20,35.09,35.19,34.84,35.09,596444,SNPS
2013-03-21,34.86,35.13,34.71,34.85,467321,SNPS
2013-03-22,35.01,35.08,34.76,34.83,391168,SNPS
2013-03-23,34.96,35.11,34.74,34.94,471619,SNPS
2013-03-24,34.92,35.14,34.72,35.06,552071,SNPS
2013-03-25,34.87,35.17,34.7,35.17,632522,SNPS
2013-03-26,35.21,35.58,35.15,35.47,710203,SNPS
2013-03-27,35.25,35.5,34.94,35.45,479711,SNPS
2013-03-28,35.56,35.93,35.33,35.88,1431510,SNPS
2013-03-29,35.65,35.92,35.3,35.77,1211208,SNPS
2013-03-30,35.73,35.92,35.28,35.67,990906,SNPS
2013-03-31,35.82,35.91,35.25,35.56,770604,SNPS
2013-04-01,35.9,35.9,35.23,35.45,550302,SNPS
2013-04-02,35.52,35.7,35.43,35.62,516578,SNPS
2013-04-03,35.62,35.75,35.3,35.4,882574,SNPS
2013-04-04,35.29,35.7,35.03,35.13,762384,SNPS
2013-04-05,34.92,34.92,34.59,34.82,582490,SNPS
