index,open,high,low,close,volume,Name
2013-02-08,28.87,29.3,28.8,29.25,3136151,STI
2013-02-09,28.96,29.37,28.91,29.28,3449862,STI
2013-02-10,29.06,29.43,29.03,29.32,3763572,STI
2013-02-11,29.15,29.5,29.15,29.35,4077283,STI
2013-02-12,29.37,29.55,29.34,29.42,4051150,STI
2013-02-13,29.46,29.54,28.86,28.94,4857578,STI
2013-02-14,28.76,28.91,28.72,28.79,3558760,STI
2013-02-15,28.64,28.71,27.98,28.12,7363033,STI
2013-02-16,28.43,28.5,27.86,28.01,7768273,STI
2013-02-17,28.22,28.29,27.75,27.9,8173514,STI
2013-02-18,28.01,28.08,27.64,27.8,8578754,STI
2013-02-19,27.8,27.87,27.52,27.69,8983994,STI
2013-02-20,27.69,27.89,27.52,27.58,7404324,STI
2013-02-21,27.55,27.89,27.3,27.46,5213360,STI
2013-02-22,27.67,27.93,27.65,27.9,3904531,STI
2013-02-23,27.8,28.01,27.47,27.64,4482001,STI
2013-02-24,27.92,28.09,27.29,27.38,5059470,STI
2013-02-25,28.05,28.17,27.11,27.12,5636940,STI
2013-02-26,27.4,27.49,26.93,27.41,5085659,STI
2013-02-27,27.31,27.83,27.31,27.72,5292211,STI
2013-02-28,27.75,27.93,27.44,27.59,4162134,STI
2013-03-01,27.38,27.85,26.96,27.55,6901056,STI
2013-03-02,27.44,27.91,27.14,27.71,6253337,STI
2013-03-03,27.5,27.98,27.33,27.86,5605618,STI
2013-03-04,27.56,28.04,27.51,28.02,4957899,STI
2013-03-05,28.17,28.31,27.88,28.0,4825513,STI
2013-03-06,28.17,28.44,28.08,28.17,3717737,STI
2013-03-07,28.25,28.84,28.21,28.56,5144867,STI
2013-03-08,29.55,29.67,29.03,29.35,9327209,STI
2013-03-09,29.51,29.75,29.14,29.48,8077089,STI
2013-03-10,29.47,29.83,29.24,29.6,6826968,STI
2013-03-11,29.43,29.91,29.35,29.73,5576848,STI
2013-03-12,29.75,29.85,29.4,29.46,3794899,STI
2013-03-13,29.48,29.69,29.32,29.63,3739045,STI
2013-03-14,29.7,29.9,29.29,29.62,5175071,STI
2013-03-15,29.35,29.41,28.91,29.06,7893439,STI
2013-03-16,29.13,29.3,28.81,28.98,7052905,STI
2013-03-17,28.92,29.18,28.72,28.89,6212370,STI
2013-03-18,28.7,29.07,28.62,28.81,5371836,STI
2013-03-19,28.86,29.0,28.47,28.56,4894787,STI
2013-03-20,28.81,28.84,28.59,28.64,3309464,STI
2013-03-21,28.42,28.58,28.2,28.29,3010095,STI
2013-03-22,28.34,28.41,28.05,28.23,3805364,STI
2013-03-23,28.34,28.47,28.11,28.32,4129628,STI
2013-03-24,28.34,28.53,28.16,28.42,4453893,STI
2013-03-25,28.34,28.6,28.22,28.51,4778157,STI
2013-03-26,28.6,28.76,28.37,28.74,3507087,STI
2013-03-27,28.51,28.6,28.33,28.54,3203591,STI
2013-03-28,28.56,28.82,28.24,28.81,5036193,STI
2013-03-29,28.62,28.84,28.22,28.68,4671586,STI
2013-03-30,28.68,28.85,28.2,28.54,4306979,STI
2013-03-31,28.75,28.86,28.19,28.41,3942372,STI
2013-04-01,28.81,28.88,28.17,28.28,3577765,STI
2013-04-02,27.99,28.27,27.64,27.81,8853412,STI
2013-04-03,27.77,27.82,26.97,27.36,9255363,STI
