index,open,high,low,close,volume,Name
2014-07-31,23.0,24.0,22.6,23.0,56483860,SYF
2014-08-01,22.9,23.0,22.67,23.0,6458897,SYF
2014-08-02,22.97,23.04,22.75,23.0,5457896,SYF
2014-08-03,23.03,23.09,22.82,23.0,4456894,SYF
2014-08-04,23.1,23.13,22.9,23.0,3455893,SYF
2014-08-05,22.99,23.01,22.67,23.0,4450212,SYF
2014-08-06,22.8,22.98,22.67,22.98,6993351,SYF
2014-08-07,22.89,23.0,22.8,22.93,3190375,SYF
2014-08-08,22.93,23.03,22.8,22.95,2855023,SYF
2014-08-09,22.92,23.0,22.8,22.94,2492529,SYF
2014-08-10,22.91,22.96,22.8,22.94,2130035,SYF
2014-08-11,22.9,22.93,22.8,22.93,1767541,SYF
2014-08-12,22.89,23.0,22.83,23.0,1549684,SYF
2014-08-13,23.0,23.23,22.88,23.18,1659078,SYF
2014-08-14,23.2,23.22,22.95,23.01,1391857,SYF
2014-08-15,23.02,23.08,23.0,23.0,1948218,SYF
2014-08-16,23.03,23.11,23.01,23.06,1656698,SYF
2014-08-17,23.05,23.14,23.01,23.11,1365179,SYF
2014-08-18,23.06,23.17,23.02,23.17,1073659,SYF
2014-08-19,23.2,24.44,23.2,24.41,2852039,SYF
2014-08-20,24.3,25.59,24.26,25.19,3549452,SYF
2014-08-21,25.47,25.52,24.92,25.39,2358073,SYF
2014-08-22,25.25,25.43,25.1,25.36,892137,SYF
2014-08-23,25.29,25.42,25.03,25.28,989953,SYF
2014-08-24,25.33,25.41,24.95,25.2,1087769,SYF
2014-08-25,25.37,25.4,24.88,25.12,1185585,SYF
2014-08-26,25.0,25.1,24.94,25.05,951035,SYF
2014-08-27,25.0,25.54,24.95,25.47,1230580,SYF
2014-08-28,25.4,25.84,25.31,25.69,982632,SYF
2014-08-29,25.81,25.94,25.45,25.79,982178,SYF
2014-08-30,25.78,25.93,25.47,25.79,1204929,SYF
2014-08-31,25.76,25.92,25.48,25.79,1427680,SYF
2014-09-01,25.73,25.91,25.5,25.79,1650432,SYF
2014-09-02,25.7,25.9,25.52,25.79,1873183,SYF
2014-09-03,25.99,26.0,25.63,25.79,996517,SYF
2014-09-04,25.53,25.75,25.51,25.7,1117454,SYF
2014-09-05,25.7,26.02,25.62,25.77,1090378,SYF
2014-09-06,25.74,26.01,25.29,25.46,1571972,SYF
2014-09-07,25.78,25.99,24.95,25.15,2053567,SYF
2014-09-08,25.82,25.98,24.62,24.84,2535161,SYF
2014-09-09,25.3,25.6,24.7,25.04,3608750,SYF
2014-09-10,25.19,25.3,24.69,24.7,1974609,SYF
2014-09-11,24.75,25.02,24.63,24.65,2029069,SYF
2014-09-12,24.53,24.75,24.44,24.5,1106815,SYF
2014-09-13,24.47,24.63,24.27,24.38,1113083,SYF
2014-09-14,24.41,24.5,24.09,24.27,1119352,SYF
2014-09-15,24.35,24.38,23.92,24.15,1125620,SYF
