index,open,high,low,close,volume,Name
2013-02-08,31.52,31.62,31.39,31.61,2429576,SYY
2013-02-09,31.56,31.69,31.45,31.59,2228097,SYY
2013-02-10,31.61,31.75,31.5,31.58,2026619,SYY
2013-02-11,31.65,31.82,31.56,31.56,1825140,SYY
2013-02-12,31.6,31.7,31.37,31.56,2434476,SYY
2013-02-13,31.65,31.86,31.61,31.78,3108985,SYY
2013-02-14,31.72,32.14,31.71,32.03,4527731,SYY
2013-02-15,32.04,32.25,31.96,32.07,3101977,SYY
2013-02-16,32.04,32.29,31.98,32.12,3265884,SYY
2013-02-17,32.04,32.33,32.0,32.18,3429792,SYY
2013-02-18,32.04,32.36,32.02,32.24,3593699,SYY
2013-02-19,32.04,32.4,32.04,32.29,3757606,SYY
2013-02-20,32.33,32.68,32.27,32.53,4392611,SYY
2013-02-21,32.48,32.79,32.48,32.66,4243826,SYY
2013-02-22,32.64,32.75,32.58,32.75,3582169,SYY
2013-02-23,32.69,32.79,32.38,32.5,4122285,SYY
2013-02-24,32.75,32.82,32.19,32.24,4662400,SYY
2013-02-25,32.8,32.86,31.99,31.99,5202516,SYY
2013-02-26,32.07,32.11,31.77,31.88,4217015,SYY
2013-02-27,31.84,32.21,31.8,32.14,3214506,SYY
2013-02-28,32.16,32.38,32.13,32.16,3161544,SYY
2013-03-01,32.15,32.48,31.95,32.48,4574816,SYY
2013-03-02,32.25,32.65,32.1,32.58,4257537,SYY
2013-03-03,32.36,32.83,32.24,32.68,3940259,SYY
2013-03-04,32.46,33.0,32.39,32.78,3622980,SYY
2013-03-05,32.83,32.95,32.61,32.84,4037914,SYY
2013-03-06,32.84,32.87,32.62,32.83,3720623,SYY
2013-03-07,32.81,32.92,32.53,32.67,2844142,SYY
2013-03-08,32.8,33.37,32.73,33.27,5493609,SYY
2013-03-09,32.89,33.49,32.84,33.38,5365387,SYY
2013-03-10,32.97,33.61,32.94,33.48,5237165,SYY
2013-03-11,33.06,33.73,33.05,33.59,5108943,SYY
2013-03-12,33.54,33.61,33.24,33.6,3617952,SYY
2013-03-13,33.6,33.78,33.49,33.76,2645007,SYY
2013-03-14,33.79,33.85,33.6,33.78,3495208,SYY
2013-03-15,33.64,33.88,33.55,33.86,4003515,SYY
2013-03-16,33.65,33.89,33.56,33.83,3825865,SYY
2013-03-17,33.65,33.91,33.57,33.81,3648216,SYY
2013-03-18,33.66,33.92,33.58,33.78,3470566,SYY
2013-03-19,33.82,34.52,33.82,34.42,6721129,SYY
2013-03-20,34.45,34.58,34.34,34.53,3858892,SYY
2013-03-21,34.45,34.58,34.31,34.44,2615274,SYY
2013-03-22,34.49,34.92,34.47,34.9,4170262,SYY
2013-03-23,34.62,34.98,34.56,34.94,4164491,SYY
2013-03-24,34.75,35.03,34.65,34.98,4158721,SYY
2013-03-25,34.88,35.09,34.74,35.02,4152950,SYY
2013-03-26,35.16,35.62,34.93,35.0,5777764,SYY
2013-03-27,34.95,35.08,34.73,35.01,4279521,SYY
2013-03-28,35.06,35.34,35.03,35.17,3902445,SYY
2013-03-29,35.03,35.34,35.01,35.19,3992057,SYY
2013-03-30,35.01,35.33,34.99,35.2,4081670,SYY
2013-03-31,34.98,35.32,34.97,35.22,4171282,SYY
2013-04-01,34.95,35.31,34.95,35.24,4260894,SYY
2013-04-02,35.35,35.4,34.94,35.06,3800189,SYY
2013-04-03,34.73,34.92,34.5,34.5,3482355,SYY
2013-04-04,34.43,34.75,34.25,34.37,4131984,SYY
2013-04-05,34.17,34.53,34.14,34.38,3394499,SYY
2013-04-06,34.12,34.42,33.94,34.31,4040139,SYY
2013-04-07,34.08,34.32,33.75,34.23,4685778,SYY
2013-04-08,34.03,34.21,33.55,34.16,5331418,SYY
2013-04-09,34.26,34.41,34.1,34.33,4294918,SYY
