index,open,high,low,close,volume,Name
2013-02-08,62.9,63.0,62.47,62.89,1568643,TIF
2013-02-09,62.89,63.1,62.54,62.96,1333017,TIF
2013-02-10,62.89,63.2,62.6,63.03,1097390,TIF
2013-02-11,62.88,63.3,62.66,63.1,861764,TIF
2013-02-12,63.27,63.67,63.04,63.6,1043517,TIF
2013-02-13,63.72,63.79,63.17,63.45,1068252,TIF
2013-02-14,63.15,63.9,62.82,63.7,1467920,TIF
2013-02-15,63.79,65.28,63.66,64.78,2132204,TIF
2013-02-16,64.04,65.38,63.86,65.0,2009694,TIF
2013-02-17,64.28,65.48,64.06,65.22,1887183,TIF
2013-02-18,64.53,65.59,64.25,65.43,1764672,TIF
2013-02-19,64.78,65.69,64.45,65.65,1642162,TIF
2013-02-20,65.65,65.65,64.38,64.4,1622358,TIF
2013-02-21,64.18,64.75,63.95,64.28,1070849,TIF
2013-02-22,64.52,64.85,63.85,64.38,933247,TIF
2013-02-23,64.56,65.02,63.9,64.26,1129469,TIF
2013-02-24,64.59,65.18,63.96,64.13,1325690,TIF
2013-02-25,64.63,65.35,64.01,64.01,1521912,TIF
2013-02-26,64.49,66.12,64.07,66.01,2218266,TIF
2013-02-27,65.91,66.96,65.24,66.66,1479906,TIF
2013-02-28,66.51,67.5,66.36,67.16,1808514,TIF
2013-03-01,66.94,69.29,66.77,69.04,2664284,TIF
2013-03-02,67.51,69.7,67.07,69.52,3393140,TIF
2013-03-03,68.09,70.11,67.36,70.0,4121996,TIF
2013-03-04,68.66,70.52,67.66,70.48,4850852,TIF
2013-03-05,70.7,70.74,69.74,70.17,3230828,TIF
2013-03-06,70.14,70.48,69.66,70.06,2358943,TIF
2013-03-07,70.47,71.08,70.06,70.88,1451475,TIF
2013-03-08,70.01,70.71,69.58,70.25,2563434,TIF
2013-03-09,70.01,70.48,69.38,69.87,2357744,TIF
2013-03-10,70.01,70.25,69.17,69.49,2152054,TIF
2013-03-11,70.01,70.02,68.97,69.11,1946364,TIF
2013-03-12,68.82,69.0,68.22,68.46,2735441,TIF
2013-03-13,68.48,69.05,68.35,68.84,1716488,TIF
2013-03-14,68.9,69.19,68.64,69.09,1417117,TIF
2013-03-15,69.0,69.48,68.55,69.42,1446488,TIF
2013-03-16,68.82,69.31,68.31,69.22,1490486,TIF
2013-03-17,68.65,69.13,68.08,69.03,1534483,TIF
2013-03-18,68.47,68.96,67.84,68.83,1578481,TIF
2013-03-19,68.97,69.03,67.99,68.5,2290104,TIF
2013-03-20,69.23,69.78,68.57,69.59,1558884,TIF
2013-03-21,69.1,69.37,67.75,67.91,2370271,TIF
2013-03-22,70.15,70.78,68.82,69.23,4432873,TIF
2013-03-23,69.94,70.44,68.5,68.9,3455033,TIF
2013-03-24,69.72,70.09,68.18,68.56,2477192,TIF
2013-03-25,69.51,69.75,67.86,68.23,1499352,TIF
2013-03-26,68.38,68.86,67.8,68.41,1351284,TIF
2013-03-27,67.98,68.48,67.87,68.42,870644,TIF
2013-03-28,68.31,69.61,68.27,69.54,1153368,TIF
2013-03-29,68.66,69.89,68.56,69.72,1277831,TIF
2013-03-30,69.0,70.16,68.85,69.89,1402294,TIF
2013-03-31,69.34,70.44,69.14,70.06,1526758,TIF
2013-04-01,69.69,70.72,69.43,70.24,1651221,TIF
2013-04-02,70.64,72.48,70.56,72.0,2287701,TIF
2013-04-03,71.42,71.96,70.19,70.81,2101536,TIF
2013-04-04,70.79,71.11,70.46,70.87,951648,TIF
2013-04-05,69.75,70.76,69.31,70.61,1164070,TIF
2013-04-06,70.01,70.9,69.67,70.71,1109930,TIF
2013-04-07,70.27,71.03,70.04,70.81,1055789,TIF
2013-04-08,70.53,71.17,70.4,70.91,1001649,TIF
2013-04-09,71.0,71.23,70.49,71.01,1006438,TIF
2013-04-10,71.31,72.45,71.21,72.33,926032,TIF
2013-04-11,72.62,74.2,72.27,73.38,1848789,TIF
2013-04-12,72.96,73.29,72.18,72.67,1361079,TIF
2013-04-13,72.82,73.05,71.49,71.88,1532049,TIF
2013-04-14,72.67,72.82,70.79,71.1,1703020,TIF
2013-04-15,72.53,72.58,70.1,70.31,1873990,TIF
2013-04-16,71.08,71.6,70.67,71.52,1266263,TIF
2013-04-17,71.06,71.48,70.14,70.36,1276917,TIF
2013-04-18,70.53,70.99,68.91,69.47,1237340,TIF
2013-04-19,69.66,70.37,69.58,70.11,1165396,TIF
