index,open,high,low,close,volume,Name
2013-02-08,79.12,79.12,78.43,78.86,2421965,TRV
2013-02-09,79.0,79.19,78.46,78.98,2164234,TRV
2013-02-10,78.87,79.25,78.5,79.09,1906503,TRV
2013-02-11,78.75,79.32,78.53,79.21,1648772,TRV
2013-02-12,79.1,80.18,79.1,79.9,1747449,TRV
2013-02-13,79.9,80.31,79.81,79.99,1457551,TRV
2013-02-14,79.64,80.47,79.53,80.34,1810517,TRV
2013-02-15,80.76,80.85,79.95,80.39,2257660,TRV
2013-02-16,80.7,80.9,80.03,80.44,2243185,TRV
2013-02-17,80.63,80.96,80.11,80.5,2228710,TRV
2013-02-18,80.56,81.01,80.19,80.55,2214236,TRV
2013-02-19,80.5,81.07,80.27,80.6,2199761,TRV
2013-02-20,80.66,80.96,80.07,80.11,2046878,TRV
2013-02-21,80.08,80.4,79.92,80.38,2421156,TRV
2013-02-22,80.68,81.15,80.58,81.01,1773791,TRV
2013-02-23,80.78,81.1,80.14,80.42,2013234,TRV
2013-02-24,80.89,81.05,79.69,79.84,2252677,TRV
2013-02-25,80.99,81.0,79.25,79.25,2492120,TRV
2013-02-26,79.42,80.1,79.28,80.04,2062214,TRV
2013-02-27,80.11,80.84,79.87,80.78,1386530,TRV
2013-02-28,80.61,81.25,80.33,80.42,2157826,TRV
2013-03-01,80.16,80.72,79.35,80.69,1843944,TRV
2013-03-02,80.32,80.7,79.56,80.63,1729814,TRV
2013-03-03,80.49,80.67,79.78,80.58,1615684,TRV
2013-03-04,80.65,80.65,79.99,80.52,1501554,TRV
2013-03-05,80.79,82.0,80.56,81.46,2067107,TRV
2013-03-06,81.61,81.88,80.9,81.07,1278280,TRV
2013-03-07,81.11,81.44,80.9,81.2,1143057,TRV
2013-03-08,81.68,82.05,81.24,81.65,1398161,TRV
2013-03-09,81.65,81.97,81.22,81.68,1369428,TRV
2013-03-10,81.61,81.88,81.2,81.72,1340696,TRV
2013-03-11,81.58,81.8,81.18,81.75,1311963,TRV
2013-03-12,81.56,81.94,81.47,81.74,1237228,TRV
2013-03-13,81.77,82.27,81.72,82.12,1424505,TRV
2013-03-14,82.24,82.89,81.98,82.36,2086895,TRV
2013-03-15,82.64,83.15,81.96,82.28,4756605,TRV
2013-03-16,82.38,83.14,81.93,82.36,3836460,TRV
2013-03-17,82.12,83.12,81.89,82.45,2916315,TRV
2013-03-18,81.86,83.11,81.86,82.53,1996170,TRV
2013-03-19,82.74,83.41,82.66,83.19,2002539,TRV
2013-03-20,83.6,84.1,83.37,83.84,1928514,TRV
2013-03-21,83.53,84.09,83.4,83.75,1834692,TRV
2013-03-22,84.37,84.37,83.42,83.69,2362326,TRV
2013-03-23,84.26,84.28,83.26,83.58,2318117,TRV
2013-03-24,84.14,84.2,83.1,83.48,2273908,TRV
2013-03-25,84.03,84.11,82.94,83.37,2229699,TRV
2013-03-26,83.64,84.06,83.19,83.36,2034840,TRV
2013-03-27,83.1,83.59,82.57,83.37,2005754,TRV
2013-03-28,83.43,84.28,83.43,84.19,1311812,TRV
2013-03-29,83.66,84.39,83.51,84.13,1310566,TRV
2013-03-30,83.9,84.5,83.59,84.07,1309321,TRV
2013-03-31,84.14,84.61,83.67,84.01,1308076,TRV
2013-04-01,84.37,84.72,83.75,83.95,1306830,TRV
2013-04-02,84.1,84.62,84.1,84.41,1199410,TRV
2013-04-03,84.64,84.72,83.67,83.72,1674872,TRV
2013-04-04,83.92,84.61,83.85,84.34,1366872,TRV
2013-04-05,83.78,84.48,83.34,84.41,1911811,TRV
2013-04-06,83.98,84.58,83.55,84.52,1648229,TRV
2013-04-07,84.18,84.69,83.77,84.62,1384647,TRV
2013-04-08,84.38,84.79,83.98,84.73,1121065,TRV
2013-04-09,84.97,85.6,84.65,85.27,1391562,TRV
2013-04-10,85.29,85.61,84.64,84.81,1626322,TRV
2013-04-11,84.99,86.13,84.99,86.06,2246677,TRV
2013-04-12,85.91,86.41,85.61,86.26,1181349,TRV
2013-04-13,86.01,86.48,85.31,85.74,1555435,TRV
2013-04-14,86.1,86.54,85.01,85.23,1929520,TRV
2013-04-15,86.2,86.61,84.71,84.71,2303606,TRV
2013-04-16,85.08,86.6,84.75,86.55,2238075,TRV
2013-04-17,86.06,86.15,84.8,85.07,2145754,TRV
2013-04-18,85.43,85.7,83.73,84.1,1909240,TRV
2013-04-19,84.33,84.94,84.24,84.81,2155175,TRV
2013-04-20,84.49,84.97,84.14,84.73,2361888,TRV
2013-04-21,84.64,85.0,84.05,84.66,2568602,TRV
2013-04-22,84.8,85.03,83.95,84.58,2775315,TRV
2013-04-23,87.41,89.0,85.76,86.35,3445663,TRV
2013-04-24,86.36,86.64,85.57,85.86,2033592,TRV
2013-04-25,85.95,86.0,85.06,85.27,2137633,TRV
2013-04-26,85.22,85.85,85.13,85.15,1652112,TRV
2013-04-27,85.21,85.77,85.0,85.26,1809756,TRV
2013-04-28,85.21,85.68,84.88,85.37,1967399,TRV
2013-04-29,85.2,85.6,84.75,85.48,2125043,TRV
2013-04-30,85.26,85.64,85.04,85.41,1674380,TRV
2013-05-01,85.46,85.49,83.98,84.1,1821603,TRV
2013-05-02,84.11,84.51,84.0,84.42,1347808,TRV
2013-05-03,85.05,85.71,85.03,85.41,1653925,TRV
2013-05-04,85.16,85.66,84.99,85.38,1622387,TRV
2013-05-05,85.26,85.61,84.95,85.34,1590848,TRV
2013-05-06,85.37,85.56,84.91,85.31,1559310,TRV
2013-05-07,86.22,86.23,85.51,86.02,1181484,TRV
2013-05-08,86.12,87.29,86.02,87.28,2590246,TRV
2013-05-09,87.28,87.4,86.23,86.46,1651766,TRV
2013-05-10,86.56,86.69,86.0,86.49,1134373,TRV
2013-05-11,86.48,86.74,86.06,86.49,1051115,TRV
2013-05-12,86.39,86.79,86.13,86.5,967856,TRV
2013-05-13,86.31,86.84,86.19,86.5,884598,TRV
2013-05-14,86.6,87.9,86.5,87.9,1636190,TRV
2013-05-15,87.65,87.91,87.03,87.78,1688234,TRV
2013-05-16,87.59,87.69,86.62,86.87,1674741,TRV
2013-05-17,87.1,87.35,86.05,86.5,2203694,TRV
2013-05-18,86.81,87.12,85.84,86.18,2025188,TRV
2013-05-19,86.53,86.9,85.64,85.87,1846683,TRV
2013-05-20,86.24,86.67,85.43,85.55,1668177,TRV
2013-05-21,85.35,85.66,83.16,83.63,4429923,TRV
2013-05-22,83.56,84.32,83.27,83.77,3411454,TRV
2013-05-23,83.14,83.84,82.76,83.5,2011178,TRV
2013-05-24,82.91,83.62,82.59,83.6,1294891,TRV
2013-05-25,83.28,83.83,82.63,83.5,1568521,TRV
2013-05-26,83.64,84.04,82.66,83.41,1842150,TRV
2013-05-27,84.01,84.25,82.7,83.32,2115780,TRV
2013-05-28,84.38,84.46,82.74,83.22,2389410,TRV
2013-05-29,82.89,83.96,82.63,83.67,2416399,TRV
2013-05-30,83.66,84.78,83.66,84.56,1721739,TRV
2013-05-31,84.39,85.09,83.72,83.72,2355051,TRV
2013-06-01,84.19,84.75,83.47,83.73,2335114,TRV
2013-06-02,83.98,84.42,83.21,83.75,2315178,TRV
2013-06-03,83.78,84.08,82.96,83.76,2295241,TRV
2013-06-04,83.9,84.32,83.43,83.82,2491169,TRV
2013-06-05,83.5,83.9,82.2,82.24,2958386,TRV
2013-06-06,81.86,81.95,80.63,81.74,2763446,TRV
2013-06-07,82.14,83.72,81.5,83.44,2971096,TRV
2013-06-08,82.57,83.69,81.84,83.39,2716040,TRV
2013-06-09,83.01,83.65,82.18,83.35,2460983,TRV
2013-06-10,83.44,83.62,82.52,83.3,2205927,TRV
2013-06-11,82.55,82.9,81.88,82.08,2147577,TRV
2013-06-12,82.56,82.84,81.44,81.45,1439155,TRV
2013-06-13,81.52,82.83,80.91,82.8,1655070,TRV
