index,open,high,low,close,volume,Name
2013-02-08,23.73,23.81,23.58,23.78,5680563,TSN
2013-02-09,23.72,23.79,23.54,23.73,4686881,TSN
2013-02-10,23.7,23.78,23.51,23.69,3693200,TSN
2013-02-11,23.69,23.76,23.47,23.64,2699518,TSN
2013-02-12,23.71,23.75,23.43,23.51,4222221,TSN
2013-02-13,23.52,23.92,23.52,23.86,4463454,TSN
2013-02-14,23.86,24.24,23.78,24.22,4730889,TSN
2013-02-15,24.06,24.22,23.91,24.01,5144936,TSN
2013-02-16,24.08,24.24,23.9,24.04,5057282,TSN
2013-02-17,24.09,24.26,23.9,24.07,4969628,TSN
2013-02-18,24.1,24.29,23.9,24.1,4881975,TSN
2013-02-19,24.12,24.31,23.89,24.13,4794321,TSN
2013-02-20,24.08,24.14,23.51,23.56,8058618,TSN
2013-02-21,23.52,23.55,23.1,23.4,5380324,TSN
2013-02-22,23.5,23.93,23.42,23.8,4266966,TSN
2013-02-23,23.62,23.92,23.36,23.62,5200541,TSN
2013-02-24,23.74,23.92,23.29,23.44,6134116,TSN
2013-02-25,23.86,23.91,23.23,23.26,7067691,TSN
2013-02-26,22.41,22.68,21.79,22.4,16214512,TSN
2013-02-27,22.9,22.9,22.4,22.54,6167299,TSN
2013-02-28,22.59,22.88,22.45,22.67,5168423,TSN
2013-03-01,22.65,23.37,22.6,23.18,5716158,TSN
2013-03-02,22.8,23.39,22.75,23.19,5508193,TSN
2013-03-03,22.95,23.41,22.9,23.2,5300228,TSN
2013-03-04,23.1,23.43,23.05,23.21,5092263,TSN
2013-03-05,23.38,23.58,23.11,23.33,4059343,TSN
2013-03-06,23.44,23.69,23.35,23.57,3684144,TSN
2013-03-07,23.71,24.12,23.6,23.77,3954106,TSN
2013-03-08,23.93,24.16,23.9,24.0,3701636,TSN
2013-03-09,23.93,24.11,23.83,23.93,3810944,TSN
2013-03-10,23.93,24.07,23.77,23.86,3920252,TSN
2013-03-11,23.93,24.02,23.7,23.79,4029560,TSN
2013-03-12,23.74,23.93,23.66,23.86,2306603,TSN
2013-03-13,23.85,24.31,23.8,24.21,4767788,TSN
2013-03-14,24.21,24.46,24.06,24.36,2906663,TSN
2013-03-15,24.29,24.49,24.14,24.41,5276198,TSN
2013-03-16,24.25,24.44,24.08,24.37,4233151,TSN
2013-03-17,24.2,24.39,24.01,24.32,3190103,TSN
2013-03-18,24.16,24.34,23.94,24.28,2147056,TSN
2013-03-19,24.33,24.46,23.85,24.17,3766060,TSN
2013-03-20,24.25,24.28,24.06,24.08,3514396,TSN
2013-03-21,24.0,24.12,23.87,23.95,2315070,TSN
2013-03-22,24.02,24.16,23.93,24.13,2131946,TSN
2013-03-23,24.07,24.24,23.94,24.1,2347699,TSN
2013-03-24,24.13,24.32,23.95,24.07,2563453,TSN
2013-03-25,24.18,24.4,23.96,24.04,2779206,TSN
2013-03-26,24.16,24.28,24.06,24.21,2982277,TSN
2013-03-27,24.08,24.22,23.91,24.18,2007244,TSN
2013-03-28,24.22,24.85,24.05,24.82,5148153,TSN
2013-03-29,24.36,24.84,24.11,24.78,4697629,TSN
2013-03-30,24.49,24.84,24.18,24.74,4247106,TSN
2013-03-31,24.62,24.83,24.24,24.69,3796582,TSN
2013-04-01,24.76,24.82,24.3,24.65,3346058,TSN
2013-04-02,24.73,25.1,24.61,24.75,4754964,TSN
2013-04-03,24.72,24.79,24.18,24.46,4083350,TSN
2013-04-04,24.43,24.86,24.39,24.7,4399097,TSN
2013-04-05,24.33,24.47,23.88,24.03,6021957,TSN
2013-04-06,24.22,24.33,23.72,23.94,5617473,TSN
2013-04-07,24.1,24.18,23.57,23.86,5212988,TSN
2013-04-08,23.99,24.04,23.41,23.77,4808504,TSN
2013-04-09,23.77,23.88,23.43,23.68,3500523,TSN
2013-04-10,23.76,23.8,23.47,23.59,4606372,TSN
2013-04-11,23.42,23.77,22.47,23.75,4385765,TSN
2013-04-12,23.71,24.0,23.67,23.88,2611965,TSN
2013-04-13,23.76,23.96,23.53,23.67,3271397,TSN
2013-04-14,23.8,23.92,23.38,23.47,3930829,TSN
2013-04-15,23.85,23.88,23.24,23.26,4590261,TSN
2013-04-16,23.43,23.8,23.39,23.67,3939405,TSN
2013-04-17,23.53,23.61,23.24,23.54,3949317,TSN
2013-04-18,23.58,23.66,23.37,23.61,2866759,TSN
2013-04-19,23.74,24.2,23.68,24.08,3792608,TSN
2013-04-20,23.86,24.25,23.69,24.14,3343961,TSN
2013-04-21,23.99,24.29,23.7,24.19,2895313,TSN
2013-04-22,24.11,24.34,23.71,24.25,2446666,TSN
2013-04-23,24.32,24.78,24.31,24.63,3450327,TSN
2013-04-24,24.66,24.98,24.65,24.82,3771823,TSN
2013-04-25,24.88,24.98,24.66,24.88,3904391,TSN
2013-04-26,24.89,24.99,24.69,24.72,1942545,TSN
2013-04-27,24.86,24.94,24.61,24.65,2381554,TSN
2013-04-28,24.84,24.89,24.53,24.57,2820562,TSN
2013-04-29,24.81,24.84,24.44,24.5,3259571,TSN
2013-04-30,24.49,24.66,24.32,24.63,2071416,TSN
2013-05-01,24.52,24.62,24.28,24.37,1859209,TSN
2013-05-02,24.4,24.68,24.35,24.61,2094977,TSN
2013-05-03,24.8,25.12,24.73,24.93,2992567,TSN
2013-05-04,24.51,24.82,24.28,24.65,6235290,TSN
2013-05-05,24.22,24.53,23.84,24.38,9478013,TSN
2013-05-06,23.93,24.23,23.39,24.1,12720736,TSN
2013-05-07,24.42,24.76,24.29,24.6,5404507,TSN
2013-05-08,24.61,25.22,24.55,25.01,6107077,TSN
2013-05-09,25.08,25.22,24.82,24.88,4765174,TSN
2013-05-10,24.92,24.96,24.59,24.75,5135594,TSN
2013-05-11,24.83,24.87,24.55,24.7,4473439,TSN
2013-05-12,24.73,24.79,24.52,24.65,3811285,TSN
2013-05-13,24.64,24.7,24.48,24.6,3149130,TSN
2013-05-14,24.68,25.17,24.68,24.93,8921096,TSN
2013-05-15,24.88,25.13,24.8,25.03,9286392,TSN
2013-05-16,25.0,25.16,24.85,24.88,5283950,TSN
2013-05-17,24.93,25.02,24.82,24.95,3224593,TSN
2013-05-18,24.94,25.05,24.78,24.89,3362050,TSN
2013-05-19,24.96,25.07,24.74,24.82,3499506,TSN
2013-05-20,24.97,25.1,24.7,24.76,3636963,TSN
2013-05-21,24.84,25.42,24.84,25.26,6160950,TSN
2013-05-22,25.36,25.65,25.26,25.31,4847661,TSN
2013-05-23,25.08,25.21,24.76,24.92,4665651,TSN
2013-05-24,24.72,24.93,24.54,24.87,1848494,TSN
2013-05-25,24.8,25.01,24.56,24.87,2141870,TSN
2013-05-26,24.89,25.08,24.59,24.86,2435247,TSN
2013-05-27,24.98,25.16,24.61,24.86,2728624,TSN
2013-05-28,25.06,25.24,24.64,24.86,3022000,TSN
2013-05-29,25.85,25.86,25.1,25.36,6157285,TSN
2013-05-30,25.42,25.76,25.21,25.49,5618486,TSN
2013-05-31,25.4,25.58,24.99,25.0,3618670,TSN
