index,open,high,low,close,volume,Name
2013-02-08,52.16,52.85,52.16,52.57,6173686,TWX
2013-02-09,52.2,52.67,52.05,52.42,5865848,TWX
2013-02-10,52.24,52.48,51.93,52.28,5558011,TWX
2013-02-11,52.28,52.3,51.82,52.13,5250173,TWX
2013-02-12,52.03,52.69,52.03,52.5,5841848,TWX
2013-02-13,52.61,53.65,52.26,52.85,9523902,TWX
2013-02-14,52.64,53.89,52.54,53.63,8479130,TWX
2013-02-15,53.72,53.88,53.29,53.52,8872566,TWX
2013-02-16,53.69,53.89,53.33,53.59,7876982,TWX
2013-02-17,53.66,53.89,53.37,53.66,6881398,TWX
2013-02-18,53.64,53.9,53.41,53.72,5885815,TWX
2013-02-19,53.61,53.9,53.44,53.79,4890231,TWX
2013-02-20,53.52,53.88,53.13,53.23,4176970,TWX
2013-02-21,52.97,53.08,52.33,52.61,6022669,TWX
2013-02-22,52.67,53.0,52.52,52.99,4390793,TWX
2013-02-23,52.78,53.12,52.22,52.54,5071037,TWX
2013-02-24,52.89,53.23,51.92,52.09,5751281,TWX
2013-02-25,53.0,53.35,51.62,51.64,6431525,TWX
2013-02-26,51.69,52.37,51.69,52.28,5270002,TWX
2013-02-27,52.32,53.42,52.04,53.31,6220502,TWX
2013-02-28,53.36,53.62,53.14,53.17,4029678,TWX
2013-03-01,53.04,54.0,52.66,53.62,6780690,TWX
2013-03-02,53.15,54.05,52.82,53.8,6512487,TWX
2013-03-03,53.26,54.1,52.97,53.98,6244284,TWX
2013-03-04,53.37,54.16,53.13,54.16,5976081,TWX
2013-03-05,54.39,55.55,54.34,55.05,6826474,TWX
2013-03-06,55.31,56.07,55.0,55.46,8274518,TWX
2013-03-07,56.75,56.89,55.7,56.78,14357720,TWX
2013-03-08,56.72,57.85,56.67,57.46,10274285,TWX
2013-03-09,56.96,57.72,56.71,57.39,9683227,TWX
2013-03-10,57.2,57.6,56.74,57.33,9092170,TWX
2013-03-11,57.44,57.47,56.78,57.26,8501112,TWX
2013-03-12,57.15,57.21,56.36,56.42,9343605,TWX
2013-03-13,56.45,56.78,56.26,56.63,5579883,TWX
2013-03-14,56.92,57.36,56.84,57.32,5214932,TWX
2013-03-15,56.95,57.01,56.19,56.65,13898124,TWX
2013-03-16,56.66,56.87,56.08,56.51,10765549,TWX
2013-03-17,56.37,56.74,55.98,56.36,7632975,TWX
2013-03-18,56.08,56.6,55.87,56.22,4500400,TWX
2013-03-19,56.36,56.42,55.17,55.48,7165351,TWX
2013-03-20,55.95,56.49,55.91,56.36,5238100,TWX
2013-03-21,56.08,56.35,55.82,56.11,3445534,TWX
2013-03-22,56.44,57.06,56.08,56.79,4212679,TWX
2013-03-23,56.61,57.18,56.07,56.71,4520009,TWX
2013-03-24,56.77,57.29,56.05,56.62,4827340,TWX
2013-03-25,56.94,57.41,56.04,56.54,5134670,TWX
2013-03-26,56.82,57.23,56.45,56.91,6839068,TWX
2013-03-27,56.44,56.75,55.95,56.63,4629567,TWX
2013-03-28,56.72,58.02,56.72,57.62,10451752,TWX
2013-03-29,56.95,57.96,56.83,57.62,9209624,TWX
2013-03-30,57.18,57.9,56.94,57.62,7967495,TWX
2013-03-31,57.42,57.84,57.05,57.62,6725366,TWX
2013-04-01,57.65,57.78,57.16,57.62,5483238,TWX
2013-04-02,57.8,58.09,57.33,57.58,4914461,TWX
2013-04-03,57.78,58.51,57.77,58.1,16041603,TWX
2013-04-04,58.1,58.68,57.98,58.27,14703762,TWX
2013-04-05,57.66,57.98,57.43,57.88,12146106,TWX
2013-04-06,57.72,58.1,57.44,58.04,10621815,TWX
2013-04-07,57.77,58.23,57.46,58.19,9097524,TWX
2013-04-08,57.83,58.35,57.47,58.35,7573233,TWX
2013-04-09,58.29,59.09,58.25,58.8,6912487,TWX
2013-04-10,58.88,59.74,58.7,59.56,6163570,TWX
2013-04-11,59.6,59.82,59.43,59.66,5177157,TWX
2013-04-12,59.34,59.62,59.1,59.46,5867378,TWX
2013-04-13,59.32,59.74,58.88,59.13,6150206,TWX
2013-04-14,59.29,59.87,58.67,58.8,6433035,TWX
2013-04-15,59.27,60.0,58.45,58.47,6715863,TWX
2013-04-16,58.78,60.0,58.76,59.73,4859070,TWX
2013-04-17,59.32,59.7,59.11,59.52,5974704,TWX
2013-04-18,59.6,59.66,58.34,58.47,6183342,TWX
2013-04-19,58.75,59.95,58.01,59.75,7017517,TWX
2013-04-20,59.13,60.07,58.46,59.9,6056949,TWX
2013-04-21,59.52,60.18,58.92,60.04,5096380,TWX
2013-04-22,59.9,60.3,59.37,60.19,4135812,TWX
2013-04-23,60.37,60.72,59.86,60.4,4366686,TWX
2013-04-24,60.45,60.63,59.52,59.59,4636098,TWX
2013-04-25,59.57,59.78,58.93,59.39,8001744,TWX
2013-04-26,59.38,60.06,59.29,59.67,5053417,TWX
2013-04-27,59.57,60.13,59.37,59.82,4777541,TWX
2013-04-28,59.75,60.2,59.46,59.98,4501666,TWX
2013-04-29,59.94,60.27,59.54,60.13,4225790,TWX
2013-04-30,60.03,60.49,59.65,59.78,6878472,TWX
2013-05-01,59.5,59.97,58.23,59.48,12382842,TWX
2013-05-02,59.56,60.16,59.4,59.75,6086170,TWX
2013-05-03,60.13,60.72,59.98,60.43,4637409,TWX
2013-05-04,60.18,60.8,60.02,60.5,4587020,TWX
2013-05-05,60.22,60.88,60.07,60.57,4536630,TWX
2013-05-06,60.27,60.96,60.11,60.64,4486241,TWX
2013-05-07,60.9,61.53,60.66,61.52,4316571,TWX
2013-05-08,61.39,61.73,60.69,61.13,5845409,TWX
2013-05-09,61.15,61.47,60.76,61.1,4470681,TWX
2013-05-10,61.12,61.44,60.68,60.94,4106943,TWX
2013-05-11,60.99,61.29,60.66,60.93,3810626,TWX
2013-05-12,60.85,61.14,60.63,60.92,3514309,TWX
2013-05-13,60.72,60.99,60.61,60.91,3217992,TWX
2013-05-14,61.05,61.48,60.95,61.27,3693015,TWX
2013-05-15,61.01,61.21,60.75,61.13,5107647,TWX
2013-05-16,60.74,61.06,60.66,60.72,5174617,TWX
2013-05-17,60.85,61.16,60.41,60.71,5714897,TWX
2013-05-18,60.81,61.11,60.19,60.5,5442027,TWX
2013-05-19,60.76,61.05,59.98,60.28,5169157,TWX
2013-05-20,60.72,61.0,59.76,60.07,4896287,TWX
2013-05-21,60.33,60.83,60.18,60.47,5473480,TWX
2013-05-22,60.47,61.06,59.61,59.96,5787116,TWX
2013-05-23,59.2,60.56,59.14,60.16,5081271,TWX
2013-05-24,59.76,59.84,59.17,59.28,4418873,TWX
2013-05-25,59.79,59.98,59.32,59.53,4792194,TWX
2013-05-26,59.82,60.13,59.47,59.78,5165514,TWX
2013-05-27,59.85,60.28,59.62,60.04,5538835,TWX
2013-05-28,59.88,60.43,59.77,60.29,5912156,TWX
2013-05-29,59.85,59.88,59.0,59.2,4149340,TWX
2013-05-30,59.35,59.92,59.31,59.58,4674854,TWX
2013-05-31,59.58,60.0,58.37,58.37,6735759,TWX
2013-06-01,59.16,59.53,58.06,58.45,6257635,TWX
2013-06-02,58.74,59.07,57.74,58.52,5779510,TWX
2013-06-03,58.32,58.6,57.43,58.6,5301386,TWX
2013-06-04,58.58,59.1,57.93,58.34,3646578,TWX
2013-06-05,58.01,58.07,56.61,56.9,7157295,TWX
2013-06-06,56.79,57.51,56.3,57.48,4688330,TWX
2013-06-07,58.0,58.81,57.62,58.77,3369920,TWX
2013-06-08,58.26,58.8,57.58,58.41,3873969,TWX
2013-06-09,58.52,58.79,57.53,58.06,4378018,TWX
2013-06-10,58.78,58.78,57.49,57.7,4882067,TWX
2013-06-11,57.15,57.53,56.81,56.89,5531659,TWX
2013-06-12,57.32,57.43,55.86,56.16,5387305,TWX
2013-06-13,56.21,58.0,55.86,57.91,6137102,TWX
2013-06-14,57.67,58.17,57.44,57.47,4815219,TWX
2013-06-15,57.72,58.26,57.48,57.63,4902927,TWX
2013-06-16,57.77,58.36,57.51,57.78,4990635,TWX
2013-06-17,57.82,58.45,57.55,57.94,5078343,TWX
2013-06-18,57.85,59.13,57.77,58.89,3515358,TWX
2013-06-19,58.97,59.18,57.85,57.86,3568680,TWX
2013-06-20,57.43,57.57,56.09,56.32,4598923,TWX
2013-06-21,56.85,57.08,55.82,56.81,6804044,TWX
2013-06-22,56.65,56.98,55.78,56.63,6180535,TWX
2013-06-23,56.44,56.89,55.74,56.46,5557027,TWX
2013-06-24,56.24,56.8,55.7,56.28,4933518,TWX
2013-06-25,56.8,57.2,56.52,56.67,3920199,TWX
2013-06-26,57.14,57.9,57.14,57.39,5318159,TWX
2013-06-27,57.7,58.12,57.4,57.82,3828966,TWX
2013-06-28,57.65,58.25,57.49,57.82,6836944,TWX
2013-06-29,57.8,58.48,57.7,57.98,6164845,TWX
2013-06-30,57.96,58.71,57.91,58.14,5492745,TWX
2013-07-01,58.12,58.94,58.12,58.3,4820646,TWX
2013-07-02,58.24,59.72,58.16,59.52,6524686,TWX
2013-07-03,58.95,60.11,58.67,60.07,4210992,TWX
2013-07-04,59.63,60.78,59.49,60.74,4715133,TWX
2013-07-05,60.31,61.45,60.3,61.41,5219274,TWX
2013-07-06,60.73,61.51,60.44,61.25,5386664,TWX
2013-07-07,61.15,61.57,60.58,61.09,5554054,TWX
2013-07-08,61.57,61.63,60.72,60.93,5721444,TWX
2013-07-09,61.14,61.46,60.94,61.28,5248004,TWX
2013-07-10,61.23,61.31,60.85,61.01,3635137,TWX
2013-07-11,61.91,62.1,61.61,61.67,5071791,TWX
2013-07-12,61.75,61.9,61.12,61.7,5809775,TWX
2013-07-13,61.7,61.86,61.18,61.61,5287933,TWX
2013-07-14,61.66,61.83,61.24,61.51,4766091,TWX
2013-07-15,61.61,61.79,61.3,61.42,4244249,TWX
2013-07-16,61.37,61.88,60.76,61.29,3571374,TWX
2013-07-17,61.49,61.79,61.2,61.63,2699055,TWX
2013-07-18,61.85,62.43,61.77,62.25,4239123,TWX
2013-07-19,61.91,62.42,61.53,61.77,3644873,TWX
2013-07-20,61.91,62.44,61.63,61.92,3274580,TWX
2013-07-21,61.91,62.45,61.72,62.07,2904288,TWX
2013-07-22,61.91,62.47,61.82,62.22,2533995,TWX
2013-07-23,62.06,62.92,62.06,62.84,3591682,TWX
2013-07-24,62.85,62.95,61.99,62.3,3051154,TWX
2013-07-25,62.26,62.78,62.09,62.71,3171786,TWX
2013-07-26,62.54,63.05,62.4,63.02,2637722,TWX
2013-07-27,62.64,62.99,62.37,62.85,2706408,TWX
2013-07-28,62.74,62.92,62.35,62.67,2775093,TWX
2013-07-29,62.84,62.86,62.32,62.5,2843779,TWX
2013-07-30,62.81,62.84,61.92,62.07,3251873,TWX
2013-07-31,62.17,62.88,61.89,62.26,3984987,TWX
2013-08-01,63.04,63.54,62.86,63.06,3681233,TWX
2013-08-02,63.13,64.5,63.07,64.29,5315553,TWX
2013-08-03,63.47,64.57,63.41,64.35,4674478,TWX
2013-08-04,63.8,64.64,63.75,64.41,4033402,TWX
2013-08-05,64.14,64.72,64.09,64.47,3392327,TWX
2013-08-06,64.42,64.6,63.46,64.08,4979279,TWX
2013-08-07,65.61,66.01,63.77,63.84,9519318,TWX
2013-08-08,64.24,64.5,63.1,63.94,6488088,TWX
2013-08-09,63.7,64.49,63.32,63.4,4010571,TWX
2013-08-10,63.51,64.26,63.2,63.38,3633828,TWX
2013-08-11,63.32,64.03,63.09,63.35,3257084,TWX
2013-08-12,63.13,63.8,62.98,63.33,2880341,TWX
2013-08-13,63.54,63.57,62.66,63.1,2691060,TWX
2013-08-14,63.11,63.11,62.26,62.32,4068105,TWX
2013-08-15,61.96,62.12,60.57,61.21,5070321,TWX
2013-08-16,60.92,61.53,60.78,60.86,3943864,TWX
2013-08-17,60.85,61.44,60.54,60.86,3764785,TWX
2013-08-18,60.79,61.35,60.31,60.85,3585705,TWX
2013-08-19,60.72,61.26,60.07,60.85,3406626,TWX
2013-08-20,60.93,61.98,60.58,61.88,3966714,TWX
2013-08-21,61.62,61.93,61.13,61.26,3888411,TWX
2013-08-22,61.38,62.56,61.19,62.37,3217968,TWX
2013-08-23,62.34,62.8,62.17,62.36,2570810,TWX
2013-08-24,62.35,62.83,62.14,62.27,2550004,TWX
2013-08-25,62.36,62.86,62.11,62.18,2529198,TWX
2013-08-26,62.37,62.89,62.08,62.09,2508392,TWX
2013-08-27,61.33,62.05,61.08,61.51,3736164,TWX
2013-08-28,61.29,61.37,60.8,60.98,3784940,TWX
2013-08-29,60.75,61.61,60.51,61.0,2265280,TWX
2013-08-30,61.1,61.12,60.26,60.53,3108530,TWX
2013-08-31,61.17,61.33,60.44,60.74,3302268,TWX
2013-09-01,61.24,61.54,60.63,60.94,3496006,TWX
2013-09-02,61.31,61.75,60.82,61.15,3689743,TWX
2013-09-03,61.38,61.96,61.0,61.36,3883481,TWX
2013-09-04,61.51,62.3,61.37,61.99,3407628,TWX
2013-09-05,61.88,62.26,61.48,61.58,2403603,TWX
2013-09-06,61.87,61.98,60.88,61.45,2512822,TWX
2013-09-07,61.72,62.12,61.06,61.71,2667075,TWX
2013-09-08,61.58,62.27,61.25,61.98,2821328,TWX
2013-09-09,61.43,62.41,61.43,62.24,2975581,TWX
2013-09-10,62.44,63.0,62.44,62.94,2726685,TWX
2013-09-11,62.85,63.62,62.85,63.32,2930232,TWX
2013-09-12,63.32,63.68,62.73,62.8,3862359,TWX
2013-09-13,62.91,63.04,62.46,62.56,5591170,TWX
2013-09-14,63.04,63.23,62.47,62.61,5041701,TWX
2013-09-15,63.16,63.43,62.49,62.67,4492232,TWX
2013-09-16,63.29,63.62,62.5,62.72,3942763,TWX
2013-09-17,62.91,63.44,62.64,62.9,3391385,TWX
2013-09-18,62.95,63.61,62.65,63.34,4049339,TWX
2013-09-19,64.38,64.78,63.92,64.4,7886023,TWX
2013-09-20,64.3,64.83,64.19,64.3,8932058,TWX
2013-09-21,64.19,64.55,63.94,64.02,7213797,TWX
2013-09-22,64.08,64.28,63.68,63.74,5495535,TWX
2013-09-23,63.97,64.0,63.42,63.46,3777274,TWX
2013-09-24,63.44,63.73,63.12,63.35,3887738,TWX
2013-09-25,63.37,64.17,63.21,63.97,4488267,TWX
2013-09-26,63.91,64.91,63.81,64.87,3351642,TWX
2013-09-27,64.61,66.34,64.49,66.2,6876559,TWX
2013-09-28,65.0,66.35,64.88,66.07,6143485,TWX
2013-09-29,65.39,66.37,65.28,65.94,5410412,TWX
2013-09-30,65.78,66.38,65.67,65.81,4677338,TWX
2013-10-01,65.83,66.68,65.65,66.68,3655678,TWX
2013-10-02,66.24,66.37,65.51,66.36,4843409,TWX
2013-10-03,66.24,66.32,64.91,65.29,2965977,TWX
2013-10-04,65.33,66.64,65.33,66.46,2965897,TWX
2013-10-05,65.33,66.59,65.32,66.21,3028421,TWX
2013-10-06,65.34,66.55,65.32,65.95,3090944,TWX
2013-10-07,65.34,66.5,65.31,65.7,3153468,TWX
2013-10-08,65.62,65.65,64.97,65.02,4262533,TWX
2013-10-09,65.31,65.6,64.2,64.61,4675642,TWX
2013-10-10,65.23,67.38,65.19,67.32,6764801,TWX
2013-10-11,67.09,68.42,66.96,67.92,5145768,TWX
2013-10-12,67.2,68.38,67.1,67.96,5237755,TWX
2013-10-13,67.3,68.33,67.25,68.0,5329741,TWX
2013-10-14,67.41,68.29,67.39,68.04,5421728,TWX
2013-10-15,68.06,68.26,67.24,67.47,3843884,TWX
2013-10-16,67.87,68.77,67.7,68.0,3916668,TWX
2013-10-17,67.94,68.02,67.49,67.95,3998890,TWX
2013-10-18,68.24,68.92,68.01,68.73,4424360,TWX
2013-10-19,68.44,69.03,68.26,68.79,3868740,TWX
2013-10-20,68.64,69.13,68.52,68.85,3313121,TWX
2013-10-21,68.84,69.24,68.77,68.91,2757501,TWX
2013-10-22,69.19,70.06,68.94,69.73,4358468,TWX
2013-10-23,69.65,70.06,69.46,69.84,3015373,TWX
2013-10-24,70.31,70.52,70.12,70.31,3487399,TWX
2013-10-25,70.29,70.58,69.88,70.26,3050047,TWX
2013-10-26,70.24,70.62,69.92,70.23,3166007,TWX
2013-10-27,70.18,70.65,69.96,70.19,3281966,TWX
2013-10-28,70.13,70.69,70.0,70.16,3397926,TWX
2013-10-29,70.44,70.49,69.86,70.07,2369528,TWX
2013-10-30,70.12,70.34,67.86,68.54,5605414,TWX
2013-10-31,68.66,69.48,68.23,68.74,5370607,TWX
2013-11-01,68.94,69.35,68.31,68.81,3807836,TWX
2013-11-02,68.95,69.23,68.29,68.76,3424200,TWX
2013-11-03,68.97,69.12,68.27,68.72,3040565,TWX
2013-11-04,68.98,69.0,68.25,68.67,2656929,TWX
2013-11-05,68.39,68.45,67.64,68.23,6035613,TWX
2013-11-06,67.46,70.77,67.35,67.69,9434969,TWX
2013-11-07,67.64,68.01,65.22,65.38,7882471,TWX
2013-11-08,65.65,67.86,65.02,67.65,6833221,TWX
2013-11-09,66.27,67.92,65.76,67.6,5623966,TWX
2013-11-10,66.9,67.99,66.5,67.55,4414712,TWX
2013-11-11,67.52,68.06,67.24,67.5,3205457,TWX
2013-11-12,67.46,67.51,66.59,66.79,3318699,TWX
2013-11-13,66.44,67.69,66.15,67.69,3789578,TWX
2013-11-14,67.9,68.59,67.65,68.4,3804575,TWX
2013-11-15,68.26,68.72,67.45,67.64,4316273,TWX
2013-11-16,67.94,68.41,67.19,67.38,3853524,TWX
2013-11-17,67.63,68.09,66.94,67.11,3390774,TWX
2013-11-18,67.31,67.78,66.68,66.85,2928025,TWX
2013-11-19,66.95,67.35,66.2,66.28,3777870,TWX
2013-11-20,66.56,66.56,65.63,65.72,4446475,TWX
2013-11-21,66.28,67.21,65.76,66.95,4616745,TWX
2013-11-22,67.13,67.28,66.64,66.99,3765294,TWX
2013-11-23,67.13,67.3,66.58,66.87,3462997,TWX
2013-11-24,67.12,67.32,66.52,66.75,3160701,TWX
2013-11-25,67.12,67.34,66.46,66.63,2858404,TWX
2013-11-26,66.72,66.76,65.16,65.74,7080771,TWX
2013-11-27,66.19,66.44,65.36,65.64,3259322,TWX
2013-11-28,65.96,66.45,65.5,65.68,2822412,TWX
2013-11-29,65.72,66.46,65.64,65.71,2385503,TWX
2013-11-30,65.7,66.31,65.38,65.68,3429845,TWX
2013-12-01,65.68,66.16,65.13,65.64,4474186,TWX
2013-12-02,65.66,66.01,64.87,65.61,5518528,TWX
2013-12-03,65.63,65.66,64.88,65.46,4744783,TWX
2013-12-04,64.88,65.94,64.73,65.44,4249186,TWX
2013-12-05,65.43,65.9,65.2,65.59,3507059,TWX
2013-12-06,65.94,66.72,65.53,66.57,3409992,TWX
2013-12-07,66.13,66.69,65.48,66.21,4427928,TWX
2013-12-08,66.31,66.65,65.44,65.85,5445863,TWX
2013-12-09,66.5,66.62,65.39,65.49,6463799,TWX
2013-12-10,65.5,66.94,65.48,66.61,5735094,TWX
2013-12-11,66.75,66.97,66.2,66.42,5092569,TWX
2013-12-12,66.24,66.48,65.67,65.82,3696711,TWX
2013-12-13,65.93,66.08,65.48,65.55,3614926,TWX
2013-12-14,65.98,66.22,65.59,65.81,3324692,TWX
2013-12-15,66.03,66.35,65.69,66.06,3034457,TWX
2013-12-16,66.08,66.49,65.8,66.32,2744223,TWX
2013-12-17,66.22,66.39,65.4,65.8,3912025,TWX
2013-12-18,66.04,67.64,65.46,67.6,4197663,TWX
2013-12-19,67.35,67.99,67.08,67.9,4033136,TWX
2013-12-20,68.0,68.9,68.0,68.34,7416862,TWX
2013-12-21,68.18,68.91,68.08,68.46,6105305,TWX
2013-12-22,68.36,68.93,68.17,68.57,4793747,TWX
2013-12-23,68.54,68.94,68.25,68.69,3482190,TWX
2013-12-24,68.69,69.48,68.66,69.4,1289828,TWX
2013-12-25,69.1,69.78,69.07,69.7,1743837,TWX
2013-12-26,69.5,70.08,69.47,70.0,2197846,TWX
2013-12-27,70.0,70.1,69.2,69.64,2168310,TWX
2013-12-28,69.95,70.07,69.28,69.65,2294040,TWX
2013-12-29,69.91,70.04,69.35,69.66,2419770,TWX
2013-12-30,69.86,70.01,69.43,69.67,2545500,TWX
2013-12-31,69.67,70.06,69.52,69.72,3140406,TWX
2014-01-01,69.57,69.81,68.96,69.22,3937290,TWX
2014-01-02,69.47,69.56,68.41,68.73,4734175,TWX
2014-01-03,68.79,69.28,68.54,68.67,2507357,TWX
2014-01-04,68.83,69.18,68.26,68.5,2864676,TWX
2014-01-05,68.87,69.08,67.99,68.33,3221996,TWX
2014-01-06,68.91,68.98,67.71,68.16,3579315,TWX
2014-01-07,68.3,68.34,67.27,67.5,5040719,TWX
2014-01-08,67.26,67.43,65.8,66.76,8422965,TWX
2014-01-09,66.7,66.86,66.04,66.29,4750171,TWX
2014-01-10,66.41,66.47,66.0,66.19,6888685,TWX
2014-01-11,66.27,66.4,65.76,65.95,6469857,TWX
2014-01-12,66.12,66.33,65.51,65.71,6051029,TWX
2014-01-13,65.98,66.26,65.27,65.47,5632201,TWX
2014-01-14,65.52,65.76,65.16,65.33,5331233,TWX
2014-01-15,65.25,65.38,64.77,65.14,7413074,TWX
2014-01-16,64.81,65.18,64.59,64.95,4945334,TWX
2014-01-17,65.18,65.26,64.19,64.4,5833689,TWX
2014-01-18,65.01,65.16,64.1,64.44,5890510,TWX
2014-01-19,64.84,65.05,64.0,64.47,5947330,TWX
2014-01-20,64.67,64.95,63.91,64.51,6004150,TWX
2014-01-21,64.5,64.84,63.82,64.55,6060971,TWX
2014-01-22,64.6,65.98,64.57,65.76,6119303,TWX
2014-01-23,65.02,65.73,64.47,64.64,6658552,TWX
2014-01-24,64.22,64.38,63.05,63.32,7444943,TWX
2014-01-25,63.99,64.15,62.83,63.17,7096452,TWX
2014-01-26,63.76,63.91,62.6,63.03,6747960,TWX
2014-01-27,63.53,63.68,62.38,62.88,6399469,TWX
2014-01-28,63.25,63.44,62.6,63.14,4670835,TWX
2014-01-29,62.55,63.03,62.08,62.32,7576243,TWX
2014-01-30,62.96,64.26,62.86,63.4,8158451,TWX
2014-01-31,62.83,63.53,62.49,62.83,9588525,TWX
2014-02-01,62.83,63.32,62.12,62.39,9350082,TWX
2014-02-02,62.83,63.1,61.76,61.96,9111639,TWX
2014-02-03,62.83,62.89,61.39,61.52,8873196,TWX
2014-02-04,61.98,62.81,61.64,62.4,7205711,TWX
2014-02-05,62.2,63.72,60.72,63.09,9900061,TWX
2014-02-06,63.44,63.56,62.37,63.29,7684125,TWX
2014-02-07,63.7,64.62,63.44,63.91,5524252,TWX
2014-02-08,63.6,64.5,63.39,63.82,5723515,TWX
2014-02-09,63.5,64.38,63.35,63.74,5922777,TWX
2014-02-10,63.4,64.26,63.31,63.65,6122040,TWX
2014-02-11,63.52,65.09,63.45,64.84,6618518,TWX
2014-02-12,64.63,65.22,64.63,65.06,4543452,TWX
2014-02-13,64.9,65.36,64.46,64.6,5307848,TWX
2014-02-14,64.42,65.87,64.29,65.3,4193825,TWX
2014-02-15,64.62,65.87,64.48,65.3,4015748,TWX
2014-02-16,64.83,65.86,64.68,65.3,3837670,TWX
2014-02-17,65.04,65.85,64.87,65.3,3659592,TWX
2014-02-18,65.24,65.85,65.06,65.3,3481515,TWX
2014-02-19,65.48,65.59,64.52,64.62,5197354,TWX
2014-02-20,64.74,65.2,64.44,64.98,5193232,TWX
2014-02-21,64.9,64.96,64.66,64.73,5604842,TWX
2014-02-22,64.92,65.07,64.71,64.82,5526079,TWX
2014-02-23,64.94,65.17,64.75,64.92,5447316,TWX
2014-02-24,64.96,65.28,64.8,65.01,5368553,TWX
2014-02-25,64.9,65.25,64.53,64.78,3880564,TWX
2014-02-26,64.7,64.75,64.14,64.69,7791574,TWX
2014-02-27,64.38,65.87,64.04,65.77,6411957,TWX
2014-02-28,66.29,67.63,65.67,67.13,7495396,TWX
2014-03-01,66.43,67.47,65.81,66.91,6546735,TWX
2014-03-02,66.58,67.3,65.96,66.69,5598074,TWX
2014-03-03,66.72,67.14,66.1,66.47,4649413,TWX
2014-03-04,67.15,67.7,66.98,66.98,5826181,TWX
2014-03-05,67.21,68.8,66.98,68.48,6701066,TWX
2014-03-06,68.57,69.02,68.55,68.93,5880911,TWX
2014-03-07,69.23,69.33,68.11,68.3,6488279,TWX
2014-03-08,68.88,69.12,67.96,68.38,6148884,TWX
2014-03-09,68.54,68.9,67.81,68.45,5809490,TWX
2014-03-10,68.19,68.69,67.66,68.53,5470095,TWX
2014-03-11,69.01,69.01,67.51,67.68,5619382,TWX
2014-03-12,67.29,67.69,66.75,67.26,5198903,TWX
2014-03-13,67.47,67.75,66.29,66.69,6292923,TWX
2014-03-14,66.66,67.09,66.5,66.58,3365432,TWX
2014-03-15,66.72,67.09,66.51,66.61,3355657,TWX
2014-03-16,66.78,67.09,66.53,66.64,3345883,TWX
2014-03-17,66.84,67.09,66.54,66.67,3336108,TWX
2014-03-18,66.82,67.83,66.74,67.2,2940723,TWX
2014-03-19,67.36,67.65,66.79,67.08,3459280,TWX
2014-03-20,66.83,67.1,66.34,66.5,3944904,TWX
2014-03-21,67.19,67.41,66.24,66.34,6130163,TWX
2014-03-22,66.95,67.14,65.81,66.0,5356455,TWX
2014-03-23,66.72,66.87,65.39,65.67,4582748,TWX
2014-03-24,66.48,66.6,64.96,65.33,3809040,TWX
2014-03-25,65.56,65.91,64.62,65.55,6419229,TWX
2014-03-26,65.77,66.0,64.63,64.65,4789498,TWX
