index,open,high,low,close,volume,Name
2013-02-08,35.39,35.52,35.16,35.27,18275496,T
2013-02-09,35.35,35.46,35.13,35.26,16746236,T
2013-02-10,35.3,35.38,35.09,35.24,15216977,T
2013-02-11,35.26,35.32,35.06,35.23,13687717,T
2013-02-12,35.25,35.67,35.23,35.6,16958584,T
2013-02-13,35.67,35.81,35.34,35.42,17410587,T
2013-02-14,35.42,35.44,35.03,35.29,26205412,T
2013-02-15,35.32,35.55,35.15,35.36,24864706,T
2013-02-16,35.33,35.58,35.2,35.44,22868421,T
2013-02-17,35.34,35.62,35.26,35.52,20872136,T
2013-02-18,35.36,35.66,35.32,35.59,18875851,T
2013-02-19,35.37,35.69,35.37,35.67,16879566,T
2013-02-20,35.68,35.98,35.46,35.47,35662956,T
2013-02-21,35.36,35.62,35.0,35.43,25156525,T
2013-02-22,35.45,35.7,35.22,35.68,20826009,T
2013-02-23,35.56,35.83,35.21,35.52,24727294,T
2013-02-24,35.66,35.95,35.2,35.35,28628579,T
2013-02-25,35.77,36.08,35.19,35.19,32529864,T
2013-02-26,35.54,35.7,35.4,35.49,26263691,T
2013-02-27,35.55,35.9,35.46,35.85,23526378,T
2013-02-28,35.8,36.25,35.75,35.91,31861213,T
2013-03-01,35.69,36.08,35.63,36.01,23505442,T
2013-03-02,35.79,36.14,35.72,36.08,21889531,T
2013-03-03,35.9,36.21,35.82,36.16,20273619,T
2013-03-04,36.0,36.27,35.91,36.23,18657708,T
2013-03-05,36.53,36.7,36.5,36.6,22609255,T
2013-03-06,36.64,36.82,36.28,36.29,20448397,T
2013-03-07,36.37,36.52,36.15,36.39,19230782,T
2013-03-08,36.54,36.74,36.54,36.68,21496605,T
2013-03-09,36.58,36.75,36.49,36.65,21004057,T
2013-03-10,36.61,36.76,36.45,36.63,20511510,T
2013-03-11,36.65,36.77,36.4,36.6,20018962,T
2013-03-12,36.56,36.84,36.52,36.72,19617202,T
2013-03-13,36.73,36.82,36.56,36.6,15061698,T
2013-03-14,36.67,36.87,36.59,36.86,19521163,T
2013-03-15,36.59,36.7,36.24,36.43,51082160,T
2013-03-16,36.45,36.58,36.2,36.34,40952340,T
2013-03-17,36.31,36.46,36.16,36.24,30822520,T
