index,open,high,low,close,volume,Name
2013-02-08,12.56,12.66,12.47,12.55,3579600,UAA
2013-02-09,12.54,12.61,12.41,12.52,4021585,UAA
2013-02-10,12.52,12.55,12.35,12.49,4463571,UAA
2013-02-11,12.5,12.5,12.29,12.46,4905556,UAA
2013-02-12,12.5,12.58,12.35,12.43,4118588,UAA
2013-02-13,12.43,12.6,12.12,12.18,5823228,UAA
2013-02-14,12.12,12.3,12.05,12.22,4055068,UAA
2013-02-15,12.24,12.5,12.21,12.39,6539140,UAA
2013-02-16,12.29,12.53,12.25,12.4,6156035,UAA
2013-02-17,12.35,12.56,12.3,12.41,5772930,UAA
2013-02-18,12.4,12.59,12.34,12.43,5389825,UAA
2013-02-19,12.46,12.62,12.38,12.44,5006720,UAA
2013-02-20,12.46,12.5,12.18,12.19,4661128,UAA
2013-02-21,12.18,12.22,11.8,11.94,6222120,UAA
2013-02-22,12.02,12.15,11.78,11.81,5358804,UAA
2013-02-23,11.97,12.12,11.74,11.77,5527137,UAA
2013-02-24,11.93,12.08,11.7,11.72,5695471,UAA
2013-02-25,11.89,12.05,11.66,11.67,5863804,UAA
2013-02-26,11.7,11.98,11.58,11.88,7259564,UAA
2013-02-27,11.86,12.16,11.82,12.05,4424476,UAA
2013-02-28,12.05,12.39,12.03,12.32,6506788,UAA
2013-03-01,12.28,12.41,12.22,12.36,6829776,UAA
2013-03-02,12.28,12.49,12.24,12.41,6096161,UAA
2013-03-03,12.29,12.57,12.26,12.45,5362547,UAA
2013-03-04,12.3,12.65,12.27,12.49,4628932,UAA
2013-03-05,12.57,12.61,12.38,12.48,5806476,UAA
2013-03-06,12.49,12.7,12.43,12.55,4356984,UAA
2013-03-07,12.62,12.63,12.43,12.62,4249756,UAA
2013-03-08,12.65,12.72,12.19,12.28,7194132,UAA
2013-03-09,12.48,12.55,12.09,12.25,7851121,UAA
2013-03-10,12.31,12.38,12.0,12.21,8508111,UAA
2013-03-11,12.15,12.21,11.9,12.17,9165100,UAA
2013-03-12,12.18,12.29,12.03,12.13,4832264,UAA
2013-03-13,12.13,12.49,12.13,12.43,4696552,UAA
2013-03-14,12.5,12.78,12.48,12.77,6536480,UAA
2013-03-15,12.8,12.86,12.61,12.66,6130372,UAA
2013-03-16,12.71,12.79,12.56,12.63,5460376,UAA
2013-03-17,12.63,12.71,12.51,12.59,4790380,UAA
2013-03-18,12.54,12.63,12.45,12.55,4120384,UAA
2013-03-19,12.51,12.62,12.02,12.12,6133984,UAA
2013-03-20,12.24,12.46,12.14,12.4,5581024,UAA
2013-03-21,12.28,12.36,12.08,12.09,5329476,UAA
2013-03-22,12.34,12.67,12.3,12.65,9395464,UAA
2013-03-23,12.47,12.7,12.38,12.66,8099008,UAA
2013-03-24,12.61,12.72,12.47,12.67,6802552,UAA
2013-03-25,12.74,12.74,12.56,12.68,5506096,UAA
2013-03-26,12.69,12.72,12.47,12.66,3575940,UAA
2013-03-27,12.6,12.79,12.45,12.74,3556484,UAA
2013-03-28,12.68,12.94,12.68,12.8,5251832,UAA
2013-03-29,12.7,12.93,12.65,12.76,4730548,UAA
2013-03-30,12.73,12.93,12.62,12.72,4209264,UAA
2013-03-31,12.75,12.93,12.6,12.68,3687980,UAA
2013-04-01,12.78,12.92,12.57,12.64,3166696,UAA
2013-04-02,12.74,13.21,12.67,12.9,5853936,UAA
2013-04-03,12.94,13.4,12.86,13.31,8237836,UAA
2013-04-04,13.28,13.45,13.15,13.31,5441648,UAA
2013-04-05,13.11,13.28,12.92,13.26,2847204,UAA
2013-04-06,13.16,13.37,13.02,13.34,3518107,UAA
2013-04-07,13.2,13.45,13.13,13.42,4189009,UAA
2013-04-08,13.25,13.53,13.23,13.5,4859912,UAA
2013-04-09,13.55,13.59,13.39,13.55,4716000,UAA
2013-04-10,13.6,13.82,13.52,13.74,5464560,UAA
2013-04-11,13.85,14.14,13.82,14.01,6767996,UAA
2013-04-12,14.0,14.28,13.94,14.25,7217604,UAA
2013-04-13,14.16,14.4,13.99,14.2,9099993,UAA
2013-04-14,14.33,14.51,14.04,14.15,10982383,UAA
2013-04-15,14.49,14.63,14.09,14.1,12864772,UAA
2013-04-16,14.15,14.38,13.92,14.19,7542860,UAA
2013-04-17,14.12,14.25,13.8,14.2,6938256,UAA
2013-04-18,14.21,14.22,13.79,13.92,9603840,UAA
2013-04-19,14.47,14.61,13.82,14.1,17270184,UAA
2013-04-20,14.3,14.4,13.77,14.01,14133835,UAA
2013-04-21,14.13,14.18,13.72,13.91,10997485,UAA
2013-04-22,13.96,13.96,13.68,13.82,7861136,UAA
2013-04-23,13.92,14.02,13.72,13.87,5115364,UAA
2013-04-24,13.84,14.04,13.8,13.99,5621016,UAA
2013-04-25,14.02,14.23,14.0,14.11,5546332,UAA
2013-04-26,14.13,14.2,13.88,13.94,3734732,UAA
2013-04-27,14.11,14.17,13.88,13.95,4158531,UAA
2013-04-28,14.09,14.14,13.88,13.97,4582329,UAA
2013-04-29,14.08,14.12,13.88,13.98,5006128,UAA
2013-04-30,14.0,14.28,13.92,14.27,7009920,UAA
2013-05-01,14.22,14.35,14.05,14.09,4856592,UAA
2013-05-02,14.24,14.31,14.04,14.24,3808312,UAA
2013-05-03,14.32,14.49,14.28,14.43,4286220,UAA
2013-05-04,14.35,14.5,14.3,14.42,4066152,UAA
