index,open,high,low,close,volume,Name
2013-02-08,57.21,58.57,57.06,58.11,584427,UHS
2013-02-09,57.24,58.35,56.96,57.87,673329,UHS
2013-02-10,57.27,58.12,56.85,57.62,762230,UHS
2013-02-11,57.3,57.9,56.75,57.38,851132,UHS
2013-02-12,57.22,57.4,56.21,56.3,770993,UHS
2013-02-13,56.54,57.29,56.53,57.28,886522,UHS
2013-02-14,57.06,58.04,57.0,57.91,444274,UHS
2013-02-15,57.91,58.48,57.25,57.42,825324,UHS
2013-02-16,57.76,58.31,57.13,57.5,843770,UHS
2013-02-17,57.6,58.14,57.02,57.59,862216,UHS
2013-02-18,57.45,57.97,56.9,57.68,880662,UHS
2013-02-19,57.3,57.8,56.78,57.76,899108,UHS
2013-02-20,57.63,58.35,56.73,56.79,545219,UHS
2013-02-21,56.85,57.52,56.24,57.03,773103,UHS
2013-02-22,57.24,58.04,57.22,57.99,745025,UHS
2013-02-23,57.54,58.14,56.79,57.33,797058,UHS
2013-02-24,57.83,58.25,56.37,56.67,849090,UHS
2013-02-25,58.13,58.35,55.94,56.01,901123,UHS
2013-02-26,56.39,56.88,55.3,56.68,1078433,UHS
2013-02-27,56.67,58.39,56.52,58.2,964751,UHS
2013-02-28,57.92,58.36,57.62,57.89,660085,UHS
2013-03-01,57.4,58.79,56.07,58.18,1553726,UHS
2013-03-02,57.5,58.56,56.38,57.9,1313952,UHS
2013-03-03,57.6,58.33,56.69,57.62,1074177,UHS
2013-03-04,57.7,58.1,57.0,57.34,834403,UHS
2013-03-05,57.67,58.52,57.44,58.41,897692,UHS
2013-03-06,58.75,58.75,58.19,58.43,828002,UHS
2013-03-07,58.73,59.8,58.52,59.47,846233,UHS
2013-03-08,59.72,60.18,59.24,60.02,907224,UHS
2013-03-09,59.79,60.3,59.46,60.11,881914,UHS
2013-03-10,59.87,60.41,59.68,60.21,856603,UHS
2013-03-11,59.94,60.53,59.9,60.3,831293,UHS
2013-03-12,60.3,60.91,60.14,60.87,527611,UHS
2013-03-13,60.8,61.4,60.63,61.16,422739,UHS
2013-03-14,61.14,61.71,61.09,61.47,683785,UHS
2013-03-15,61.37,62.04,61.17,62.0,1056540,UHS
2013-03-16,61.44,62.12,61.16,61.98,911580,UHS
2013-03-17,61.5,62.21,61.15,61.96,766620,UHS
2013-03-18,61.57,62.29,61.14,61.94,621660,UHS
2013-03-19,62.29,63.1,61.79,62.52,878519,UHS
2013-03-20,62.68,63.05,62.22,62.69,774301,UHS
2013-03-21,62.25,62.92,61.84,62.15,375409,UHS
2013-03-22,62.55,62.8,62.24,62.63,337828,UHS
2013-03-23,62.67,63.07,62.32,62.66,400867,UHS
2013-03-24,62.78,63.35,62.39,62.69,463905,UHS
2013-03-25,62.9,63.62,62.47,62.72,526944,UHS
2013-03-26,63.07,65.0,62.94,63.84,641474,UHS
2013-03-27,63.37,64.78,63.02,64.38,907371,UHS
2013-03-28,64.42,64.71,63.55,63.87,999612,UHS
2013-03-29,64.28,64.87,63.6,64.13,988673,UHS
2013-03-30,64.15,65.04,63.64,64.4,977734,UHS
