index,open,high,low,close,volume,Name
2013-02-08,99.14,100.19,98.32,99.32,212387,ULTA
2013-02-09,99.19,100.19,98.44,99.28,218590,ULTA
2013-02-10,99.23,100.19,98.56,99.23,224794,ULTA
2013-02-11,99.28,100.19,98.68,99.19,230997,ULTA
2013-02-12,99.53,100.06,98.41,98.71,341815,ULTA
2013-02-13,98.72,99.68,98.26,99.49,320061,ULTA
2013-02-14,88.3,89.51,86.9,87.8,6945286,ULTA
2013-02-15,88.32,88.77,86.95,87.96,1769660,ULTA
2013-02-16,88.16,88.7,86.08,87.39,2110077,ULTA
2013-02-17,88.0,88.62,85.2,86.82,2450494,ULTA
2013-02-18,87.84,88.55,84.32,86.25,2790910,ULTA
2013-02-19,87.68,88.48,83.45,85.68,3131327,ULTA
2013-02-20,85.61,87.31,85.32,87.17,1912756,ULTA
2013-02-21,86.75,87.9,85.45,87.67,1504169,ULTA
2013-02-22,88.01,89.28,87.61,88.05,1428861,ULTA
2013-02-23,88.06,89.59,87.65,88.06,1478525,ULTA
2013-02-24,88.12,89.9,87.7,88.06,1528189,ULTA
2013-02-25,88.17,90.21,87.74,88.07,1577853,ULTA
2013-02-26,88.02,88.83,85.56,86.2,1696959,ULTA
2013-02-27,86.64,88.49,86.45,88.03,1256709,ULTA
2013-02-28,88.0,89.04,87.71,88.56,1117076,ULTA
2013-03-01,88.39,89.39,87.82,88.78,936909,ULTA
2013-03-02,88.66,89.72,88.16,89.12,875639,ULTA
2013-03-03,88.93,90.06,88.49,89.45,814368,ULTA
2013-03-04,89.2,90.39,88.83,89.79,753098,ULTA
2013-03-05,90.27,92.12,90.04,91.68,1325600,ULTA
2013-03-06,91.38,91.69,90.79,91.11,1396736,ULTA
2013-03-07,90.72,91.19,89.31,89.91,948721,ULTA
2013-03-08,90.08,90.42,89.0,89.79,1657214,ULTA
2013-03-09,90.01,90.46,89.17,89.8,1518307,ULTA
2013-03-10,89.95,90.49,89.35,89.81,1379400,ULTA
2013-03-11,89.88,90.53,89.52,89.82,1240493,ULTA
2013-03-12,89.73,89.88,87.15,87.19,1010930,ULTA
2013-03-13,87.93,88.7,86.63,87.49,1455596,ULTA
2013-03-14,87.85,89.03,87.18,88.37,2905875,ULTA
2013-03-15,75.96,76.93,72.51,74.14,13814377,ULTA
2013-03-16,75.18,76.2,72.65,74.08,10013231,ULTA
2013-03-17,74.39,75.47,72.8,74.02,6212086,ULTA
2013-03-18,73.61,74.74,72.94,73.96,2410940,ULTA
2013-03-19,74.21,75.15,74.17,74.91,2306178,ULTA
2013-03-20,75.44,78.2,74.93,77.38,2469917,ULTA
2013-03-21,77.28,79.2,76.1,76.39,2480934,ULTA
2013-03-22,77.43,77.95,77.05,77.52,1562487,ULTA
2013-03-23,77.57,78.05,76.74,77.42,1357539,ULTA
2013-03-24,77.72,78.16,76.42,77.32,1152591,ULTA
2013-03-25,77.86,78.26,76.11,77.22,947643,ULTA
2013-03-26,77.17,79.67,76.8,79.3,1418761,ULTA
2013-03-27,78.99,80.65,78.63,80.48,1337810,ULTA
2013-03-28,80.46,81.59,80.17,81.29,1995465,ULTA
2013-03-29,80.62,81.66,80.34,81.39,1768569,ULTA
2013-03-30,80.78,81.72,80.51,81.49,1541673,ULTA
2013-03-31,80.94,81.78,80.68,81.59,1314777,ULTA
2013-04-01,81.1,81.85,80.85,81.69,1087881,ULTA
2013-04-02,82.09,83.4,81.85,82.48,1654311,ULTA
2013-04-03,82.45,82.66,81.41,82.0,1711590,ULTA
2013-04-04,84.3,84.86,82.43,84.74,2138069,ULTA
2013-04-05,83.54,84.4,82.69,84.05,1515803,ULTA
2013-04-06,83.71,84.47,83.04,84.05,1560628,ULTA
2013-04-07,83.88,84.53,83.4,84.04,1605452,ULTA
2013-04-08,84.05,84.6,83.75,84.04,1650277,ULTA
2013-04-09,84.39,84.95,84.09,84.53,1441091,ULTA
2013-04-10,84.53,86.63,84.25,85.65,1608551,ULTA
2013-04-11,85.7,88.65,85.52,88.14,2312841,ULTA
2013-04-12,87.75,88.6,86.63,87.69,1697849,ULTA
2013-04-13,87.67,88.29,86.21,87.05,1642464,ULTA
2013-04-14,87.58,87.97,85.79,86.4,1587079,ULTA
2013-04-15,87.5,87.66,85.37,85.76,1531694,ULTA
2013-04-16,86.68,86.99,85.68,86.64,1476822,ULTA
2013-04-17,86.03,86.2,83.85,84.47,1378016,ULTA
2013-04-18,85.04,85.04,82.24,82.97,1297904,ULTA
2013-04-19,83.19,84.24,82.48,83.7,1395974,ULTA
2013-04-20,83.46,84.71,82.76,84.08,1199394,ULTA
2013-04-21,83.73,85.17,83.03,84.46,1002813,ULTA
2013-04-22,84.0,85.64,83.31,84.84,806233,ULTA
2013-04-23,85.42,86.79,85.2,86.46,1071492,ULTA
2013-04-24,86.43,86.75,84.62,86.22,946144,ULTA
2013-04-25,86.72,87.0,85.48,85.64,969743,ULTA
2013-04-26,85.69,86.62,85.22,85.99,703943,ULTA
2013-04-27,85.75,87.02,85.43,86.23,801812,ULTA
2013-04-28,85.81,87.43,85.64,86.48,899680,ULTA
2013-04-29,85.87,87.83,85.84,86.72,997549,ULTA
2013-04-30,86.98,87.87,86.47,87.65,825993,ULTA
2013-05-01,87.09,87.56,86.22,86.56,1073541,ULTA
2013-05-02,86.36,89.75,86.36,89.36,1372564,ULTA
2013-05-03,89.98,90.63,89.81,90.18,964893,ULTA
2013-05-04,89.98,90.91,89.86,90.49,860118,ULTA
2013-05-05,89.97,91.19,89.91,90.81,755343,ULTA
2013-05-06,89.97,91.47,89.96,91.12,650568,ULTA
2013-05-07,91.0,91.06,89.95,90.41,655276,ULTA
2013-05-08,90.4,91.56,90.12,91.48,442038,ULTA
2013-05-09,90.98,91.58,89.39,89.39,826067,ULTA
2013-05-10,89.73,92.52,89.4,92.18,880280,ULTA
2013-05-11,90.56,92.82,90.28,92.45,886936,ULTA
2013-05-12,91.39,93.11,91.16,92.72,893591,ULTA
2013-05-13,92.22,93.4,92.04,92.99,900247,ULTA
2013-05-14,92.66,94.52,92.4,93.51,570183,ULTA
2013-05-15,93.45,93.96,92.37,93.61,586923,ULTA
2013-05-16,93.04,94.29,92.61,93.09,1006461,ULTA
2013-05-17,93.43,94.17,92.75,93.97,491033,ULTA
2013-05-18,93.61,94.53,93.07,94.27,569517,ULTA
2013-05-19,93.79,94.89,93.39,94.57,648000,ULTA
2013-05-20,93.97,95.25,93.71,94.87,726484,ULTA
2013-05-21,94.87,96.25,94.84,94.88,1076099,ULTA
2013-05-22,94.81,96.3,93.42,94.06,1073786,ULTA
2013-05-23,93.04,93.74,92.53,93.22,873810,ULTA
2013-05-24,92.79,93.53,91.58,92.12,667245,ULTA
2013-05-25,92.82,93.52,91.63,92.11,628860,ULTA
2013-05-26,92.86,93.51,91.68,92.1,590475,ULTA
2013-05-27,92.89,93.5,91.73,92.1,552090,ULTA
2013-05-28,92.92,93.49,91.78,92.09,513705,ULTA
2013-05-29,91.75,92.58,91.0,91.67,713888,ULTA
2013-05-30,91.74,92.09,91.1,91.44,517621,ULTA
2013-05-31,91.06,91.62,90.42,90.76,683305,ULTA
2013-06-01,91.12,91.49,89.68,90.42,673462,ULTA
2013-06-02,91.18,91.37,88.94,90.08,663619,ULTA
2013-06-03,91.24,91.24,88.2,89.74,653776,ULTA
2013-06-04,87.9,89.54,85.76,87.11,1344628,ULTA
2013-06-05,86.72,88.0,85.98,86.09,726894,ULTA
2013-06-06,86.27,86.91,85.83,86.89,554346,ULTA
2013-06-07,87.16,87.76,85.51,85.65,938820,ULTA
2013-06-08,87.04,87.6,85.73,85.96,1162417,ULTA
2013-06-09,86.91,87.45,85.95,86.28,1386015,ULTA
2013-06-10,86.79,87.3,86.17,86.59,1609612,ULTA
2013-06-11,86.0,86.74,83.65,84.13,2284801,ULTA
2013-06-12,95.36,98.88,95.1,96.64,7491955,ULTA
2013-06-13,96.36,97.45,95.24,97.01,1521214,ULTA
2013-06-14,96.08,97.0,95.19,96.14,838625,ULTA
2013-06-15,96.09,96.89,95.29,96.1,797200,ULTA
2013-06-16,96.11,96.79,95.4,96.06,755776,ULTA
2013-06-17,96.12,96.68,95.5,96.02,714351,ULTA
2013-06-18,96.0,96.85,95.76,96.6,542539,ULTA
2013-06-19,96.32,96.64,94.95,95.04,473654,ULTA
2013-06-20,94.45,94.73,92.97,93.4,645456,ULTA
2013-06-21,93.93,94.36,91.94,94.15,1042007,ULTA
2013-06-22,93.71,95.68,92.14,95.16,1392003,ULTA
2013-06-23,93.5,97.0,92.35,96.17,1741999,ULTA
2013-06-24,93.28,98.33,92.55,97.18,2091995,ULTA
2013-06-25,98.01,98.8,96.85,97.89,894172,ULTA
2013-06-26,98.8,100.0,98.12,98.71,779166,ULTA
2013-06-27,98.91,99.45,98.34,99.25,919033,ULTA
2013-06-28,98.61,100.41,97.98,100.12,1185937,ULTA
2013-06-29,99.07,100.5,98.18,99.75,992588,ULTA
2013-06-30,99.54,100.6,98.38,99.38,799238,ULTA
2013-07-01,100.0,100.69,98.58,99.01,605889,ULTA
2013-07-02,99.19,99.74,96.6,97.48,1141396,ULTA
2013-07-03,97.37,99.21,97.37,98.66,297938,ULTA
2013-07-04,98.43,99.92,98.24,99.44,389942,ULTA
2013-07-05,99.49,100.64,99.11,100.23,481946,ULTA
2013-07-06,99.71,100.9,99.31,100.21,561665,ULTA
2013-07-07,99.93,101.15,99.5,100.18,641384,ULTA
2013-07-08,100.15,101.41,99.7,100.16,721103,ULTA
2013-07-09,100.25,101.48,99.13,99.5,526992,ULTA
2013-07-10,99.6,99.89,98.59,99.29,548935,ULTA
2013-07-11,100.11,100.94,99.83,100.73,404991,ULTA
2013-07-12,100.31,100.9,99.39,100.57,345291,ULTA
2013-07-13,100.49,100.92,99.34,100.2,351423,ULTA
2013-07-14,100.67,100.94,99.28,99.83,357556,ULTA
2013-07-15,100.85,100.96,99.23,99.46,363688,ULTA
2013-07-16,99.04,99.21,97.73,98.94,654534,ULTA
2013-07-17,98.98,99.04,97.09,97.13,465999,ULTA
2013-07-18,97.36,98.37,96.77,97.8,411961,ULTA
2013-07-19,97.77,98.51,96.95,97.39,387576,ULTA
2013-07-20,97.61,98.56,97.05,97.82,385292,ULTA
2013-07-21,97.46,98.62,97.14,98.24,383007,ULTA
2013-07-22,97.3,98.67,97.24,98.67,380723,ULTA
2013-07-23,98.66,98.82,95.71,95.9,668365,ULTA
2013-07-24,96.24,96.43,93.36,94.06,723392,ULTA
2013-07-25,94.19,95.4,93.34,95.31,599126,ULTA
2013-07-26,94.89,100.47,94.89,99.68,1119594,ULTA
2013-07-27,96.5,100.37,95.92,99.42,943633,ULTA
2013-07-28,98.11,100.27,96.94,99.15,767673,ULTA
2013-07-29,99.72,100.17,97.97,98.89,591712,ULTA
2013-07-30,98.98,100.64,98.96,100.47,443876,ULTA
2013-07-31,100.53,101.43,99.92,100.9,393382,ULTA
2013-08-01,100.9,101.84,100.09,101.65,850921,ULTA
2013-08-02,101.35,105.01,100.24,103.47,1084668,ULTA
2013-08-03,102.07,104.66,100.75,103.11,882521,ULTA
2013-08-04,102.78,104.31,101.26,102.74,680375,ULTA
2013-08-05,103.5,103.96,101.77,102.38,478228,ULTA
2013-08-06,102.41,104.42,102.41,103.51,618833,ULTA
2013-08-07,103.18,103.18,101.53,102.17,378360,ULTA
2013-08-08,102.47,106.1,102.12,106.03,718672,ULTA
2013-08-09,105.8,106.89,105.01,105.8,781702,ULTA
2013-08-10,105.63,106.58,104.94,105.63,653245,ULTA
2013-08-11,105.45,106.26,104.88,105.45,524789,ULTA
2013-08-12,105.28,105.95,104.81,105.28,396332,ULTA
2013-08-13,105.45,106.5,104.54,105.45,272468,ULTA
2013-08-14,104.81,105.62,103.45,103.5,300995,ULTA
2013-08-15,102.3,102.78,98.05,99.21,1525879,ULTA
2013-08-16,99.47,100.39,98.48,98.61,1027345,ULTA
2013-08-17,99.02,100.14,98.35,98.84,960559,ULTA
2013-08-18,98.57,99.88,98.23,99.08,893774,ULTA
2013-08-19,98.12,99.63,98.1,99.31,826988,ULTA
2013-08-20,99.85,103.04,99.4,101.47,731126,ULTA
2013-08-21,101.31,102.56,100.15,101.52,524199,ULTA
2013-08-22,102.05,102.53,100.96,102.04,225169,ULTA
2013-08-23,102.81,103.94,101.13,103.75,470517,ULTA
2013-08-24,103.31,104.29,101.86,103.89,445163,ULTA
2013-08-25,103.82,104.65,102.59,104.04,419808,ULTA
2013-08-26,104.32,105.0,103.32,104.18,394454,ULTA
2013-08-27,102.99,103.15,99.91,100.31,477551,ULTA
2013-08-28,100.36,101.07,99.56,100.1,385062,ULTA
2013-08-29,99.91,101.51,99.54,100.99,240680,ULTA
2013-08-30,102.55,102.55,99.08,99.24,567347,ULTA
