index,open,high,low,close,volume,Name
2013-02-08,23.73,24.09,23.71,24.06,2165887,UNM
2013-02-09,23.82,24.13,23.78,24.1,1938166,UNM
2013-02-10,23.9,24.17,23.85,24.13,1710446,UNM
2013-02-11,23.99,24.21,23.92,24.17,1482725,UNM
2013-02-12,24.17,24.23,24.05,24.17,1509190,UNM
2013-02-13,24.36,24.72,24.36,24.49,2980937,UNM
2013-02-14,24.36,24.53,24.24,24.4,1769767,UNM
2013-02-15,24.45,24.61,24.4,24.46,1919416,UNM
2013-02-16,24.47,24.67,24.42,24.54,2002704,UNM
2013-02-17,24.49,24.74,24.44,24.63,2085992,UNM
2013-02-18,24.51,24.8,24.46,24.72,2169280,UNM
2013-02-19,24.53,24.86,24.48,24.8,2252568,UNM
2013-02-20,24.73,24.79,24.19,24.25,2724209,UNM
2013-02-21,24.13,24.16,23.82,23.97,2159163,UNM
2013-02-22,24.14,24.31,24.07,24.25,1510051,UNM
2013-02-23,24.22,24.35,23.94,24.07,1927534,UNM
2013-02-24,24.31,24.4,23.82,23.89,2345018,UNM
2013-02-25,24.39,24.44,23.69,23.71,2762501,UNM
2013-02-26,23.82,23.89,23.58,23.77,3371316,UNM
2013-02-27,23.79,24.44,23.76,24.39,2210346,UNM
2013-02-28,24.33,24.61,24.16,24.47,3722201,UNM
2013-03-01,24.32,24.69,24.0,24.61,2770342,UNM
2013-03-02,24.38,24.89,24.14,24.81,3283269,UNM
2013-03-03,24.44,25.08,24.28,25.02,3796196,UNM
2013-03-04,24.5,25.28,24.42,25.22,4309123,UNM
2013-03-05,25.27,25.73,25.27,25.65,4374814,UNM
2013-03-06,25.78,26.12,25.72,26.06,2699457,UNM
2013-03-07,26.13,26.22,25.93,26.13,2558223,UNM
2013-03-08,26.3,26.53,26.25,26.51,2455384,UNM
2013-03-09,26.36,26.74,26.32,26.7,2906035,UNM
2013-03-10,26.42,26.96,26.38,26.88,3356686,UNM
2013-03-11,26.48,27.17,26.44,27.07,3807337,UNM
2013-03-12,27.01,27.16,26.84,26.99,3188684,UNM
2013-03-13,27.03,27.47,27.03,27.44,2850434,UNM
2013-03-14,27.5,27.86,27.47,27.81,2857817,UNM
2013-03-15,27.72,27.84,27.5,27.73,4192036,UNM
2013-03-16,27.53,27.8,27.36,27.61,3885774,UNM
2013-03-17,27.34,27.76,27.21,27.48,3579512,UNM
2013-03-18,27.15,27.72,27.07,27.36,3273250,UNM
2013-03-19,27.22,27.55,27.22,27.44,3450877,UNM
2013-03-20,27.57,27.73,27.39,27.59,1890489,UNM
2013-03-21,27.45,27.56,27.15,27.29,2695272,UNM
2013-03-22,27.46,27.49,27.25,27.49,2174790,UNM
2013-03-23,27.52,27.54,27.29,27.52,2262792,UNM
2013-03-24,27.59,27.6,27.32,27.56,2350795,UNM
2013-03-25,27.65,27.65,27.36,27.59,2438797,UNM
2013-03-26,27.76,28.18,27.72,28.07,2843722,UNM
2013-03-27,27.81,28.1,27.73,28.07,2282923,UNM
2013-03-28,28.03,28.34,28.02,28.25,4059298,UNM
2013-03-29,28.09,28.34,28.02,28.2,3444623,UNM
2013-03-30,28.15,28.34,28.01,28.15,2829948,UNM
2013-03-31,28.2,28.35,28.01,28.1,2215272,UNM
2013-04-01,28.26,28.35,28.0,28.05,1600597,UNM
2013-04-02,28.19,28.24,27.89,27.98,2352838,UNM
2013-04-03,27.58,27.72,27.05,27.14,3170735,UNM
2013-04-04,27.21,27.38,26.9,26.98,2646555,UNM
2013-04-05,26.58,26.63,25.55,26.26,5520684,UNM
2013-04-06,26.52,26.63,25.71,26.32,4535831,UNM
2013-04-07,26.46,26.63,25.87,26.39,3550977,UNM
2013-04-08,26.4,26.63,26.03,26.45,2566124,UNM
