index,open,high,low,close,volume,Name
2013-02-08,66.19,66.58,66.1,66.58,3439728,UNP
2013-02-09,66.3,66.76,66.22,66.62,3147223,UNP
2013-02-10,66.42,66.95,66.34,66.66,2854719,UNP
2013-02-11,66.53,67.13,66.46,66.71,2562214,UNP
2013-02-12,66.74,67.42,66.63,67.33,2777390,UNP
2013-02-13,67.46,67.9,67.4,67.64,4591654,UNP
2013-02-14,67.31,68.09,67.25,68.08,3769048,UNP
2013-02-15,68.14,68.52,68.12,68.42,5727702,UNP
2013-02-16,68.27,68.59,68.11,68.5,5385444,UNP
2013-02-17,68.4,68.66,68.09,68.59,5043187,UNP
2013-02-18,68.53,68.74,68.08,68.68,4700930,UNP
2013-02-19,68.66,68.82,68.06,68.76,4358672,UNP
2013-02-20,68.88,69.0,67.34,67.36,7028462,UNP
2013-02-21,67.18,67.42,66.94,67.12,4812022,UNP
2013-02-22,67.26,68.14,67.0,68.01,2994836,UNP
2013-02-23,67.61,68.36,66.86,67.54,3407429,UNP
2013-02-24,67.96,68.58,66.72,67.06,3820021,UNP
2013-02-25,68.3,68.8,66.58,66.59,4232614,UNP
2013-02-26,66.85,67.24,66.4,66.97,3681460,UNP
2013-02-27,66.97,68.63,66.72,68.36,4601750,UNP
2013-02-28,68.58,69.26,68.22,68.56,5580150,UNP
2013-03-01,68.2,68.78,67.75,68.28,3060412,UNP
2013-03-02,68.18,68.94,67.85,68.58,3101103,UNP
2013-03-03,68.16,69.1,67.94,68.88,3141795,UNP
2013-03-04,68.14,69.27,68.04,69.18,3182486,UNP
2013-03-05,69.56,69.88,69.11,69.54,3330986,UNP
2013-03-06,70.0,70.42,69.18,69.48,2967376,UNP
2013-03-07,69.44,69.61,68.12,68.51,3782244,UNP
2013-03-08,68.82,69.56,68.5,69.35,2666676,UNP
2013-03-09,69.01,69.71,68.79,69.52,2629231,UNP
2013-03-10,69.2,69.85,69.08,69.68,2591787,UNP
2013-03-11,69.39,70.0,69.36,69.84,2554342,UNP
2013-03-12,70.0,70.08,69.15,69.5,2330288,UNP
2013-03-13,69.43,69.9,69.06,69.78,2479096,UNP
2013-03-14,70.0,70.56,69.76,70.5,3148882,UNP
2013-03-15,70.18,70.89,70.08,70.84,4889532,UNP
2013-03-16,70.1,70.85,70.02,70.6,4644321,UNP
2013-03-17,70.03,70.82,69.96,70.35,4399111,UNP
2013-03-18,69.95,70.78,69.91,70.1,4153900,UNP
2013-03-19,70.11,70.39,69.39,69.79,3781762,UNP
2013-03-20,70.38,70.48,69.35,69.56,3969394,UNP
2013-03-21,69.12,69.62,68.86,69.18,4513076,UNP
2013-03-22,69.36,69.67,69.04,69.57,3637362,UNP
2013-03-23,69.57,69.82,68.84,69.24,3977496,UNP
2013-03-24,69.78,69.97,68.64,68.92,4317630,UNP
2013-03-25,69.98,70.13,68.45,68.6,4657764,UNP
2013-03-26,69.14,69.86,69.01,69.74,3189574,UNP
2013-03-27,69.31,70.46,69.11,70.42,3909292,UNP
2013-03-28,70.55,71.5,70.41,71.2,4166750,UNP
2013-03-29,70.71,71.5,70.3,70.92,3808943,UNP
2013-03-30,70.88,71.49,70.18,70.63,3451136,UNP
2013-03-31,71.04,71.49,70.07,70.34,3093329,UNP
2013-04-01,71.2,71.48,69.96,70.05,2735522,UNP
2013-04-02,70.51,71.33,70.22,70.41,4067844,UNP
2013-04-03,70.41,70.69,69.18,69.42,4446062,UNP
2013-04-04,69.3,69.41,68.43,69.23,5252990,UNP
2013-04-05,68.14,69.4,68.0,69.27,3861246,UNP
2013-04-06,68.5,69.59,68.38,69.45,3414939,UNP
2013-04-07,68.85,69.78,68.76,69.63,2968633,UNP
2013-04-08,69.2,69.98,69.14,69.81,2522326,UNP
2013-04-09,70.02,70.32,69.44,69.86,2687136,UNP
2013-04-10,70.0,70.78,69.91,70.65,3430352,UNP
2013-04-11,70.86,71.21,70.24,70.7,3627988,UNP
2013-04-12,70.7,71.18,70.26,70.64,3634210,UNP
2013-04-13,70.54,70.88,69.46,69.72,4109047,UNP
2013-04-14,70.39,70.57,68.67,68.8,4583885,UNP
2013-04-15,70.23,70.26,67.88,67.88,5058722,UNP
2013-04-16,68.5,69.92,68.44,69.81,4191400,UNP
2013-04-17,69.39,69.46,68.08,68.47,5513648,UNP
2013-04-18,70.23,71.82,69.91,71.23,7812184,UNP
2013-04-19,71.61,73.02,71.23,72.92,5384060,UNP
2013-04-20,72.08,73.38,71.7,73.19,5233431,UNP
2013-04-21,72.56,73.74,72.17,73.46,5082803,UNP
2013-04-22,73.03,74.1,72.64,73.72,4932174,UNP
2013-04-23,73.97,74.19,73.17,73.72,3959910,UNP
2013-04-24,73.92,74.05,73.06,73.65,3960772,UNP
2013-04-25,74.06,74.64,73.72,74.11,2914986,UNP
2013-04-26,74.21,74.36,73.67,73.76,1927154,UNP
2013-04-27,73.98,74.23,73.52,73.74,2334300,UNP
2013-04-28,73.76,74.1,73.38,73.73,2741446,UNP
2013-04-29,73.54,73.96,73.24,73.71,3148592,UNP
2013-04-30,73.74,74.0,73.16,73.98,3405900,UNP
2013-05-01,73.83,74.3,72.69,72.83,2630608,UNP
2013-05-02,72.94,73.92,72.93,73.58,3015698,UNP
2013-05-03,74.38,75.57,74.31,74.72,4007708,UNP
2013-05-04,74.52,75.67,74.46,75.04,3675108,UNP
2013-05-05,74.66,75.77,74.62,75.37,3342508,UNP
2013-05-06,74.8,75.87,74.78,75.7,3009908,UNP
2013-05-07,76.0,77.0,75.83,76.86,3687260,UNP
2013-05-08,76.53,77.72,76.25,77.69,3576296,UNP
2013-05-09,77.34,77.64,76.58,76.83,3411942,UNP
2013-05-10,77.0,77.44,76.5,77.15,2285514,UNP
2013-05-11,77.0,77.47,76.43,77.08,2289306,UNP
2013-05-12,76.99,77.51,76.36,77.02,2293098,UNP
2013-05-13,76.98,77.54,76.29,76.95,2296890,UNP
2013-05-14,76.9,78.54,76.77,78.47,3341102,UNP
2013-05-15,78.07,79.06,77.92,79.02,2731010,UNP
2013-05-16,78.74,79.42,78.33,78.52,2703548,UNP
2013-05-17,78.9,79.97,78.43,79.96,3081574,UNP
2013-05-18,79.21,80.08,78.77,79.91,3077109,UNP
2013-05-19,79.53,80.19,79.11,79.86,3072643,UNP
2013-05-20,79.85,80.3,79.45,79.82,3068178,UNP
2013-05-21,79.76,80.23,79.05,79.23,4002486,UNP
2013-05-22,79.22,80.5,78.68,78.8,3729978,UNP
2013-05-23,78.0,78.36,77.36,78.04,3445694,UNP
2013-05-24,77.78,78.58,77.16,78.4,2687678,UNP
2013-05-25,78.18,78.89,77.52,78.52,2991297,UNP
2013-05-26,78.59,79.19,77.89,78.64,3294916,UNP
2013-05-27,78.99,79.49,78.25,78.75,3598535,UNP
2013-05-28,79.39,79.79,78.62,78.87,3902154,UNP
2013-05-29,78.15,78.71,77.67,78.06,2735008,UNP
2013-05-30,78.35,79.25,78.1,78.58,2806138,UNP
2013-05-31,78.16,79.55,77.31,77.31,4239744,UNP
2013-06-01,77.97,79.06,77.18,77.52,4217199,UNP
2013-06-02,77.79,78.56,77.06,77.73,4194653,UNP
2013-06-03,77.6,78.07,76.94,77.94,4172108,UNP
2013-06-04,78.16,79.12,77.56,77.86,3295186,UNP
2013-06-05,77.4,77.61,75.34,75.84,4797586,UNP
