index,open,high,low,close,volume,Name
2013-02-08,33.57,33.69,33.51,33.65,6145664,USB
2013-02-09,33.66,33.9,33.59,33.8,7639729,USB
2013-02-10,33.74,34.12,33.66,33.94,9133794,USB
2013-02-11,33.83,34.33,33.74,34.09,10627859,USB
2013-02-12,34.1,34.4,34.04,34.31,9442669,USB
2013-02-13,34.35,34.36,33.8,33.93,8359593,USB
2013-02-14,33.74,34.06,33.74,33.99,6245224,USB
2013-02-15,34.08,34.15,33.72,33.91,7432023,USB
2013-02-16,34.02,34.15,33.72,33.95,7526661,USB
2013-02-17,33.95,34.15,33.72,33.99,7621300,USB
2013-02-18,33.88,34.15,33.71,34.04,7715938,USB
2013-02-19,33.82,34.15,33.71,34.08,7810576,USB
2013-02-20,33.99,34.06,33.8,33.85,9466705,USB
2013-02-21,33.82,33.97,33.65,33.77,10518518,USB
2013-02-22,33.86,33.95,33.54,33.88,8925608,USB
2013-02-23,33.9,34.0,33.47,33.7,9804101,USB
2013-02-24,33.93,34.05,33.41,33.52,10682594,USB
2013-02-25,33.97,34.1,33.34,33.34,11561087,USB
2013-02-26,33.53,33.91,33.35,33.79,12327479,USB
2013-02-27,33.76,34.04,33.63,34.03,9048768,USB
2013-02-28,34.06,34.15,33.8,33.98,9497117,USB
2013-03-01,33.75,34.15,33.61,34.01,8440803,USB
2013-03-02,33.83,34.2,33.69,34.1,8498367,USB
2013-03-03,33.91,34.24,33.78,34.19,8555932,USB
2013-03-04,33.99,34.29,33.86,34.28,8613496,USB
2013-03-05,34.44,34.73,33.58,33.81,17875031,USB
2013-03-06,33.88,33.92,33.43,33.74,12560891,USB
2013-03-07,33.78,34.18,33.74,34.15,11153308,USB
2013-03-08,34.25,34.36,34.02,34.23,7717760,USB
2013-03-09,34.25,34.44,34.08,34.29,7986054,USB
2013-03-10,34.25,34.52,34.14,34.35,8254347,USB
2013-03-11,34.25,34.6,34.2,34.41,8522641,USB
2013-03-12,34.37,34.38,34.22,34.34,6653131,USB
2013-03-13,34.31,34.32,34.08,34.22,7222848,USB
2013-03-14,34.31,34.35,33.87,34.06,12264411,USB
2013-03-15,33.83,34.3,33.81,34.22,15065752,USB
2013-03-16,33.84,34.27,33.81,34.19,12658203,USB
2013-03-17,33.86,34.24,33.8,34.16,10250653,USB
2013-03-18,33.87,34.22,33.8,34.13,7843104,USB
2013-03-19,34.18,34.26,33.78,33.95,9326657,USB
2013-03-20,34.12,34.24,33.89,33.93,10202180,USB
