index,open,high,low,close,volume,Name
2013-02-08,45.58,46.32,45.57,46.13,8044637,VLO
2013-02-09,45.73,46.49,45.73,46.13,7730995,VLO
2013-02-10,45.89,46.67,45.88,46.14,7417354,VLO
2013-02-11,46.04,46.84,46.04,46.14,7103712,VLO
2013-02-12,46.13,46.45,45.34,45.65,7844747,VLO
2013-02-13,45.79,46.36,45.5,46.24,6391650,VLO
2013-02-14,46.3,47.5,46.24,47.23,9128668,VLO
2013-02-15,47.36,47.66,46.77,47.29,8704170,VLO
2013-02-16,47.41,47.7,46.79,47.4,8551634,VLO
2013-02-17,47.46,47.75,46.81,47.51,8399097,VLO
2013-02-18,47.5,47.79,46.83,47.62,8246560,VLO
2013-02-19,47.55,47.84,46.85,47.73,8094024,VLO
2013-02-20,47.72,47.85,44.71,44.93,14360901,VLO
2013-02-21,44.74,45.86,43.51,45.53,12583850,VLO
2013-02-22,45.95,46.3,44.98,46.07,7596555,VLO
2013-02-23,46.03,46.37,44.73,45.46,7865400,VLO
2013-02-24,46.1,46.43,44.47,44.86,8134245,VLO
2013-02-25,46.18,46.5,44.22,44.25,8403090,VLO
2013-02-26,44.18,45.08,43.69,44.93,8713272,VLO
2013-02-27,44.94,46.14,44.62,45.99,8414184,VLO
2013-02-28,46.01,46.55,45.51,45.59,9206151,VLO
2013-03-01,45.31,46.9,44.7,46.63,9875575,VLO
2013-03-02,45.68,47.45,45.27,47.26,10292192,VLO
2013-03-03,46.04,48.01,45.84,47.88,10708810,VLO
2013-03-04,46.41,48.56,46.41,48.51,11125427,VLO
2013-03-05,48.93,48.97,47.58,48.24,9113377,VLO
2013-03-06,48.55,48.79,47.51,47.62,8657766,VLO
2013-03-07,47.57,47.71,46.16,46.51,10950928,VLO
2013-03-08,46.87,47.09,45.39,45.5,11333312,VLO
2013-03-09,46.27,46.43,44.63,44.91,15168132,VLO
2013-03-10,45.66,45.76,43.87,44.31,19002952,VLO
2013-03-11,45.06,45.1,43.11,43.72,22837772,VLO
2013-03-12,43.56,45.78,43.56,45.55,14815485,VLO
2013-03-13,43.5,44.55,43.2,43.42,20707285,VLO
2013-03-14,43.73,44.0,42.51,43.84,16252304,VLO
2013-03-15,43.9,44.97,43.85,44.18,12984214,VLO
2013-03-16,43.78,45.0,43.7,44.25,11161849,VLO
2013-03-17,43.67,45.02,43.54,44.32,9339483,VLO
2013-03-18,43.55,45.05,43.39,44.39,7517118,VLO
2013-03-19,44.45,44.68,43.5,44.22,8669454,VLO
2013-03-20,44.46,44.95,43.95,44.67,10116586,VLO
2013-03-21,44.29,44.88,44.02,44.02,9086148,VLO
2013-03-22,44.21,44.61,44.01,44.24,7190585,VLO
2013-03-23,44.29,44.72,44.04,44.25,7854736,VLO
2013-03-24,44.36,44.82,44.07,44.27,8518888,VLO
2013-03-25,44.44,44.93,44.1,44.28,9183039,VLO
2013-03-26,44.86,45.28,44.56,44.95,9583312,VLO
2013-03-27,44.77,45.44,44.71,44.95,7531434,VLO
2013-03-28,45.3,45.8,44.98,45.49,8100608,VLO
2013-03-29,45.3,45.73,44.87,45.36,8172404,VLO
2013-03-30,45.3,45.66,44.76,45.23,8244200,VLO
2013-03-31,45.3,45.6,44.65,45.1,8315997,VLO
2013-04-01,45.3,45.53,44.54,44.97,8387793,VLO
2013-04-02,45.2,45.27,41.9,42.41,18993669,VLO
2013-04-03,42.57,42.73,39.92,40.6,20648566,VLO
2013-04-04,40.32,41.48,39.8,41.44,9911972,VLO
2013-04-05,40.93,42.07,40.07,41.98,11760179,VLO
2013-04-06,41.24,42.11,40.3,42.03,10538966,VLO
2013-04-07,41.55,42.16,40.53,42.07,9317753,VLO
2013-04-08,41.86,42.2,40.76,42.12,8096540,VLO
2013-04-09,42.26,42.79,41.6,42.66,8558985,VLO
2013-04-10,42.7,43.3,42.32,42.97,10002794,VLO
2013-04-11,42.94,43.0,40.87,41.26,15212504,VLO
2013-04-12,40.83,41.47,39.76,40.91,12763304,VLO
2013-04-13,40.64,41.1,39.38,40.21,12728820,VLO
2013-04-14,40.46,40.72,39.0,39.5,12694336,VLO
2013-04-15,40.27,40.35,38.62,38.8,12659852,VLO
2013-04-16,39.41,39.89,38.96,39.64,9134139,VLO
2013-04-17,39.0,39.05,37.67,38.24,8380233,VLO
2013-04-18,38.3,39.16,37.83,38.69,8962826,VLO
2013-04-19,38.88,39.47,38.14,39.24,7105835,VLO
2013-04-20,39.07,39.75,38.31,39.42,7914896,VLO
2013-04-21,39.26,40.02,38.48,39.61,8723957,VLO
2013-04-22,39.45,40.3,38.65,39.79,9533018,VLO
2013-04-23,39.94,41.04,39.52,40.65,10260252,VLO
2013-04-24,40.83,42.34,40.83,41.97,11325490,VLO
2013-04-25,42.34,42.5,41.02,41.24,9543281,VLO
2013-04-26,41.09,41.09,39.98,40.72,7227625,VLO
2013-04-27,40.93,41.26,40.19,40.88,7346355,VLO
2013-04-28,40.77,41.43,40.4,41.04,7465086,VLO
2013-04-29,40.61,41.6,40.61,41.2,7583816,VLO
2013-04-30,42.82,42.95,39.96,40.32,16408534,VLO
2013-05-01,39.97,39.99,38.64,38.78,9818528,VLO
2013-05-02,36.9,37.38,35.81,36.98,10783670,VLO
2013-05-03,36.66,38.07,36.27,37.59,10445941,VLO
2013-05-04,37.09,38.26,36.72,37.85,9226959,VLO
2013-05-05,37.51,38.44,37.17,38.12,8007976,VLO
2013-05-06,37.94,38.63,37.62,38.38,6788994,VLO
2013-05-07,38.9,39.38,38.34,39.11,10578679,VLO
2013-05-08,39.2,39.84,37.65,38.26,10581799,VLO
2013-05-09,38.31,38.55,37.96,38.23,8213144,VLO
2013-05-10,38.1,38.84,37.55,38.8,8362275,VLO
2013-05-11,38.24,38.8,37.7,38.57,7573775,VLO
2013-05-12,38.38,38.77,37.84,38.35,6785274,VLO
2013-05-13,38.52,38.74,37.99,38.12,5996774,VLO
2013-05-14,38.08,39.15,38.08,39.01,7302944,VLO
2013-05-15,39.03,40.25,38.98,39.81,8296406,VLO
2013-05-16,39.82,40.25,39.29,39.61,7768826,VLO
2013-05-17,39.65,41.3,39.59,41.2,10112615,VLO
2013-05-18,40.16,41.77,39.97,41.5,9797333,VLO
2013-05-19,40.68,42.23,40.35,41.79,9482052,VLO
2013-05-20,41.19,42.7,40.73,42.09,9166770,VLO
2013-05-21,42.12,42.5,41.21,41.21,7100565,VLO
2013-05-22,41.24,42.0,40.16,40.53,9113067,VLO
2013-05-23,39.71,40.82,39.3,40.24,6226231,VLO
2013-05-24,39.86,40.07,39.35,40.06,4514905,VLO
2013-05-25,40.06,40.34,39.59,40.23,4635448,VLO
2013-05-26,40.26,40.61,39.82,40.39,4755992,VLO
2013-05-27,40.47,40.88,40.06,40.56,4876536,VLO
2013-05-28,40.67,41.15,40.3,40.73,4997079,VLO
2013-05-29,40.58,40.97,40.0,40.48,6401561,VLO
2013-05-30,40.24,40.95,40.04,40.66,5714369,VLO
2013-05-31,40.55,41.51,40.51,40.63,6633777,VLO
2013-06-01,40.59,41.29,40.08,40.5,6638572,VLO
2013-06-02,40.64,41.08,39.66,40.38,6643366,VLO
2013-06-03,40.68,40.86,39.23,40.25,6648161,VLO
