index,open,high,low,close,volume,Name
2013-02-08,54.65,55.13,54.28,54.9,364178,VRSK
2013-02-09,54.77,55.09,54.1,54.81,425641,VRSK
2013-02-10,54.88,55.04,53.91,54.71,487105,VRSK
2013-02-11,55.0,55.0,53.73,54.62,548568,VRSK
2013-02-12,54.52,54.6,53.7,54.23,446918,VRSK
2013-02-13,54.57,54.81,54.26,54.57,343853,VRSK
2013-02-14,54.47,54.55,54.26,54.27,406261,VRSK
2013-02-15,54.3,55.18,54.26,54.88,363484,VRSK
2013-02-16,54.44,55.14,54.34,54.91,389912,VRSK
2013-02-17,54.58,55.1,54.42,54.94,416341,VRSK
2013-02-18,54.73,55.06,54.5,54.97,442770,VRSK
2013-02-19,54.87,55.02,54.58,55.0,469198,VRSK
2013-02-20,54.97,55.4,54.21,54.31,648764,VRSK
2013-02-21,54.25,54.32,53.5,53.73,434744,VRSK
2013-02-22,53.93,54.47,53.84,54.44,469453,VRSK
2013-02-23,54.18,54.67,53.78,54.19,521526,VRSK
2013-02-24,54.42,54.86,53.71,53.95,573600,VRSK
2013-02-25,54.67,55.06,53.65,53.7,625673,VRSK
2013-02-26,54.1,54.26,53.68,53.9,710935,VRSK
2013-02-27,55.41,60.29,55.02,58.05,2422869,VRSK
2013-02-28,58.3,58.81,57.15,58.47,1249535,VRSK
2013-03-01,58.18,59.02,57.97,59.0,956862,VRSK
2013-03-02,58.44,59.14,58.25,59.12,816528,VRSK
2013-03-03,58.69,59.27,58.53,59.25,676193,VRSK
2013-03-04,58.95,59.39,58.8,59.37,535859,VRSK
2013-03-05,59.48,59.54,58.6,59.32,828620,VRSK
2013-03-06,59.69,60.01,59.28,59.34,469594,VRSK
2013-03-07,59.47,59.82,59.0,59.37,737565,VRSK
2013-03-08,59.62,59.8,59.15,59.71,674961,VRSK
2013-03-09,59.64,59.81,59.18,59.75,614043,VRSK
2013-03-10,59.66,59.83,59.22,59.8,553126,VRSK
2013-03-11,59.68,59.84,59.25,59.84,492208,VRSK
2013-03-12,59.85,59.95,58.66,58.7,749682,VRSK
2013-03-13,59.01,59.55,58.42,59.19,925111,VRSK
2013-03-14,59.13,59.57,58.92,59.56,569684,VRSK
2013-03-15,58.88,60.12,58.88,60.05,1564220,VRSK
2013-03-16,59.05,60.08,59.01,59.94,1250011,VRSK
2013-03-17,59.21,60.05,59.15,59.84,935801,VRSK
2013-03-18,59.38,60.01,59.28,59.73,621592,VRSK
2013-03-19,59.75,59.96,59.38,59.83,641901,VRSK
2013-03-20,60.26,60.49,59.45,60.07,719731,VRSK
2013-03-21,59.67,60.28,59.59,60.02,588537,VRSK
2013-03-22,60.31,61.42,60.31,61.23,719749,VRSK
2013-03-23,60.69,61.47,60.37,61.19,667087,VRSK
2013-03-24,61.07,61.52,60.42,61.14,614424,VRSK
2013-03-25,61.45,61.57,60.48,61.1,561762,VRSK
2013-03-26,61.39,61.64,61.0,61.38,438854,VRSK
2013-03-27,61.0,61.72,60.72,61.55,463730,VRSK
