index,open,high,low,close,volume,Name
2013-02-08,39.35,39.74,39.28,39.45,12913800,V
2013-02-09,39.36,39.67,39.18,39.33,12286571,V
2013-02-10,39.38,39.61,39.08,39.21,11659341,V
2013-02-11,39.4,39.54,38.98,39.08,11032112,V
2013-02-12,39.21,39.42,39.1,39.2,9805312,V
2013-02-13,39.11,39.35,38.53,38.69,13915520,V
2013-02-14,38.65,39.16,38.58,38.99,12760368,V
2013-02-15,39.09,39.52,38.94,39.5,17891168,V
2013-02-16,39.19,39.56,38.99,39.47,16720796,V
2013-02-17,39.3,39.61,39.05,39.45,15550424,V
2013-02-18,39.4,39.65,39.11,39.43,14380052,V
2013-02-19,39.5,39.7,39.16,39.4,13209680,V
2013-02-20,39.28,39.4,38.8,38.85,15688968,V
2013-02-21,38.78,39.57,38.7,39.36,14220580,V
2013-02-22,39.58,39.9,39.17,39.86,11737004,V
2013-02-23,39.65,39.96,39.11,39.56,11550404,V
2013-02-24,39.72,40.02,39.04,39.27,11363804,V
2013-02-25,39.8,40.09,38.97,38.97,11177204,V
2013-02-26,39.0,39.65,39.0,39.46,11355204,V
2013-02-27,39.36,40.02,39.33,39.97,8317656,V
2013-02-28,40.08,40.08,39.58,39.66,11231148,V
2013-03-01,39.48,39.72,39.16,39.52,13212916,V
2013-03-02,39.47,39.77,39.24,39.64,10998517,V
2013-03-03,39.45,39.83,39.31,39.76,8784119,V
2013-03-04,39.44,39.88,39.39,39.88,6569720,V
2013-03-05,40.02,40.44,39.97,40.07,10267472,V
2013-03-06,40.22,40.42,40.05,40.26,7515924,V
2013-03-07,40.22,40.44,39.91,40.13,8687144,V
2013-03-08,40.34,40.35,39.97,40.17,9574364,V
2013-03-09,40.34,40.37,40.02,40.21,8630171,V
2013-03-10,40.34,40.38,40.06,40.25,7685977,V
2013-03-11,40.34,40.4,40.1,40.3,6741784,V
2013-03-12,40.17,40.24,39.76,39.95,8340716,V
2013-03-13,39.88,40.1,39.71,39.84,11021016,V
2013-03-14,39.85,40.27,39.83,40.16,14859112,V
2013-03-15,40.01,40.16,39.63,39.64,17615660,V
2013-03-16,39.78,40.04,39.46,39.6,16798404,V
2013-03-17,39.55,39.92,39.28,39.56,15981148,V
2013-03-18,39.32,39.8,39.1,39.52,15163892,V
2013-03-19,39.5,39.84,38.92,39.0,17599860,V
2013-03-20,39.25,39.99,39.18,39.83,16070016,V
2013-03-21,39.61,39.93,39.45,39.45,14883172,V
2013-03-22,39.55,40.04,39.43,40.02,18748648,V
2013-03-23,39.76,40.38,39.66,40.35,18942879,V
2013-03-24,39.98,40.73,39.89,40.67,19137109,V
2013-03-25,40.19,41.07,40.12,41.0,19331340,V
2013-03-26,41.22,41.94,41.14,41.86,17267556,V
2013-03-27,41.65,42.31,41.38,42.16,13371644,V
2013-03-28,42.19,42.74,42.03,42.46,12458428,V
2013-03-29,42.25,42.74,41.96,42.3,12652930,V
2013-03-30,42.31,42.74,41.88,42.15,12847432,V
2013-03-31,42.38,42.75,41.8,41.99,13041934,V
2013-04-01,42.44,42.75,41.73,41.84,13236436,V
2013-04-02,42.1,42.22,41.83,41.99,9578152,V
2013-04-03,42.1,42.13,41.07,41.19,16624688,V
2013-04-04,41.36,41.63,41.25,41.62,8903828,V
2013-04-05,41.05,41.36,40.9,41.29,7962988,V
2013-04-06,41.17,41.43,40.97,41.38,7350429,V
2013-04-07,41.29,41.51,41.05,41.48,6737871,V
