index,open,high,low,close,volume,Name
2013-02-08,91.44,92.68,91.44,92.53,332104,WAT
2013-02-09,91.8,92.64,91.63,92.51,296292,WAT
2013-02-10,92.16,92.59,91.81,92.49,260481,WAT
2013-02-11,92.52,92.55,92.0,92.47,224669,WAT
2013-02-12,92.44,92.61,91.79,91.99,260583,WAT
2013-02-13,92.36,93.33,92.1,93.22,430119,WAT
2013-02-14,92.92,93.53,92.28,93.47,431272,WAT
2013-02-15,93.47,93.67,92.17,92.61,448649,WAT
2013-02-16,93.22,93.6,92.22,92.8,416411,WAT
2013-02-17,92.98,93.54,92.26,92.98,384174,WAT
2013-02-18,92.73,93.48,92.31,93.17,351936,WAT
2013-02-19,92.48,93.41,92.35,93.36,319698,WAT
2013-02-20,93.14,93.41,91.96,92.33,532540,WAT
2013-02-21,92.24,92.9,91.46,91.79,443778,WAT
2013-02-22,92.09,92.65,92.01,92.65,264954,WAT
2013-02-23,92.39,92.78,91.48,91.91,337906,WAT
2013-02-24,92.7,92.91,90.94,91.16,410857,WAT
2013-02-25,93.0,93.04,90.41,90.42,483809,WAT
2013-02-26,90.87,91.71,89.74,91.49,541440,WAT
2013-02-27,91.37,93.25,91.19,92.98,438263,WAT
2013-02-28,93.0,93.63,92.21,92.72,455777,WAT
2013-03-01,92.32,93.82,91.56,93.77,405335,WAT
2013-03-02,92.66,93.8,91.95,93.76,353148,WAT
2013-03-03,93.0,93.79,92.34,93.75,300961,WAT
2013-03-04,93.34,93.77,92.73,93.74,248774,WAT
2013-03-05,94.08,95.41,94.08,94.96,412221,WAT
2013-03-06,95.13,95.38,94.46,94.62,182336,WAT
2013-03-07,94.73,94.98,94.17,94.26,202045,WAT
2013-03-08,94.68,94.78,93.95,94.48,325134,WAT
2013-03-09,94.54,94.78,93.95,94.56,304161,WAT
2013-03-10,94.41,94.78,93.94,94.63,283188,WAT
2013-03-11,94.27,94.78,93.94,94.71,262215,WAT
2013-03-12,94.78,94.92,93.76,94.24,301248,WAT
2013-03-13,94.23,94.6,93.62,94.24,295682,WAT
2013-03-14,94.37,94.67,93.98,94.66,269235,WAT
2013-03-15,94.29,94.96,94.1,94.82,448335,WAT
2013-03-16,94.2,94.87,93.94,94.54,407784,WAT
2013-03-17,94.12,94.77,93.79,94.25,367233,WAT
2013-03-18,94.03,94.68,93.63,93.97,326682,WAT
2013-03-19,94.21,94.51,93.47,93.99,298989,WAT
2013-03-20,94.46,94.93,94.11,94.78,286150,WAT
2013-03-21,94.34,94.34,93.02,93.11,302618,WAT
2013-03-22,93.56,93.59,92.37,93.26,305428,WAT
2013-03-23,93.51,93.56,92.11,93.02,325178,WAT
2013-03-24,93.45,93.53,91.85,92.79,344928,WAT
2013-03-25,93.4,93.5,91.59,92.55,364678,WAT
2013-03-26,92.98,93.93,92.94,93.26,403940,WAT
2013-03-27,92.58,93.59,92.37,93.16,378882,WAT
2013-03-28,93.31,94.0,92.83,93.91,616983,WAT
2013-03-29,93.44,93.96,92.87,93.86,549599,WAT
2013-03-30,93.58,93.93,92.91,93.8,482216,WAT
2013-03-31,93.72,93.89,92.95,93.75,414832,WAT
2013-04-01,93.85,93.86,92.99,93.7,347448,WAT
2013-04-02,94.02,95.5,93.93,95.5,519696,WAT
2013-04-03,95.5,95.51,93.98,94.29,373560,WAT
2013-04-04,94.37,94.9,93.85,94.57,275288,WAT
2013-04-05,93.21,93.21,92.26,92.39,397550,WAT
2013-04-06,92.91,93.15,92.2,92.6,360913,WAT
2013-04-07,92.61,93.09,92.15,92.82,324276,WAT
2013-04-08,92.31,93.03,92.09,93.03,287639,WAT
2013-04-09,93.44,93.83,92.98,93.15,239745,WAT
2013-04-10,93.6,95.33,93.48,95.12,442266,WAT
2013-04-11,95.29,96.25,95.29,95.46,232209,WAT
2013-04-12,94.65,95.25,93.46,94.33,584410,WAT
